time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.89,2.42,3.4,5.01,-       
0.05,-0.9,2.43,3.4,4.99,-       
0.1,-0.6,2.43,3.4,5.06,-       
0.15,-0.71,2.44,3.4,5.01,-       
0.2,-0.67,2.39,3.4,5.08,-       
0.25,-0.66,2.39,3.4,5.04,-       
0.3,-0.64,2.37,3.4,5.07,-       
0.35,-0.66,2.38,3.4,5.08,-       
0.4,-0.59,2.35,3.4,5.1,-       
0.45,-0.59,2.37,3.4,5.1,-       
0.5,-0.59,2.37,3.4,5.1,-       
0.55,-0.59,2.37,3.4,5.1,-       
0.6,-0.59,2.37,3.4,5.1,-       
0.65,-0.59,2.37,3.4,5.1,-       
0.7,-0.59,2.37,3.4,5.1,-       
0.75,-0.59,2.37,3.4,5.1,-       
0.8,-0.59,2.37,3.4,5.1,-       
0.85,-0.59,2.37,3.4,5.1,-       
0.9,-0.84,2.71,3.4,5.22,-       
0.95,-0.85,2.71,3.4,5.26,-       
1.0,-0.63,2.49,3.4,5.13,-       
1.05,-0.63,2.52,3.4,5.13,-       
1.1,-0.61,2.51,3.4,5.13,-       
1.15,-0.56,2.49,3.4,5.12,-       
1.2,-0.38,1.97,3.4,5.14,gaze started: p_2_2
1.25,1.33,0.41,-0.35,,-       
1.3,1.32,0.41,-0.35,,-       
1.35,1.32,0.42,-0.36,,-       
1.4,1.3,0.43,-0.36,,-       
1.45,1.29,0.45,-0.37,,-       
1.5,1.26,0.47,-0.38,,-       
1.55,1.24,0.49,-0.38,,-       
1.6,-0.47,0.73,3.57,5.03,-       
1.65,-0.65,0.53,3.08,5.14,-       
1.7,-0.61,0.53,2.95,5.02,-       
1.75,-0.79,0.53,3.36,5.01,-       
1.8,1.14,0.58,-0.41,,-       
1.85,1.14,0.58,-0.41,,-       
1.9,1.1,0.62,-0.43,,-       
1.95,1.05,0.67,-0.45,,-       
2.0,0.57,0.89,3.4,4.31,-       
2.05,0.4,1.32,3.4,5.18,gaze started: p_4_3
2.1,0.64,1.23,3.4,5.22,-       
2.15,0.47,1.42,3.4,5.25,-       
2.2,0.56,1.48,3.4,5.15,gaze started: p_3_3
2.25,0.48,1.33,3.46,5.03,-       
2.3,0.69,1.57,3.4,5.08,-       
2.35,0.7,1.54,3.4,4.79,gaze started: p_3_3
2.4,0.7,1.54,3.4,4.79,gaze started: p_3_3
2.45,0.66,1.59,3.4,4.42,-       
2.5,0.67,1.57,3.4,4.01,-       
2.55,0.58,1.55,3.4,3.63,-       
2.6,0.54,1.54,3.4,3.33,-       
2.65,0.13,1.62,3.4,3.36,gaze fixated: p_3_3
2.7,0.12,1.65,3.4,3.25,gaze started: p_3_2
2.75,0.12,1.65,3.4,3.25,gaze started: p_3_2
2.8,0.3,1.68,3.4,3.12,-       
2.85,0.09,1.65,3.4,3.1,gaze started: p_3_3
2.9,0.07,1.64,3.4,2.98,gaze started: p_3_2
2.95,0.04,1.65,3.4,2.94,-       
3.0,0.04,1.65,3.4,2.94,-       
3.05,0.03,1.66,3.4,2.91,-       
3.1,0.04,1.65,3.4,2.89,-       
3.15,0.04,1.66,3.4,2.89,-       
3.2,0.16,2.12,3.4,2.94,gaze fixated: p_3_2
3.25,-0.05,2.04,3.4,2.91,gaze started: p_2_3
3.3,-0.04,2.05,3.4,2.97,gaze started: p_2_2
3.35,-0.12,2.24,3.4,3.03,-       
3.4,-0.09,2.23,3.4,3.05,-       
3.45,-0.09,2.23,3.4,3.05,-       
3.5,-0.12,2.21,3.4,3.05,-       
3.55,0.1,2.2,3.4,3.01,-       
3.6,0.23,2.28,3.46,3.02,gaze fixated: p_2_2
3.65,0.27,2.26,3.4,3.04,gaze ended: p_2_2
3.7,0.34,2.22,3.4,3.05,gaze started: p_2_3
3.75,0.34,2.22,3.4,3.11,-       
3.8,0.15,2.08,3.4,3.26,-       
3.85,0.15,2.08,3.4,3.26,-       
3.9,0.21,2.03,3.4,3.31,-       
3.95,0.24,2.02,3.4,3.38,-       
4.0,0.19,2.03,3.4,3.45,gaze fixated: p_2_3
4.05,0.18,2.03,3.4,3.54,-       
4.1,0.19,2.02,3.4,3.65,-       
4.15,0.19,2.02,3.4,3.66,-       
4.2,0.21,2.03,3.4,3.71,-       
4.25,0.21,2.03,3.4,3.71,-       
4.3,0.23,2.02,3.4,3.78,-       
4.35,0.2,1.81,3.46,3.69,-       
4.4,0.21,1.69,3.4,3.75,gaze ended: p_2_3
4.45,0.21,1.69,3.4,3.73,gaze started: p_3_3
4.5,0.24,1.69,3.4,3.72,-       
4.55,0.2,1.7,3.4,3.69,-       
