time,point x ,point y ,point z ,pupil diameter,flag    
0.0,1.25,0.49,-0.38,,-       
0.05,1.26,0.49,-0.38,,-       
0.1,-0.92,2.33,3.4,5.06,-       
0.15,-1.04,2.37,3.4,5.65,-       
0.2,-0.98,2.47,3.4,5.55,-       
0.25,-1.16,2.58,3.4,5.58,gaze started: p_1_2
0.3,-1.1,2.48,3.4,5.43,-       
0.35,-1.01,2.47,3.4,5.5,-       
0.4,-1.16,2.41,3.4,5.39,-       
0.45,-1.11,2.47,3.4,5.41,-       
0.5,-1.02,2.51,3.4,5.48,-       
0.55,-1.04,2.52,3.4,5.39,-       
0.6,-0.98,2.48,3.4,5.32,-       
0.65,-0.98,2.48,3.4,5.32,-       
0.7,-0.98,2.48,3.4,5.32,-       
0.75,-0.98,2.48,3.4,5.32,-       
0.8,-0.98,2.48,3.4,5.32,-       
0.85,-0.98,2.48,3.4,5.32,-       
0.9,-0.98,2.48,3.4,5.32,-       
0.95,-0.98,2.48,3.4,5.32,-       
1.0,-1.05,2.51,3.4,5.34,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_vaping_30s_50nd.mp4
1.05,-0.84,2.58,3.4,5.37,-       
1.1,-0.72,2.59,3.4,5.42,gaze started: p_1_1
1.15,-0.72,2.58,3.4,5.67,gaze started: p_1_1
1.2,-0.71,2.59,3.4,5.53,-       
1.25,-0.72,2.61,3.46,5.74,gaze started: p_1_2
1.3,1.31,0.51,-0.39,,-       
1.35,1.31,0.51,-0.39,,-       
1.4,1.31,0.51,-0.39,,-       
1.45,1.31,0.51,-0.39,,-       
1.5,-1.18,1.63,3.4,5.53,gaze started: p_3_1
1.55,-1.03,1.76,3.4,5.59,-       
1.6,-1.0,1.61,3.4,5.42,-       
1.65,-1.0,1.61,3.4,5.7,-       
1.7,-1.0,1.49,3.4,5.61,-       
1.75,1.27,0.53,-0.4,,-       
1.8,1.26,0.54,-0.4,,-       
1.85,1.24,0.54,-0.4,,-       
1.9,1.23,0.55,-0.41,,-       
1.95,1.21,0.56,-0.41,,-       
2.0,1.19,0.58,-0.41,,-       
2.05,1.18,0.58,-0.42,,-       
2.1,-0.04,1.76,3.4,5.47,gaze started: p_2_2
2.15,-0.07,1.95,3.4,5.48,-       
2.2,-0.12,1.97,3.4,5.46,-       
2.25,-0.03,2.05,3.4,5.39,-       
2.3,-0.1,2.01,3.4,5.41,-       
2.35,-0.0,1.94,3.4,5.44,-       
2.4,-0.06,2.04,3.4,5.49,-       
2.45,0.7,1.65,3.4,5.15,-       
2.5,0.7,1.65,3.4,5.15,-       
2.55,0.68,1.69,3.4,4.89,gaze started: p_3_3
2.6,0.68,1.7,3.4,4.65,-       
2.65,0.63,1.68,3.4,4.35,-       
2.7,0.65,1.65,3.4,4.07,-       
2.75,0.67,1.64,3.4,3.85,-       
2.8,0.65,1.67,3.4,3.55,gaze fixated: p_3_3
2.85,0.62,1.67,3.4,3.37,-       
2.9,0.41,1.69,3.4,3.25,-       
2.95,0.41,1.69,3.4,3.25,-       
3.0,0.0,1.73,3.4,3.17,-       
3.05,0.01,1.71,3.4,3.13,gaze started: p_3_2
3.1,0.0,1.72,3.4,3.13,-       
3.15,-0.01,1.7,3.4,3.1,-       
3.2,0.0,1.71,3.4,3.07,-       
3.25,0.0,1.69,3.4,3.07,-       
3.3,0.01,1.71,3.4,3.08,gaze fixated: p_3_2
3.35,-0.02,1.73,3.4,3.02,-       
3.4,-0.02,1.73,3.4,3.02,-       
3.45,0.01,1.73,3.4,3.08,-       
3.5,0.02,1.76,3.4,3.03,-       
3.55,0.01,1.72,3.4,2.97,-       
3.6,-0.01,1.7,3.4,3.04,-       
3.65,0.03,1.71,3.4,3.1,-       
3.7,0.0,1.72,3.4,3.11,-       
3.75,0.01,1.74,3.4,3.15,-       
3.8,0.01,1.74,3.4,3.15,-       
3.85,0.13,1.76,3.4,3.2,-       
3.9,0.1,1.71,3.4,3.25,-       
3.95,0.05,1.7,3.4,3.3,-       
4.0,-0.01,1.74,3.4,3.36,-       
4.05,0.03,1.72,3.4,3.38,-       
4.1,0.04,1.72,3.4,3.39,-       
4.15,0.04,1.72,3.4,3.39,-       
4.2,0.11,1.69,3.4,3.44,-       
4.25,-0.0,1.74,3.4,3.48,-       
4.3,0.01,1.72,3.4,3.52,-       
4.35,0.03,1.73,3.4,3.49,-       
4.4,0.01,1.74,3.4,3.5,-       
4.45,0.0,1.71,3.4,3.52,-       
4.5,0.01,1.86,3.4,3.57,-       
4.55,0.01,1.86,3.4,3.57,-       
4.6,-0.01,1.98,3.4,3.71,gaze started: p_2_2
4.65,-0.02,2.0,3.4,3.72,-       
4.7,-0.04,2.09,3.4,3.85,-       
4.75,-0.2,2.24,3.4,3.85,-       
4.8,-0.19,2.22,3.4,3.77,-       
4.85,-0.03,2.18,3.4,3.68,gaze fixated: p_2_2
4.9,-0.03,2.18,3.4,3.68,gaze fixated: p_2_2
4.95,0.33,2.2,3.4,3.6,-       
5.0,0.33,2.21,3.4,3.61,gaze started: p_2_3
5.05,0.35,2.21,3.4,3.62,-       
5.1,0.35,2.2,3.4,3.66,-       
5.15,0.35,2.21,3.4,3.73,-       
5.2,0.33,2.24,3.4,3.8,-       
5.25,0.37,2.22,3.4,3.77,gaze fixated: p_2_3
5.3,0.35,2.24,3.4,3.77,-       
5.35,0.35,2.24,3.4,3.77,-       
5.4,0.37,2.2,3.4,3.82,-       
5.45,0.4,2.19,3.4,3.84,-       
5.5,0.41,2.19,3.4,3.89,-       
5.55,0.14,1.9,3.46,3.92,-       
5.6,0.15,1.89,3.4,3.87,gaze ended: p_2_3
5.65,0.14,1.87,3.4,3.8,gaze started: p_2_3
5.7,0.11,1.9,3.4,3.74,-       
5.75,0.11,1.89,3.4,3.66,gaze started: p_2_2
5.8,0.11,1.89,3.4,3.66,gaze started: p_2_2
5.85,0.15,1.93,3.4,3.79,-       
5.9,0.15,1.95,3.4,3.84,gaze started: p_2_3
5.95,0.15,1.94,3.4,3.69,-       
6.0,0.09,1.88,3.4,3.58,-       
6.05,0.09,1.88,3.4,3.58,-       
6.1,0.11,1.86,3.4,3.54,-       
6.15,0.11,1.86,3.4,3.54,-       
6.2,0.1,1.9,3.4,3.64,-       
6.25,0.09,1.88,3.4,3.62,-       
6.3,0.15,1.89,3.4,3.59,-       
6.35,0.14,1.87,3.46,3.75,gaze started: p_2_3
6.4,0.14,1.89,3.4,3.78,-       
6.45,0.14,1.88,3.4,3.68,gaze started: p_2_3
6.5,0.14,1.87,3.4,3.67,-       
6.55,0.13,1.86,3.46,3.63,-       
6.6,0.13,1.86,3.4,3.71,-       
6.65,0.13,1.86,3.4,3.68,gaze started: p_2_2
6.7,0.13,1.86,3.4,3.68,gaze started: p_2_2
6.75,0.13,1.87,3.4,3.62,-       
6.8,0.15,1.88,3.4,3.62,-       
6.85,0.1,1.84,3.4,3.57,gaze started: p_2_3
6.9,0.11,1.87,3.4,3.52,gaze started: p_2_2
6.95,0.11,1.87,3.4,3.52,gaze started: p_2_2
7.0,0.1,1.88,3.4,3.58,-       
7.05,0.1,1.92,3.4,3.6,-       
7.1,0.09,1.87,3.4,3.63,-       
7.15,0.11,1.86,3.4,3.61,-       
7.2,0.11,1.87,3.4,3.66,gaze fixated: p_2_2
7.25,0.12,1.89,3.4,3.76,-       
7.3,0.1,1.89,3.4,3.78,-       
7.35,0.1,1.89,3.4,3.78,-       
7.4,0.13,1.9,3.4,3.76,-       
7.45,0.13,1.87,3.4,3.78,-       
7.5,0.1,1.89,3.4,3.77,-       
7.55,0.08,1.9,3.4,3.73,-       
7.6,0.09,1.89,3.4,3.75,-       
7.65,0.09,1.89,3.4,3.75,-       
7.7,0.15,1.89,3.4,3.7,-       
7.75,0.14,1.91,3.4,3.7,gaze started: p_2_3
7.8,0.1,1.89,3.4,3.7,-       
7.85,0.2,1.84,3.4,3.69,gaze started: p_2_2
7.9,0.1,1.89,3.4,3.68,gaze started: p_2_3
7.95,0.07,1.89,3.4,3.69,gaze started: p_2_2
8.0,0.07,1.89,3.4,3.69,gaze started: p_2_2
8.05,0.08,1.89,3.4,3.87,-       
8.1,0.09,1.89,3.4,3.74,-       
8.15,0.11,1.87,3.4,3.69,-       
