time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.51,1.73,3.4,4.76,-       
0.05,0.49,1.7,3.4,4.86,gaze started: p_3_3
0.1,0.49,1.7,3.4,4.86,gaze started: p_3_3
0.15,0.28,1.8,3.46,4.84,-       
0.2,0.28,1.82,3.4,4.84,-       
0.25,0.28,1.84,3.4,4.86,gaze started: p_2_3
0.3,0.31,1.86,3.4,4.86,-       
0.35,0.31,1.74,3.4,4.76,-       
0.4,0.16,1.64,3.4,4.55,gaze started: p_3_3
0.45,0.05,1.74,3.4,4.4,-       
0.5,0.17,1.72,3.4,4.12,gaze started: p_3_2
0.55,0.17,1.72,3.4,4.12,gaze started: p_3_2
0.6,0.17,1.72,3.4,4.12,gaze started: p_3_2
0.65,0.17,1.72,3.4,4.12,gaze started: p_3_2
0.7,0.17,1.72,3.4,4.12,gaze started: p_3_2
0.75,0.17,1.72,3.4,4.12,gaze started: p_3_2
0.8,0.17,1.72,3.4,4.12,gaze started: p_3_2
0.85,0.17,1.72,3.4,4.12,gaze started: p_3_2
0.9,0.17,1.72,3.4,4.12,gaze started: p_3_2
0.95,0.17,1.72,3.4,4.12,gaze started: p_3_2
1.0,0.17,1.72,3.4,4.12,gaze started: p_3_2
1.05,0.17,1.72,3.4,3.08,gaze started: p_3_3
1.1,0.23,1.35,3.4,2.96,-       
1.15,0.26,1.4,3.4,3.03,-       
1.2,0.24,1.4,3.4,3.02,-       
1.25,0.24,1.4,3.4,3.02,-       
1.3,0.2,1.33,3.46,3.01,gaze fixated: p_3_3
1.35,0.21,1.32,3.46,3.01,gaze ended: p_3_3
1.4,0.2,1.34,3.4,3.0,-       
1.45,0.19,1.35,3.4,3.0,gaze started: p_3_3
1.5,0.19,1.35,3.4,3.02,-       
1.55,0.95,0.73,-0.47,,-       
1.6,0.95,0.73,-0.47,,-       
1.65,0.95,0.74,-0.47,,-       
1.7,0.95,0.74,-0.47,,-       
1.75,-0.01,1.82,3.4,3.39,-       
1.8,0.14,1.82,3.4,3.72,gaze started: p_2_2
1.85,0.14,1.82,3.4,3.72,gaze started: p_2_2
1.9,0.02,1.74,3.4,3.69,gaze started: p_2_3
1.95,0.15,1.74,3.4,3.77,gaze started: p_3_2
2.0,-0.0,1.79,3.4,3.86,gaze started: p_3_3
2.05,-0.02,1.8,3.46,3.9,gaze started: p_3_2
2.1,0.11,1.73,3.4,3.96,-       
2.15,0.13,1.69,3.4,3.99,gaze started: p_3_2
2.2,-0.14,1.79,3.4,4.08,-       
2.25,-0.14,1.79,3.4,4.08,-       
2.3,-0.15,1.79,3.4,4.13,-       
2.35,-0.17,1.77,3.4,4.16,-       
2.4,-0.17,1.77,3.4,4.26,-       
2.45,0.51,1.64,3.4,4.28,gaze fixated: p_3_2
2.5,0.52,1.66,3.4,4.13,gaze started: p_3_3
2.55,0.57,1.61,3.4,3.87,-       
2.6,0.52,1.6,3.4,3.8,-       
2.65,0.57,1.61,3.4,3.67,-       
2.7,0.56,1.61,3.4,3.63,-       
2.75,0.56,1.61,3.4,3.63,-       
2.8,0.54,1.61,3.4,3.48,gaze fixated: p_3_3
2.85,0.56,1.61,3.4,3.41,-       
2.9,0.55,1.6,3.4,3.38,-       
2.95,0.55,1.6,3.4,3.38,-       
3.0,0.54,1.6,3.4,3.36,-       
3.05,0.54,1.6,3.4,3.35,-       
3.1,0.55,1.6,3.4,3.36,-       
3.15,0.34,1.71,3.4,3.34,-       
3.2,0.29,1.81,3.4,3.39,-       
3.25,0.22,1.82,3.4,3.38,gaze started: p_2_3
3.3,0.17,1.84,3.4,3.37,-       
3.35,0.17,1.84,3.4,3.37,-       
3.4,0.06,1.96,3.4,3.45,-       
3.45,0.03,2.11,3.4,3.53,gaze started: p_2_2
3.5,0.03,2.1,3.4,3.55,-       
3.55,0.08,2.1,3.4,3.58,-       
3.6,-0.33,2.3,3.4,3.75,-       
3.65,-0.21,2.3,3.4,3.82,gaze started: p_1_2
3.7,-0.16,2.3,3.4,3.83,-       
3.75,-0.24,2.28,3.46,3.9,-       
3.8,-0.24,2.28,3.46,3.9,-       
3.85,0.09,2.23,3.4,3.85,-       
3.9,0.13,2.21,3.4,3.88,gaze started: p_2_2
3.95,0.11,2.21,3.4,3.91,-       
4.0,0.14,2.22,3.46,3.92,-       
4.05,0.13,2.23,3.46,3.96,-       
4.1,0.14,2.23,3.46,4.01,-       
4.15,0.14,2.23,3.46,4.01,-       
4.2,0.17,2.21,3.4,4.07,-       
4.25,0.13,2.0,3.4,4.0,gaze started: p_2_3
4.3,0.07,2.0,3.4,4.05,gaze started: p_2_2
4.35,0.1,1.99,3.4,4.04,-       
4.4,0.08,2.01,3.4,4.05,-       
4.45,0.21,1.92,3.4,4.12,-       
4.5,0.55,1.88,3.4,4.11,gaze started: p_2_3
4.55,0.54,1.89,3.4,4.12,-       
4.6,0.06,1.64,3.4,4.02,-       
4.65,0.11,1.64,3.4,4.04,gaze started: p_3_2
4.7,0.11,1.64,3.4,4.04,gaze started: p_3_2
4.75,0.13,1.61,3.4,4.03,-       
4.8,0.18,1.62,3.4,4.04,-       
4.85,0.18,1.63,3.4,4.05,gaze started: p_3_3
4.9,0.26,1.51,3.4,4.01,-       
4.95,0.26,1.51,3.4,4.01,-       
5.0,0.28,1.4,3.4,4.1,-       
5.05,0.29,1.42,3.4,4.09,-       
5.1,0.27,1.41,3.4,4.08,-       
5.15,0.27,1.42,3.4,4.08,gaze fixated: p_3_3
5.2,0.25,1.42,3.4,4.05,-       
5.25,0.25,1.42,3.4,4.04,-       
5.3,0.27,1.42,3.4,4.03,-       
5.35,0.17,1.53,3.4,3.97,-       
5.4,0.17,1.53,3.4,3.97,-       
5.45,0.14,1.76,3.4,4.02,-       
5.5,0.11,1.8,3.46,3.98,-       
5.55,0.11,1.77,3.4,3.95,gaze ended: p_3_3
5.6,0.14,1.75,3.4,3.9,gaze started: p_3_2
5.65,0.16,1.75,3.4,3.79,gaze started: p_3_3
5.7,0.17,1.76,3.4,3.75,-       
5.75,0.17,1.76,3.4,3.75,-       
5.8,0.17,1.76,3.4,3.69,-       
5.85,0.16,1.77,3.4,3.68,-       
5.9,0.17,1.77,3.4,3.7,-       
5.95,0.15,1.76,3.4,3.72,gaze fixated: p_3_3
6.0,0.14,1.76,3.46,3.78,-       
6.05,0.12,1.75,3.4,3.83,gaze ended: p_3_3
6.1,0.13,1.76,3.4,3.87,gaze started: p_3_2
6.15,0.13,1.77,3.4,3.93,-       
6.2,0.14,1.77,3.46,3.95,-       
6.25,0.13,1.77,3.46,3.95,-       
6.3,0.13,1.77,3.46,3.95,-       
6.35,0.13,1.77,3.4,3.94,-       
6.4,0.13,1.77,3.46,3.94,gaze started: p_3_2
6.45,0.15,1.77,3.4,3.94,-       
6.5,0.14,1.76,3.4,3.93,gaze started: p_3_3
6.55,0.14,1.77,3.46,3.89,-       
6.6,0.13,1.77,3.4,3.88,-       
6.65,0.16,1.78,3.4,3.86,gaze started: p_3_2
6.7,0.15,1.79,3.4,3.84,gaze started: p_3_3
6.75,0.15,1.79,3.4,3.84,gaze started: p_3_3
6.8,0.15,1.78,3.4,3.86,-       
6.85,0.14,1.78,3.4,3.87,-       
6.9,0.15,1.78,3.4,3.91,-       
6.95,0.14,1.79,3.46,3.95,-       
7.0,0.15,1.8,3.46,3.97,-       
7.05,0.09,1.78,3.4,3.91,-       
7.1,0.16,1.79,3.4,3.91,gaze started: p_3_2
7.15,0.17,1.79,3.4,3.9,gaze started: p_3_3
7.2,0.17,1.79,3.4,3.9,gaze started: p_3_3
7.25,0.18,1.81,3.46,3.76,-       
7.3,0.94,0.74,-0.48,,-       
7.35,0.94,0.74,-0.48,,-       
7.4,0.94,0.75,-0.48,,-       
7.45,0.12,1.83,3.4,3.68,-       
7.5,0.16,1.86,3.4,3.66,gaze started: p_2_2
7.55,0.21,1.88,3.4,3.57,gaze started: p_2_3
7.6,0.16,1.84,3.4,3.66,-       
7.65,0.16,1.84,3.4,3.66,-       
