time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.54,2.25,3.4,3.78,-       
0.05,-0.54,2.26,3.4,3.75,-       
0.1,-0.54,2.26,3.4,3.73,-       
0.15,-0.74,2.22,3.4,3.66,gaze fixated: p_2_2
0.2,-0.74,2.22,3.4,3.64,gaze started: p_2_1
0.25,-0.73,2.21,3.4,3.6,-       
0.3,-0.71,2.2,3.4,3.57,-       
0.35,-0.72,2.21,3.46,3.51,-       
0.4,-0.71,2.2,3.4,3.5,-       
0.45,-0.63,2.21,3.4,3.41,gaze started: p_2_1
0.5,-0.59,2.22,3.4,3.41,gaze started: p_2_2
0.55,-0.58,2.21,3.4,3.39,-       
0.6,-0.59,2.2,3.4,3.38,-       
0.65,-0.59,2.2,3.4,3.38,-       
0.7,-0.59,2.2,3.4,3.38,-       
0.75,-0.59,2.2,3.4,3.38,-       
0.8,-0.59,2.2,3.4,3.38,-       
0.85,-0.59,2.2,3.4,3.38,-       
0.9,-0.59,2.2,3.4,3.38,-       
0.95,-0.59,2.2,3.4,3.38,-       
1.0,-0.59,2.2,3.4,3.38,-       
1.05,-0.59,2.2,3.4,3.38,-       
1.1,-0.59,2.2,3.4,3.38,-       
1.15,-0.56,2.46,3.4,3.12,gaze fixated: p_2_2
1.2,-0.57,2.46,3.4,3.12,gaze started: p_1_2
1.25,-0.57,2.46,3.4,3.15,-       
1.3,-0.57,2.47,3.4,3.15,-       
1.35,-0.57,2.47,3.4,3.26,-       
1.4,1.11,0.84,-0.78,,-       
1.45,1.11,0.84,-0.78,,-       
1.5,1.11,0.84,-0.78,,-       
1.55,0.43,1.85,3.4,3.42,-       
1.6,0.35,1.95,3.4,3.38,gaze started: p_2_3
1.65,0.37,1.95,3.4,3.33,-       
1.7,0.41,1.9,3.4,3.41,-       
1.75,0.38,1.89,3.4,3.52,-       
1.8,0.38,1.89,3.4,3.52,-       
1.85,-0.16,1.67,3.4,3.55,-       
1.9,-0.25,1.68,3.4,3.56,gaze started: p_3_2
1.95,-0.2,1.66,3.4,3.6,-       
2.0,-0.16,1.65,3.4,3.63,-       
2.05,-0.35,1.52,3.4,3.77,-       
2.1,-0.83,0.8,3.57,3.8,-       
2.15,-0.73,0.79,3.57,3.86,-       
2.2,-0.75,0.78,3.57,3.85,-       
2.25,-0.75,0.78,3.57,3.86,-       
2.3,-0.75,0.78,3.57,3.87,-       
2.35,-0.76,0.79,3.57,3.91,-       
2.4,-0.76,0.77,3.57,3.91,-       
2.45,-0.76,0.77,3.57,3.9,-       
2.5,-0.35,1.43,3.4,3.86,-       
2.55,-0.09,1.73,3.4,3.8,gaze started: p_3_2
2.6,-0.11,1.79,3.4,3.65,-       
2.65,-0.11,1.8,3.46,3.51,-       
2.7,-0.1,1.81,3.46,3.37,-       
2.75,-0.11,1.81,3.4,3.08,-       
2.8,-0.02,1.83,3.4,2.92,gaze started: p_2_2
2.85,-0.12,1.84,3.4,2.82,-       
2.9,-0.11,1.84,3.4,2.69,-       
2.95,-0.1,1.83,3.4,2.63,-       
3.0,-0.1,1.83,3.4,2.56,-       
