time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.65,2.3,3.4,3.3,-       
0.05,-0.65,2.3,3.4,3.3,-       
0.1,-0.66,2.3,3.4,3.3,-       
0.15,-0.66,2.3,3.4,3.3,-       
0.2,-0.47,2.29,3.4,3.31,-       
0.25,-0.47,2.31,3.4,3.31,-       
0.3,-0.5,2.29,3.4,3.34,-       
0.35,-0.5,2.29,3.4,3.35,-       
0.4,-0.5,2.29,3.4,3.35,-       
0.45,-0.5,2.29,3.4,3.35,-       
0.5,-0.5,2.29,3.4,3.35,-       
0.55,-0.5,2.29,3.4,3.35,-       
0.6,-0.5,2.29,3.4,3.35,-       
0.65,-0.5,2.29,3.4,3.35,-       
0.7,-0.5,2.29,3.4,3.35,-       
0.75,-0.5,2.29,3.4,3.35,-       
0.8,-0.56,2.35,3.4,3.54,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_drunk_driving_30s_50nd.mp4
0.85,-0.56,2.35,3.4,3.54,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_drunk_driving_30s_50nd.mp4
0.9,-0.61,2.31,3.4,3.52,-       
0.95,-0.63,2.3,3.4,3.52,-       
1.0,-0.63,2.3,3.4,3.53,-       
1.05,-0.62,2.3,3.4,3.55,-       
1.1,-0.64,2.3,3.4,3.59,-       
1.15,-0.63,2.3,3.4,3.64,-       
1.2,-0.63,2.3,3.4,3.65,-       
1.25,-0.63,2.3,3.4,3.68,-       
1.3,-0.63,2.28,3.4,3.73,-       
1.35,-0.44,2.29,3.4,3.79,-       
1.4,-0.41,2.25,3.4,3.79,-       
1.45,-0.46,2.2,3.4,3.8,gaze started: p_2_2
1.5,-0.46,2.2,3.4,3.82,-       
1.55,-0.35,2.1,3.4,3.9,-       
1.6,0.95,0.85,-0.53,,-       
1.65,0.95,0.85,-0.53,,-       
1.7,0.95,0.85,-0.53,,-       
1.75,0.95,0.85,-0.53,,-       
1.8,0.95,0.85,-0.53,,-       
1.85,0.95,0.85,-0.53,,-       
1.9,0.11,2.08,3.4,4.08,-       
1.95,-0.08,2.19,3.4,4.05,gaze started: p_2_2
2.0,-0.05,2.15,3.4,4.04,-       
2.05,0.01,2.1,3.4,4.03,-       
2.1,-0.07,2.15,3.4,4.05,-       
2.15,-0.05,2.11,3.4,4.05,-       
2.2,0.0,2.1,3.4,4.05,gaze fixated: p_2_2
2.25,-0.09,2.13,3.4,4.0,-       
2.3,-0.02,2.11,3.4,3.92,-       
2.35,-0.01,2.12,3.4,3.61,-       
2.4,-0.06,2.11,3.4,3.19,-       
2.45,-0.12,1.9,3.4,3.01,-       
2.5,-0.03,1.88,3.4,2.99,-       
2.55,-0.12,1.89,3.4,2.85,-       
2.6,-0.11,1.89,3.4,2.79,-       
2.65,-0.03,1.89,3.4,2.7,-       
2.7,-0.03,1.89,3.4,2.7,-       
2.75,-0.1,1.9,3.4,2.64,-       
2.8,-0.18,1.91,3.4,2.59,-       
2.85,-0.11,1.91,3.4,2.53,-       
2.9,-0.1,1.91,3.4,2.48,-       
2.95,-0.09,1.91,3.4,2.44,-       
3.0,-0.09,1.91,3.4,2.42,-       
3.05,-0.08,1.91,3.4,2.38,-       
3.1,-0.09,1.92,3.4,2.36,-       
3.15,-0.08,1.92,3.4,2.35,-       
3.2,-0.09,1.92,3.4,2.35,-       
3.25,-0.02,1.88,3.4,2.35,-       
3.3,0.04,2.07,3.4,2.56,-       
3.35,0.95,0.85,-0.53,,-       
3.4,0.95,0.85,-0.53,,gaze ended: p_2_2
3.45,0.95,0.85,-0.53,,-       
3.5,0.95,0.85,-0.53,,-       
3.55,0.95,0.85,-0.53,,-       
3.6,0.95,0.85,-0.53,,-       
3.65,0.95,0.85,-0.53,,-       
3.7,0.95,0.85,-0.53,,-       
3.75,0.95,0.85,-0.53,,-       
3.8,0.95,0.85,-0.53,,-       
3.85,0.95,0.85,-0.53,,-       
3.9,0.95,0.85,-0.53,,-       
3.95,0.95,0.85,-0.53,,-       
4.0,0.95,0.85,-0.53,,-       
4.05,0.95,0.85,-0.53,,-       
4.1,0.95,0.85,-0.53,,-       
4.15,0.95,0.85,-0.53,,-       
4.2,0.95,0.85,-0.53,,-       
4.25,0.95,0.85,-0.53,,-       
4.3,0.95,0.85,-0.53,,-       
4.35,0.95,0.85,-0.53,,-       
4.4,0.95,0.85,-0.53,,-       
4.45,0.95,0.85,-0.53,,-       
4.5,0.95,0.85,-0.53,,-       
4.55,0.95,0.85,-0.53,,-       
4.6,0.95,0.85,-0.53,,-       
4.65,0.95,0.85,-0.53,,-       
4.7,0.08,2.23,3.4,2.85,-       
4.75,0.13,2.2,3.4,2.84,gaze started: p_2_2
4.8,0.13,2.2,3.4,2.84,gaze started: p_2_2
4.85,0.1,2.16,3.4,2.81,-       
4.9,0.09,2.16,3.4,2.82,-       
4.95,0.22,2.12,3.4,2.78,-       
5.0,0.23,2.11,3.4,2.72,gaze started: p_2_3
5.05,0.23,2.12,3.4,2.57,-       
5.1,0.21,2.13,3.4,2.59,-       
5.15,0.28,2.11,3.4,2.54,-       
5.2,0.29,2.06,3.4,2.47,-       
5.25,0.25,2.08,3.4,2.45,-       
5.3,0.24,2.08,3.4,2.44,gaze fixated: p_2_3
5.35,0.3,2.05,3.4,2.42,-       
5.4,0.17,1.97,3.4,2.36,-       
5.45,0.19,1.96,3.4,2.36,-       
5.5,0.18,1.96,3.4,2.36,-       
5.55,0.16,1.95,3.4,2.34,-       
5.6,0.04,1.93,3.4,2.32,-       
5.65,0.95,0.85,-0.53,,gaze started: p_2_2
5.7,0.95,0.85,-0.53,,-       
5.75,0.95,0.85,-0.53,,-       
5.8,0.95,0.85,-0.53,,-       
5.85,0.25,1.95,3.4,2.25,-       
5.9,0.06,1.96,3.4,2.25,gaze started: p_2_3
5.95,0.26,1.96,3.4,2.24,gaze started: p_2_2
6.0,0.2,1.96,3.4,2.28,gaze started: p_2_3
6.05,0.2,1.96,3.4,2.27,-       
6.1,0.16,1.98,3.4,2.32,-       
6.15,0.16,1.98,3.4,2.33,-       
6.2,0.17,1.97,3.4,2.36,-       
6.25,0.18,1.9,3.4,2.38,gaze fixated: p_2_3
6.3,0.16,1.9,3.4,2.3,-       
6.35,0.15,1.9,3.4,2.31,-       
6.4,0.15,1.9,3.4,2.31,-       
6.45,0.07,1.9,3.4,2.26,-       
6.5,0.14,1.89,3.4,2.34,gaze started: p_2_2
6.55,0.95,0.85,-0.53,,gaze started: p_2_3
6.6,0.95,0.85,-0.53,,-       
6.65,0.95,0.85,-0.53,,-       
6.7,0.95,0.85,-0.53,,-       
6.75,0.95,0.85,-0.53,,-       
6.8,0.95,0.85,-0.53,,-       
6.85,0.95,0.85,-0.53,,-       
6.9,0.17,1.98,3.4,2.47,-       
6.95,-0.04,1.98,3.4,2.48,gaze started: p_2_3
7.0,-0.01,2.02,3.4,2.5,gaze started: p_2_2
7.05,0.14,1.95,3.46,2.54,-       
7.1,0.04,1.99,3.4,2.53,-       
7.15,0.07,1.97,3.4,2.59,gaze started: p_2_2
7.2,0.0,1.99,3.4,2.6,-       
7.25,0.0,1.99,3.4,2.6,-       
7.3,0.1,1.96,3.4,2.57,-       
7.35,0.2,1.9,3.4,2.49,-       
7.4,0.12,1.93,3.4,2.51,gaze started: p_2_3
7.45,0.12,1.93,3.4,2.5,gaze started: p_2_2
7.5,0.13,1.92,3.4,2.47,-       
7.55,0.15,1.91,3.4,2.46,-       
7.6,0.13,1.91,3.4,2.45,gaze started: p_2_3
7.65,0.13,1.91,3.46,2.44,gaze started: p_2_2
7.7,0.13,1.91,3.4,2.44,-       
7.75,0.13,1.91,3.4,2.44,-       
7.8,0.14,1.9,3.46,2.42,gaze started: p_2_2
7.85,0.14,1.9,3.46,2.41,-       
7.9,0.14,1.9,3.46,2.41,-       
7.95,0.15,1.9,3.4,2.4,-       
8.0,0.14,1.9,3.46,2.41,gaze started: p_2_3
8.05,0.14,1.9,3.46,2.4,-       
8.1,0.14,1.89,3.4,2.4,-       
8.15,0.2,1.87,3.4,2.43,gaze started: p_2_3
8.2,0.14,1.88,3.4,2.44,-       
8.25,0.15,1.88,3.4,2.43,-       
8.3,0.15,1.88,3.4,2.44,-       
8.35,0.15,1.88,3.4,2.43,-       
8.4,0.15,1.88,3.4,2.43,gaze fixated: p_2_3
8.45,0.09,1.89,3.4,2.41,-       
8.5,0.15,1.88,3.4,2.4,gaze started: p_2_2
8.55,0.17,1.88,3.4,2.37,gaze started: p_2_3
8.6,0.17,1.88,3.4,2.36,-       
8.65,0.16,1.89,3.4,2.34,-       
8.7,0.16,1.9,3.4,2.33,-       
8.75,0.15,1.9,3.4,2.32,-       
8.8,0.15,1.89,3.4,2.31,gaze fixated: p_2_3
8.85,0.15,1.89,3.4,2.31,gaze fixated: p_2_3
8.9,0.17,1.89,3.4,2.3,-       
8.95,0.17,1.89,3.4,2.3,-       
9.0,0.11,1.93,3.4,2.32,-       
9.05,0.11,1.93,3.4,2.32,-       
9.1,0.17,1.9,3.4,2.33,gaze started: p_2_3
9.15,0.17,1.9,3.4,2.33,gaze started: p_2_3
9.2,0.2,1.88,3.4,2.36,-       
9.25,0.2,1.88,3.4,2.36,-       
9.3,0.16,1.88,3.4,2.39,-       
9.35,0.16,1.88,3.4,2.39,-       
9.4,0.16,1.89,3.4,2.42,gaze fixated: p_2_3
9.45,0.16,1.89,3.4,2.42,gaze fixated: p_2_3
9.5,0.16,1.89,3.4,2.46,-       
9.55,0.16,1.89,3.4,2.46,-       
9.6,0.18,1.88,3.4,2.47,-       
9.65,0.18,1.88,3.4,2.47,-       
9.7,0.16,1.88,3.4,2.47,-       
9.75,0.08,1.9,3.4,2.48,-       
9.8,0.18,1.88,3.4,2.48,gaze started: p_2_2
9.85,0.09,1.87,3.4,2.53,gaze started: p_2_3
9.9,0.2,1.9,3.4,2.65,gaze started: p_2_2
9.95,0.95,0.85,-0.53,,gaze started: p_2_3
10.0,0.95,0.85,-0.53,,-       
10.05,0.95,0.85,-0.53,,-       
10.1,0.95,0.85,-0.53,,-       
10.15,0.95,0.85,-0.53,,-       
10.2,0.23,1.87,3.4,2.59,-       
10.25,0.08,1.89,3.4,2.54,gaze started: p_2_3
10.3,0.2,1.88,3.4,2.56,gaze started: p_2_2
10.35,0.07,1.9,3.4,2.66,gaze started: p_2_3
10.4,-0.1,2.06,3.4,2.64,gaze started: p_2_2
10.45,-0.27,2.38,3.4,2.73,-       
10.5,-0.18,2.36,3.4,2.74,gaze started: p_1_2
10.55,-0.22,2.34,3.4,2.77,-       
10.6,-0.25,2.34,3.4,2.81,-       
10.65,-0.4,2.45,3.4,2.99,-       
10.7,-0.31,2.48,3.4,2.98,-       
10.75,-0.38,2.46,3.4,2.98,gaze fixated: p_1_2
10.8,-0.39,2.45,3.4,2.99,-       
10.85,-0.39,2.45,3.4,2.99,-       
10.9,-0.42,2.51,3.4,3.04,-       
10.95,-0.44,2.5,3.4,3.07,-       
11.0,-0.46,2.5,3.4,3.08,-       
11.05,-0.46,2.49,3.4,3.1,-       
11.1,-0.46,2.5,3.4,3.13,-       
11.15,-0.53,2.53,3.4,3.2,-       
11.2,-0.52,2.51,3.4,3.18,-       
11.25,-0.52,2.51,3.4,3.18,-       
11.3,-0.53,2.51,3.4,3.18,-       
11.35,-0.52,2.52,3.4,3.21,-       
11.4,-0.53,2.51,3.4,3.23,-       
11.45,-0.53,2.52,3.4,3.25,-       
11.5,-0.53,2.52,3.4,3.28,-       
11.55,-0.53,2.52,3.4,3.32,-       
11.6,-0.54,2.51,3.4,3.35,-       
11.65,-0.54,2.51,3.4,3.36,-       
11.7,-0.54,2.51,3.4,3.4,-       
11.75,-0.55,2.5,3.4,3.43,-       
11.8,-0.55,2.5,3.4,3.43,-       
11.85,-0.56,2.48,3.4,3.47,-       
11.9,-0.51,2.54,3.4,3.55,-       
11.95,0.95,0.85,-0.53,,-       
12.0,0.95,0.85,-0.53,,gaze ended: p_1_2
12.05,0.94,0.85,-0.53,,-       
12.1,0.95,0.85,-0.53,,-       
12.15,0.95,0.85,-0.53,,-       
12.2,-0.57,2.45,3.4,3.55,-       
12.25,-0.58,2.43,3.4,3.52,gaze started: p_1_2
12.3,-0.6,2.44,3.4,3.54,-       
12.35,-0.59,2.44,3.4,3.52,-       
12.4,-0.59,2.43,3.4,3.53,-       
12.45,-0.59,2.43,3.4,3.56,-       
12.5,-0.58,2.43,3.4,3.59,gaze fixated: p_1_2
12.55,-0.59,2.43,3.4,3.62,-       
12.6,-0.59,2.43,3.4,3.64,-       
12.65,-0.58,2.44,3.4,3.59,-       
12.7,-0.57,2.43,3.4,3.58,-       
12.75,-0.54,2.43,3.4,3.56,-       
12.8,-0.54,2.42,3.4,3.53,-       
12.85,-0.53,2.42,3.4,3.47,-       
12.9,-0.53,2.42,3.4,3.41,-       
12.95,-0.52,2.42,3.4,3.37,-       
13.0,-0.52,2.42,3.4,3.33,-       
13.05,-0.52,2.42,3.4,3.33,-       
13.1,-0.49,2.44,3.4,3.25,-       
13.15,-0.49,2.44,3.4,3.25,-       
13.2,-0.5,2.43,3.4,3.21,-       
13.25,-0.48,2.43,3.4,3.18,-       
13.3,-0.47,2.42,3.4,3.16,-       
13.35,-0.47,2.43,3.4,3.15,-       
13.4,-0.45,2.43,3.4,3.11,-       
13.45,0.03,2.5,3.4,3.05,-       
13.5,0.04,2.5,3.4,3.06,-       
13.55,-0.03,2.48,3.4,3.06,-       
13.6,-0.04,2.47,3.4,3.05,-       
13.65,-0.05,2.47,3.4,3.02,-       
13.7,-0.05,2.47,3.4,3.02,-       
13.75,-0.08,2.45,3.4,3.02,-       
