time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.06,1.95,3.4,3.12,-       
0.05,0.13,1.89,3.46,3.08,gaze fixated: p_2_2
0.1,1.12,0.82,-0.85,,gaze ended: p_2_2
0.15,1.12,0.82,-0.85,,-       
0.2,1.12,0.82,-0.85,,-       
0.25,1.12,0.82,-0.85,,-       
0.3,1.12,0.82,-0.85,,-       
0.35,1.12,0.82,-0.85,,-       
0.4,1.12,0.82,-0.85,,-       
0.45,1.13,0.82,-0.85,,-       
0.5,-0.01,1.33,3.46,3.14,-       
0.55,-0.2,1.32,3.4,3.21,-       
0.6,-0.08,1.35,3.4,3.21,gaze started: p_4_2
0.65,-0.1,1.35,3.4,3.27,gaze started: p_3_2
0.7,-0.0,1.62,3.4,3.28,-       
0.75,0.05,1.75,3.4,3.37,-       
0.8,0.07,1.73,3.4,3.31,-       
0.85,0.04,1.71,3.4,3.29,-       
0.9,0.05,1.71,3.4,3.3,gaze fixated: p_3_2
0.95,0.06,1.71,3.4,3.29,-       
1.0,-0.23,1.49,3.4,3.28,-       
1.05,-0.23,1.49,3.4,3.28,-       
1.1,-0.23,1.49,3.4,3.28,-       
1.15,-0.23,1.49,3.4,3.28,-       
1.2,-0.23,1.49,3.4,3.28,-       
1.25,-0.23,1.49,3.4,3.28,-       
1.3,-0.23,1.49,3.4,3.28,-       
1.35,-0.23,1.49,3.4,3.28,-       
1.4,-0.23,1.49,3.4,3.28,-       
1.45,-0.23,1.49,3.4,3.28,-       
1.5,-0.23,1.49,3.4,3.28,-       
1.55,0.15,1.33,3.46,2.96,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_aribnb_30s_50nd.mp4
1.6,0.64,1.32,3.4,2.92,gaze ended: p_3_2
1.65,0.61,1.33,3.46,2.91,gaze started: p_4_3
1.7,0.48,1.38,3.4,2.91,-       
1.75,0.6,1.33,3.46,2.88,gaze started: p_3_3
1.8,0.3,1.82,3.4,2.97,-       
1.85,0.18,1.96,3.4,2.93,gaze started: p_2_3
1.9,0.13,1.96,3.4,2.95,-       
1.95,0.13,1.96,3.4,2.95,-       
2.0,0.13,1.96,3.4,2.95,gaze started: p_2_2
2.05,0.12,1.95,3.4,2.95,-       
2.1,0.11,1.92,3.4,2.97,-       
2.15,0.15,1.89,3.4,2.98,-       
2.2,0.16,1.89,3.4,3.03,gaze started: p_2_3
2.25,0.21,1.85,3.4,3.1,-       
2.3,0.33,1.81,3.4,3.17,-       
2.35,0.22,1.86,3.4,3.21,-       
2.4,0.18,1.86,3.4,3.25,-       
2.45,0.27,1.85,3.4,3.3,gaze fixated: p_2_3
2.5,0.27,1.85,3.4,3.3,gaze fixated: p_2_3
2.55,0.3,1.86,3.4,3.38,-       
2.6,0.31,1.87,3.4,3.41,-       
2.65,0.23,1.81,3.46,3.46,-       
2.7,0.23,1.81,3.46,3.46,gaze ended: p_2_3
2.75,0.3,1.82,3.4,3.48,-       
2.8,0.21,1.72,3.4,3.49,gaze started: p_2_3
2.85,0.29,1.68,3.4,3.53,gaze started: p_3_3
2.9,0.28,1.67,3.4,3.53,-       
2.95,0.26,1.64,3.4,3.36,-       
3.0,0.23,1.52,3.4,2.83,-       
3.05,1.13,0.82,-0.86,,-       
3.1,1.13,0.82,-0.86,,-       
3.15,1.13,0.82,-0.86,,-       
3.2,1.13,0.82,-0.86,,-       
3.25,1.13,0.82,-0.86,,-       
3.3,1.12,0.82,-0.85,,-       
3.35,1.12,0.82,-0.85,,-       
3.4,1.12,0.82,-0.85,,-       
3.45,1.12,0.82,-0.85,,-       
3.5,1.12,0.82,-0.85,,-       
3.55,1.12,0.82,-0.85,,-       
3.6,1.12,0.82,-0.85,,-       
3.65,1.12,0.82,-0.85,,-       
3.7,1.12,0.82,-0.85,,-       
3.75,0.17,1.81,3.46,2.53,gaze started: p_2_2
3.8,0.17,1.81,3.46,2.53,gaze started: p_2_2
3.85,0.16,1.8,3.46,2.58,-       
3.9,0.17,1.8,3.46,2.62,-       
3.95,0.16,1.8,3.46,2.66,-       
4.0,0.16,1.79,3.4,2.62,-       
4.05,0.13,1.97,3.4,2.56,gaze started: p_3_3
4.1,0.21,2.15,3.4,2.58,gaze started: p_2_2
4.15,0.26,2.12,3.4,2.51,gaze started: p_2_3
4.2,0.25,2.12,3.4,2.54,-       
4.25,0.25,2.1,3.4,2.53,-       
4.3,0.25,2.09,3.4,2.52,-       
4.35,0.24,2.11,3.4,2.53,-       
4.4,0.09,2.01,3.4,2.5,gaze fixated: p_2_3
4.45,0.09,2.01,3.4,2.5,gaze fixated: p_2_3
4.5,0.03,2.01,3.4,2.56,gaze started: p_2_2
4.55,0.06,2.01,3.4,2.62,-       
4.6,0.08,2.01,3.4,2.67,-       
4.65,0.02,2.01,3.4,2.71,-       
4.7,0.02,2.01,3.4,2.71,-       
4.75,0.23,1.67,3.4,2.84,gaze started: p_3_3
4.8,0.23,1.67,3.4,2.84,gaze started: p_3_3
4.85,0.16,1.63,3.4,2.8,-       
4.9,1.12,0.82,-0.84,,-       
4.95,1.12,0.82,-0.84,,-       
5.0,1.13,0.82,-0.84,,-       
5.05,1.13,0.82,-0.85,,-       
5.1,1.13,0.82,-0.85,,-       
5.15,0.68,1.49,3.4,2.9,-       
5.2,0.68,1.45,3.4,2.95,gaze started: p_3_3
5.25,0.84,1.4,3.4,3.09,-       
5.3,0.81,1.4,3.4,3.04,-       
5.35,0.81,1.4,3.4,3.04,-       
5.4,1.12,1.17,3.4,3.2,-       
5.45,1.14,1.15,3.4,3.18,gaze started: p_4_4
5.5,1.14,1.15,3.4,3.13,-       
5.55,1.14,1.14,3.4,3.09,-       
5.6,1.14,1.14,3.4,3.01,-       
5.65,0.2,0.89,3.4,2.87,-       
5.7,-0.01,0.91,3.4,2.86,gaze started: p_4_3
5.75,-0.04,0.9,3.4,2.85,gaze started: p_4_2
5.8,-0.04,0.91,3.4,2.85,-       
5.85,-0.05,0.91,3.4,2.83,-       
5.9,-0.04,0.92,3.4,2.82,-       
5.95,-0.04,0.92,3.4,2.82,-       
6.0,-0.04,0.92,3.4,2.78,-       
6.05,-0.03,0.95,3.4,2.75,gaze fixated: p_4_2
6.1,1.16,0.82,-0.85,,-       
6.15,1.16,0.82,-0.84,,gaze ended: p_4_2
6.2,1.17,0.82,-0.84,,-       
6.25,0.13,1.9,3.4,2.62,-       
6.3,0.13,1.9,3.4,2.62,-       
6.35,0.14,1.91,3.46,2.6,gaze started: p_2_2
6.4,0.15,1.9,3.4,2.67,-       
6.45,0.14,1.92,3.46,2.7,gaze started: p_2_3
6.5,0.14,1.92,3.46,2.7,gaze started: p_2_3
6.55,0.21,1.84,3.4,2.69,-       
6.6,0.24,1.8,3.46,2.66,gaze started: p_2_3
6.65,0.18,1.81,3.4,2.65,-       
6.7,0.18,1.81,3.46,2.64,gaze started: p_2_3
6.75,0.19,1.81,3.46,2.64,-       
6.8,0.17,1.81,3.4,2.65,-       
6.85,0.17,1.81,3.46,2.7,gaze started: p_2_3
6.9,0.18,1.8,3.46,2.71,-       
6.95,0.18,1.8,3.46,2.71,-       
7.0,0.18,1.8,3.46,2.78,-       
7.05,0.5,1.5,3.4,2.89,-       
7.1,0.43,1.56,3.4,2.82,gaze started: p_3_3
7.15,0.55,1.45,3.4,2.81,-       
7.2,0.53,1.46,3.4,2.79,-       
7.25,0.52,1.47,3.4,2.79,-       
7.3,0.84,0.75,3.57,2.85,-       
7.35,0.66,0.53,2.93,2.88,-       
7.4,0.74,0.49,2.93,2.85,-       
7.45,0.73,0.5,2.93,2.85,-       
7.5,0.73,0.5,2.93,2.85,-       
7.55,0.74,0.49,2.93,2.86,-       
7.6,0.74,0.49,2.93,2.85,-       
7.65,0.44,0.51,2.93,2.73,-       
7.7,0.15,0.43,2.94,2.7,-       
7.75,0.13,0.43,2.93,2.7,-       
7.8,0.12,0.43,2.93,2.7,-       
7.85,0.12,0.44,2.93,2.74,-       
7.9,0.1,0.44,2.93,2.76,-       
7.95,0.11,0.44,2.93,2.8,-       
8.0,0.11,0.44,2.93,2.81,-       
8.05,0.11,0.44,2.93,2.9,-       
8.1,1.18,0.82,-0.85,,-       
8.15,1.18,0.82,-0.85,,-       
8.2,1.18,0.82,-0.85,,-       
8.25,1.18,0.82,-0.85,,-       
8.3,0.18,1.86,3.4,3.14,-       
8.35,0.34,1.87,3.4,2.95,gaze started: p_2_3
8.4,0.35,1.86,3.4,3.05,-       
8.45,0.22,1.86,3.4,3.05,-       
8.5,0.35,1.86,3.4,3.05,-       
8.55,0.35,1.86,3.4,3.05,-       
8.6,0.16,1.86,3.4,3.02,-       
8.65,0.28,1.82,3.4,2.83,gaze fixated: p_2_3
8.7,0.22,1.84,3.4,2.82,-       
8.75,0.21,1.84,3.4,2.79,-       
8.8,0.21,1.84,3.4,2.74,-       
8.85,0.22,1.84,3.4,2.7,-       
8.9,0.21,1.84,3.4,2.69,-       
8.95,0.21,1.84,3.4,2.69,-       
9.0,0.19,1.84,3.4,2.69,-       
9.05,0.21,1.82,3.4,2.7,-       
9.1,0.21,1.83,3.4,2.7,-       
9.15,0.19,1.83,3.4,2.67,-       
9.2,0.19,1.83,3.4,2.64,-       
9.25,0.19,1.83,3.4,2.64,-       
9.3,0.45,1.7,3.4,2.58,-       
9.35,0.49,1.65,3.4,2.57,gaze started: p_3_3
9.4,0.45,1.66,3.4,2.58,-       
9.45,0.43,1.13,3.4,2.56,-       
9.5,0.42,0.76,3.57,2.59,gaze started: p_4_3
9.55,0.35,0.76,3.57,2.61,-       
9.6,0.35,0.77,3.57,2.61,-       
9.65,0.35,0.78,3.57,2.6,-       
9.7,0.35,0.78,3.57,2.6,-       
9.75,0.36,0.78,3.57,2.58,-       
9.8,0.36,0.78,3.57,2.56,-       
9.85,0.36,0.78,3.57,2.56,-       
9.9,0.36,0.78,3.57,2.54,-       
9.95,0.31,0.92,3.4,2.51,-       
10.0,0.31,0.92,3.4,2.51,-       
10.05,0.26,0.91,3.4,2.51,gaze started: p_4_3
10.1,0.25,0.91,3.4,2.51,-       
10.15,0.28,0.91,3.4,2.51,-       
10.2,0.26,0.91,3.4,2.52,-       
10.25,0.26,0.91,3.4,2.52,-       
10.3,0.25,0.91,3.4,2.55,gaze fixated: p_4_3
10.35,0.25,0.91,3.4,2.56,-       
10.4,0.25,0.92,3.4,2.55,-       
10.45,0.24,1.27,3.4,2.58,-       
10.5,0.29,1.82,3.4,2.63,-       
10.55,0.13,1.77,3.4,2.61,gaze started: p_2_3
10.6,0.12,1.77,3.4,2.59,gaze started: p_3_2
10.65,0.21,1.76,3.4,2.58,-       
10.7,0.2,1.83,3.4,2.53,gaze started: p_3_3
10.75,0.19,1.83,3.4,2.5,gaze started: p_2_3
10.8,0.2,1.83,3.4,2.5,-       
10.85,0.2,1.83,3.4,2.48,-       
10.9,0.2,1.83,3.4,2.45,-       
10.95,-0.02,1.99,3.4,2.45,-       
11.0,-0.36,2.23,3.4,2.49,gaze started: p_2_2
11.05,-0.38,2.22,3.4,2.5,-       
11.1,-0.38,2.22,3.4,2.5,-       
11.15,-0.38,2.21,3.4,2.51,-       
11.2,-0.38,2.21,3.4,2.53,-       
11.25,-0.39,2.22,3.4,2.59,-       
11.3,-0.66,2.31,3.4,2.75,gaze fixated: p_2_2
11.35,-0.65,2.31,3.4,2.77,gaze started: p_1_2
11.4,-0.66,2.31,3.4,2.79,-       
11.45,-0.66,2.3,3.4,2.87,-       
11.5,-0.66,2.3,3.4,2.94,-       
11.55,-0.66,2.3,3.4,2.94,-       
11.6,-0.72,2.32,3.46,3.04,-       
11.65,-0.71,2.32,3.46,3.04,-       
11.7,-0.71,2.32,3.46,3.06,-       
11.75,-0.69,2.31,3.4,3.11,-       
11.8,-0.68,2.3,3.4,3.14,gaze started: p_1_2
