time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.54,2.53,3.4,4.16,-       
0.05,-0.54,2.53,3.4,4.15,-       
0.1,-0.55,2.52,3.4,4.13,-       
0.15,-0.55,2.52,3.4,4.13,-       
0.2,-0.55,2.52,3.4,4.13,-       
0.25,-0.54,2.52,3.4,4.08,gaze fixated: p_1_2
0.3,-0.54,2.52,3.4,4.08,gaze fixated: p_1_2
0.35,-0.54,2.52,3.4,4.08,gaze fixated: p_1_2
0.4,-0.54,2.52,3.4,4.08,gaze fixated: p_1_2
0.45,-0.54,2.52,3.4,4.08,gaze fixated: p_1_2
0.5,-0.54,2.52,3.4,4.08,gaze fixated: p_1_2
0.55,-0.54,2.52,3.4,4.08,gaze fixated: p_1_2
0.6,-0.54,2.52,3.4,4.08,gaze fixated: p_1_2
0.65,-0.54,2.52,3.4,4.08,gaze fixated: p_1_2
0.7,-0.64,1.92,3.4,4.11,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_doritos_30s_100.mp4
0.75,-0.64,1.92,3.4,4.11,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_doritos_30s_100.mp4
0.8,-0.64,1.92,3.4,4.11,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_doritos_30s_100.mp4
0.85,-0.64,1.92,3.4,4.11,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_doritos_30s_100.mp4
0.9,-0.64,1.98,3.4,4.14,gaze started: p_2_2
0.95,1.05,0.85,-0.53,,-       
1.0,1.05,0.85,-0.53,,-       
1.05,1.05,0.85,-0.53,,-       
1.1,1.05,0.85,-0.53,,-       
1.15,1.05,0.85,-0.53,,-       
1.2,-0.36,2.22,3.4,4.21,-       
1.25,-0.4,2.22,3.4,4.16,gaze started: p_2_2
1.3,-0.37,2.17,3.4,4.11,-       
1.35,1.05,0.85,-0.53,,-       
1.4,1.04,0.85,-0.53,,-       
1.45,1.05,0.85,-0.53,,-       
1.5,1.04,0.85,-0.53,,-       
1.55,1.04,0.85,-0.53,,-       
1.6,1.04,0.85,-0.53,,-       
1.65,1.04,0.85,-0.53,,-       
1.7,-0.14,1.24,3.4,4.05,-       
1.75,-0.25,1.07,3.4,4.09,gaze started: p_4_2
1.8,-0.69,0.6,3.57,4.01,-       
1.85,-1.02,0.53,3.44,4.08,-       
1.9,-1.01,0.53,3.52,4.05,-       
1.95,-1.0,0.53,3.52,4.05,-       
2.0,-1.0,0.53,3.52,4.05,-       
2.05,-1.0,0.53,3.48,4.04,-       
2.1,-0.93,0.53,3.32,3.93,-       
2.15,1.04,0.85,-0.53,,-       
2.2,1.04,0.85,-0.53,,-       
2.25,1.04,0.85,-0.53,,-       
2.3,1.05,0.85,-0.53,,-       
2.35,0.61,1.66,3.4,3.35,-       
2.4,0.65,1.6,3.4,3.07,gaze started: p_3_3
2.45,0.68,1.56,3.4,2.97,-       
