time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.27,1.89,3.4,3.48,-       
0.05,0.29,1.9,3.4,3.47,gaze started: p_2_3
0.1,0.23,1.85,3.4,3.47,-       
0.15,0.24,1.85,3.4,3.47,-       
0.2,0.22,1.84,3.4,3.44,-       
0.25,0.25,1.85,3.4,3.36,-       
0.3,0.25,1.85,3.4,3.36,-       
0.35,0.25,1.85,3.4,3.36,-       
0.4,0.25,1.85,3.4,3.36,-       
0.45,0.25,1.85,3.4,3.36,-       
0.5,0.25,1.85,3.4,3.36,-       
0.55,0.25,1.85,3.4,3.36,-       
0.6,0.25,1.85,3.4,3.36,-       
0.65,0.25,1.85,3.4,3.36,-       
0.7,0.25,1.85,3.4,3.36,-       
0.75,0.25,1.85,3.4,3.36,-       
0.8,0.17,1.16,3.4,2.97,gaze fixated: p_2_3
0.85,0.17,1.16,3.4,2.97,gaze fixated: p_2_3
0.9,0.17,1.16,3.4,2.97,gaze fixated: p_2_3
0.95,1.23,1.26,3.4,3.3,gaze started: p_4_3
1.0,1.23,1.26,3.4,3.3,gaze started: p_4_3
1.05,1.41,1.18,3.4,3.28,gaze started: p_4_4
1.1,1.41,1.19,3.4,3.31,-       
1.15,1.4,1.18,3.4,3.31,-       
1.2,1.4,1.17,3.4,3.3,-       
1.25,1.34,1.12,3.4,3.27,-       
1.3,1.0,0.86,-0.54,,gaze fixated: p_4_4
1.35,1.0,0.86,-0.54,,gaze ended: p_4_4
1.4,1.0,0.86,-0.54,,-       
1.45,1.0,0.86,-0.54,,-       
1.5,1.0,0.86,-0.54,,-       
1.55,-0.19,1.77,3.4,3.16,-       
1.6,-0.19,1.77,3.4,3.18,gaze started: p_3_2
1.65,-0.41,1.38,3.4,3.27,-       
1.7,-0.74,0.77,3.57,3.26,-       
1.75,-0.68,0.77,3.57,3.27,-       
1.8,-0.67,0.78,3.57,3.3,-       
1.85,-0.65,0.8,3.57,3.32,-       
1.9,-0.65,0.89,3.4,3.42,-       
1.95,-0.67,0.8,3.57,3.35,gaze started: p_4_2
2.0,-0.67,0.82,3.57,3.37,-       
2.05,-0.66,0.8,3.57,3.42,-       
2.1,1.0,0.86,-0.54,,-       
2.15,1.0,0.86,-0.54,,-       
2.2,1.0,0.86,-0.54,,-       
2.25,1.0,0.86,-0.54,,-       
2.3,1.0,0.86,-0.54,,-       
2.35,0.71,1.61,3.4,2.65,-       
2.4,0.72,1.63,3.4,2.51,gaze started: p_3_3
2.45,0.74,1.63,3.4,2.49,-       
2.5,0.74,1.63,3.4,2.49,-       
2.55,0.74,1.66,3.4,2.43,-       
2.6,0.66,1.66,3.4,2.4,-       
2.65,-0.1,2.01,3.4,2.36,-       
2.7,-0.27,1.99,3.4,2.24,gaze started: p_2_2
2.75,-0.16,2.02,3.4,2.25,-       
2.8,-0.16,2.01,3.4,2.24,-       
2.85,-0.24,1.99,3.4,2.2,-       
2.9,-0.24,1.99,3.4,2.2,-       
2.95,-0.27,1.99,3.4,2.18,-       
3.0,-0.25,1.99,3.4,2.18,gaze fixated: p_2_2
3.05,-0.27,1.97,3.4,2.17,-       
3.1,0.3,1.72,3.4,2.15,-       
3.15,0.2,1.72,3.4,2.17,gaze started: p_3_3
3.2,0.24,1.74,3.4,2.17,-       
3.25,0.27,1.74,3.4,2.19,-       
3.3,0.25,1.74,3.4,2.28,-       
3.35,1.01,0.85,-0.54,,-       
3.4,1.01,0.86,-0.54,,-       
3.45,1.01,0.86,-0.54,,-       
3.5,1.0,0.86,-0.54,,-       
3.55,0.99,0.86,-0.55,,-       
3.6,0.99,0.86,-0.55,,-       
3.65,0.99,0.86,-0.55,,-       
3.7,0.98,0.86,-0.55,,-       
3.75,0.98,0.86,-0.55,,-       
3.8,0.98,0.86,-0.56,,-       
3.85,0.97,0.86,-0.56,,-       
3.9,0.97,0.86,-0.57,,-       
3.95,0.01,1.97,3.4,2.93,-       
4.0,-0.01,1.91,3.4,2.87,gaze started: p_2_2
4.05,-0.01,1.91,3.4,2.87,gaze started: p_2_2
4.1,0.0,1.91,3.4,2.87,-       
4.15,-0.0,1.89,3.4,2.96,-       
4.2,0.01,1.89,3.4,2.98,-       
4.25,-0.01,2.0,3.4,2.94,-       
4.3,0.96,0.86,-0.61,,gaze fixated: p_2_2
4.35,0.95,0.86,-0.61,,gaze ended: p_2_2
4.4,0.93,0.86,-0.58,,-       
4.45,0.94,0.86,-0.58,,-       
4.5,0.95,0.86,-0.58,,-       
4.55,0.95,0.86,-0.57,,-       
4.6,0.09,1.8,3.46,2.97,-       
4.65,0.02,1.84,3.4,2.95,-       
4.7,0.97,0.86,-0.57,,gaze started: p_2_2
4.75,0.98,0.86,-0.58,,-       
4.8,0.98,0.86,-0.58,,-       
4.85,0.97,0.86,-0.57,,-       
4.9,0.96,0.86,-0.57,,-       
4.95,0.13,1.95,3.4,3.01,-       
5.0,0.11,1.9,3.4,2.95,gaze started: p_2_2
5.05,0.1,1.88,3.4,2.96,-       
5.1,0.11,1.92,3.4,2.98,-       
5.15,0.17,1.93,3.4,2.99,-       
5.2,0.15,1.92,3.4,3.03,gaze started: p_2_3
5.25,0.16,1.91,3.4,3.01,-       
5.3,0.1,1.92,3.4,2.89,-       
5.35,0.13,1.96,3.4,2.81,gaze started: p_2_2
5.4,0.97,0.86,-0.59,,-       
5.45,0.97,0.86,-0.59,,-       
5.5,0.97,0.86,-0.59,,-       
5.55,0.98,0.86,-0.58,,-       
5.6,0.99,0.86,-0.59,,-       
5.65,1.0,0.86,-0.58,,-       
5.7,1.0,0.86,-0.58,,-       
5.75,0.1,1.88,3.4,2.84,-       
5.8,0.09,1.86,3.4,2.85,gaze started: p_2_2
5.85,0.11,1.83,3.4,2.84,-       
5.9,0.14,1.8,3.46,2.87,-       
5.95,0.13,1.81,3.4,2.9,-       
6.0,0.14,1.84,3.46,2.93,gaze started: p_2_2
6.05,0.1,1.82,3.4,2.95,-       
6.1,0.13,1.84,3.4,2.96,gaze started: p_2_2
6.15,0.15,1.85,3.4,2.94,-       
6.2,0.15,1.83,3.4,2.93,gaze started: p_2_3
6.25,0.15,1.83,3.4,2.94,-       
6.3,0.15,1.82,3.4,2.96,-       
6.35,0.13,1.8,3.46,2.98,-       
6.4,0.13,1.8,3.46,2.99,-       
6.45,0.23,1.81,3.4,2.97,-       
6.5,0.18,1.8,3.46,2.95,gaze started: p_2_3
6.55,0.21,1.81,3.4,2.93,-       
6.6,0.21,1.82,3.4,2.92,gaze started: p_2_3
6.65,0.2,1.82,3.4,2.92,-       
6.7,0.2,1.82,3.4,2.93,-       
6.75,0.08,1.8,3.46,2.91,-       
6.8,0.16,1.82,3.4,2.91,-       
6.85,0.16,1.82,3.4,2.92,gaze started: p_2_3
6.9,0.16,1.82,3.4,2.92,gaze started: p_2_3
6.95,0.13,1.79,3.4,2.97,-       
7.0,0.12,1.79,3.4,2.98,gaze started: p_3_2
7.05,0.18,1.81,3.46,2.99,-       
7.1,0.11,1.8,3.46,2.96,-       
7.15,0.14,1.81,3.46,2.96,-       
7.2,0.14,1.81,3.46,2.95,-       
7.25,0.14,1.8,3.46,2.96,-       
7.3,0.14,1.8,3.46,2.92,-       
7.35,0.13,1.79,3.4,2.94,-       
7.4,0.21,1.8,3.46,2.94,gaze started: p_3_2
7.45,0.2,1.8,3.46,2.93,-       
7.5,0.19,1.79,3.4,2.89,-       
7.55,0.19,1.79,3.4,2.89,gaze started: p_3_3
7.6,0.19,1.79,3.4,2.86,-       
7.65,0.19,1.79,3.4,2.84,-       
7.7,0.2,1.79,3.4,2.79,-       
7.75,0.2,1.8,3.46,2.75,-       
7.8,0.2,1.8,3.46,2.74,-       
7.85,0.2,1.8,3.46,2.75,-       
7.9,0.21,1.8,3.46,2.75,-       
7.95,0.2,1.81,3.46,2.76,-       
8.0,0.2,1.8,3.46,2.8,-       
8.05,0.21,1.8,3.46,2.83,-       
8.1,0.21,1.79,3.4,2.9,-       
8.15,0.21,1.79,3.4,2.92,gaze started: p_3_3
8.2,0.18,1.8,3.46,2.94,-       
8.25,0.22,1.8,3.46,2.97,-       
8.3,0.22,1.79,3.4,2.97,-       
8.35,0.21,1.8,3.46,2.96,gaze started: p_3_3
8.4,0.21,1.79,3.4,2.84,-       
8.45,0.22,1.8,3.46,2.79,gaze started: p_3_3
8.5,0.22,1.8,3.46,2.79,gaze started: p_3_3
8.55,0.11,1.79,3.4,2.69,-       
8.6,0.13,1.8,3.46,2.67,gaze started: p_3_2
8.65,0.07,1.79,3.4,2.7,-       
8.7,0.25,1.81,3.4,2.71,gaze started: p_3_2
8.75,0.03,1.91,3.4,2.88,gaze started: p_2_3
8.8,1.0,0.86,-0.6,,gaze started: p_2_2
8.85,1.0,0.86,-0.6,,-       
8.9,1.0,0.86,-0.59,,-       
8.95,0.08,1.82,3.4,3.04,-       
9.0,0.03,1.77,3.4,2.96,gaze started: p_2_2
9.05,0.01,1.78,3.4,3.03,gaze started: p_3_2
9.1,0.19,1.8,3.46,3.04,-       
9.15,0.13,1.77,3.4,3.12,-       
9.2,-0.3,1.54,3.4,3.12,gaze started: p_3_2
9.25,-0.78,1.16,3.4,3.04,-       
9.3,-0.75,1.17,3.4,3.04,gaze started: p_4_1
9.35,-0.71,1.22,3.4,3.03,-       
