time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.44,2.12,3.4,3.64,-       
0.05,-0.05,2.0,3.4,3.66,-       
0.1,0.38,1.48,3.4,3.81,-       
0.15,0.33,1.48,3.4,3.65,gaze started: p_3_3
0.2,0.29,1.45,3.4,3.72,-       
0.25,0.29,1.45,3.4,3.72,-       
0.3,0.29,1.45,3.4,3.72,-       
0.35,0.29,1.45,3.4,3.72,-       
0.4,0.29,1.45,3.4,3.72,-       
0.45,0.29,1.45,3.4,3.72,-       
0.5,0.29,1.45,3.4,3.72,-       
0.55,0.29,1.45,3.4,3.72,-       
0.6,0.29,1.45,3.4,3.72,-       
0.65,-0.35,1.4,3.4,3.43,gaze fixated: p_3_3
0.7,-0.35,1.4,3.4,3.43,gaze fixated: p_3_3
0.75,-0.35,1.4,3.4,3.43,gaze fixated: p_3_3
0.8,-0.26,1.45,3.4,3.36,gaze started: p_3_2
0.85,0.27,1.25,3.4,3.52,-       
0.9,0.58,1.11,3.4,3.19,gaze started: p_4_3
0.95,0.46,1.03,3.4,3.21,-       
1.0,0.54,1.08,3.4,3.37,-       
1.05,0.53,1.08,3.4,3.23,-       
1.1,0.56,1.09,3.4,3.18,-       
1.15,-0.17,0.9,3.4,3.38,gaze started: p_4_2
1.2,-0.2,0.99,3.4,3.44,-       
1.25,-0.22,0.92,3.4,3.39,-       
1.3,-0.18,0.9,3.4,3.42,-       
1.35,-0.2,0.9,3.4,3.45,-       
1.4,-0.22,0.81,3.57,3.47,-       
1.45,-0.16,0.91,3.4,3.45,-       
1.5,-0.05,0.74,3.57,3.25,-       
1.55,0.04,0.91,3.4,3.47,-       
1.6,0.05,0.92,3.4,3.49,gaze started: p_4_2
1.65,0.04,0.91,3.4,3.5,-       
1.7,0.12,0.56,3.57,3.04,-       
1.75,0.21,1.03,3.4,3.21,-       
1.8,0.27,1.14,3.4,2.95,gaze started: p_4_3
1.85,0.21,1.46,3.4,3.15,-       
1.9,0.25,1.49,3.4,3.52,gaze started: p_3_3
1.95,-0.07,1.39,3.4,3.79,-       
2.0,0.19,1.51,3.4,3.7,gaze started: p_3_2
2.05,0.3,1.7,3.4,3.81,gaze started: p_3_3
2.1,0.22,1.54,3.4,3.61,-       
2.15,0.23,1.65,3.4,3.57,-       
2.2,0.21,1.43,3.4,3.13,-       
2.25,0.36,1.73,3.4,3.11,-       
2.3,0.36,1.74,3.4,3.17,gaze fixated: p_3_3
2.35,0.36,1.74,3.4,2.96,-       
2.4,0.34,1.75,3.4,2.9,-       
2.45,0.38,1.8,3.46,2.91,-       
2.5,0.38,1.81,3.46,2.74,gaze ended: p_3_3
2.55,0.39,1.81,3.46,2.89,-       
2.6,0.37,1.78,3.4,2.61,-       
2.65,0.37,1.77,3.4,2.63,gaze started: p_3_3
2.7,0.37,1.78,3.4,2.65,-       
2.75,0.35,1.78,3.4,2.67,-       
2.8,0.38,1.8,3.46,2.67,-       
2.85,0.39,1.79,3.4,3.04,gaze started: p_3_3
2.9,0.37,1.51,3.4,2.75,-       
2.95,0.81,0.83,-0.51,,-       
3.0,0.81,0.83,-0.51,,-       
3.05,0.81,0.83,-0.51,,-       
3.1,0.81,0.83,-0.51,,-       
3.15,0.81,0.83,-0.51,,-       
3.2,0.28,1.92,3.4,2.89,-       
3.25,0.25,2.01,3.4,2.97,gaze started: p_2_3
3.3,0.3,1.99,3.4,2.95,-       
3.35,0.06,1.66,3.4,2.97,-       
3.4,0.25,1.94,3.4,3.13,gaze started: p_2_3
3.45,0.3,2.01,3.4,3.19,-       
3.5,0.27,2.01,3.4,2.81,-       
3.55,0.29,1.93,3.4,2.85,-       
3.6,0.31,1.97,3.4,3.17,-       
3.65,0.31,1.99,3.4,3.52,-       
3.7,0.3,2.03,3.4,3.28,gaze fixated: p_2_3
3.75,0.3,1.89,3.4,3.31,-       
3.8,0.28,1.87,3.4,3.31,-       
3.85,0.25,1.85,3.4,3.37,-       
3.9,0.22,1.85,3.4,3.32,-       
3.95,0.11,1.77,3.4,3.44,-       
4.0,0.26,1.88,3.4,3.41,gaze started: p_3_2
4.05,0.29,1.85,3.4,3.35,gaze started: p_2_3
4.1,0.32,1.87,3.4,3.41,-       
4.15,0.25,1.8,3.46,3.45,-       
4.2,0.15,1.67,3.4,3.61,-       
4.25,0.72,0.85,-0.42,,gaze started: p_3_3
4.3,0.73,0.83,-0.44,,-       
4.35,0.77,0.79,-0.49,,-       
4.4,0.78,0.79,-0.49,,-       
4.45,0.78,0.79,-0.49,,-       
4.5,0.03,1.58,3.4,3.41,-       
4.55,0.35,1.78,3.4,3.59,gaze started: p_3_2
4.6,0.37,1.78,3.4,3.65,gaze started: p_3_3
4.65,0.4,1.56,3.4,3.43,-       
4.7,0.39,1.86,3.4,3.79,-       
4.75,0.35,1.85,3.4,3.85,-       
4.8,0.39,1.88,3.4,3.84,-       
4.85,0.14,1.71,3.46,3.93,-       
4.9,0.15,1.78,3.4,3.68,-       
4.95,0.22,1.82,3.4,3.88,gaze started: p_3_3
5.0,0.13,1.79,3.4,3.74,gaze started: p_2_3
5.05,0.12,1.78,3.4,3.8,gaze started: p_3_2
5.1,0.05,1.68,3.4,3.75,-       
5.15,0.76,0.85,-0.53,,-       
5.2,0.76,0.86,-0.54,,-       
5.25,0.77,0.86,-0.55,,-       
5.3,0.76,0.86,-0.54,,-       
5.35,0.26,1.55,3.4,3.4,-       
5.4,0.24,1.49,3.4,3.52,gaze started: p_3_3
5.45,0.27,1.38,3.4,3.8,-       
5.5,0.12,1.14,3.4,3.72,-       
5.55,0.22,1.0,3.4,3.91,gaze started: p_4_2
5.6,0.1,1.28,3.4,3.51,gaze started: p_4_3
5.65,-0.08,0.98,3.4,3.59,gaze started: p_4_2
5.7,0.11,0.99,3.4,3.67,-       
5.75,0.05,0.4,2.94,3.7,-       
5.8,0.06,-0.02,2.87,3.49,-       
5.85,0.26,0.12,2.94,3.49,-       
5.9,0.41,-0.01,2.93,2.94,-       
5.95,0.42,0.04,2.94,3.13,-       
6.0,0.27,0.17,2.94,3.21,-       
6.05,0.38,-0.02,2.72,2.81,-       
6.1,0.06,-0.02,2.62,3.83,-       
6.15,0.04,-0.02,2.39,4.15,-       
6.2,0.06,-0.02,2.34,4.11,-       
6.25,0.82,0.84,-0.72,,-       
6.3,0.83,0.84,-0.75,,-       
6.35,0.12,0.51,1.46,4.25,-       
6.4,0.87,0.84,-0.8,,-       
6.45,0.13,0.48,1.44,4.07,-       
6.5,0.08,0.51,1.47,3.53,-       
6.55,0.08,0.47,1.43,3.97,-       
6.6,0.17,0.52,1.46,3.95,-       
6.65,0.25,-0.02,2.19,4.11,-       
6.7,0.15,0.46,1.32,3.73,-       
6.75,0.16,0.46,1.39,3.98,-       
6.8,0.08,0.46,1.25,3.71,-       
6.85,0.1,0.46,1.31,3.91,-       
6.9,0.13,0.46,1.23,3.73,-       
6.95,0.12,0.46,1.32,3.81,-       
7.0,-0.05,0.46,1.19,3.96,-       
7.05,-0.41,0.45,1.2,3.97,-       
7.1,-0.54,0.45,1.35,4.7,-       
7.15,-0.54,0.45,1.35,4.7,-       
7.2,-0.54,0.45,1.35,4.7,-       
7.25,-0.54,0.45,1.35,4.7,-       
7.3,-0.54,0.45,1.35,4.7,-       
7.35,-0.4,0.45,1.27,4.28,-       
7.4,-0.4,0.45,1.27,4.28,-       
7.45,-0.4,0.45,1.27,4.28,-       
7.5,-0.4,0.45,1.27,4.28,-       
7.55,-0.4,0.45,1.27,4.28,-       
7.6,-0.4,0.45,1.27,4.28,-       
7.65,-0.57,0.47,1.3,4.3,-       
7.7,-0.57,0.47,1.3,4.3,-       
7.75,-0.59,0.47,1.21,4.17,-       
7.8,-0.59,0.47,1.21,4.16,-       
7.85,-0.6,0.47,1.21,4.16,-       
7.9,-0.53,0.46,1.2,4.03,-       
7.95,-0.09,0.46,1.32,3.03,-       
8.0,-0.11,-0.02,2.29,3.67,-       
8.05,-0.15,-0.02,2.74,4.07,-       
8.1,-0.08,0.09,2.94,4.06,-       
8.15,0.02,0.37,2.94,3.08,-       
8.2,-0.04,0.87,3.4,3.96,-       
8.25,-0.17,0.75,3.57,3.93,gaze started: p_4_2
8.3,-0.12,0.89,3.4,4.06,-       
8.35,0.23,1.74,3.4,4.03,gaze started: p_3_2
8.4,0.3,1.71,3.4,3.95,gaze started: p_3_3
8.45,0.32,1.84,3.4,3.89,-       
8.5,0.23,1.94,3.4,3.99,gaze started: p_2_3
8.55,0.23,1.99,3.4,3.92,-       
8.6,0.26,1.93,3.4,3.77,-       
8.65,0.27,1.86,3.4,3.7,-       
8.7,0.8,0.84,-0.52,,-       
8.75,0.8,0.84,-0.52,,-       
8.8,0.81,0.83,-0.51,,-       
8.85,0.82,0.83,-0.51,,-       
8.9,0.23,1.46,3.4,2.84,-       
8.95,0.19,1.69,3.4,3.28,gaze started: p_3_3
9.0,0.19,1.73,3.4,3.32,-       
9.05,0.25,1.78,3.4,3.25,-       
9.1,0.24,1.82,3.4,3.41,-       
9.15,0.23,1.79,3.4,3.38,gaze started: p_2_3
9.2,0.22,1.71,3.4,3.4,gaze started: p_3_3
9.25,0.2,1.78,3.4,3.42,-       
9.3,0.21,1.81,3.4,3.38,-       
9.35,0.15,1.94,3.4,3.41,gaze started: p_2_2
9.4,0.19,1.92,3.4,3.41,gaze started: p_2_3
9.45,0.14,1.96,3.46,3.4,-       
9.5,0.18,1.91,3.4,3.35,-       
9.55,0.2,1.88,3.4,3.29,gaze started: p_2_3
9.6,0.18,1.87,3.4,3.28,-       
9.65,0.26,1.84,3.4,3.26,-       
9.7,0.27,1.82,3.4,3.22,-       
9.75,0.19,1.86,3.4,3.22,-       
9.8,0.16,1.86,3.4,3.22,gaze fixated: p_2_3
9.85,0.65,2.04,3.4,2.99,-       
9.9,0.56,2.35,3.4,3.28,-       
9.95,0.62,2.24,3.4,3.31,gaze started: p_1_3
10.0,0.6,2.17,3.4,3.31,gaze started: p_2_3
10.05,0.37,1.78,3.4,3.21,-       
10.1,0.39,1.76,3.4,3.24,gaze started: p_3_3
10.15,0.36,1.74,3.4,3.19,-       
10.2,-0.32,2.22,3.4,3.19,-       
10.25,-0.36,2.31,3.4,3.24,gaze started: p_2_2
10.3,-0.33,2.32,3.4,3.3,gaze started: p_1_2
10.35,-0.43,2.31,3.4,3.32,-       
10.4,-0.44,2.32,3.4,3.42,-       
10.45,-0.39,2.29,3.4,3.34,-       
10.5,-0.42,2.23,3.4,3.28,-       
10.55,-0.65,2.07,3.4,3.35,gaze started: p_2_2
10.6,-0.67,2.11,3.4,3.63,-       
10.65,-0.71,2.21,3.4,3.71,-       
10.7,0.82,0.81,-0.5,,-       
10.75,0.82,0.81,-0.5,,-       
10.8,0.82,0.81,-0.5,,-       
10.85,0.82,0.81,-0.5,,-       
10.9,0.82,0.81,-0.5,,-       
10.95,-0.26,1.96,3.4,3.22,-       
11.0,-0.4,1.87,3.4,3.31,gaze started: p_2_2
11.05,-0.39,1.9,3.4,3.26,-       
11.1,-0.39,1.89,3.4,3.12,-       
11.15,-0.44,1.95,3.4,3.59,-       
11.2,-0.48,1.97,3.4,3.65,-       
11.25,-0.65,2.03,3.4,3.73,-       
11.3,-0.56,2.04,3.4,3.86,-       
11.35,-0.5,2.03,3.4,3.86,-       
11.4,-0.43,1.99,3.4,3.81,-       
11.45,-0.41,2.01,3.4,3.82,-       
11.5,-0.52,1.96,3.4,3.77,-       
11.55,-0.5,1.98,3.4,3.81,-       
11.6,-0.61,1.94,3.4,3.78,-       
11.65,-0.52,1.95,3.4,3.82,-       
11.7,-0.52,1.96,3.4,3.83,-       
11.75,-0.54,1.94,3.4,3.89,-       
11.8,-0.53,1.95,3.4,3.92,-       
11.85,-0.59,2.01,3.4,4.0,-       
11.9,-0.63,2.02,3.4,4.04,-       
11.95,-0.37,1.93,3.4,4.12,-       
12.0,-0.52,1.97,3.4,4.13,-       
12.05,-0.38,1.98,3.4,4.07,-       
12.1,-0.64,2.01,3.4,4.07,-       
12.15,0.12,2.02,3.4,4.07,-       
12.2,0.7,1.79,3.4,4.01,-       
12.25,0.68,1.99,3.4,4.19,gaze started: p_3_3
12.3,0.65,1.93,3.4,4.13,gaze started: p_2_3
12.35,0.65,1.95,3.4,4.14,-       
12.4,0.7,1.96,3.4,4.12,-       
12.45,0.24,2.23,3.4,4.0,-       
12.5,0.29,2.28,3.4,3.99,-       
12.55,0.2,2.25,3.4,3.98,gaze started: p_1_3
12.6,0.22,2.26,3.4,3.98,gaze started: p_2_3
12.65,-0.46,2.15,3.4,4.12,-       
12.7,-0.54,2.23,3.4,4.1,gaze started: p_2_2
