time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.63,2.4,3.4,2.54,-       
0.05,-0.65,2.39,3.4,2.53,-       
0.1,-0.48,2.3,3.4,2.3,-       
0.15,-0.48,2.3,3.4,2.3,-       
0.2,-0.51,2.32,3.4,2.37,-       
0.25,-0.51,2.32,3.4,2.32,-       
0.3,-0.5,2.3,3.4,2.31,-       
0.35,-0.5,2.31,3.4,2.36,-       
0.4,-0.39,2.17,3.4,2.36,-       
0.45,0.9,0.79,-0.49,,gaze started: p_2_2
0.5,0.91,0.79,-0.49,,-       
0.55,0.91,0.79,-0.49,,-       
0.6,0.91,0.79,-0.49,,-       
0.65,0.91,0.79,-0.49,,-       
0.7,0.91,0.79,-0.49,,-       
0.75,0.91,0.79,-0.49,,-       
0.8,0.91,0.79,-0.49,,-       
0.85,0.91,0.79,-0.49,,-       
0.9,0.91,0.79,-0.49,,-       
0.95,0.91,0.79,-0.49,,-       
1.0,0.91,0.79,-0.49,,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_dominos_30s_50wd.mp4
1.05,0.91,0.79,-0.49,,-       
1.1,-0.52,1.97,3.4,2.36,-       
1.15,-0.41,2.14,3.4,2.43,gaze started: p_2_2
1.2,-0.36,1.99,3.4,2.42,-       
1.25,-0.36,1.99,3.4,2.42,-       
1.3,-0.46,2.25,3.4,2.41,-       
1.35,-0.31,2.13,3.4,2.41,-       
1.4,-0.31,2.13,3.4,2.37,-       
1.45,-0.31,2.13,3.4,2.28,gaze fixated: p_2_2
1.5,-0.31,2.13,3.4,2.24,-       
1.55,0.07,2.17,3.4,2.36,-       
1.6,0.7,2.14,3.4,2.38,-       
1.65,0.42,2.33,3.4,2.4,gaze started: p_2_3
1.7,0.61,2.15,3.4,2.41,gaze started: p_1_3
1.75,0.59,2.16,3.4,2.44,gaze started: p_2_3
1.8,0.59,2.17,3.4,2.45,-       
1.85,0.57,2.17,3.4,2.48,-       
1.9,0.58,2.18,3.4,2.48,-       
1.95,0.59,2.15,3.4,2.5,-       
2.0,0.51,2.17,3.4,2.52,gaze fixated: p_2_3
2.05,0.5,2.17,3.4,2.55,-       
2.1,0.55,2.19,3.4,2.59,-       
2.15,0.58,2.14,3.4,2.61,-       
2.2,0.53,2.14,3.4,2.61,-       
2.25,0.54,2.09,3.4,2.6,-       
2.3,0.09,1.91,3.4,2.79,-       
2.35,0.09,1.91,3.4,2.79,-       
2.4,-0.19,1.91,3.4,2.79,gaze started: p_2_2
2.45,0.12,1.93,3.4,2.76,-       
2.5,0.11,1.94,3.4,2.56,-       
2.55,0.09,1.95,3.4,2.4,-       
2.6,0.06,1.97,3.4,2.25,-       
2.65,-0.15,1.97,3.4,2.17,gaze fixated: p_2_2
2.7,-0.06,1.99,3.4,2.11,-       
2.75,-0.07,1.99,3.4,2.03,-       
2.8,-0.09,2.0,3.4,2.01,-       
2.85,-0.04,2.01,3.4,1.99,-       
