time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.26,1.88,3.4,2.87,-       
0.05,-0.72,2.25,3.4,2.99,-       
0.1,-0.72,2.25,3.4,2.99,-       
0.15,-0.31,2.47,3.4,2.93,gaze started: p_2_1
0.2,-0.31,2.47,3.4,2.93,gaze started: p_2_1
0.25,-0.31,2.47,3.4,2.93,gaze started: p_2_1
0.3,-0.31,2.47,3.4,2.93,gaze started: p_2_1
0.35,-0.31,2.47,3.4,2.93,gaze started: p_2_1
0.4,-0.31,2.47,3.4,2.93,gaze started: p_2_1
0.45,-0.31,2.47,3.4,2.93,gaze started: p_2_1
0.5,-0.31,2.47,3.4,2.93,gaze started: p_2_1
0.55,-0.31,2.47,3.4,2.93,gaze started: p_2_1
0.6,-0.31,2.47,3.4,2.93,gaze started: p_2_1
0.65,-0.58,2.41,3.4,2.85,gaze started: p_1_2
0.7,-0.57,2.4,3.4,2.83,-       
0.75,-0.57,2.4,3.4,2.83,-       
0.8,-0.59,2.43,3.4,2.83,-       
0.85,-0.36,2.32,3.4,2.83,gaze fixated: p_1_2
0.9,0.95,0.84,-0.52,,-       
0.95,0.95,0.84,-0.52,,-       
1.0,0.95,0.84,-0.52,,gaze ended: p_1_2
1.05,0.95,0.84,-0.52,,-       
1.1,0.95,0.84,-0.52,,-       
1.15,-0.45,1.59,3.4,2.67,-       
1.2,-0.27,1.93,3.4,2.93,gaze started: p_3_2
1.25,-0.23,1.78,3.4,2.87,gaze started: p_2_2
1.3,-0.27,1.8,3.46,2.94,gaze started: p_3_2
1.35,-0.27,1.8,3.46,2.94,gaze started: p_3_2
1.4,-0.19,1.77,3.4,2.93,-       
1.45,-0.21,1.77,3.4,2.98,gaze started: p_3_2
1.5,-0.07,1.74,3.4,3.02,-       
1.55,-0.04,1.74,3.4,3.03,-       
1.6,-0.14,1.74,3.4,3.07,-       
1.65,-0.07,1.73,3.4,3.09,-       
1.7,-0.05,1.73,3.4,3.1,gaze fixated: p_3_2
1.75,-0.09,1.72,3.4,3.1,-       
1.8,-0.07,1.72,3.4,3.11,-       
1.85,-0.04,1.71,3.4,3.13,-       
1.9,-0.23,1.7,3.4,3.15,-       
1.95,-0.25,1.69,3.4,3.13,-       
2.0,-0.25,1.69,3.4,3.12,-       
2.05,-0.21,1.69,3.4,3.09,-       
2.1,0.43,1.71,3.4,2.92,-       
2.15,0.43,1.71,3.4,2.92,-       
2.2,0.53,1.47,3.4,2.64,gaze started: p_3_3
2.25,0.56,1.48,3.4,2.58,-       
2.3,0.59,1.52,3.4,2.49,-       
2.35,0.61,1.56,3.4,2.43,-       
2.4,0.61,1.56,3.4,2.43,-       
2.45,0.64,1.58,3.4,2.01,gaze fixated: p_3_3
2.5,-0.22,1.59,3.4,2.04,-       
2.55,-0.24,1.57,3.4,2.07,gaze started: p_3_2
2.6,-0.02,1.59,3.4,2.06,-       
2.65,-0.04,1.59,3.4,2.03,-       
2.7,-0.08,1.58,3.4,2.02,-       
2.75,-0.12,1.64,3.4,2.02,-       
2.8,0.08,1.62,3.4,2.01,gaze fixated: p_3_2
2.85,-0.03,1.6,3.4,2.0,-       
2.9,-0.03,1.62,3.4,2.03,-       
2.95,-0.05,1.62,3.4,2.06,-       
3.0,-0.23,1.59,3.4,2.08,-       
3.05,-0.25,1.59,3.4,2.12,-       
3.1,-0.22,1.59,3.4,2.12,-       
3.15,-0.22,1.59,3.4,2.12,-       
3.2,-0.06,1.63,3.4,2.11,-       
3.25,-0.2,1.59,3.4,2.09,-       
3.3,0.1,1.62,3.4,2.06,-       
3.35,0.1,1.62,3.4,2.06,-       
3.4,0.08,1.62,3.4,2.05,-       
3.45,0.08,1.62,3.4,2.06,-       
3.5,0.07,1.62,3.4,2.05,-       
3.55,0.06,1.62,3.4,2.04,-       
3.6,0.05,1.63,3.4,2.03,-       
3.65,0.06,1.62,3.4,2.03,-       
3.7,0.06,1.62,3.4,2.02,-       
3.75,0.0,1.92,3.4,2.03,-       
3.8,-0.2,1.93,3.4,2.01,gaze started: p_2_2
3.85,-0.42,1.89,3.4,2.05,-       
3.9,-0.42,1.89,3.4,2.05,-       
3.95,-0.34,1.93,3.4,2.07,-       
4.0,-0.16,1.98,3.4,2.07,-       
4.05,-0.08,2.1,3.4,2.09,-       
4.1,-0.3,2.02,3.4,2.13,gaze fixated: p_2_2
4.15,-0.16,2.06,3.4,2.13,-       
4.2,0.27,2.15,3.4,2.15,-       
4.25,0.27,2.14,3.4,2.18,gaze started: p_2_3
4.3,0.3,2.26,3.4,2.18,-       
4.35,0.46,2.06,3.4,2.2,-       
4.4,0.46,2.06,3.4,2.2,-       
4.45,0.42,2.09,3.4,2.2,-       
4.5,0.42,2.09,3.4,2.2,-       
4.55,0.44,2.07,3.4,2.22,gaze fixated: p_2_3
4.6,0.42,2.09,3.4,2.22,-       
4.65,0.1,2.15,3.4,2.2,-       
4.7,0.13,2.14,3.46,2.23,gaze started: p_2_2
4.75,0.03,1.96,3.4,2.32,-       
4.8,0.94,0.84,-0.52,,gaze started: p_2_2
4.85,0.94,0.84,-0.52,,-       
4.9,0.94,0.85,-0.52,,-       
4.95,0.94,0.85,-0.53,,-       
5.0,0.94,0.85,-0.52,,-       
5.05,-0.05,1.81,3.46,2.18,-       
5.1,-0.05,1.81,3.46,2.18,-       
5.15,0.06,2.08,3.4,2.31,-       
5.2,0.13,2.13,3.4,2.38,gaze started: p_2_2
5.25,0.28,2.0,3.4,2.37,-       
5.3,-0.13,1.98,3.4,2.4,gaze started: p_2_3
5.35,0.1,1.75,3.4,2.3,gaze started: p_2_2
5.4,0.17,1.79,3.4,2.26,gaze started: p_3_2
5.45,0.0,1.78,3.4,2.22,gaze started: p_3_3
5.5,-0.01,1.78,3.4,2.18,gaze started: p_3_2
5.55,-0.1,1.75,3.4,2.14,-       
5.6,-0.1,1.75,3.4,2.14,-       
5.65,-0.12,1.77,3.4,2.14,-       
5.7,-0.23,1.69,3.4,2.17,-       
5.75,0.13,1.65,3.4,1.96,-       
5.8,-0.33,1.58,3.4,2.06,gaze fixated: p_3_2
5.85,0.15,2.05,3.4,2.26,-       
5.9,0.94,0.85,-0.52,,gaze started: p_2_3
5.95,0.18,1.71,3.4,2.27,-       
6.0,-0.24,1.11,3.4,2.08,gaze started: p_3_3
6.05,-0.17,1.38,3.4,2.01,gaze started: p_4_2
6.1,-0.18,1.37,3.4,1.92,gaze started: p_3_2
6.15,0.02,1.62,3.4,1.95,-       
6.2,0.14,1.75,3.46,1.98,-       
6.25,0.11,1.75,3.4,2.19,-       
6.3,0.18,1.83,3.4,2.2,gaze started: p_3_2
6.35,0.18,1.85,3.4,2.2,gaze started: p_2_3
6.4,-0.01,1.65,3.4,2.14,-       
6.45,-0.01,1.65,3.4,2.14,-       
6.5,-0.07,1.51,3.4,2.06,gaze started: p_3_2
6.55,-0.02,1.6,3.4,2.08,-       
6.6,0.07,1.79,3.4,2.24,-       
6.65,0.14,1.7,3.46,2.33,-       
6.7,-0.04,1.82,3.4,2.43,-       
6.75,-0.03,1.88,3.4,2.44,gaze started: p_2_2
6.8,0.23,1.82,3.4,2.43,-       
6.85,0.18,1.81,3.4,2.43,gaze started: p_2_3
6.9,-0.06,1.81,3.46,2.42,-       
6.95,0.09,1.79,3.4,2.39,-       
7.0,0.14,1.8,3.46,2.33,gaze started: p_3_2
7.05,0.14,1.8,3.46,2.29,-       
7.1,0.08,1.75,3.4,2.2,-       
7.15,0.04,1.73,3.4,2.17,gaze started: p_3_2
7.2,0.04,1.73,3.4,2.17,gaze started: p_3_2
7.25,-0.2,1.7,3.4,2.15,-       
7.3,-0.25,1.69,3.4,2.12,-       
7.35,-0.05,1.68,3.4,2.12,-       
7.4,-0.08,1.5,3.4,2.09,-       
7.45,-0.06,1.43,3.4,2.05,gaze fixated: p_3_2
7.5,-0.1,1.42,3.4,2.08,-       
7.55,-0.04,1.67,3.4,2.06,-       
7.6,-0.15,1.75,3.4,2.16,-       
7.65,0.19,1.64,3.4,2.18,-       
7.7,-0.16,1.73,3.4,2.16,gaze started: p_3_3
7.75,-0.05,1.64,3.4,2.14,gaze started: p_3_2
7.8,0.43,1.79,3.4,2.13,-       
7.85,0.93,0.86,-0.54,,gaze started: p_3_3
7.9,0.93,0.86,-0.55,,-       
7.95,0.93,0.86,-0.55,,-       
