time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.48,2.23,3.4,4.61,-       
0.05,-0.45,2.24,3.4,4.62,gaze started: p_2_2
0.1,-0.55,2.25,3.4,4.61,-       
0.15,-0.55,2.26,3.4,4.64,-       
0.2,-0.55,2.26,3.4,4.64,-       
0.25,-0.55,2.26,3.4,4.64,-       
0.3,-0.55,2.26,3.4,4.64,-       
0.35,-0.55,2.26,3.4,4.64,-       
0.4,-0.55,2.26,3.4,4.64,-       
0.45,-0.55,2.26,3.4,4.64,-       
0.5,-0.55,2.26,3.4,4.64,-       
0.55,-0.55,2.26,3.4,4.64,-       
0.6,-0.56,2.28,3.46,4.42,gaze fixated: p_2_2
0.65,-0.56,2.28,3.46,4.42,gaze fixated: p_2_2
0.7,-0.56,2.28,3.46,4.42,gaze fixated: p_2_2
0.75,0.05,2.16,3.4,4.41,gaze ended: p_2_2
0.8,0.48,2.07,3.4,4.43,gaze started: p_2_3
0.85,0.48,2.07,3.4,4.43,gaze started: p_2_3
0.9,0.59,2.06,3.4,4.49,-       
0.95,0.49,2.08,3.4,4.5,-       
1.0,0.63,2.09,3.4,4.52,-       
1.05,-0.19,1.38,3.4,4.39,-       
1.1,-0.49,1.04,3.4,4.38,gaze started: p_3_2
1.15,-0.52,1.09,3.4,4.4,gaze started: p_4_2
1.2,-0.53,1.05,3.4,4.25,-       
1.25,-1.04,0.71,3.57,4.44,-       
1.3,-1.49,0.76,3.57,4.48,-       
1.35,-1.49,0.73,3.51,4.43,-       
1.4,-1.47,0.73,3.49,4.43,-       
1.45,-1.49,0.73,3.57,4.45,-       
1.5,-1.52,0.73,3.57,4.53,-       
1.55,-1.52,0.73,3.57,4.53,-       
1.6,-1.51,0.87,3.4,4.59,gaze started: p_4_1
1.65,-1.51,0.87,3.4,4.6,-       
1.7,-1.51,0.87,3.4,4.61,-       
1.75,-0.5,0.53,2.97,4.47,-       
1.8,-0.49,0.53,2.98,4.58,-       
1.85,-0.46,0.53,3.1,4.61,-       
1.9,-0.45,0.53,3.03,4.62,-       
1.95,-0.45,0.53,2.98,4.62,-       
2.0,-0.36,0.53,3.49,4.59,-       
2.05,0.9,0.86,-0.61,,-       
2.1,0.89,0.86,-0.61,,-       
2.15,0.42,1.69,3.4,4.16,-       
2.2,0.43,1.7,3.4,3.85,gaze started: p_3_3
2.25,0.46,1.74,3.4,3.76,-       
2.3,0.52,1.72,3.4,3.72,-       
2.35,0.5,1.73,3.4,3.65,-       
2.4,0.49,1.75,3.4,3.47,-       
2.45,0.49,1.76,3.4,3.35,gaze fixated: p_3_3
2.5,0.47,1.76,3.4,3.27,-       
2.55,0.48,1.75,3.4,3.22,-       
2.6,0.47,1.76,3.4,3.21,-       
2.65,0.44,1.76,3.4,3.18,-       
2.7,0.46,1.76,3.4,3.17,-       
2.75,0.44,1.77,3.4,3.15,-       
2.8,0.45,1.77,3.4,3.17,-       
2.85,0.46,1.77,3.4,3.17,-       
2.9,0.5,1.77,3.4,3.22,-       
2.95,0.57,1.98,3.4,3.57,-       
3.0,0.89,0.86,-0.61,,gaze started: p_2_3
3.05,0.89,0.86,-0.6,,-       
3.1,0.89,0.86,-0.6,,-       
3.15,0.15,1.64,3.4,3.34,-       
3.2,0.28,1.39,3.4,3.25,gaze started: p_3_3
3.25,0.3,1.41,3.4,3.22,-       
3.3,0.29,1.46,3.4,3.27,-       
3.35,0.89,0.86,-0.61,,-       
3.4,0.9,0.86,-0.61,,-       
3.45,0.89,0.86,-0.61,,-       
3.5,0.9,0.85,-0.61,,-       
3.55,0.89,0.86,-0.61,,-       
3.6,0.88,1.18,3.4,3.41,gaze started: p_4_3
3.65,0.88,1.18,3.4,3.41,gaze started: p_4_3
3.7,0.89,1.2,3.4,3.43,-       
3.75,0.72,1.18,3.4,3.4,-       
3.8,-0.1,1.07,3.4,3.51,-       
3.85,-0.08,1.08,3.4,3.49,gaze started: p_4_2
3.9,-0.08,1.06,3.4,3.49,-       
3.95,-0.08,1.06,3.4,3.42,-       
4.0,-0.09,1.07,3.4,3.41,-       
4.05,-0.1,1.08,3.4,3.39,-       
4.1,-0.09,1.08,3.4,3.37,-       
4.15,0.17,1.84,3.4,3.43,-       
4.2,0.2,1.8,3.46,3.36,gaze started: p_2_3
4.25,0.13,1.81,3.46,3.32,-       
4.3,0.14,1.81,3.46,3.31,-       
4.35,0.12,1.81,3.4,3.31,-       
4.4,0.11,1.81,3.4,3.31,gaze started: p_2_2
4.45,0.12,1.81,3.46,3.29,-       
4.5,0.15,1.81,3.4,3.31,-       
4.55,-0.14,2.11,3.4,3.41,gaze started: p_2_3
4.6,0.02,2.11,3.4,3.35,gaze started: p_2_2
4.65,0.01,2.12,3.4,3.36,-       
4.7,-0.01,2.12,3.4,3.35,-       
4.75,0.89,0.86,-0.61,,-       
4.8,0.89,0.86,-0.61,,-       
4.85,0.89,0.86,-0.61,,-       
4.9,0.9,0.85,-0.61,,-       
4.95,0.18,1.84,3.4,3.2,-       
5.0,0.09,1.87,3.4,3.29,gaze started: p_2_2
5.05,0.09,1.87,3.4,3.29,gaze started: p_2_2
5.1,0.12,1.87,3.4,3.32,-       
5.15,0.13,1.86,3.4,3.32,-       
5.2,0.15,1.86,3.4,3.34,-       
5.25,0.14,1.87,3.46,3.37,gaze started: p_2_3
5.3,0.13,1.87,3.4,3.38,-       
5.35,0.13,1.86,3.4,3.36,gaze started: p_2_2
5.4,0.13,1.86,3.4,3.34,-       
5.45,0.18,1.83,3.4,3.32,-       
5.5,0.15,1.86,3.4,3.3,-       
5.55,0.14,1.85,3.4,3.29,-       
5.6,0.12,1.87,3.4,3.28,-       
5.65,0.13,1.86,3.4,3.28,gaze started: p_2_2
5.7,0.15,1.85,3.4,3.3,-       
5.75,0.14,1.86,3.46,3.29,gaze started: p_2_3
5.8,0.15,1.86,3.4,3.32,-       
5.85,0.12,1.87,3.4,3.32,gaze started: p_2_3
5.9,0.16,1.85,3.4,3.32,gaze started: p_2_3
5.95,0.16,1.85,3.4,3.32,-       
6.0,0.17,1.85,3.4,3.33,-       
6.05,0.18,1.84,3.4,3.33,-       
6.1,0.18,1.85,3.4,3.35,-       
6.15,0.17,1.83,3.4,3.43,-       
6.2,0.9,0.85,-0.62,,gaze ended: p_2_3
6.25,0.9,0.85,-0.61,,-       
6.3,0.9,0.85,-0.62,,-       
6.35,0.9,0.85,-0.62,,-       
6.4,0.22,1.79,3.4,3.31,-       
6.45,0.11,1.76,3.4,3.36,gaze started: p_3_3
6.5,0.12,1.8,3.46,3.41,-       
6.55,0.14,1.8,3.46,3.44,-       
6.6,0.14,1.8,3.46,3.46,-       
6.65,0.13,1.79,3.46,3.48,-       
6.7,0.11,1.8,3.46,3.46,-       
6.75,0.08,1.81,3.46,3.46,-       
6.8,0.08,1.81,3.46,3.4,-       
6.85,0.1,1.8,3.46,3.34,-       
6.9,0.13,1.79,3.46,3.31,-       
6.95,0.14,1.79,3.46,3.3,-       
7.0,0.18,1.79,3.4,3.21,-       
7.05,0.9,0.85,-0.62,,gaze started: p_3_3
7.1,0.9,0.85,-0.62,,-       
7.15,0.9,0.85,-0.62,,-       
7.2,0.9,0.85,-0.62,,-       
7.25,0.9,0.85,-0.62,,-       
7.3,0.23,1.84,3.4,3.07,-       
7.35,0.21,1.81,3.4,3.03,gaze started: p_2_3
7.4,0.15,1.81,3.4,3.03,-       
7.45,0.15,1.81,3.46,3.04,gaze started: p_2_3
7.5,0.18,1.8,3.46,3.05,-       
7.55,0.17,1.8,3.46,3.08,-       
7.6,0.13,1.8,3.46,3.09,gaze started: p_2_2
