time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.28,1.42,3.4,3.68,gaze started: p_3_2
0.05,-0.16,1.43,3.4,3.68,-       
0.1,-0.16,1.41,3.4,3.69,-       
0.15,0.01,1.41,3.4,3.74,-       
0.2,0.36,1.41,3.4,3.76,-       
0.25,0.35,1.42,3.4,3.76,gaze started: p_3_3
0.3,0.38,1.39,3.4,3.76,-       
0.35,0.4,1.37,3.4,3.75,-       
0.4,0.39,1.38,3.4,3.75,-       
0.45,0.82,1.68,3.4,4.01,-       
0.5,0.82,1.68,3.4,4.01,-       
0.55,0.82,1.68,3.4,4.01,-       
0.6,0.82,1.68,3.4,4.01,-       
0.65,0.82,1.68,3.4,4.01,-       
0.7,0.82,1.68,3.4,4.01,-       
0.75,0.82,1.68,3.4,4.01,-       
0.8,0.82,1.68,3.4,4.01,-       
0.85,0.82,1.68,3.4,4.01,-       
0.9,0.18,1.51,3.4,3.89,gaze fixated: p_3_3
0.95,0.03,1.67,3.4,3.96,gaze started: p_3_2
1.0,0.08,1.61,3.4,3.96,-       
1.05,0.14,1.57,3.46,3.99,-       
1.1,0.11,1.59,3.4,4.0,-       
1.15,0.06,1.64,3.4,4.11,-       
1.2,0.09,1.69,3.4,4.06,-       
1.25,0.1,1.7,3.4,3.99,-       
1.3,0.12,1.68,3.4,3.97,-       
1.35,0.07,1.71,3.4,3.95,-       
1.4,0.1,1.7,3.4,3.95,gaze fixated: p_3_2
1.45,0.08,1.7,3.4,3.95,-       
1.5,0.12,1.69,3.4,3.96,-       
1.55,0.13,1.67,3.4,4.0,-       
1.6,0.11,1.67,3.4,4.02,-       
1.65,0.12,1.81,3.4,4.18,gaze started: p_3_3
1.7,0.13,1.78,3.4,4.17,gaze started: p_2_2
1.75,0.16,1.72,3.4,4.17,gaze started: p_3_2
1.8,0.15,1.72,3.4,4.21,-       
1.85,0.15,1.73,3.4,4.24,-       
1.9,0.13,1.75,3.4,4.33,-       
1.95,0.11,1.75,3.4,4.32,-       
2.0,0.12,1.75,3.4,4.34,-       
2.05,0.14,1.82,3.46,4.4,-       
2.1,0.14,1.79,3.46,4.4,-       
2.15,0.15,1.78,3.4,4.4,-       
2.2,0.16,1.77,3.4,4.39,gaze started: p_3_3
2.25,0.13,1.78,3.4,4.44,-       
2.3,0.06,1.84,3.4,4.45,gaze started: p_3_2
2.35,0.13,1.76,3.4,4.29,gaze started: p_3_2
2.4,0.13,1.76,3.4,4.29,gaze started: p_3_2
2.45,0.24,1.66,3.4,3.59,gaze started: p_3_3
2.5,0.3,1.6,3.4,3.48,-       
2.55,0.3,1.61,3.4,3.4,-       
2.6,0.29,1.62,3.4,3.3,-       
2.65,0.24,1.59,3.4,3.11,-       
2.7,0.29,1.57,3.4,3.15,gaze fixated: p_3_3
2.75,0.29,1.57,3.4,3.12,-       
2.8,0.29,1.56,3.4,3.07,-       
2.85,0.17,1.56,3.4,3.01,-       
2.9,0.24,1.55,3.4,3.04,-       
2.95,0.24,1.55,3.4,3.04,-       
3.0,0.24,1.54,3.4,3.03,-       
3.05,0.18,1.56,3.4,3.02,-       
3.1,0.24,1.54,3.4,3.02,-       
3.15,0.23,1.55,3.4,3.03,-       
3.2,0.19,1.61,3.4,3.16,-       
