time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.72,2.24,3.4,5.74,gaze started: p_2_1
0.05,0.69,0.85,-0.42,,-       
0.1,0.69,0.84,-0.41,,-       
0.15,0.69,0.84,-0.41,,-       
0.2,0.68,0.84,-0.41,,-       
0.25,0.68,0.84,-0.41,,-       
0.3,-0.63,2.4,3.4,5.9,-       
0.35,-0.76,2.41,3.4,5.85,-       
0.4,-0.71,2.41,3.4,5.86,-       
0.45,-0.72,2.4,3.4,5.85,-       
0.5,-0.72,2.4,3.4,5.85,-       
0.55,-0.72,2.4,3.4,5.85,-       
0.6,-0.72,2.4,3.4,5.85,-       
0.65,-0.72,2.4,3.4,5.85,-       
0.7,-0.72,2.4,3.4,5.85,-       
0.75,-0.72,2.4,3.4,5.85,-       
0.8,-0.72,2.4,3.4,5.85,-       
0.85,-0.72,2.4,3.4,5.85,-       
0.9,-0.67,2.3,3.4,5.7,-       
0.95,-0.67,2.29,3.4,5.7,-       
1.0,-0.64,2.31,3.4,5.71,-       
1.05,-0.65,2.29,3.4,5.71,-       
1.1,-0.63,2.28,3.4,5.68,-       
1.15,-0.62,2.28,3.4,5.67,-       
1.2,-0.61,2.28,3.4,5.67,-       
1.25,-0.66,2.25,3.4,5.67,gaze started: p_2_2
1.3,-0.68,2.24,3.4,5.66,-       
1.35,-0.62,2.23,3.4,5.66,-       
1.4,-0.61,2.22,3.4,5.66,-       
1.45,-0.6,2.23,3.4,5.69,-       
1.5,-0.62,2.26,3.4,5.73,-       
1.55,-0.48,2.24,3.4,5.75,-       
1.6,-0.5,2.22,3.4,5.73,-       
1.65,-0.55,2.26,3.4,5.76,-       
1.7,-0.62,2.28,3.4,5.79,-       
1.75,-0.61,2.29,3.4,5.82,-       
1.8,-0.62,2.28,3.46,5.82,-       
1.85,-0.59,2.25,3.4,5.8,-       
1.9,-0.49,2.21,3.4,5.78,-       
1.95,-0.5,2.2,3.4,5.77,-       
2.0,-0.49,2.21,3.4,5.78,-       
2.05,-0.49,2.23,3.4,5.83,-       
2.1,-0.45,2.24,3.4,5.85,-       
2.15,-0.43,2.24,3.4,6.05,-       
2.2,0.67,0.84,-0.42,,-       
2.25,0.67,0.85,-0.42,,-       
2.3,0.66,0.85,-0.42,,-       
2.35,0.72,0.78,-0.49,,-       
2.4,0.71,1.52,3.4,5.01,-       
2.45,0.7,1.52,3.4,4.87,-       
2.5,0.67,1.53,3.4,4.68,-       
2.55,0.67,1.59,3.4,4.45,-       
2.6,0.16,1.69,3.4,4.3,-       
2.65,0.24,1.75,3.4,4.28,-       
2.7,0.19,1.62,3.4,4.11,-       
2.75,0.15,1.67,3.4,4.09,-       
2.8,-0.07,1.7,3.4,3.91,-       
2.85,-0.12,1.74,3.4,3.9,gaze started: p_3_2
2.9,-0.11,1.76,3.4,3.88,-       
2.95,-0.01,1.67,3.4,3.78,-       
3.0,-0.02,1.67,3.4,3.74,-       
3.05,-0.02,1.66,3.4,3.66,-       
3.1,-0.01,1.65,3.4,3.6,gaze fixated: p_3_2
3.15,-0.06,1.7,3.4,3.55,-       
3.2,-0.04,1.84,3.4,3.5,gaze started: p_2_2
3.25,-0.03,1.79,3.4,3.47,-       
3.3,-0.03,1.78,3.4,3.45,gaze started: p_3_2
3.35,0.02,1.72,3.4,3.44,-       
3.4,0.04,1.71,3.4,3.45,-       
3.45,-0.03,1.83,3.4,3.53,-       
3.5,0.01,1.75,3.4,3.53,-       
3.55,0.01,1.74,3.4,3.53,gaze started: p_3_2
3.6,0.02,1.74,3.4,3.57,-       
3.65,-0.04,1.9,3.4,3.78,-       
3.7,-0.06,1.87,3.4,3.76,gaze started: p_2_2
3.75,-0.06,1.87,3.4,3.78,-       
3.8,0.02,1.81,3.46,3.81,-       
3.85,-0.04,1.87,3.4,3.92,gaze started: p_3_2
3.9,-0.05,1.88,3.4,3.96,gaze started: p_2_2
3.95,0.04,1.8,3.46,4.01,-       
4.0,0.04,1.8,3.46,4.04,-       
4.05,0.04,1.8,3.46,4.09,-       
4.1,0.04,1.81,3.46,4.09,-       
4.15,-0.05,1.89,3.4,4.11,-       
4.2,-0.04,1.88,3.4,4.12,gaze started: p_2_2
4.25,-0.0,1.81,3.46,4.14,-       
4.3,-0.0,1.81,3.46,4.14,-       
4.35,0.01,1.81,3.46,4.14,-       
4.4,0.02,1.81,3.46,4.16,-       
4.45,0.04,1.79,3.4,4.18,-       
4.5,0.04,1.79,3.4,4.19,gaze started: p_3_2
4.55,-0.02,1.88,3.4,4.17,-       
4.6,-0.02,1.91,3.4,4.18,gaze started: p_2_2
4.65,0.04,1.77,3.4,4.17,gaze started: p_3_2
4.7,0.05,1.88,3.4,4.13,-       
4.75,0.05,1.89,3.4,4.14,gaze started: p_2_2
4.8,0.07,1.82,3.4,4.11,-       
4.85,0.09,1.81,3.46,4.09,gaze started: p_2_2
4.9,0.08,1.83,3.4,4.09,-       
4.95,0.09,1.83,3.4,4.09,gaze started: p_2_2
5.0,0.09,1.83,3.4,4.1,-       
5.05,0.1,1.82,3.4,4.11,-       
5.1,0.08,1.84,3.4,4.11,-       
5.15,0.08,1.84,3.4,4.11,-       
5.2,0.1,1.8,3.46,4.08,gaze ended: p_2_2
5.25,0.09,1.81,3.46,4.07,-       
5.3,0.09,1.79,3.4,4.07,-       
5.35,0.08,1.81,3.46,4.07,gaze started: p_3_2
5.4,0.1,1.79,3.4,4.07,-       
5.45,0.09,1.81,3.46,3.99,gaze started: p_2_2
5.5,0.08,1.8,3.46,3.89,-       
5.55,0.08,1.81,3.46,3.84,-       
5.6,0.11,1.78,3.4,3.79,-       
5.65,0.11,1.81,3.46,3.76,-       
5.7,0.12,1.78,3.4,3.75,-       
5.75,0.09,1.82,3.4,3.72,gaze started: p_3_2
5.8,0.08,1.81,3.4,3.72,gaze started: p_2_2
5.85,0.1,1.78,3.4,3.71,gaze started: p_3_2
5.9,0.05,1.87,3.4,3.72,-       
5.95,0.05,1.87,3.4,3.73,gaze started: p_2_2
6.0,0.15,1.79,3.4,3.77,-       
6.05,0.14,1.81,3.46,3.81,gaze started: p_3_3
6.1,0.14,1.82,3.46,3.84,-       
6.15,0.14,1.82,3.46,3.89,-       
6.2,0.11,1.86,3.4,3.92,-       
6.25,0.16,1.81,3.46,3.95,gaze started: p_2_2
6.3,0.15,1.82,3.46,3.99,gaze started: p_2_3
6.35,0.13,1.85,3.4,4.02,-       
6.4,0.13,1.87,3.4,4.05,gaze started: p_2_2
6.45,0.08,1.94,3.4,4.03,-       
6.5,0.12,1.88,3.4,4.0,-       
6.55,0.09,1.93,3.4,3.98,-       
6.6,0.06,1.94,3.4,3.97,-       
6.65,0.19,2.15,3.4,4.16,gaze fixated: p_2_2
6.7,0.14,1.93,3.46,3.96,gaze started: p_2_3
6.75,0.14,1.97,3.4,3.95,-       
6.8,0.17,1.87,3.4,3.95,gaze started: p_2_3
6.85,0.12,1.92,3.4,4.01,-       
6.9,0.14,1.9,3.4,4.0,gaze started: p_2_2
6.95,0.18,1.85,3.4,4.0,gaze started: p_2_3
7.0,0.16,1.86,3.4,4.02,-       
7.05,0.24,2.07,3.4,4.25,gaze started: p_2_2
7.1,0.16,1.89,3.4,4.01,gaze started: p_2_3
7.15,0.2,1.85,3.4,3.98,-       
7.2,0.16,1.89,3.4,3.97,-       
7.25,0.12,1.99,3.4,4.02,-       
7.3,0.17,1.87,3.4,3.93,gaze started: p_2_2
7.35,0.18,1.86,3.4,3.93,gaze started: p_2_3
7.4,0.15,1.9,3.4,3.9,-       
7.45,0.12,1.9,3.4,3.89,-       
7.5,0.13,1.89,3.4,3.84,-       
7.55,0.09,1.96,3.4,3.84,-       
7.6,0.1,1.93,3.4,3.82,-       
7.65,0.12,1.88,3.4,3.82,-       
7.7,0.16,1.84,3.4,3.83,-       
7.75,0.16,1.84,3.4,3.83,gaze started: p_2_3
7.8,0.17,1.84,3.4,3.83,-       
7.85,0.16,1.85,3.4,3.8,-       
7.9,0.16,1.85,3.4,3.78,-       
7.95,0.17,1.83,3.4,3.76,-       
8.0,0.17,1.84,3.4,3.7,gaze fixated: p_2_3
8.05,0.17,1.84,3.4,3.69,-       
8.1,0.17,1.84,3.4,3.68,-       
8.15,0.16,1.86,3.4,3.67,-       
8.2,0.17,1.85,3.4,3.65,-       
8.25,0.17,1.84,3.4,3.65,-       
8.3,0.17,1.83,3.4,3.66,-       
8.35,0.17,1.83,3.4,3.66,-       
8.4,0.15,1.85,3.4,3.65,-       
8.45,0.15,1.85,3.4,3.6,-       
8.5,0.16,1.83,3.4,3.53,-       
8.55,0.16,1.83,3.4,3.5,-       
8.6,0.14,1.88,3.4,3.46,-       
8.65,0.15,1.86,3.4,3.47,-       
8.7,0.16,1.87,3.4,3.44,-       
8.75,0.08,1.96,3.4,3.4,gaze started: p_2_2
8.8,0.16,1.88,3.4,3.4,-       
8.85,0.07,1.96,3.4,3.38,gaze started: p_2_3
8.9,0.07,1.94,3.4,3.38,gaze started: p_2_2
8.95,0.15,1.86,3.4,3.41,gaze started: p_2_3
9.0,0.15,1.86,3.4,3.43,-       
9.05,0.14,1.86,3.4,3.43,-       
9.1,0.14,1.87,3.4,3.45,gaze started: p_2_2
9.15,0.14,1.89,3.46,3.48,gaze started: p_2_3
9.2,0.14,1.87,3.4,3.49,-       
9.25,0.04,1.97,3.4,3.51,gaze started: p_2_3
9.3,0.13,1.89,3.4,3.5,gaze started: p_2_2
9.35,0.14,1.88,3.46,3.47,-       
9.4,0.13,1.89,3.4,3.48,-       
9.45,0.13,1.91,3.4,3.46,-       
9.5,0.09,1.94,3.4,3.46,-       
9.55,0.12,1.93,3.4,3.46,-       
9.6,0.14,1.92,3.46,3.42,-       
9.65,0.03,2.01,3.4,3.41,-       
9.7,0.06,1.97,3.4,3.42,gaze started: p_2_2
9.75,0.09,1.94,3.4,3.41,-       
9.8,0.11,1.98,3.4,3.5,-       
9.85,-0.04,2.06,3.4,3.39,-       
9.9,-0.02,2.02,3.4,3.41,-       
9.95,0.02,1.97,3.4,3.44,gaze fixated: p_2_2
10.0,-0.09,2.07,3.4,3.53,-       
10.05,-0.11,2.08,3.4,3.52,-       
10.1,0.01,2.04,3.4,3.52,-       
10.15,-0.02,2.04,3.4,3.51,-       
10.2,0.0,2.04,3.4,3.52,-       
10.25,-0.08,2.06,3.4,3.47,-       
10.3,-0.54,2.37,3.4,3.6,-       
10.35,-0.47,2.33,3.4,3.58,-       
10.4,-0.46,2.32,3.4,3.56,-       
10.45,-0.45,2.31,3.4,3.57,-       
10.5,-0.45,2.31,3.4,3.59,-       
10.55,-0.47,2.32,3.4,3.69,-       
10.6,-0.49,2.31,3.4,3.7,gaze fixated: p_1_2
10.65,-0.55,2.3,3.4,3.76,-       
10.7,-0.58,2.34,3.4,3.97,gaze started: p_1_2
10.75,-0.55,2.31,3.4,4.05,-       
10.8,-0.47,2.3,3.4,3.99,-       
10.85,-0.47,2.3,3.4,3.99,-       
10.9,-0.47,2.29,3.4,4.01,-       
10.95,-0.49,2.26,3.4,4.0,gaze fixated: p_1_2
11.0,-0.73,2.09,3.4,4.07,-       
11.05,-0.51,2.08,3.4,4.07,gaze started: p_2_2
11.1,-0.59,2.07,3.4,4.08,-       
11.15,-0.52,2.08,3.4,4.17,-       
11.2,-0.56,2.11,3.4,4.25,-       
11.25,-0.62,2.14,3.4,4.3,-       
11.3,-0.63,2.13,3.4,4.35,-       
11.35,-0.63,2.17,3.4,4.43,-       
11.4,-0.72,2.24,3.46,4.49,gaze started: p_2_1
11.45,-0.64,2.2,3.4,4.55,-       
11.5,-0.56,2.12,3.4,4.58,-       
11.55,-0.48,2.12,3.4,4.61,-       
11.6,-0.57,2.15,3.4,4.6,-       
11.65,-0.46,2.12,3.4,4.62,-       
11.7,-0.55,2.14,3.4,4.64,-       
11.75,-0.58,2.14,3.4,4.66,-       
11.8,-0.58,2.15,3.4,4.68,-       
11.85,-0.59,2.14,3.4,4.7,-       
11.9,-0.61,2.15,3.4,4.72,-       
11.95,-0.6,2.15,3.4,4.73,-       
12.0,-0.61,2.13,3.4,4.71,-       
12.05,-0.56,2.08,3.4,4.69,-       
12.1,-0.6,2.09,3.4,4.7,-       
12.15,-0.62,2.11,3.4,4.71,-       
12.2,-0.63,2.12,3.4,4.75,-       
12.25,-0.62,2.1,3.4,4.74,-       
12.3,-0.62,2.08,3.4,4.74,-       
12.35,-0.6,2.1,3.4,4.78,-       
12.4,-0.63,2.13,3.4,4.83,-       
12.45,-0.62,2.13,3.4,4.84,-       
12.5,-0.61,2.13,3.4,4.84,-       
12.55,-0.53,2.13,3.4,4.84,-       
12.6,-0.53,2.16,3.4,4.88,-       
12.65,-0.54,2.14,3.4,4.9,-       
12.7,-0.55,2.14,3.4,4.93,-       
12.75,-0.54,2.15,3.4,4.94,-       
12.8,-0.55,2.16,3.4,4.99,-       
12.85,-0.56,2.18,3.4,5.09,-       
12.9,-0.59,2.14,3.4,5.06,-       
12.95,-0.59,2.13,3.4,5.07,-       
13.0,-0.56,2.23,3.4,5.27,-       
13.05,0.73,0.83,-0.51,,-       
13.1,0.73,0.83,-0.51,,-       
13.15,0.73,0.83,-0.51,,-       
13.2,0.73,0.82,-0.51,,-       
13.25,0.73,0.82,-0.5,,-       
13.3,-0.53,2.15,3.4,5.1,-       
13.35,-0.53,2.14,3.4,5.13,-       
13.4,-0.55,2.23,3.4,5.19,-       
13.45,-0.54,2.2,3.4,5.16,-       
13.5,-0.54,2.19,3.4,5.11,-       
13.55,-0.56,2.19,3.4,5.1,-       
13.6,-0.52,2.11,3.4,5.09,-       
13.65,-0.56,2.1,3.4,5.07,-       
13.7,-0.53,2.08,3.4,5.03,-       
13.75,-0.54,2.09,3.4,5.06,-       
13.8,-0.56,2.07,3.4,5.09,-       
13.85,-0.53,2.08,3.4,5.11,-       
13.9,-0.5,2.08,3.4,5.11,-       
13.95,-0.51,2.09,3.4,5.11,-       
14.0,-0.51,2.07,3.4,5.08,-       
14.05,-0.51,2.07,3.4,5.06,-       
14.1,-0.48,2.05,3.4,5.08,-       
14.15,-0.54,2.04,3.4,5.1,-       
14.2,-0.66,2.06,3.4,5.17,-       
14.25,-0.59,2.1,3.4,5.15,-       
14.3,-0.66,2.09,3.4,5.15,-       
14.35,-0.61,2.07,3.4,5.16,-       
14.4,-0.66,2.03,3.4,5.1,-       
14.45,-0.68,2.03,3.4,5.12,-       
14.5,-0.72,2.02,3.4,5.14,gaze ended: p_2_2
14.55,-0.66,2.05,3.4,5.16,gaze started: p_2_2
14.6,-0.67,2.03,3.4,5.19,-       
14.65,-0.63,2.05,3.4,5.19,-       
14.7,-0.64,2.04,3.4,5.21,-       
14.75,-0.65,2.03,3.4,5.25,-       
14.8,-0.7,1.97,3.4,5.17,gaze started: p_2_1
14.85,-0.74,1.95,3.4,5.16,gaze started: p_2_1
