time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.38,2.28,3.46,3.85,-       
0.05,-0.37,2.26,3.4,3.85,-       
0.1,-0.36,2.26,3.4,3.85,gaze started: p_2_2
0.15,-0.36,2.26,3.4,3.85,-       
0.2,-0.36,2.26,3.4,3.85,-       
0.25,-0.36,2.26,3.4,3.83,-       
0.3,-0.61,2.28,3.4,3.79,-       
0.35,-0.61,2.28,3.4,3.79,-       
0.4,-0.61,2.28,3.4,3.79,-       
0.45,-0.61,2.28,3.4,3.79,-       
0.5,-0.61,2.28,3.4,3.79,-       
0.55,-0.61,2.28,3.4,3.79,-       
0.6,-0.61,2.28,3.4,3.79,-       
0.65,-0.61,2.28,3.4,3.79,-       
0.7,-0.61,2.28,3.4,3.79,-       
0.75,-0.61,2.28,3.4,3.79,-       
0.8,-0.61,2.28,3.4,3.79,-       
0.85,-0.83,2.36,3.4,3.64,gaze started: p_1_2
0.9,-0.83,2.36,3.4,3.64,gaze started: p_1_2
0.95,-0.41,2.35,3.4,3.54,gaze started: p_1_1
1.0,-0.32,2.29,3.4,3.54,gaze started: p_1_2
1.05,-0.37,2.28,3.4,3.52,-       
1.1,-0.34,2.31,3.4,3.56,-       
1.15,0.84,0.8,-0.5,,-       
1.2,0.84,0.8,-0.49,,-       
1.25,0.84,0.8,-0.49,,-       
1.3,0.84,0.8,-0.49,,-       
1.35,0.84,0.8,-0.49,,-       
1.4,0.84,0.8,-0.49,,-       
1.45,0.14,2.26,3.46,3.57,gaze started: p_2_2
1.5,0.1,2.24,3.4,3.6,-       
1.55,0.1,2.23,3.4,3.6,gaze started: p_2_2
1.6,0.06,2.2,3.4,3.64,-       
1.65,-0.07,2.2,3.4,3.66,-       
1.7,-0.07,2.19,3.4,3.66,-       
1.75,-0.08,2.2,3.4,3.68,-       
1.8,-0.09,2.21,3.4,3.7,gaze fixated: p_2_2
1.85,-0.26,2.21,3.4,3.68,-       
1.9,-0.26,2.17,3.4,3.67,-       
1.95,-0.32,2.19,3.4,3.69,-       
2.0,-0.32,2.21,3.4,3.7,-       
2.05,-0.28,2.31,3.4,3.74,-       
2.1,0.84,0.8,-0.49,,gaze started: p_1_2
2.15,0.84,0.8,-0.49,,-       
2.2,0.84,0.8,-0.49,,-       
2.25,0.84,0.8,-0.49,,-       
2.3,0.84,0.8,-0.49,,-       
2.35,0.5,1.78,3.4,2.9,-       
2.4,0.52,1.76,3.4,2.83,gaze started: p_3_3
2.45,0.52,1.78,3.4,2.59,-       
2.5,0.52,1.77,3.4,2.6,-       
2.55,0.52,1.78,3.4,2.57,-       
2.6,0.52,1.78,3.4,2.52,-       
2.65,0.52,1.78,3.4,2.48,gaze fixated: p_3_3
2.7,0.5,1.77,3.4,2.43,-       
2.75,-0.07,1.95,3.4,2.4,gaze started: p_2_2
2.8,-0.1,1.96,3.4,2.39,-       
2.85,-0.12,1.95,3.4,2.4,-       
2.9,-0.11,1.96,3.4,2.39,-       
2.95,-0.07,1.96,3.4,2.41,-       
3.0,-0.22,1.99,3.4,2.4,-       
3.05,-0.14,1.98,3.4,2.39,-       
3.1,-0.14,1.98,3.4,2.39,-       
3.15,-0.13,1.99,3.4,2.42,-       
3.2,-0.11,2.0,3.4,2.41,-       
3.25,-0.13,1.99,3.4,2.43,-       
3.3,-0.13,1.99,3.4,2.46,-       
3.35,-0.14,1.98,3.4,2.48,-       
3.4,-0.14,1.98,3.4,2.49,-       
3.45,-0.14,1.98,3.4,2.52,-       
3.5,-0.14,1.98,3.4,2.56,-       
3.55,-0.14,1.98,3.4,2.58,-       
3.6,0.84,0.8,-0.5,,-       
3.65,0.84,0.8,-0.5,,gaze ended: p_2_2
3.7,0.84,0.8,-0.5,,-       
3.75,0.84,0.8,-0.5,,-       
3.8,0.06,1.74,3.4,2.81,-       
3.85,0.11,1.71,3.4,2.95,gaze started: p_3_2
3.9,0.16,1.69,3.4,2.95,-       
3.95,0.15,1.7,3.4,2.96,gaze started: p_3_3
4.0,0.12,1.7,3.4,2.99,-       
4.05,0.11,1.69,3.4,3.03,-       
4.1,0.12,1.69,3.4,3.04,-       
4.15,0.12,1.69,3.4,3.02,-       
4.2,0.12,1.67,3.4,2.96,-       
4.25,0.27,1.68,3.4,2.94,-       
4.3,0.26,1.67,3.4,2.89,gaze started: p_3_3
4.35,0.29,1.66,3.4,2.88,-       
4.4,0.3,1.66,3.4,2.87,-       
4.45,0.29,1.66,3.4,2.88,-       
4.5,0.29,1.66,3.4,2.88,-       
4.55,0.27,1.68,3.4,2.83,gaze fixated: p_3_3
4.6,0.21,1.99,3.4,2.92,-       
4.65,0.23,1.98,3.4,2.91,gaze started: p_2_3
4.7,0.24,1.98,3.4,2.93,-       
4.75,0.24,1.97,3.4,2.92,-       
4.8,0.24,1.97,3.4,2.92,-       
4.85,0.24,1.97,3.4,2.93,-       
4.9,0.25,2.09,3.4,3.02,gaze fixated: p_2_3
4.95,0.15,2.12,3.4,3.06,-       
5.0,0.23,2.09,3.4,3.04,-       
5.05,0.24,2.09,3.4,3.04,-       
5.1,0.24,2.1,3.4,3.04,-       
