time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.45,2.4,3.4,4.47,-       
0.05,-0.44,2.39,3.4,4.48,-       
0.1,-0.43,2.39,3.4,4.49,-       
0.15,-0.44,2.4,3.4,4.52,-       
0.2,-0.44,2.4,3.4,4.52,-       
0.25,-0.44,2.4,3.4,4.52,-       
0.3,-0.44,2.4,3.4,4.52,-       
0.35,-0.44,2.4,3.4,4.52,-       
0.4,-0.44,2.4,3.4,4.52,-       
0.45,-0.44,2.4,3.4,4.52,-       
0.5,-0.44,2.4,3.4,4.52,-       
0.55,-0.44,2.4,3.4,4.52,-       
0.6,-0.44,2.4,3.4,4.52,-       
0.65,-0.81,2.39,3.4,4.64,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_hr_block_30s_100.mp4
0.7,-0.81,2.39,3.4,4.64,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_hr_block_30s_100.mp4
0.75,-0.81,2.39,3.4,4.64,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_hr_block_30s_100.mp4
0.8,-0.8,2.38,3.4,4.69,gaze started: p_1_1
0.85,-0.8,2.37,3.4,4.68,-       
0.9,-0.8,2.37,3.4,4.65,-       
0.95,-0.81,2.37,3.4,4.64,gaze fixated: p_1_1
1.0,-0.81,2.37,3.4,4.63,-       
1.05,-0.8,2.38,3.4,4.63,-       
1.1,-0.53,2.26,3.4,4.62,-       
1.15,-0.6,2.3,3.4,4.61,gaze started: p_2_2
1.2,-0.68,2.36,3.4,4.61,gaze started: p_1_2
1.25,-0.71,2.37,3.4,4.62,-       
1.3,-0.71,2.37,3.4,4.63,gaze started: p_1_1
1.35,-0.72,2.35,3.4,4.64,-       
1.4,-0.8,2.43,3.4,4.65,-       
1.45,0.03,1.97,3.4,4.68,-       
1.5,-0.1,1.97,3.4,4.57,-       
1.55,-0.04,1.95,3.4,4.57,-       
1.6,-0.11,1.81,3.46,4.55,-       
1.65,0.02,1.82,3.4,4.71,gaze started: p_2_2
1.7,0.05,1.82,3.4,4.71,-       
1.75,0.05,1.83,3.4,4.7,-       
1.8,0.04,1.84,3.4,4.68,-       
1.85,0.04,1.85,3.4,4.69,-       
1.9,0.05,1.85,3.4,4.69,-       
1.95,0.05,1.84,3.4,4.69,-       
2.0,0.05,1.84,3.4,4.69,-       
2.05,0.61,1.58,3.4,4.65,-       
2.1,0.81,1.5,3.4,4.55,gaze started: p_3_3
2.15,0.83,1.49,3.4,4.4,-       
2.2,0.82,1.49,3.4,4.25,-       
2.25,0.81,1.5,3.4,4.14,-       
2.3,0.82,1.5,3.4,4.04,-       
2.35,0.81,1.51,3.4,3.97,-       
2.4,0.06,1.58,3.4,3.74,-       
2.45,-0.13,1.6,3.4,3.74,gaze started: p_3_2
2.5,-0.12,1.59,3.4,3.67,-       
2.55,-0.12,1.59,3.4,3.66,-       
2.6,-0.13,1.59,3.4,3.65,-       
2.65,-0.13,1.59,3.4,3.63,-       
2.7,-0.13,1.59,3.4,3.63,-       
2.75,-0.12,1.59,3.4,3.59,-       
2.8,-0.12,1.6,3.4,3.58,-       
2.85,-0.13,1.6,3.4,3.57,-       
2.9,-0.13,1.59,3.4,3.57,-       
2.95,-0.12,1.6,3.4,3.57,-       
3.0,-0.13,1.59,3.4,3.56,-       
3.05,-0.12,1.58,3.4,3.57,-       
3.1,-0.12,1.58,3.4,3.56,-       
3.15,-0.12,1.59,3.4,3.55,-       
3.2,-0.12,1.59,3.4,3.56,-       
3.25,-0.13,1.6,3.4,3.59,-       
3.3,-0.12,1.6,3.4,3.62,-       
3.35,-0.12,1.6,3.4,3.65,-       
3.4,-0.13,1.61,3.4,3.67,-       
3.45,-0.13,1.6,3.4,3.68,-       
3.5,-0.13,1.6,3.4,3.71,-       
3.55,-0.13,1.59,3.4,3.72,-       
3.6,-0.13,1.59,3.4,3.73,-       
3.65,-0.13,1.6,3.4,3.74,-       
3.7,-0.13,1.6,3.4,3.74,-       
3.75,-0.12,1.61,3.4,3.77,-       
3.8,-0.12,1.61,3.4,3.77,-       
3.85,-0.12,1.6,3.4,3.77,-       
3.9,-0.13,1.61,3.4,3.78,-       
3.95,-0.13,1.6,3.4,3.78,-       
4.0,-0.13,1.6,3.4,3.79,-       
4.05,-0.13,1.61,3.4,3.82,-       
4.1,-0.12,1.6,3.4,3.83,-       
4.15,-0.13,1.6,3.4,3.83,-       
4.2,-0.12,1.6,3.4,3.84,-       
4.25,-0.12,1.6,3.4,3.84,-       
4.3,-0.13,1.6,3.4,3.85,-       
4.35,-0.13,1.6,3.4,3.84,-       
4.4,-0.13,1.6,3.4,3.84,-       
4.45,-0.13,1.6,3.4,3.84,-       
4.5,-0.13,1.6,3.4,3.84,-       
4.55,-0.13,1.59,3.4,3.83,-       
4.6,-0.13,1.59,3.4,3.82,-       
4.65,-0.13,1.6,3.4,3.82,-       
4.7,-0.13,1.6,3.4,3.81,-       
4.75,-0.13,1.6,3.4,3.82,-       
4.8,-0.13,1.59,3.4,3.81,-       
4.85,-0.13,1.6,3.4,3.81,-       
4.9,-0.13,1.6,3.4,3.79,-       
4.95,-0.13,1.6,3.4,3.78,-       
5.0,-0.13,1.59,3.4,3.78,-       
5.05,-0.14,1.59,3.4,3.77,-       
5.1,-0.13,1.6,3.4,3.78,-       
5.15,-0.13,1.59,3.4,3.77,-       
5.2,-0.14,1.6,3.4,3.76,-       
5.25,-0.14,1.6,3.4,3.75,-       
5.3,-0.14,1.6,3.4,3.73,-       
5.35,-0.14,1.6,3.4,3.66,-       
5.4,-0.14,1.6,3.4,3.63,-       
5.45,-0.14,1.6,3.4,3.61,-       
5.5,-0.13,1.6,3.4,3.61,-       
5.55,-0.14,1.61,3.4,3.57,-       
5.6,-0.14,1.61,3.4,3.56,-       
5.65,-0.14,1.61,3.4,3.56,-       
5.7,-0.14,1.62,3.4,3.54,-       
5.75,-0.13,1.62,3.4,3.53,-       
5.8,-0.14,1.62,3.4,3.53,-       
5.85,-0.13,1.62,3.4,3.52,-       
5.9,-0.14,1.62,3.4,3.52,-       
5.95,-0.13,1.61,3.4,3.53,-       
6.0,-0.14,1.61,3.4,3.53,-       
