time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.75,2.04,3.4,4.29,-       
0.05,-0.75,2.05,3.4,4.28,-       
0.1,-0.75,2.05,3.4,4.26,-       
0.15,-0.76,2.05,3.4,4.24,-       
0.2,-0.76,2.05,3.4,4.21,-       
0.25,-0.76,2.06,3.4,4.2,-       
0.3,-0.76,2.06,3.4,4.2,-       
0.35,-0.76,2.06,3.4,4.2,-       
0.4,-0.76,2.06,3.4,4.2,-       
0.45,-0.76,2.06,3.4,4.2,-       
0.5,-0.76,2.06,3.4,4.2,-       
0.55,-0.76,2.06,3.4,4.2,-       
0.6,-0.76,2.06,3.4,4.2,-       
0.65,-0.76,2.06,3.4,4.2,-       
0.7,-0.76,2.06,3.4,4.2,-       
0.75,-0.14,1.96,3.4,4.22,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_progressive_30s_50nd.mp4
0.8,-0.14,1.96,3.4,4.22,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_progressive_30s_50nd.mp4
0.85,-0.23,1.97,3.4,4.19,gaze started: p_2_2
0.9,-0.08,1.94,3.4,4.15,-       
0.95,-0.08,1.92,3.4,4.16,-       
1.0,-0.15,1.94,3.4,4.16,-       
1.05,-0.15,1.94,3.4,4.16,gaze fixated: p_2_2
1.1,-0.07,1.88,3.4,4.1,-       
1.15,-0.14,1.9,3.4,4.09,-       
1.2,-0.13,1.89,3.4,4.09,-       
1.25,-0.12,1.89,3.4,4.06,-       
1.3,-0.03,1.89,3.4,4.07,-       
1.35,-0.02,1.87,3.4,4.08,-       
1.4,0.11,1.79,3.4,3.83,-       
1.45,0.64,0.79,-0.32,,-       
1.5,0.64,0.79,-0.32,,-       
1.55,0.64,0.79,-0.32,,-       
1.6,0.42,1.04,3.4,4.09,-       
1.65,0.25,0.55,3.57,4.24,-       
1.7,0.23,0.55,3.57,4.21,-       
1.75,0.22,0.55,3.57,4.21,-       
1.8,-0.21,0.51,2.93,4.36,-       
1.85,-0.21,0.5,2.93,4.36,-       
1.9,-0.21,0.5,2.93,4.35,-       
1.95,-0.22,0.5,2.93,4.36,-       
2.0,-0.2,0.48,2.94,4.37,-       
2.05,-0.2,0.48,2.94,4.37,-       
2.1,-0.2,0.47,2.94,4.35,-       
2.15,0.5,0.78,3.57,4.31,-       
2.2,0.5,1.07,3.4,4.13,-       
2.25,0.51,1.09,3.4,4.05,gaze started: p_4_3
2.3,0.5,1.08,3.4,3.93,-       
2.35,0.51,1.09,3.4,3.82,-       
2.4,0.5,1.1,3.4,3.68,-       
2.45,0.51,1.1,3.4,3.54,-       
2.5,0.51,1.1,3.4,3.46,-       
2.55,0.51,1.1,3.4,3.34,-       
2.6,0.5,1.11,3.4,3.24,-       
2.65,0.5,1.11,3.4,3.2,-       
2.7,0.5,1.1,3.4,3.05,-       
2.75,0.48,1.1,3.4,3.04,-       
2.8,0.49,1.15,3.4,2.99,-       
2.85,0.38,1.36,3.4,2.96,-       
2.9,0.64,0.79,-0.33,,gaze started: p_3_3
2.95,0.64,0.79,-0.33,,-       
3.0,0.64,0.79,-0.33,,-       
3.05,0.64,0.79,-0.33,,-       
3.1,0.64,0.79,-0.33,,-       
3.15,0.64,0.79,-0.33,,-       
3.2,0.64,0.79,-0.33,,-       
3.25,0.64,0.79,-0.33,,-       
3.3,0.64,0.79,-0.33,,-       
3.35,0.64,0.79,-0.33,,-       
3.4,0.64,0.79,-0.33,,-       
3.45,0.64,0.79,-0.33,,-       
3.5,0.64,0.79,-0.33,,-       
3.55,0.64,0.79,-0.33,,-       
3.6,0.64,0.79,-0.33,,-       
3.65,0.64,0.79,-0.33,,-       
3.7,0.64,0.79,-0.33,,-       
3.75,0.64,0.79,-0.33,,-       
3.8,0.64,0.79,-0.33,,-       
3.85,0.64,0.79,-0.33,,-       
3.9,0.64,0.79,-0.33,,-       
3.95,0.64,0.79,-0.33,,-       
4.0,0.64,0.79,-0.33,,-       
4.05,0.64,0.79,-0.33,,-       
4.1,0.64,0.79,-0.33,,-       
4.15,0.64,0.79,-0.33,,-       
4.2,0.64,0.79,-0.33,,-       
4.25,0.64,0.79,-0.33,,-       
4.3,0.64,0.79,-0.33,,-       
4.35,0.64,0.79,-0.33,,-       
4.4,0.64,0.79,-0.33,,-       
4.45,0.64,0.79,-0.33,,-       
4.5,0.64,0.79,-0.33,,-       
4.55,0.64,0.79,-0.33,,-       
