time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.04,1.09,3.4,3.59,-       
0.05,0.04,1.09,3.4,3.59,-       
0.1,0.04,1.09,3.4,3.59,-       
0.15,0.04,1.09,3.4,3.59,-       
0.2,0.04,1.09,3.4,3.59,-       
0.25,0.04,1.09,3.4,3.59,-       
0.3,0.04,1.09,3.4,3.59,-       
0.35,0.04,1.09,3.4,3.59,-       
0.4,0.04,1.09,3.4,3.59,-       
0.45,0.04,1.09,3.4,3.59,-       
0.5,0.0,1.1,3.4,3.46,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_starbucks_30s_50nd.mp4
0.55,0.0,1.1,3.4,3.46,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_starbucks_30s_50nd.mp4
0.6,0.0,1.1,3.4,3.46,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_starbucks_30s_50nd.mp4
0.65,0.1,1.12,3.4,3.39,-       
0.7,0.11,1.11,3.4,3.4,-       
0.75,0.11,1.11,3.4,3.4,-       
0.8,0.11,1.11,3.4,3.41,-       
0.85,0.12,1.11,3.4,3.41,-       
0.9,0.11,1.11,3.4,3.42,-       
0.95,0.12,1.11,3.4,3.41,-       
1.0,0.11,1.11,3.4,3.41,-       
1.05,0.64,0.83,-0.37,,-       
1.1,0.64,0.83,-0.37,,gaze ended: p_4_2
1.15,0.64,0.83,-0.37,,-       
1.2,0.64,0.82,-0.37,,-       
1.25,0.64,0.83,-0.37,,-       
1.3,0.64,0.82,-0.37,,-       
1.35,0.63,1.34,3.46,3.7,-       
1.4,0.68,1.34,3.4,3.76,-       
1.45,0.62,1.34,3.46,3.93,-       
1.5,0.72,1.3,3.4,3.93,-       
1.55,0.64,1.33,3.46,3.95,gaze started: p_4_3
1.6,0.63,1.33,3.46,4.03,-       
1.65,0.62,1.34,3.46,4.04,-       
1.7,0.56,1.35,3.4,4.05,-       
1.75,0.61,1.34,3.4,4.08,gaze started: p_3_3
1.8,0.63,1.34,3.4,4.16,-       
1.85,0.64,1.34,3.46,4.17,-       
