time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.55,2.0,3.4,4.67,-       
0.05,-0.55,1.98,3.4,4.7,-       
0.1,-0.55,1.99,3.4,4.7,-       
0.15,-0.28,2.33,3.4,4.71,gaze fixated: p_2_2
0.2,-0.33,2.32,3.4,4.64,gaze started: p_1_2
0.25,-0.33,2.32,3.4,4.64,gaze started: p_1_2
0.3,-0.33,2.32,3.4,4.64,gaze started: p_1_2
0.35,-0.33,2.32,3.4,4.64,gaze started: p_1_2
0.4,-0.33,2.32,3.4,4.64,gaze started: p_1_2
0.45,-0.33,2.32,3.4,4.64,gaze started: p_1_2
0.5,-0.33,2.32,3.4,4.64,gaze started: p_1_2
0.55,-0.33,2.32,3.4,4.64,gaze started: p_1_2
0.6,-0.33,2.32,3.4,4.64,gaze started: p_1_2
0.65,-0.5,2.43,3.4,4.48,gaze fixated: p_1_2
0.7,-0.5,2.43,3.4,4.48,gaze fixated: p_1_2
0.75,-0.5,2.43,3.4,4.48,gaze fixated: p_1_2
0.8,-0.58,2.04,3.4,4.4,-       
0.85,-0.55,2.02,3.4,4.4,gaze started: p_2_2
0.9,-0.54,2.02,3.4,4.41,-       
0.95,-0.57,2.03,3.4,4.43,-       
1.0,-0.58,2.05,3.4,4.44,-       
1.05,-0.58,2.04,3.4,4.46,-       
1.1,-0.57,2.04,3.4,4.48,gaze fixated: p_2_2
1.15,-0.58,2.03,3.4,4.51,-       
1.2,-0.58,2.03,3.4,4.52,-       
1.25,-0.58,2.04,3.4,4.54,-       
1.3,-0.57,2.03,3.4,4.55,-       
1.35,-0.09,1.37,3.4,4.59,gaze started: p_3_2
1.4,-0.06,1.33,3.46,4.61,-       
1.45,-0.06,1.34,3.46,4.6,-       
1.5,-0.06,1.35,3.4,4.61,-       
1.55,-0.06,1.34,3.46,4.64,gaze started: p_3_2
1.6,-0.36,0.89,3.4,4.64,-       
1.65,-0.57,0.7,3.57,4.62,gaze started: p_4_2
1.7,-0.59,0.68,3.57,4.63,-       
1.75,-0.61,0.69,3.57,4.6,-       
1.8,-0.62,0.69,3.57,4.6,-       
1.85,-0.63,0.69,3.57,4.6,-       
1.9,-0.62,0.68,3.57,4.6,-       
1.95,-0.62,0.67,3.57,4.61,-       
2.0,-0.61,0.67,3.57,4.62,-       
2.05,-0.37,0.77,3.57,4.58,-       
2.1,0.53,1.42,3.4,4.39,gaze started: p_3_3
2.15,0.5,1.43,3.4,4.25,-       
2.2,0.51,1.44,3.4,4.13,-       
2.25,0.53,1.45,3.4,3.99,-       
2.3,0.52,1.45,3.4,3.91,-       
2.35,0.53,1.46,3.4,3.84,-       
2.4,0.53,1.46,3.4,3.79,gaze fixated: p_3_3
2.45,0.53,1.46,3.4,3.66,-       
2.5,0.54,1.46,3.4,3.63,-       
2.55,0.55,1.45,3.4,3.59,-       
2.6,0.54,1.47,3.4,3.52,-       
2.65,-0.11,1.35,3.4,3.43,-       
2.7,-0.3,1.33,3.46,3.41,gaze started: p_3_2
2.75,-0.28,1.3,3.4,3.35,-       
2.8,-0.21,1.31,3.4,3.31,gaze started: p_4_2
2.85,-0.24,1.33,3.46,3.37,gaze started: p_3_2
2.9,-0.26,1.33,3.46,3.39,-       
2.95,-0.21,1.31,3.4,3.41,-       
3.0,0.14,1.36,3.46,3.42,gaze started: p_4_2
3.05,0.19,1.34,3.4,3.43,-       
3.1,0.12,1.35,3.4,3.44,gaze started: p_3_2
3.15,0.12,1.33,3.46,3.44,-       
3.2,0.13,1.34,3.46,3.45,-       
3.25,0.14,1.34,3.46,3.48,-       
3.3,0.16,1.33,3.46,3.49,-       
3.35,0.12,1.36,3.4,3.5,-       
3.4,0.12,1.37,3.4,3.52,gaze started: p_3_2
3.45,0.17,1.34,3.4,3.56,-       
3.5,0.15,1.35,3.4,3.57,gaze started: p_3_3
3.55,0.14,1.37,3.46,3.58,-       
3.6,0.16,1.36,3.4,3.62,gaze started: p_3_3
3.65,0.17,1.35,3.4,3.65,-       
3.7,0.2,1.34,3.4,3.67,-       
3.75,0.24,1.33,3.46,3.69,-       
3.8,0.18,1.35,3.4,3.72,-       
3.85,0.16,1.36,3.4,3.79,-       
3.9,0.17,1.35,3.4,3.8,-       
3.95,0.17,1.35,3.4,3.81,-       
4.0,0.16,1.35,3.4,3.85,-       
4.05,0.17,1.35,3.4,3.87,-       
4.1,0.18,1.35,3.4,3.89,-       
4.15,0.19,1.35,3.4,3.9,-       
4.2,0.17,1.36,3.4,3.89,-       
4.25,0.21,1.34,3.4,3.89,-       
4.3,0.2,1.34,3.4,3.88,-       
4.35,0.17,1.35,3.4,3.88,-       
4.4,0.18,1.35,3.4,3.89,-       
4.45,0.17,1.35,3.4,3.89,-       
4.5,0.17,1.35,3.4,3.89,-       
4.55,0.18,1.35,3.4,3.9,-       
4.6,0.17,1.36,3.4,3.91,-       
4.65,0.19,1.35,3.4,3.9,-       
4.7,0.19,1.35,3.4,3.88,-       
4.75,0.18,1.36,3.4,3.87,-       
4.8,0.18,1.36,3.4,3.85,-       
4.85,0.2,1.35,3.4,3.85,-       
4.9,0.19,1.35,3.4,3.86,-       
4.95,0.18,1.36,3.4,3.85,-       
5.0,0.19,1.37,3.4,3.87,-       
5.05,0.2,1.36,3.4,3.88,-       
5.1,0.23,1.35,3.4,3.88,-       
5.15,0.19,1.37,3.4,3.85,-       
5.2,0.18,1.37,3.4,3.8,-       
5.25,0.18,1.37,3.4,3.76,-       
5.3,0.19,1.37,3.4,3.71,-       
5.35,0.21,1.36,3.4,3.68,-       
5.4,0.19,1.36,3.4,3.64,-       
5.45,0.19,1.36,3.4,3.6,-       
5.5,0.19,1.36,3.4,3.6,-       
5.55,0.18,1.37,3.4,3.58,-       
5.6,0.19,1.37,3.4,3.58,-       
5.65,0.19,1.38,3.4,3.56,-       
5.7,0.2,1.38,3.4,3.55,-       
5.75,0.19,1.38,3.4,3.56,-       
5.8,0.19,1.38,3.4,3.55,-       
5.85,0.2,1.37,3.4,3.52,-       
5.9,0.19,1.38,3.4,3.52,-       
5.95,0.19,1.38,3.4,3.52,-       
6.0,0.2,1.38,3.4,3.5,-       
6.05,0.19,1.39,3.4,3.49,-       
6.1,0.19,1.39,3.4,3.48,-       
6.15,0.19,1.39,3.4,3.48,-       
6.2,0.19,1.39,3.4,3.47,-       
6.25,0.19,1.39,3.4,3.46,-       
6.3,0.2,1.39,3.4,3.48,-       
6.35,0.21,1.39,3.4,3.48,-       
6.4,0.21,1.4,3.4,3.46,-       
6.45,0.2,1.4,3.4,3.46,-       
6.5,0.2,1.4,3.4,3.46,-       
6.55,0.2,1.4,3.4,3.47,-       
6.6,-0.03,1.37,3.4,3.45,-       
6.65,-0.06,1.35,3.4,3.44,gaze started: p_3_2
6.7,-0.12,1.39,3.4,3.42,-       
6.75,-0.13,1.38,3.4,3.42,-       
6.8,-0.21,1.43,3.4,3.43,-       
6.85,-0.17,1.41,3.4,3.42,-       
6.9,-0.12,1.4,3.4,3.42,-       
6.95,-0.13,1.4,3.4,3.41,gaze fixated: p_3_2
7.0,-0.12,1.4,3.4,3.41,-       
7.05,-0.13,1.4,3.4,3.38,-       
7.1,-0.12,1.4,3.4,3.37,-       
7.15,-0.12,1.41,3.4,3.36,-       
7.2,-0.13,1.41,3.4,3.34,-       
7.25,-0.12,1.41,3.4,3.33,-       
7.3,-0.12,1.41,3.4,3.32,-       
7.35,-0.13,1.42,3.4,3.32,-       
7.4,-0.12,1.42,3.4,3.3,-       
7.45,-0.12,1.42,3.4,3.31,-       
7.5,-0.13,1.42,3.4,3.3,-       
7.55,-0.13,1.42,3.4,3.29,-       
7.6,-0.13,1.42,3.4,3.29,-       
7.65,-0.12,1.42,3.4,3.28,-       
7.7,-0.12,1.42,3.4,3.28,-       
7.75,-0.11,1.42,3.4,3.27,-       
7.8,-0.11,1.42,3.4,3.27,-       
7.85,-0.11,1.42,3.4,3.25,-       
7.9,-0.1,1.41,3.4,3.25,-       
7.95,-0.11,1.41,3.4,3.25,-       
8.0,-0.11,1.41,3.4,3.25,-       
8.05,-0.12,1.42,3.4,3.25,-       
8.1,0.01,1.5,3.4,3.24,-       
8.15,0.18,1.78,3.4,3.23,gaze started: p_3_3
8.2,0.16,1.79,3.4,3.23,-       
8.25,0.14,1.81,3.46,3.19,-       
8.3,0.18,1.77,3.4,3.17,gaze started: p_3_3
8.35,0.17,1.78,3.4,3.14,-       
8.4,0.17,1.78,3.4,3.12,-       
8.45,0.09,1.83,3.4,3.08,-       
8.5,0.1,1.82,3.4,3.05,gaze started: p_2_2
8.55,0.2,1.81,3.46,3.0,-       
8.6,0.18,1.81,3.46,2.99,-       
8.65,0.19,1.81,3.46,2.98,-       
8.7,0.11,1.85,3.4,2.93,-       
8.75,0.1,1.86,3.4,2.94,gaze started: p_2_2
8.8,0.15,1.84,3.4,2.94,-       
8.85,0.17,1.83,3.4,2.95,-       
8.9,0.17,1.83,3.4,2.96,-       
