time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.72,2.23,3.4,4.29,-       
0.05,-0.61,2.28,3.46,4.23,-       
0.1,-0.63,2.33,3.4,4.22,-       
0.15,-0.54,2.28,3.46,4.21,-       
0.2,-0.54,2.29,3.46,4.2,-       
0.25,-0.52,2.28,3.46,4.21,-       
0.3,-0.52,2.29,3.46,4.21,-       
0.35,-0.52,2.29,3.46,4.21,-       
0.4,-0.52,2.29,3.46,4.19,-       
0.45,-0.52,2.28,3.46,4.17,-       
0.5,-0.52,2.28,3.46,4.17,-       
0.55,-0.52,2.28,3.46,4.17,-       
0.6,-0.52,2.28,3.46,4.17,-       
0.65,-0.52,2.28,3.46,4.17,-       
0.7,-0.52,2.28,3.46,4.17,-       
0.75,-0.52,2.28,3.46,4.17,-       
0.8,-0.52,2.28,3.46,4.17,-       
0.85,-0.52,2.28,3.46,4.17,-       
0.9,-0.52,2.28,3.46,4.17,-       
0.95,-0.71,2.45,3.46,4.17,-       
1.0,-0.69,2.43,3.4,4.16,-       
1.05,-0.8,2.41,3.4,4.2,-       
1.1,-0.72,2.36,3.4,4.19,-       
1.15,-0.73,2.37,3.4,4.19,-       
1.2,-0.74,2.37,3.4,4.19,-       
1.25,-0.73,2.37,3.4,4.18,-       
1.3,-0.43,2.04,3.4,4.09,gaze ended: p_1_1
1.35,-0.19,1.33,3.46,4.12,-       
1.4,-0.12,1.16,3.4,4.07,-       
1.45,-0.07,1.16,3.4,4.04,-       
1.5,-0.08,1.14,3.4,4.14,-       
1.55,-0.34,0.53,3.21,4.22,-       
1.6,-0.29,0.52,2.93,4.22,-       
1.65,-0.3,0.52,2.93,4.25,-       
1.7,-0.29,0.51,2.93,4.24,-       
1.75,-0.29,0.51,2.93,4.25,-       
1.8,-0.3,0.52,2.93,4.26,-       
1.85,-0.3,0.52,2.93,4.28,-       
1.9,-0.29,0.51,2.93,4.3,-       
1.95,-0.28,0.52,2.93,4.29,-       
2.0,-0.27,0.52,2.93,4.28,-       
2.05,-0.27,0.52,2.93,4.25,-       
2.1,-0.28,0.52,2.93,4.23,-       
2.15,-0.28,0.52,2.93,4.21,-       
2.2,-0.27,0.53,2.93,4.2,-       
2.25,-0.27,0.53,2.93,4.21,-       
2.3,-0.15,0.71,3.57,4.28,-       
2.35,0.21,1.25,3.4,4.21,-       
2.4,0.19,1.3,3.4,4.04,-       
2.45,0.18,1.31,3.4,3.97,-       
2.5,0.2,1.31,3.4,3.88,-       
2.55,0.2,1.31,3.4,3.77,-       
2.6,0.21,1.32,3.4,3.64,-       
2.65,0.2,1.32,3.4,3.47,-       
2.7,0.19,1.32,3.4,3.39,-       
2.75,0.19,1.32,3.4,3.32,-       
2.8,0.19,1.32,3.4,3.3,-       
2.85,0.18,1.32,3.4,3.25,-       
2.9,0.18,1.33,3.46,3.22,-       
2.95,0.18,1.33,3.46,3.21,gaze ended: p_4_3
3.0,0.19,1.33,3.46,3.19,-       
3.05,0.19,1.33,3.46,3.16,gaze started: p_4_3
3.1,0.19,1.33,3.46,3.16,-       
3.15,0.19,1.33,3.46,3.16,-       
3.2,0.19,1.33,3.46,3.16,-       
3.25,0.2,1.33,3.46,3.16,-       
3.3,0.19,1.34,3.46,3.15,-       
3.35,0.19,1.33,3.46,3.15,-       
3.4,0.19,1.34,3.46,3.17,-       
3.45,0.19,1.34,3.4,3.2,-       
3.5,0.19,1.35,3.4,3.19,gaze started: p_3_3
3.55,0.19,1.35,3.4,3.2,-       
3.6,0.19,1.35,3.4,3.22,-       
3.65,0.2,1.34,3.4,3.28,-       
3.7,0.2,1.35,3.4,3.3,-       
3.75,0.2,1.35,3.4,3.31,-       
3.8,0.21,1.35,3.4,3.37,-       
3.85,0.21,1.34,3.4,3.42,-       
3.9,0.21,1.34,3.46,3.43,-       
3.95,0.2,1.33,3.46,3.45,gaze ended: p_3_3
4.0,0.21,1.33,3.46,3.47,-       
4.05,0.21,1.34,3.46,3.49,-       
4.1,0.21,1.34,3.4,3.52,gaze started: p_3_3
4.15,0.21,1.34,3.4,3.53,-       
4.2,0.21,1.35,3.4,3.54,-       
4.25,0.22,1.34,3.46,3.53,-       
4.3,0.22,1.34,3.46,3.53,-       
4.35,0.12,1.35,3.4,3.51,-       
4.4,-0.47,1.36,3.4,3.44,gaze started: p_3_2
4.45,-0.42,1.34,3.4,3.41,-       
4.5,-0.39,1.33,3.46,3.41,-       
4.55,-0.39,1.33,3.46,3.41,-       
4.6,-0.38,1.32,3.4,3.4,gaze started: p_4_2
4.65,-0.38,1.32,3.4,3.4,-       
4.7,-0.39,1.32,3.4,3.39,-       
4.75,-0.39,1.32,3.4,3.39,-       
4.8,-0.39,1.33,3.46,3.37,-       
4.85,-0.39,1.33,3.46,3.37,-       
4.9,-0.4,1.33,3.46,3.36,-       
4.95,-0.4,1.34,3.46,3.34,-       
5.0,-0.4,1.34,3.46,3.34,-       
5.05,-0.4,1.34,3.46,3.34,-       
5.1,-0.22,1.34,3.4,3.3,-       
5.15,0.02,1.43,3.4,3.4,-       
5.2,0.03,1.43,3.4,3.39,-       
5.25,0.02,1.44,3.4,3.38,-       
5.3,0.02,1.44,3.4,3.38,-       
5.35,0.02,1.44,3.4,3.38,-       
5.4,0.02,1.44,3.4,3.38,gaze fixated: p_3_2
5.45,0.02,1.43,3.4,3.37,-       
5.5,0.2,1.67,3.4,3.32,gaze ended: p_3_2
5.55,0.21,1.67,3.4,3.33,gaze started: p_3_3
5.6,0.21,1.68,3.4,3.29,-       
5.65,0.21,1.69,3.4,3.27,-       
5.7,0.21,1.69,3.4,3.22,-       
5.75,0.21,1.69,3.4,3.19,-       
5.8,0.21,1.69,3.4,3.17,-       
5.85,0.21,1.69,3.4,3.14,gaze fixated: p_3_3
5.9,0.21,1.69,3.4,3.12,-       
5.95,0.21,1.69,3.4,3.12,-       
6.0,0.21,1.69,3.4,3.11,-       
6.05,0.21,1.69,3.4,3.12,-       
6.1,0.21,1.68,3.4,3.12,-       
6.15,0.21,1.69,3.4,3.12,-       
6.2,0.21,1.69,3.4,3.14,-       
6.25,0.21,1.69,3.4,3.15,-       
6.3,0.21,1.69,3.4,3.15,-       
6.35,0.22,1.69,3.4,3.17,-       
6.4,0.21,1.69,3.4,3.17,-       
6.45,0.21,1.68,3.4,3.17,-       
6.5,0.21,1.68,3.4,3.18,-       
6.55,0.21,1.69,3.4,3.19,-       
6.6,0.22,1.69,3.4,3.2,-       
6.65,0.21,1.7,3.4,3.21,-       
6.7,0.22,1.69,3.4,3.23,-       
6.75,0.22,1.69,3.4,3.25,-       
6.8,0.22,1.7,3.4,3.24,-       
6.85,0.21,1.7,3.4,3.22,-       
6.9,0.21,1.69,3.4,3.21,-       
6.95,0.21,1.69,3.4,3.21,-       
7.0,0.21,1.69,3.4,3.22,-       
7.05,0.21,1.69,3.4,3.22,-       
7.1,0.21,1.69,3.4,3.23,-       
7.15,0.22,1.69,3.4,3.23,-       
7.2,-0.1,1.69,3.4,3.33,gaze started: p_3_2
7.25,-0.24,1.73,3.4,3.32,-       
7.3,-0.19,1.73,3.4,3.32,-       
7.35,-0.19,1.71,3.4,3.33,-       
7.4,-0.2,1.72,3.4,3.33,-       
7.45,-0.2,1.72,3.4,3.33,-       
7.5,-0.2,1.72,3.4,3.33,gaze fixated: p_3_2
7.55,-0.2,1.72,3.4,3.34,-       
7.6,-0.19,1.71,3.4,3.35,-       
7.65,-0.19,1.71,3.4,3.35,-       
7.7,-0.2,1.72,3.4,3.34,-       
7.75,-0.2,1.72,3.4,3.32,-       
7.8,-0.19,1.72,3.4,3.32,-       
7.85,-0.19,1.72,3.4,3.31,-       
7.9,-0.18,1.72,3.4,3.32,-       
7.95,-0.19,1.73,3.4,3.3,-       
8.0,-0.19,1.73,3.4,3.31,-       
8.05,-0.18,1.73,3.4,3.31,-       
8.1,-0.18,1.73,3.4,3.32,-       
8.15,-0.19,1.72,3.4,3.33,-       
8.2,-0.18,1.72,3.4,3.33,-       
8.25,-0.18,1.73,3.4,3.32,-       
8.3,-0.19,1.73,3.4,3.32,-       
8.35,-0.19,1.73,3.4,3.31,-       
8.4,-0.19,1.73,3.4,3.32,-       
8.45,-0.17,1.74,3.4,3.3,-       
8.5,-0.18,1.74,3.4,3.29,-       
8.55,-0.18,1.74,3.4,3.28,-       
8.6,-0.18,1.74,3.4,3.27,-       
8.65,0.17,1.83,3.4,3.12,gaze started: p_3_3
