time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.39,2.19,3.4,4.36,-       
0.05,-0.38,2.19,3.4,4.37,-       
0.1,-0.39,2.2,3.4,4.35,-       
0.15,-0.4,2.2,3.4,4.37,-       
0.2,-0.39,2.2,3.4,4.37,-       
0.25,-0.38,2.19,3.4,4.39,-       
0.3,-0.37,2.19,3.4,4.4,-       
0.35,-0.37,2.19,3.4,4.4,-       
0.4,-0.37,2.19,3.4,4.4,-       
0.45,-0.37,2.19,3.4,4.4,-       
0.5,-0.37,2.19,3.4,4.4,-       
0.55,-0.37,2.19,3.4,4.4,-       
0.6,-0.37,2.19,3.4,4.4,-       
0.65,-0.37,2.19,3.4,4.4,-       
0.7,-1.04,2.28,3.4,4.44,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_stroke_30s_50nd.mp4
0.75,-1.04,2.28,3.4,4.44,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_stroke_30s_50nd.mp4
0.8,-1.04,2.28,3.4,4.44,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_stroke_30s_50nd.mp4
0.85,-1.02,2.25,3.4,4.45,-       
0.9,-1.01,2.25,3.4,4.44,-       
0.95,-1.01,2.25,3.4,4.41,-       
1.0,-1.01,2.24,3.4,4.39,-       
1.05,-0.98,2.23,3.4,4.37,-       
1.1,-1.02,2.24,3.4,4.37,-       
1.15,-1.01,2.24,3.4,4.36,-       
1.2,-0.41,1.75,3.4,4.31,gaze started: p_2_2
1.25,-0.24,1.4,3.4,4.29,-       
1.3,-0.22,1.38,3.4,4.37,-       
1.35,-0.22,1.36,3.4,4.41,-       
1.4,-0.2,1.35,3.4,4.43,-       
1.45,-0.19,1.35,3.4,4.45,-       
1.5,-0.19,1.35,3.4,4.49,-       
1.55,-0.18,1.34,3.4,4.52,-       
1.6,-0.19,1.34,3.4,4.57,-       
1.65,-0.19,1.34,3.46,4.58,-       
1.7,-0.16,1.32,3.4,4.61,-       
1.75,-0.36,1.57,3.4,4.61,-       
1.8,0.84,0.61,-0.26,,-       
1.85,0.83,0.62,-0.25,,-       
1.9,0.83,0.62,-0.25,,-       
1.95,0.82,0.63,-0.26,,-       
2.0,0.82,0.63,-0.26,,-       
2.05,-0.29,1.61,3.4,4.65,gaze started: p_3_2
2.1,-0.29,1.66,3.4,4.57,-       
2.15,0.63,1.41,3.4,4.54,gaze started: p_3_3
2.2,0.76,1.38,3.4,4.5,-       
2.25,0.66,1.42,3.4,4.4,-       
2.3,0.64,1.44,3.4,4.12,-       
2.35,0.63,1.44,3.4,3.99,-       
2.4,0.63,1.45,3.4,3.85,-       
2.45,0.05,1.41,3.4,3.79,-       
2.5,-0.12,1.4,3.4,3.71,gaze started: p_3_2
2.55,-0.1,1.39,3.4,3.6,-       
2.6,-0.11,1.41,3.4,3.58,-       
2.65,-0.12,1.41,3.4,3.53,-       
2.7,-0.13,1.42,3.4,3.45,-       
2.75,-0.12,1.42,3.4,3.43,gaze fixated: p_3_2
2.8,-0.12,1.4,3.4,3.4,-       
2.85,-0.12,1.4,3.4,3.37,-       
2.9,-0.11,1.41,3.4,3.32,-       
2.95,-0.11,1.4,3.4,3.3,-       
3.0,-0.11,1.41,3.4,3.29,-       
3.05,-0.11,1.41,3.4,3.28,-       
3.1,-0.12,1.41,3.4,3.31,-       
3.15,0.71,0.72,-0.29,,-       
3.2,0.7,0.72,-0.29,,gaze ended: p_3_2
3.25,0.71,0.72,-0.29,,-       
3.3,0.71,0.71,-0.29,,-       
3.35,0.71,0.71,-0.29,,-       
3.4,0.71,0.71,-0.29,,-       
3.45,0.71,0.71,-0.29,,-       
3.5,0.71,0.71,-0.29,,-       
3.55,0.71,0.72,-0.29,,-       
3.6,0.07,1.5,3.4,3.58,-       
3.65,0.06,1.51,3.4,3.63,gaze started: p_3_2
3.7,0.05,1.51,3.4,3.67,-       
3.75,0.06,1.49,3.4,3.72,-       
3.8,0.07,1.5,3.4,3.73,-       
3.85,0.07,1.5,3.4,3.7,-       
3.9,0.06,1.51,3.4,3.59,gaze fixated: p_3_2
3.95,0.13,1.45,3.4,3.46,-       
4.0,0.72,0.71,-0.29,,-       
4.05,0.71,0.71,-0.29,,gaze ended: p_3_2
4.1,0.71,0.71,-0.29,,-       
4.15,0.72,0.71,-0.29,,-       
4.2,0.72,0.71,-0.29,,-       
4.25,0.01,1.56,3.4,3.25,-       
4.3,0.04,1.57,3.4,3.22,gaze started: p_3_2
4.35,0.08,1.57,3.4,3.43,-       
4.4,0.08,1.54,3.4,3.43,-       
4.45,0.14,1.52,3.4,3.44,-       
4.5,0.12,1.53,3.4,3.5,gaze started: p_3_3
4.55,0.12,1.53,3.4,3.54,gaze started: p_3_2
4.6,0.09,1.51,3.4,3.59,-       
4.65,-0.25,1.12,3.4,3.6,-       
4.7,-0.15,0.93,3.4,3.56,gaze started: p_4_2
4.75,-0.12,0.91,3.4,3.59,-       
4.8,-0.11,0.91,3.4,3.59,-       
4.85,-0.11,0.9,3.4,3.61,-       
4.9,-0.26,0.66,3.57,3.66,-       
4.95,-0.37,0.53,3.34,3.61,-       
5.0,-0.38,0.53,3.4,3.6,-       
5.05,-0.39,0.53,3.44,3.62,-       
5.1,-0.4,0.53,3.49,3.61,-       
5.15,-0.41,0.54,3.57,3.58,-       
5.2,-0.41,0.54,3.57,3.56,-       
5.25,-0.42,0.56,3.57,3.51,-       
5.3,-0.42,0.57,3.57,3.47,-       
5.35,-0.42,0.58,3.57,3.41,-       
5.4,-0.42,0.58,3.57,3.38,-       
5.45,-0.44,0.56,3.57,3.36,-       
5.5,-0.35,0.53,3.09,3.35,-       
5.55,-0.35,0.53,3.06,3.34,-       
5.6,-0.35,0.53,3.04,3.32,-       
5.65,-0.36,0.53,3.17,3.3,-       
5.7,0.08,1.0,3.4,3.28,-       
5.75,0.1,1.19,3.4,3.22,-       
5.8,0.12,1.2,3.4,3.24,-       
5.85,0.07,1.16,3.4,3.18,-       
5.9,0.07,1.74,3.4,3.39,gaze started: p_3_2
5.95,0.06,1.69,3.4,3.36,-       
6.0,0.19,1.65,3.4,3.36,-       
6.05,0.14,1.66,3.4,3.35,gaze started: p_3_3
6.1,0.13,1.68,3.4,3.31,-       
6.15,0.14,1.67,3.4,3.3,-       
6.2,0.13,1.68,3.4,3.31,gaze started: p_3_3
6.25,0.15,1.68,3.4,3.31,gaze started: p_3_2
6.3,0.15,1.68,3.4,3.29,-       
6.35,0.13,1.68,3.4,3.28,-       
6.4,0.08,1.69,3.4,3.27,gaze started: p_3_2
6.45,0.09,1.73,3.4,3.2,-       
6.5,0.02,1.59,3.4,3.12,-       
6.55,-0.04,1.51,3.4,3.15,-       
6.6,-0.09,1.25,3.4,3.1,-       
6.65,-0.09,1.08,3.4,3.07,gaze started: p_4_2
6.7,-0.04,0.53,3.33,3.1,-       
6.75,-0.12,0.51,2.93,3.18,-       
6.8,-0.16,0.4,2.94,2.97,-       
6.85,-0.17,0.47,2.94,3.18,-       
6.9,-0.16,0.45,2.94,3.17,-       
6.95,-0.18,0.52,2.93,3.34,-       
7.0,-0.19,0.51,2.93,3.31,-       
7.05,-0.2,0.52,2.93,3.39,-       
7.1,-0.2,0.52,2.93,3.39,-       
7.15,-0.21,0.47,2.94,3.37,-       
7.2,-0.19,0.49,2.93,3.33,-       
7.25,-0.49,0.47,2.94,3.27,-       
7.3,-0.48,0.53,2.93,3.24,-       
7.35,-0.47,0.51,2.93,3.25,-       
7.4,-0.46,0.5,2.93,3.22,-       
7.45,-0.47,0.49,2.93,3.19,-       
7.5,-0.45,0.5,2.93,3.19,-       
7.55,-0.48,0.49,2.93,3.12,-       
7.6,-0.45,0.53,2.93,3.19,-       
7.65,-0.79,0.35,2.94,3.31,-       
7.7,-0.77,0.34,2.94,3.28,-       
7.75,-0.77,0.35,2.94,3.29,-       
7.8,-0.75,0.36,2.94,3.3,-       
7.85,-0.01,0.51,1.44,3.23,-       
7.9,0.7,0.79,-0.32,,-       
7.95,0.7,0.79,-0.33,,-       
8.0,0.7,0.8,-0.33,,-       
8.05,0.71,0.81,-0.35,,-       
8.1,0.7,0.83,-0.37,,-       
8.15,0.03,0.46,1.18,3.2,-       
8.2,0.0,0.46,1.17,3.24,-       
8.25,0.07,0.46,1.14,3.33,-       
8.3,0.07,0.46,1.17,3.43,-       
8.35,0.08,0.46,1.15,3.35,-       
8.4,0.11,0.46,1.15,3.38,-       
8.45,0.14,0.45,1.03,3.34,-       
8.5,0.14,0.45,1.02,3.34,-       
8.55,0.14,0.45,1.03,3.32,-       
8.6,0.14,0.46,1.04,3.42,-       
8.65,0.46,0.45,1.14,3.47,-       
8.7,0.78,0.47,1.17,3.2,-       
8.75,0.79,0.46,1.2,3.27,-       
8.8,0.81,0.47,1.17,3.38,-       
8.85,0.78,0.46,1.18,3.33,-       
8.9,0.84,0.46,1.17,3.37,-       
8.95,0.83,0.47,1.17,3.31,-       
9.0,0.82,0.47,1.14,3.28,-       
9.05,0.81,0.47,1.16,3.27,-       
9.1,0.81,0.47,1.16,3.24,-       
9.15,0.8,0.47,1.16,3.23,-       
9.2,0.84,0.51,1.21,3.22,-       
9.25,1.86,0.3,2.94,3.26,-       
9.3,1.81,0.32,2.94,3.24,-       
9.35,1.83,0.32,2.94,3.2,-       
9.4,1.8,0.33,2.94,3.2,-       
9.45,1.52,0.59,3.02,3.17,-       
9.5,1.58,0.53,2.95,3.2,-       
9.55,1.53,0.58,2.99,3.16,-       
9.6,1.51,0.59,2.99,3.13,-       
9.65,2.53,0.87,3.57,3.14,-       
9.7,2.61,1.32,3.23,3.17,-       
9.75,2.76,1.29,3.23,3.22,-       
9.8,2.73,1.27,3.23,3.11,-       
9.85,2.74,1.28,3.23,3.12,-       
9.9,2.68,1.53,3.23,3.11,-       
9.95,2.68,1.54,3.23,3.1,-       
10.0,2.63,1.55,3.23,3.05,-       
10.05,2.73,1.36,2.61,3.1,-       
10.1,2.77,1.11,1.41,3.1,-       
10.15,2.76,1.09,1.44,3.04,-       
10.2,2.77,1.09,1.42,3.07,-       
10.25,2.77,1.09,1.44,3.15,-       
10.3,2.76,1.07,1.44,3.17,-       
10.35,2.73,1.06,1.44,3.29,-       
10.4,2.73,1.06,1.5,3.27,-       
10.45,2.75,0.95,1.6,3.49,-       
10.5,2.75,0.93,1.62,3.51,-       
10.55,2.75,0.94,1.63,3.61,-       
10.6,2.75,0.92,1.62,3.62,-       
10.65,2.75,0.93,1.6,3.66,-       
10.7,2.77,0.66,1.13,3.61,-       
10.75,0.15,0.82,-0.85,,-       
10.8,0.11,0.82,-0.86,,-       
10.85,0.06,0.82,-0.86,,-       
10.9,0.06,0.82,-0.86,,-       
10.95,2.08,0.44,0.2,3.65,-       
11.0,2.01,0.45,0.17,3.72,-       
11.05,2.0,0.44,0.04,3.69,-       
11.1,1.8,0.53,-0.0,3.77,-       
11.15,1.8,0.53,-0.0,3.77,-       
11.2,1.55,0.59,-0.14,3.83,-       
11.25,1.51,0.59,-0.18,3.84,-       
11.3,1.51,0.58,-0.18,3.89,-       
11.35,1.48,0.55,-0.19,3.93,-       
11.4,1.52,0.57,-0.16,3.94,-       
11.45,1.59,0.56,-0.08,3.92,-       
11.5,1.99,0.45,0.1,3.88,-       
11.55,1.96,0.45,0.1,3.85,-       
11.6,1.99,0.46,0.15,3.84,-       
11.65,2.0,0.45,0.16,3.85,-       
11.7,1.98,0.45,0.11,3.75,-       
11.75,1.99,0.45,0.1,3.73,-       
11.8,1.99,0.45,0.09,3.72,-       
11.85,2.0,0.45,0.09,3.66,-       
11.9,1.99,0.46,0.09,3.61,-       
11.95,2.0,0.45,0.08,3.6,-       
12.0,1.66,0.43,-0.0,3.55,-       
12.05,1.21,0.36,-0.08,3.49,-       
12.1,1.0,0.36,-0.11,3.46,-       
12.15,1.0,0.36,-0.09,3.45,-       
12.2,1.0,0.36,-0.11,3.46,-       
12.25,0.94,0.36,-0.11,3.49,-       
12.3,0.79,0.36,-0.05,3.51,-       
12.35,0.78,0.36,-0.06,3.49,-       
12.4,0.77,0.36,-0.06,3.57,-       
12.45,0.79,0.36,-0.07,3.51,-       
12.5,0.78,0.36,-0.05,3.57,-       
12.55,0.78,0.36,-0.05,3.58,-       
12.6,0.77,0.36,-0.06,3.57,-       
12.65,0.79,0.36,-0.05,3.55,-       
12.7,0.78,0.36,-0.05,3.54,-       
12.75,0.78,0.36,-0.04,3.46,-       
12.8,0.79,0.36,-0.04,3.48,-       
12.85,0.81,0.36,-0.05,3.42,-       
12.9,1.36,0.42,-0.31,3.46,-       
12.95,1.54,0.62,-0.17,3.53,-       
13.0,1.55,0.62,-0.16,3.48,-       
13.05,1.58,0.57,-0.09,3.49,-       
13.1,2.0,0.49,0.03,3.48,-       
13.15,2.0,0.47,0.03,3.37,-       
13.2,2.0,0.48,0.02,3.4,-       
13.25,2.1,0.44,0.05,3.39,-       
13.3,2.09,0.44,0.06,3.38,-       
13.35,2.1,0.44,0.05,3.42,-       
13.4,2.41,0.44,-0.2,3.41,-       
13.45,2.42,0.67,-0.64,3.4,-       
13.5,2.29,0.63,-0.7,3.53,-       
13.55,2.29,0.71,-0.76,3.55,-       
13.6,2.29,0.71,-0.7,3.61,-       
13.65,2.29,0.68,-0.65,3.66,-       
13.7,2.66,0.6,-0.36,3.74,-       
13.75,2.77,0.65,0.69,3.65,-       
13.8,-0.19,0.82,-0.97,,-       
13.85,-0.01,0.82,-0.87,,-       
13.9,0.13,0.84,-0.74,,-       
13.95,0.66,1.77,3.4,3.94,-       
14.0,0.07,1.71,3.4,3.97,gaze started: p_3_2
14.05,0.02,1.73,3.4,3.94,-       
