time,point x ,point y ,point z ,pupil diameter,flag    
0.0,1.49,2.45,3.4,4.37,gaze started: p_1_4
0.05,1.48,2.45,3.4,4.36,-       
0.1,1.47,2.47,3.4,4.39,-       
0.15,1.47,2.47,3.4,4.39,-       
0.2,1.47,2.47,3.4,4.39,-       
0.25,1.47,2.47,3.4,4.39,-       
0.3,1.47,2.47,3.4,4.39,-       
0.35,1.47,2.47,3.4,4.39,-       
0.4,1.47,2.47,3.4,4.39,-       
0.45,1.47,2.47,3.4,4.39,-       
0.5,1.47,2.47,3.4,4.39,-       
0.55,1.47,2.47,3.4,4.39,-       
0.6,1.65,2.38,3.4,4.42,gaze fixated: p_1_4
0.65,1.65,2.38,3.4,4.42,gaze fixated: p_1_4
0.7,1.65,2.38,3.4,4.42,gaze fixated: p_1_4
0.75,1.65,2.38,3.4,4.42,gaze fixated: p_1_4
0.8,1.42,2.34,3.4,4.55,-       
0.85,1.43,2.35,3.4,4.55,-       
0.9,1.42,2.34,3.4,4.55,-       
0.95,1.43,2.35,3.4,4.55,-       
1.0,1.44,2.36,3.4,4.56,-       
1.05,1.42,2.36,3.4,4.51,-       
1.1,0.49,1.92,3.4,4.56,-       
1.15,0.14,1.81,3.46,4.45,-       
1.2,0.15,1.81,3.46,4.43,-       
1.25,0.15,1.79,3.4,4.43,-       
1.3,0.0,1.68,3.4,4.47,gaze started: p_3_3
1.35,-0.5,0.79,3.57,4.36,gaze started: p_3_2
1.4,-0.51,0.76,3.57,4.34,-       
1.45,-0.49,0.76,3.57,4.37,-       
1.5,-0.58,0.72,3.57,4.43,-       
1.55,-1.55,0.56,3.37,4.5,-       
1.6,-1.52,0.55,3.37,4.49,-       
1.65,-1.52,0.55,3.37,4.49,-       
1.7,-1.52,0.55,3.37,4.53,-       
1.75,-1.52,0.55,3.37,4.53,-       
1.8,-1.49,0.57,3.38,4.56,-       
1.85,-1.49,0.57,3.38,4.56,-       
1.9,-1.56,0.54,3.37,4.55,-       
1.95,-1.56,0.54,3.37,4.55,-       
2.0,0.87,0.83,-0.51,,-       
2.05,0.87,0.83,-0.51,,-       
2.1,0.87,0.83,-0.51,,-       
2.15,0.87,0.83,-0.51,,-       
2.2,-0.07,1.74,3.4,3.92,-       
2.25,-0.08,1.76,3.4,3.87,gaze started: p_3_2
2.3,-0.08,1.78,3.4,3.82,-       
2.35,-0.08,1.82,3.4,3.79,-       
2.4,-0.09,1.84,3.4,3.73,gaze started: p_2_2
2.45,-0.1,1.85,3.4,3.69,-       
2.5,-0.1,1.85,3.4,3.6,-       
2.55,-0.09,1.85,3.4,3.52,-       
2.6,-0.09,1.85,3.4,3.47,-       
2.65,-0.08,1.84,3.4,3.43,gaze fixated: p_2_2
2.7,-0.08,1.86,3.4,3.34,-       
2.75,-0.06,1.85,3.4,3.3,-       
2.8,-0.09,1.87,3.4,3.21,-       
2.85,-0.08,1.87,3.4,3.16,-       
2.9,-0.09,1.86,3.4,3.14,-       
2.95,-0.09,1.86,3.4,3.1,-       
3.0,-0.1,1.86,3.4,3.08,-       
3.05,-0.1,1.87,3.4,3.1,-       
3.1,-0.1,1.88,3.4,3.13,-       
3.15,0.12,2.02,3.4,3.11,-       
3.2,0.07,2.11,3.4,3.32,-       
3.25,0.07,2.12,3.4,3.35,-       
3.3,0.12,2.1,3.4,3.39,-       
3.35,0.05,1.89,3.4,3.49,-       
3.4,0.05,1.88,3.4,3.47,-       
3.45,0.08,1.86,3.4,3.51,-       
3.5,0.09,1.86,3.4,3.54,-       
3.55,0.09,1.85,3.4,3.59,-       
3.6,0.09,1.84,3.4,3.63,-       
3.65,0.05,1.89,3.4,3.69,-       
3.7,0.06,1.84,3.4,3.7,-       
3.75,0.06,1.81,3.46,3.72,-       
3.8,0.08,1.6,3.4,3.7,gaze ended: p_2_2
3.85,0.09,1.6,3.4,3.74,gaze started: p_3_2
3.9,0.09,1.6,3.4,3.74,gaze started: p_3_2
3.95,0.11,1.57,3.4,3.77,-       
4.0,0.1,1.56,3.4,3.8,-       
4.05,0.11,1.56,3.4,3.82,-       
4.1,0.12,1.53,3.4,3.84,-       
4.15,0.11,1.54,3.4,3.86,gaze fixated: p_3_2
4.2,0.09,1.55,3.4,3.89,-       
4.25,0.11,1.55,3.4,3.91,-       
4.3,0.12,1.54,3.4,3.92,-       
4.35,0.11,1.53,3.4,3.94,-       
4.4,0.11,1.52,3.4,3.91,-       
4.45,0.11,1.52,3.4,3.91,-       
4.5,0.12,1.53,3.4,3.95,-       
4.55,0.13,1.53,3.4,3.95,-       
4.6,0.13,1.53,3.4,3.98,-       
4.65,0.14,1.54,3.46,4.0,-       
4.7,0.14,1.56,3.4,4.01,gaze ended: p_3_2
4.75,0.15,1.55,3.4,4.01,gaze started: p_3_3
4.8,0.14,1.56,3.4,4.01,-       
4.85,0.13,1.55,3.4,3.98,-       
4.9,0.13,1.55,3.4,3.94,gaze started: p_3_2
4.95,0.13,1.55,3.4,3.9,-       
5.0,0.13,1.55,3.4,3.87,-       
5.05,0.13,1.55,3.4,3.83,-       
5.1,0.13,1.55,3.46,3.8,-       
5.15,0.13,1.55,3.4,3.78,-       
5.2,0.14,1.55,3.46,3.76,gaze started: p_3_2
5.25,0.13,1.57,3.4,3.74,-       
5.3,0.13,1.57,3.4,3.69,gaze started: p_3_2
5.35,0.14,1.57,3.46,3.62,-       
5.4,0.14,1.58,3.46,3.57,gaze started: p_3_3
5.45,0.15,1.57,3.4,3.53,-       
5.5,0.14,1.59,3.46,3.54,gaze started: p_3_3
5.55,0.14,1.6,3.4,3.52,-       
5.6,0.15,1.6,3.4,3.5,gaze started: p_3_3
5.65,0.15,1.6,3.4,3.49,-       
5.7,0.15,1.59,3.4,3.5,-       
5.75,0.15,1.59,3.4,3.47,-       
5.8,0.15,1.6,3.4,3.46,-       
5.85,0.15,1.6,3.4,3.46,-       
5.9,0.15,1.61,3.4,3.46,-       
5.95,0.15,1.61,3.4,3.46,-       
6.0,0.15,1.61,3.4,3.48,-       
6.05,0.15,1.61,3.4,3.48,-       
6.1,0.16,1.61,3.4,3.58,-       
6.15,0.16,1.61,3.4,3.58,-       
6.2,0.16,1.58,3.4,3.64,-       
6.25,0.16,1.59,3.4,3.65,-       
6.3,0.16,1.6,3.4,3.66,-       
6.35,0.15,1.61,3.4,3.67,-       
6.4,0.14,1.61,3.4,3.66,-       
6.45,0.14,1.61,3.4,3.66,-       
6.5,0.14,1.61,3.4,3.67,-       
6.55,0.13,1.62,3.46,3.68,gaze ended: p_3_3
6.6,0.13,1.61,3.4,3.68,-       
6.65,0.14,1.61,3.46,3.68,gaze started: p_3_2
6.7,0.17,1.59,3.4,3.72,-       
6.75,0.16,1.6,3.4,3.72,gaze started: p_3_3
6.8,0.16,1.61,3.4,3.72,-       
6.85,0.16,1.62,3.4,3.71,-       
6.9,0.17,1.61,3.4,3.71,-       
6.95,0.17,1.62,3.4,3.71,-       
7.0,0.16,1.62,3.4,3.68,-       
7.05,0.15,1.62,3.4,3.68,gaze fixated: p_3_3
7.1,0.15,1.63,3.4,3.68,-       
7.15,0.16,1.62,3.4,3.67,-       
7.2,0.16,1.62,3.4,3.64,-       
7.25,0.16,1.63,3.4,3.63,-       
7.3,0.16,1.64,3.4,3.64,-       
7.35,0.16,1.62,3.4,3.63,-       
7.4,0.16,1.63,3.4,3.63,-       
7.45,0.16,1.62,3.4,3.63,-       
7.5,0.15,1.62,3.4,3.64,-       
7.55,0.15,1.62,3.4,3.64,-       
7.6,0.15,1.63,3.4,3.65,-       
7.65,0.15,1.63,3.4,3.65,-       
7.7,0.15,1.62,3.4,3.64,-       
7.75,0.15,1.62,3.4,3.63,-       
7.8,0.15,1.63,3.4,3.6,-       
7.85,0.16,1.63,3.4,3.56,-       
7.9,0.16,1.63,3.4,3.55,-       
7.95,0.16,1.64,3.4,3.54,-       
8.0,0.16,1.63,3.4,3.56,-       
8.05,0.16,1.63,3.4,3.57,-       
8.1,0.16,1.64,3.4,3.58,-       
8.15,0.15,1.64,3.4,3.57,-       
8.2,0.14,1.65,3.4,3.55,-       
8.25,0.14,1.65,3.46,3.54,-       
8.3,0.15,1.66,3.4,3.48,gaze ended: p_3_3
8.35,0.15,1.66,3.4,3.43,gaze started: p_3_3
8.4,0.15,1.67,3.4,3.4,-       
8.45,0.15,1.68,3.4,3.38,-       
8.5,0.15,1.66,3.4,3.34,-       
8.55,0.15,1.66,3.4,3.29,-       
8.6,0.15,1.66,3.4,3.3,gaze fixated: p_3_3
