time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.23,1.15,3.4,3.79,-       
0.05,0.29,1.07,3.4,3.76,gaze started: p_4_3
0.1,0.26,1.08,3.4,3.83,-       
0.15,0.25,1.09,3.4,3.81,-       
0.2,0.24,1.1,3.4,3.78,-       
0.25,0.23,1.09,3.4,3.75,-       
0.3,0.24,1.06,3.4,3.74,-       
0.35,0.24,1.06,3.4,3.74,gaze fixated: p_4_3
0.4,0.24,1.07,3.4,3.73,-       
0.45,0.24,1.06,3.4,3.7,-       
0.5,0.25,1.07,3.4,3.7,-       
0.55,0.26,1.09,3.4,3.74,-       
0.6,0.26,1.08,3.4,3.7,-       
0.65,0.25,1.07,3.4,3.67,-       
0.7,0.25,1.07,3.4,3.66,-       
0.75,0.25,1.07,3.4,3.66,-       
0.8,0.25,1.07,3.4,3.66,-       
0.85,0.25,1.07,3.4,3.66,-       
0.9,0.25,1.07,3.4,3.66,-       
0.95,0.25,1.07,3.4,3.66,-       
1.0,0.25,1.07,3.4,3.66,-       
1.05,0.25,1.07,3.4,3.66,-       
1.1,0.25,1.07,3.4,3.66,-       
1.15,0.25,1.07,3.4,3.66,-       
1.2,0.25,1.07,3.4,3.66,-       
1.25,-0.09,1.69,3.4,3.51,gaze started: p_3_2
1.3,-0.09,1.67,3.4,3.44,-       
1.35,-0.08,1.69,3.4,3.48,-       
1.4,-0.15,1.64,3.4,3.44,-       
1.45,-0.07,1.63,3.4,3.4,-       
1.5,-0.09,1.65,3.4,3.42,-       
1.55,-0.07,1.67,3.4,3.43,gaze fixated: p_3_2
1.6,-0.11,1.7,3.4,3.46,-       
1.65,-0.1,1.7,3.4,3.48,-       
1.7,-0.11,1.71,3.4,3.49,-       
1.75,-0.05,1.66,3.4,3.57,-       
1.8,0.06,1.36,3.4,3.72,-       
1.85,0.51,1.31,3.4,3.64,-       
1.9,0.51,1.26,3.4,3.76,gaze started: p_4_3
1.95,0.5,1.27,3.4,3.75,-       
2.0,0.5,1.27,3.4,3.75,-       
2.05,0.5,1.27,3.4,3.76,-       
2.1,0.5,1.27,3.4,3.78,-       
2.15,0.49,1.26,3.4,3.82,-       
2.2,0.5,1.25,3.4,3.87,gaze fixated: p_4_3
2.25,0.5,1.26,3.4,3.94,-       
2.3,0.49,1.26,3.4,3.98,-       
2.35,0.5,1.26,3.4,4.01,-       
2.4,0.51,1.26,3.4,4.05,-       
2.45,0.53,1.27,3.4,4.11,-       
2.5,0.52,1.28,3.4,4.11,-       
2.55,0.52,1.26,3.4,4.09,-       
2.6,0.51,1.24,3.4,4.09,-       
2.65,0.51,1.24,3.4,4.07,-       
2.7,0.52,1.27,3.4,3.8,-       
2.75,0.53,1.29,3.4,3.67,-       
2.8,0.52,1.3,3.4,3.53,-       
2.85,0.52,1.32,3.4,3.44,-       
2.9,0.53,1.33,3.46,3.34,-       
2.95,0.52,1.35,3.4,3.18,gaze ended: p_4_3
3.0,0.51,1.35,3.4,3.12,gaze started: p_3_3
3.05,0.51,1.35,3.4,3.06,-       
3.1,0.5,1.35,3.4,3.0,-       
3.15,0.51,1.35,3.4,2.93,-       
3.2,0.5,1.35,3.4,2.9,-       
3.25,0.52,1.35,3.4,2.86,gaze fixated: p_3_3
3.3,0.53,1.35,3.4,2.85,-       
3.35,0.51,1.35,3.4,2.82,-       
3.4,0.52,1.36,3.4,2.8,-       
