time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-1.14,1.26,3.4,3.47,-       
0.05,-1.36,1.09,3.4,3.39,-       
0.1,-1.4,1.06,3.4,3.42,-       
0.15,-1.42,1.2,3.4,3.54,-       
0.2,-1.36,1.1,3.4,3.5,gaze fixated: p_4_1
0.25,-1.41,1.0,3.4,3.42,-       
0.3,-1.39,1.04,3.4,3.37,-       
0.35,-1.37,0.91,3.4,3.27,-       
0.4,0.8,0.85,-0.53,,-       
0.45,-0.86,1.0,3.4,2.92,gaze ended: p_4_1
0.5,-1.06,1.08,3.4,3.25,gaze started: p_4_1
0.55,-0.91,1.06,3.4,3.03,-       
0.6,-0.92,1.1,3.4,3.0,-       
0.65,-0.92,1.1,3.4,3.0,-       
0.7,-0.92,1.1,3.4,3.0,-       
0.75,-0.92,1.1,3.4,3.0,-       
0.8,-0.92,1.1,3.4,3.0,-       
0.85,-0.92,1.1,3.4,3.0,-       
0.9,-0.92,1.1,3.4,3.0,-       
0.95,-0.92,1.1,3.4,3.0,-       
1.0,-0.92,1.1,3.4,3.0,-       
1.05,-0.92,1.1,3.4,3.0,-       
1.1,-0.6,0.6,3.57,2.66,gaze fixated: p_4_1
1.15,-0.68,0.53,3.34,2.41,gaze ended: p_4_1
1.2,-0.71,0.77,3.57,2.4,-       
1.25,0.8,0.85,-0.53,,-       
1.3,-0.58,0.55,3.57,2.59,-       
1.35,0.8,0.85,-0.53,,-       
1.4,-0.47,0.47,2.94,2.17,-       
1.45,0.79,0.85,-0.53,,-       
1.5,-0.53,0.89,3.4,3.02,-       
1.55,-0.53,0.89,3.4,3.02,-       
1.6,-0.74,0.62,3.57,2.97,-       
1.65,-0.83,1.0,3.4,3.26,-       
1.7,-0.85,0.91,3.4,3.23,gaze started: p_4_1
1.75,-0.88,1.29,3.4,3.5,-       
1.8,-0.64,1.45,3.4,3.44,-       
1.85,-0.72,1.63,3.46,3.52,gaze started: p_3_2
1.9,-0.57,1.78,3.4,3.51,-       
1.95,-0.24,1.82,3.4,3.45,gaze started: p_3_2
2.0,-0.28,1.77,3.4,3.3,gaze started: p_2_2
2.05,-0.18,1.75,3.4,3.38,gaze started: p_3_2
2.1,-0.1,1.64,3.4,3.23,-       
2.15,0.1,1.78,3.4,3.34,-       
2.2,-0.02,1.75,3.4,3.39,-       
2.25,-0.02,1.76,3.4,3.41,-       
2.3,0.03,1.74,3.4,3.43,gaze fixated: p_3_2
2.35,0.06,1.74,3.4,3.47,-       
2.4,0.04,1.75,3.4,3.56,-       
2.45,0.08,1.74,3.4,3.57,-       
2.5,0.1,1.72,3.4,3.57,-       
2.55,0.09,1.72,3.4,3.67,-       
2.6,0.36,1.69,3.4,3.23,gaze started: p_3_3
2.65,0.36,1.69,3.4,3.23,gaze started: p_3_3
2.7,0.89,0.84,-0.69,,-       
2.75,0.89,0.84,-0.69,,-       
2.8,0.91,0.84,-0.71,,-       
2.85,0.93,0.84,-0.72,,-       
2.9,0.94,0.84,-0.74,,-       
2.95,0.97,0.84,-0.77,,-       
3.0,0.19,1.36,3.4,2.92,-       
3.05,-0.04,0.53,3.44,3.08,gaze started: p_3_3
3.1,-0.06,0.08,2.94,3.23,-       
3.15,0.01,0.05,2.94,3.34,-       
3.2,0.06,0.01,2.93,3.3,-       
3.25,0.07,-0.02,2.88,3.35,-       
3.3,0.08,-0.02,2.68,3.18,-       
3.35,0.0,-0.02,2.57,3.24,-       
3.4,0.14,0.48,1.43,3.24,-       
3.45,0.14,0.46,1.39,3.23,-       
3.5,0.11,0.46,1.35,3.42,-       
3.55,0.1,0.46,1.34,3.44,-       
3.6,0.18,0.46,1.25,3.06,-       
3.65,0.12,0.46,1.34,3.5,-       
3.7,0.15,0.46,1.22,3.06,-       
3.75,0.17,0.46,1.09,3.0,-       
3.8,0.29,0.49,1.17,3.68,-       
3.85,0.42,0.45,1.16,3.61,-       
3.9,0.32,0.45,1.15,3.6,-       
3.95,0.37,0.45,1.13,3.48,-       
4.0,0.41,0.45,1.15,3.69,-       
4.05,1.05,0.99,-1.04,,-       
4.1,0.05,0.46,0.89,3.29,-       
4.15,-0.01,0.46,1.09,3.65,-       
4.2,0.0,0.46,1.08,3.62,-       
4.25,-0.03,0.46,1.13,3.89,-       
4.3,-0.01,0.46,1.09,3.46,-       
4.35,-0.12,0.47,1.19,3.91,-       
4.4,1.04,0.96,-1.04,,-       
4.45,1.06,0.92,-1.04,,-       
4.5,0.26,1.92,3.4,4.55,-       
4.55,0.37,2.11,3.4,5.12,gaze started: p_2_3
4.6,0.34,2.04,3.4,5.0,-       
4.65,0.34,2.04,3.4,5.0,-       
4.7,0.32,1.95,3.4,4.87,-       
4.75,0.32,1.95,3.4,4.87,-       
4.8,0.29,1.96,3.4,4.75,gaze fixated: p_2_3
4.85,0.29,1.94,3.4,4.62,-       
4.9,0.21,1.94,3.4,4.58,-       
4.95,0.22,1.92,3.4,4.5,-       
5.0,0.24,1.88,3.4,4.44,-       
5.05,0.23,1.89,3.4,4.37,-       
5.1,0.21,1.89,3.4,4.37,-       
5.15,0.18,1.88,3.4,4.38,-       
5.2,0.21,1.87,3.4,4.39,-       
5.25,0.4,1.68,3.4,4.46,-       
5.3,0.38,1.69,3.4,4.49,gaze started: p_3_3
5.35,0.3,1.69,3.4,4.5,-       
5.4,0.27,1.68,3.4,4.53,-       
5.45,0.35,1.68,3.4,4.54,-       
5.5,0.28,1.69,3.4,4.54,-       
5.55,0.29,1.7,3.4,4.57,-       
5.6,0.18,1.87,3.4,4.57,gaze fixated: p_3_3
5.65,0.18,1.88,3.4,4.54,gaze started: p_2_3
5.7,1.05,0.82,-0.93,,-       
5.75,1.05,0.82,-0.93,,-       
5.8,1.05,0.82,-0.93,,-       
5.85,1.05,0.82,-0.93,,-       
5.9,1.05,0.82,-0.93,,-       
5.95,0.16,1.89,3.4,4.23,-       
6.0,0.15,1.86,3.4,4.2,gaze started: p_2_3
6.05,0.14,1.86,3.46,4.25,-       
6.1,0.15,1.86,3.4,4.29,-       
6.15,0.15,1.86,3.4,4.3,-       
6.2,0.16,1.85,3.4,4.28,-       
6.25,0.16,1.84,3.4,4.23,-       
6.3,0.16,1.83,3.4,4.14,-       
6.35,0.16,1.84,3.4,4.11,-       
6.4,0.15,1.84,3.4,4.11,gaze fixated: p_2_3
6.45,0.15,1.87,3.4,4.18,-       
6.5,1.04,0.82,-0.92,,-       
6.55,1.04,0.82,-0.92,,gaze ended: p_2_3
6.6,1.04,0.82,-0.91,,-       
6.65,1.04,0.82,-0.91,,-       
6.7,1.04,0.82,-0.92,,-       
6.75,0.28,1.85,3.4,3.91,-       
6.8,0.17,1.87,3.4,4.13,-       
6.85,0.17,1.87,3.4,4.17,-       
6.9,0.18,1.89,3.4,4.18,-       
6.95,0.17,1.87,3.4,4.18,-       
7.0,0.17,1.87,3.4,4.18,-       
7.05,0.19,1.9,3.4,4.11,gaze fixated: p_2_3
