time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.26,1.12,3.4,3.37,-       
0.05,-0.22,1.13,3.4,3.39,gaze fixated: p_4_2
0.1,-0.16,1.14,3.4,3.37,-       
0.15,-0.16,1.14,3.4,3.36,-       
0.2,0.17,1.15,3.4,3.4,-       
0.25,0.26,1.14,3.4,3.47,gaze started: p_4_3
0.3,0.19,1.13,3.4,3.43,-       
0.35,0.17,1.13,3.4,3.44,-       
0.4,0.17,1.13,3.4,3.44,-       
0.45,0.17,1.13,3.4,3.44,-       
0.5,0.17,1.13,3.4,3.44,-       
0.55,0.17,1.13,3.4,3.44,-       
0.6,0.17,1.13,3.4,3.44,-       
0.65,0.17,1.13,3.4,3.44,-       
0.7,0.17,1.13,3.4,3.44,-       
0.75,0.17,1.13,3.4,3.44,-       
0.8,0.17,1.13,3.4,3.44,-       
0.85,0.99,1.16,3.4,3.47,gaze fixated: p_4_3
0.9,0.98,1.15,3.4,3.49,gaze started: p_4_4
0.95,0.99,1.14,3.46,3.49,-       
1.0,0.8,1.2,3.4,3.6,-       
1.05,0.61,1.23,3.4,3.57,-       
1.1,0.66,1.17,3.4,3.57,-       
1.15,0.53,1.23,3.4,3.64,-       
1.2,-0.22,1.19,3.4,3.63,-       
1.25,-0.58,1.12,3.4,3.66,gaze started: p_4_2
1.3,-0.37,1.12,3.4,3.72,-       
1.35,-0.58,1.14,3.4,3.74,-       
1.4,-0.62,1.26,3.4,3.79,-       
1.45,-0.66,1.51,3.4,3.99,-       
1.5,-0.84,1.71,3.4,4.11,gaze started: p_3_1
1.55,-0.72,1.77,3.46,3.92,-       
1.6,-0.74,1.97,3.4,4.06,-       
1.65,-0.51,1.96,3.4,4.08,gaze started: p_2_1
1.7,-0.26,1.95,3.4,4.13,gaze started: p_2_2
1.75,-0.19,1.95,3.4,4.22,-       
1.8,-0.15,1.96,3.4,4.27,-       
1.85,-0.15,1.96,3.4,4.27,-       
1.9,-0.1,1.88,3.4,4.32,-       
1.95,-0.1,1.88,3.4,4.32,-       
2.0,-0.1,1.84,3.4,4.35,-       
2.05,-0.08,1.88,3.4,4.39,-       
2.1,-0.07,1.82,3.4,4.36,-       
2.15,-0.09,1.86,3.4,4.4,-       
2.2,-0.1,1.84,3.4,4.4,-       
2.25,-0.09,1.84,3.4,4.41,-       
2.3,0.13,1.78,3.4,4.29,-       
2.35,0.49,1.73,3.4,3.83,gaze started: p_3_3
2.4,0.44,1.69,3.4,3.65,-       
2.45,0.44,1.67,3.4,3.52,-       
2.5,0.47,1.67,3.4,3.43,-       
2.55,0.46,1.65,3.4,3.23,-       
2.6,0.23,1.68,3.4,3.1,-       
2.65,0.09,1.74,3.4,3.19,gaze fixated: p_3_3
2.7,0.08,1.69,3.4,3.14,gaze started: p_3_2
2.75,0.08,1.69,3.4,3.15,-       
2.8,0.01,1.76,3.4,3.17,-       
2.85,0.03,1.79,3.4,3.16,-       
2.9,0.05,1.78,3.4,3.18,-       
2.95,0.04,1.76,3.4,3.18,gaze fixated: p_3_2
3.0,-0.05,1.8,3.46,3.23,gaze ended: p_3_2
3.05,-0.03,1.8,3.46,3.21,-       
3.1,-0.06,1.79,3.4,3.23,-       
3.15,-0.07,1.79,3.4,3.24,gaze started: p_3_2
3.2,0.02,1.97,3.4,3.35,-       
3.25,0.07,2.04,3.4,3.39,gaze started: p_2_2
3.3,0.05,2.03,3.4,3.41,-       
3.35,0.06,2.04,3.4,3.42,-       
3.4,0.05,2.05,3.4,3.43,-       
3.45,0.05,2.05,3.4,3.47,-       
3.5,0.05,2.05,3.4,3.5,gaze fixated: p_2_2
3.55,0.05,2.06,3.4,3.51,-       
3.6,0.06,2.05,3.4,3.57,-       
3.65,0.1,2.15,3.4,3.66,-       
3.7,0.12,2.14,3.4,3.71,-       
3.75,0.12,2.15,3.4,3.77,-       
3.8,0.12,2.14,3.4,3.78,-       
3.85,0.12,2.15,3.4,3.81,-       
3.9,0.13,2.14,3.4,3.86,-       
3.95,0.13,2.14,3.4,3.91,-       
4.0,0.28,2.05,3.4,4.04,-       
4.05,0.28,1.99,3.4,4.02,gaze started: p_2_3
4.1,0.32,2.02,3.4,4.14,-       
4.15,1.09,0.82,-0.9,,-       
4.2,1.09,0.82,-0.9,,-       
4.25,1.09,0.82,-0.9,,-       
4.3,-0.03,2.22,3.4,4.32,-       
4.35,-0.04,2.22,3.4,4.28,gaze started: p_2_2
4.4,-0.03,2.21,3.4,4.31,-       
4.45,-0.04,2.21,3.4,4.26,-       
4.5,-0.03,2.19,3.4,4.27,-       
4.55,-0.03,2.18,3.4,4.28,-       
4.6,-0.03,2.16,3.4,4.28,-       
4.65,0.03,1.99,3.4,4.16,gaze fixated: p_2_2
4.7,0.05,1.97,3.4,4.16,-       
4.75,0.05,1.98,3.4,4.11,-       
4.8,0.05,1.97,3.4,4.08,-       
4.85,0.17,1.85,3.4,4.1,-       
4.9,0.16,1.87,3.4,4.14,gaze started: p_2_3
4.95,0.17,1.87,3.4,4.16,-       
5.0,0.18,1.87,3.4,4.16,-       
5.05,0.17,1.87,3.4,4.17,-       
5.1,0.17,1.87,3.4,4.18,-       
5.15,0.17,1.86,3.4,4.18,gaze fixated: p_2_3
5.2,0.18,1.86,3.4,4.16,-       
5.25,0.18,1.86,3.4,4.17,-       
5.3,0.16,1.87,3.4,4.23,-       
5.35,1.1,0.82,-0.92,,-       
5.4,1.1,0.82,-0.92,,gaze ended: p_2_3
5.45,1.1,0.82,-0.92,,-       
5.5,1.11,0.82,-0.92,,-       
5.55,0.34,2.01,3.4,4.13,-       
5.6,0.19,1.91,3.4,4.14,gaze started: p_2_3
5.65,0.22,1.9,3.4,4.11,-       
5.7,0.2,1.87,3.4,4.08,-       
5.75,0.2,1.87,3.4,4.1,-       
5.8,0.2,1.87,3.4,4.1,-       
5.85,0.19,1.87,3.4,4.1,-       
5.9,0.19,1.85,3.4,4.06,gaze fixated: p_2_3
5.95,0.18,1.86,3.4,4.03,-       
6.0,0.19,1.86,3.4,3.99,-       
6.05,0.2,1.86,3.4,3.97,-       
6.1,0.2,1.86,3.4,3.97,-       
6.15,0.2,1.87,3.4,4.01,-       
6.2,0.2,1.86,3.4,4.08,-       
6.25,0.2,1.86,3.4,4.11,-       
6.3,0.19,1.85,3.4,4.16,-       
6.35,0.19,1.85,3.4,4.18,-       
6.4,0.23,1.89,3.4,4.3,-       
6.45,0.21,1.89,3.4,4.33,-       
6.5,1.11,0.82,-0.93,,gaze ended: p_2_3
6.55,0.26,1.91,3.4,3.92,-       
6.6,0.24,1.87,3.4,3.87,gaze started: p_2_3
6.65,0.26,1.9,3.4,4.1,-       
6.7,0.25,1.92,3.4,4.26,-       
6.75,0.12,1.87,3.4,4.21,-       
6.8,0.1,1.92,3.4,4.25,gaze started: p_2_2
6.85,0.17,1.97,3.4,4.27,-       
6.9,0.19,2.03,3.4,4.35,gaze started: p_2_3
6.95,0.17,1.95,3.4,4.31,-       
7.0,0.16,1.93,3.4,4.23,-       
7.05,0.19,1.96,3.4,4.24,-       
7.1,0.2,1.94,3.4,4.26,-       
7.15,0.17,1.91,3.4,4.13,gaze fixated: p_2_3
7.2,0.17,1.92,3.4,4.1,-       
7.25,0.17,1.94,3.4,4.1,-       
7.3,0.17,1.93,3.4,4.1,-       
7.35,0.19,1.95,3.4,4.12,-       
7.4,0.2,1.92,3.4,4.09,-       
7.45,0.19,1.91,3.4,4.04,-       
7.5,0.16,1.89,3.4,4.03,-       
7.55,0.17,1.9,3.4,4.02,-       
7.6,0.18,1.9,3.4,4.01,-       
7.65,0.18,1.89,3.4,3.98,-       
7.7,0.18,1.89,3.4,3.95,-       
7.75,0.19,1.89,3.4,3.91,-       
7.8,0.19,1.88,3.4,3.89,-       
7.85,-0.01,1.87,3.4,3.88,-       
7.9,-0.02,1.86,3.4,3.83,gaze started: p_2_2
7.95,-0.03,1.86,3.4,3.83,-       
8.0,-0.0,1.87,3.4,3.91,-       
8.05,0.12,1.87,3.4,3.88,-       
8.1,0.11,1.86,3.4,3.88,-       
8.15,0.1,1.87,3.4,3.87,gaze fixated: p_2_2
8.2,0.1,1.87,3.4,3.85,-       
8.25,0.11,1.88,3.4,3.84,-       
8.3,0.14,1.87,3.4,3.77,-       
8.35,0.13,1.86,3.4,3.76,gaze started: p_2_3
8.4,0.14,1.85,3.46,3.75,gaze started: p_2_2
8.45,0.14,1.85,3.46,3.73,-       
8.5,0.14,1.84,3.4,3.71,-       
8.55,0.15,1.84,3.4,3.69,gaze started: p_2_3
8.6,0.15,1.83,3.4,3.6,-       
8.65,0.15,1.83,3.4,3.57,-       
8.7,0.15,1.83,3.4,3.55,-       
8.75,0.16,1.82,3.4,3.51,-       
8.8,0.17,1.9,3.4,3.5,gaze fixated: p_2_3
8.85,0.16,1.89,3.4,3.48,-       
8.9,0.16,1.9,3.4,3.48,-       
8.95,0.16,1.89,3.4,3.49,-       
9.0,0.17,1.89,3.4,3.49,-       
9.05,0.16,1.88,3.4,3.51,-       
9.1,0.16,1.88,3.4,3.55,-       
9.15,0.16,1.88,3.4,3.57,-       
9.2,0.16,1.88,3.4,3.61,-       
9.25,0.15,1.88,3.4,3.65,-       
9.3,0.15,1.88,3.4,3.66,-       
9.35,0.14,1.89,3.46,3.67,-       
9.4,0.14,1.89,3.46,3.67,gaze ended: p_2_3
9.45,0.15,1.87,3.4,3.67,-       
9.5,0.14,1.87,3.4,3.68,gaze started: p_2_3
9.55,0.14,1.86,3.46,3.68,-       
9.6,0.06,1.9,3.4,3.67,gaze started: p_2_2
9.65,0.06,1.9,3.4,3.64,-       
9.7,0.06,1.9,3.4,3.62,-       
9.75,0.06,1.9,3.4,3.62,-       
9.8,0.13,1.89,3.4,3.62,-       
9.85,0.13,1.9,3.4,3.62,-       
9.9,0.13,1.89,3.4,3.61,gaze fixated: p_2_2
9.95,0.13,1.89,3.4,3.58,-       
10.0,0.17,1.86,3.4,3.5,-       
10.05,0.17,1.87,3.4,3.49,gaze started: p_2_3
10.1,0.18,1.87,3.4,3.49,-       
10.15,0.16,1.88,3.4,3.44,-       
10.2,0.17,1.87,3.4,3.41,-       
10.25,0.15,1.86,3.4,3.43,-       
10.3,0.18,1.89,3.4,3.39,gaze fixated: p_2_3
10.35,0.16,1.88,3.4,3.46,-       
10.4,0.16,1.89,3.4,3.44,-       
10.45,0.36,1.76,3.4,3.51,-       
10.5,0.38,1.73,3.4,3.52,gaze started: p_3_3
10.55,0.33,1.73,3.4,3.53,-       
10.6,0.33,1.74,3.4,3.61,-       
10.65,0.32,1.75,3.4,3.67,-       
10.7,0.3,1.74,3.4,3.8,-       
10.75,0.3,1.74,3.4,3.8,-       
