time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.71,2.5,3.46,5.77,-       
0.05,-0.43,2.45,3.4,5.78,-       
0.1,-0.43,2.45,3.4,5.78,-       
0.15,-0.41,2.47,3.4,5.81,gaze started: p_1_2
0.2,-0.41,2.47,3.4,5.81,gaze started: p_1_2
0.25,-0.41,2.47,3.4,5.81,gaze started: p_1_2
0.3,-0.41,2.47,3.4,5.81,gaze started: p_1_2
0.35,-0.41,2.47,3.4,5.81,gaze started: p_1_2
0.4,-0.41,2.47,3.4,5.81,gaze started: p_1_2
0.45,-0.41,2.47,3.4,5.81,gaze started: p_1_2
0.5,-0.41,2.47,3.4,5.81,gaze started: p_1_2
0.55,-0.41,2.47,3.4,5.81,gaze started: p_1_2
0.6,-0.41,2.47,3.4,5.81,gaze started: p_1_2
0.65,0.04,2.44,3.4,6.0,gaze fixated: p_1_2
0.7,0.04,2.44,3.4,6.0,gaze fixated: p_1_2
0.75,0.04,2.44,3.4,6.0,gaze fixated: p_1_2
0.8,0.04,2.44,3.4,6.0,gaze fixated: p_1_2
0.85,-0.35,2.44,3.4,5.96,-       
0.9,-0.35,2.44,3.4,5.96,-       
0.95,-0.35,2.44,3.4,5.95,-       
1.0,-0.35,2.44,3.4,5.93,-       
1.05,-0.35,2.44,3.4,5.95,-       
1.1,-0.35,2.44,3.4,5.96,-       
1.15,-0.05,2.14,3.4,5.91,-       
1.2,0.01,2.05,3.4,5.85,gaze started: p_2_2
1.25,0.04,2.04,3.4,5.89,-       
1.3,-0.02,2.02,3.4,5.89,-       
1.35,-0.02,2.02,3.4,5.89,-       
1.4,-0.01,2.01,3.4,5.9,-       
1.45,-0.03,2.02,3.4,5.9,gaze fixated: p_2_2
1.5,-0.03,2.03,3.4,5.92,-       
1.55,-0.03,2.03,3.4,5.92,-       
1.6,-0.01,2.03,3.4,5.93,-       
1.65,-0.02,2.02,3.4,5.93,-       
1.7,-0.02,2.02,3.4,5.93,-       
1.75,-0.03,2.03,3.4,5.97,-       
1.8,-0.03,2.03,3.4,5.97,-       
1.85,-0.02,2.04,3.4,5.98,-       
1.9,0.16,1.93,3.4,6.01,-       
1.95,0.17,1.92,3.4,5.97,gaze started: p_2_3
2.0,0.15,1.92,3.4,5.97,-       
2.05,0.34,1.94,3.4,5.94,-       
2.1,0.57,1.76,3.4,5.76,-       
2.15,0.62,1.72,3.4,5.56,gaze started: p_3_3
2.2,0.61,1.72,3.4,5.48,-       
2.25,0.6,1.71,3.4,5.31,-       
2.3,0.61,1.7,3.4,5.15,-       
2.35,0.62,1.67,3.4,4.95,-       
2.4,0.24,1.73,3.4,4.8,-       
2.45,-0.05,1.86,3.4,4.86,gaze fixated: p_3_3
2.5,-0.02,1.86,3.4,4.73,gaze started: p_2_2
2.55,-0.0,1.86,3.4,4.66,-       
2.6,0.01,1.86,3.4,4.62,-       
2.65,0.0,1.84,3.4,4.56,-       
2.7,0.01,1.84,3.4,4.51,-       
2.75,0.01,1.84,3.4,4.51,-       
2.8,0.02,1.84,3.4,4.47,gaze fixated: p_2_2
2.85,0.01,1.84,3.4,4.45,-       
2.9,0.01,1.84,3.4,4.4,-       
2.95,0.0,1.85,3.4,4.4,-       
3.0,-0.0,1.86,3.4,4.38,-       
3.05,-0.03,2.12,3.4,4.43,-       
3.1,-0.05,2.14,3.4,4.43,-       
3.15,-0.08,2.13,3.4,4.41,-       
3.2,0.96,0.84,-0.75,,-       
