time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.64,2.45,3.4,5.61,-       
0.05,-0.64,2.45,3.4,5.61,-       
0.1,-0.65,2.44,3.4,5.6,-       
0.15,-0.65,2.44,3.4,5.61,-       
0.2,-0.65,2.44,3.4,5.63,-       
0.25,-0.65,2.43,3.4,5.63,-       
0.3,-0.66,2.44,3.4,5.62,-       
0.35,-0.66,2.44,3.4,5.62,-       
0.4,-0.66,2.44,3.4,5.62,-       
0.45,-0.66,2.44,3.4,5.62,-       
0.5,-0.66,2.44,3.4,5.62,-       
0.55,-0.66,2.44,3.4,5.62,-       
0.6,-0.66,2.44,3.4,5.62,-       
0.65,-0.66,2.44,3.4,5.62,-       
0.7,-0.66,2.44,3.4,5.62,-       
0.75,-0.66,2.44,3.4,5.62,-       
0.8,-0.33,2.37,3.4,5.72,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_weight_30s_100.mp4
0.85,-0.33,2.37,3.4,5.71,-       
0.9,-0.33,2.37,3.4,5.72,-       
0.95,-0.33,2.37,3.4,5.72,-       
1.0,-0.33,2.37,3.4,5.71,-       
1.05,-0.32,2.36,3.4,5.69,-       
1.1,-0.32,2.34,3.4,5.64,-       
1.15,-0.18,2.23,3.4,5.63,-       
1.2,0.96,0.84,-0.67,,gaze started: p_2_2
1.25,0.96,0.83,-0.67,,-       
1.3,0.97,0.83,-0.67,,-       
1.35,0.97,0.83,-0.67,,-       
1.4,0.97,0.83,-0.67,,-       
1.45,-0.03,1.86,3.4,5.43,-       
1.5,-0.05,1.89,3.4,5.41,gaze started: p_2_2
1.55,-0.31,1.56,3.4,5.52,-       
1.6,-0.31,1.5,3.4,5.52,gaze started: p_3_2
1.65,-0.31,1.5,3.4,5.52,gaze started: p_3_2
1.7,-0.29,1.49,3.4,5.53,-       
1.75,-0.34,1.49,3.4,5.6,-       
1.8,0.06,1.29,3.4,5.54,-       
1.85,1.27,0.8,3.57,5.6,-       
1.9,1.23,0.92,3.4,5.58,-       
1.95,1.27,0.9,3.4,5.55,gaze started: p_4_4
2.0,1.47,0.81,3.57,5.59,-       
2.05,1.57,0.81,3.57,5.63,-       
2.1,1.54,0.8,3.57,5.63,-       
2.15,1.29,0.99,3.4,5.6,-       
2.2,0.5,1.85,3.4,5.4,gaze started: p_4_4
2.25,0.45,1.86,3.4,5.25,gaze started: p_2_3
2.3,0.36,1.83,3.4,5.04,-       
2.35,0.36,1.78,3.4,4.84,-       
2.4,0.34,1.67,3.4,4.26,-       
2.45,0.24,1.98,3.4,4.37,-       
2.5,0.97,0.84,-0.71,,gaze started: p_2_3
2.55,0.97,0.84,-0.71,,-       
2.6,0.97,0.84,-0.72,,-       
2.65,0.97,0.84,-0.72,,-       
2.7,-0.15,1.79,3.4,3.94,-       
2.75,-0.23,1.77,3.4,4.0,gaze started: p_3_2
2.8,-0.16,1.79,3.4,4.0,-       
2.85,-0.41,1.49,3.4,3.91,-       
2.9,-0.64,1.19,3.4,3.91,-       
2.95,-0.63,1.16,3.4,3.92,gaze started: p_4_2
3.0,-0.6,1.2,3.4,3.92,-       
3.05,-0.57,1.16,3.4,3.92,-       
3.1,-0.58,1.14,3.4,3.89,-       
3.15,-0.59,1.13,3.4,3.9,-       
3.2,-0.02,1.29,3.4,3.91,gaze fixated: p_4_2
3.25,0.16,1.58,3.4,3.94,-       
3.3,0.12,1.55,3.4,3.89,gaze started: p_3_3
3.35,0.18,1.63,3.4,3.91,gaze started: p_3_2
3.4,0.22,1.53,3.4,3.95,gaze started: p_3_3
3.45,0.15,1.63,3.4,3.96,-       
3.5,0.19,1.56,3.4,3.91,-       
3.55,0.18,1.54,3.4,3.89,-       
3.6,0.16,1.56,3.4,3.9,-       
3.65,0.25,1.54,3.4,3.95,gaze fixated: p_3_3
3.7,0.17,1.58,3.4,3.98,-       
3.75,0.18,1.57,3.4,4.01,-       
3.8,0.21,1.56,3.4,4.02,-       
3.85,0.18,1.56,3.4,4.1,-       
3.9,-0.07,1.05,3.4,4.13,-       
3.95,-0.24,0.72,3.57,4.03,gaze started: p_4_2
4.0,-0.11,0.67,3.57,4.06,-       
4.05,-0.18,0.69,3.57,4.08,-       
4.1,-0.24,0.63,3.57,4.08,-       
4.15,-0.27,0.53,3.09,3.95,-       
4.2,-0.27,0.53,3.08,3.95,-       
4.25,-0.27,0.53,3.06,3.93,-       
4.3,0.06,0.18,2.94,4.02,-       
4.35,0.05,0.13,2.94,4.0,-       
4.4,0.06,0.13,2.94,4.01,-       
4.45,0.05,0.13,2.94,4.01,-       
4.5,0.04,0.07,2.94,3.97,-       
4.55,0.03,0.08,2.94,3.97,-       
4.6,0.04,0.09,2.94,4.03,-       
4.65,0.05,0.11,2.94,3.99,-       
4.7,0.05,0.12,2.94,4.01,-       
4.75,0.11,-0.02,2.87,4.02,-       
4.8,0.23,-0.02,2.23,4.06,-       
4.85,0.22,-0.02,2.24,4.07,-       
4.9,0.19,-0.02,2.21,4.06,-       
4.95,0.2,-0.02,2.2,4.02,-       
5.0,0.21,-0.02,2.18,3.97,-       
5.05,0.23,-0.02,2.57,3.73,-       
5.1,1.03,0.84,-0.81,,-       
5.15,1.03,0.84,-0.81,,-       
5.2,1.03,0.84,-0.81,,-       
5.25,0.14,1.9,3.4,4.2,gaze started: p_2_2
5.3,0.13,1.88,3.46,4.15,gaze started: p_2_3
5.35,0.09,1.86,3.4,4.13,-       
5.4,0.1,1.86,3.4,4.09,gaze started: p_2_2
5.45,0.08,1.85,3.4,4.05,-       
5.5,0.08,1.84,3.4,4.01,-       
5.55,0.08,1.83,3.4,3.92,-       
