time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.65,2.17,3.4,4.23,gaze started: p_2_2
0.05,-0.65,2.17,3.4,4.23,gaze started: p_2_2
0.1,-0.78,2.17,3.4,4.25,-       
0.15,-0.74,2.24,3.4,4.33,gaze started: p_2_1
0.2,-0.66,2.19,3.4,4.35,-       
0.25,-0.61,2.15,3.4,4.36,gaze started: p_2_2
0.3,-0.51,2.13,3.4,4.38,-       
0.35,-0.51,2.13,3.4,4.38,-       
0.4,-0.6,2.15,3.4,4.42,-       
0.45,-0.86,2.22,3.4,4.42,-       
0.5,-0.85,2.26,3.4,4.44,gaze started: p_2_1
0.55,-0.77,2.29,3.46,4.43,-       
0.6,-0.77,2.29,3.46,4.43,-       
0.65,-0.74,2.24,3.4,4.45,-       
0.7,-0.74,2.24,3.4,4.48,gaze started: p_2_1
0.75,-0.74,2.24,3.4,4.48,gaze started: p_2_1
0.8,-0.74,2.24,3.4,4.48,gaze started: p_2_1
0.85,-0.74,2.24,3.4,4.48,gaze started: p_2_1
0.9,-0.74,2.24,3.4,4.48,gaze started: p_2_1
0.95,-0.74,2.24,3.4,4.48,gaze started: p_2_1
1.0,-0.74,2.24,3.4,4.48,gaze started: p_2_1
1.05,-0.74,2.24,3.4,4.48,gaze started: p_2_1
1.1,-0.74,2.24,3.4,4.48,gaze started: p_2_1
1.15,-0.74,2.24,3.4,4.48,gaze started: p_2_1
1.2,-0.74,2.24,3.4,4.48,gaze started: p_2_1
1.25,-0.73,2.23,3.4,4.45,gaze fixated: p_2_1
1.3,-0.68,2.17,3.4,4.46,-       
1.35,-0.61,2.15,3.4,4.49,gaze started: p_2_2
1.4,-0.61,2.14,3.4,4.52,-       
1.45,-0.61,2.14,3.4,4.52,-       
1.5,-0.68,2.15,3.4,4.54,-       
1.55,-0.6,2.14,3.4,4.52,-       
1.6,-0.62,2.16,3.4,4.47,gaze fixated: p_2_2
1.65,-0.51,1.87,3.4,4.12,-       
1.7,0.57,0.62,-0.25,,-       
1.75,0.57,0.62,-0.25,,-       
1.8,0.23,0.78,3.57,4.31,gaze ended: p_2_2
1.85,0.18,0.71,3.57,4.37,-       
1.9,0.22,0.74,3.57,4.46,-       
1.95,1.0,0.56,3.57,4.65,-       
2.0,1.43,0.59,3.36,4.56,-       
2.05,1.43,0.59,3.36,4.56,-       
2.1,1.3,0.59,3.28,4.62,-       
2.15,1.32,0.59,3.28,4.63,-       
2.2,1.51,0.84,3.57,4.7,-       
2.25,1.46,1.04,3.4,4.7,-       
2.3,1.43,1.07,3.4,4.73,gaze started: p_4_4
2.35,1.43,1.07,3.4,4.73,gaze started: p_4_4
2.4,1.43,1.06,3.4,4.75,-       
2.45,1.51,1.65,3.4,4.83,-       
2.5,1.34,1.83,3.4,4.87,gaze started: p_3_4
2.55,1.34,1.83,3.4,4.87,gaze started: p_3_4
2.6,1.32,1.84,3.4,4.75,gaze started: p_2_4
2.65,1.29,1.84,3.4,4.82,-       
2.7,0.79,1.5,3.4,4.18,-       
2.75,0.5,0.7,-0.28,,gaze started: p_3_3
2.8,0.73,1.48,3.4,3.86,-       
2.85,0.53,1.44,3.4,3.83,gaze started: p_3_3
2.9,0.55,1.49,3.4,3.77,-       
2.95,0.55,1.49,3.4,3.77,-       
3.0,0.6,1.51,3.4,3.69,-       
3.05,0.59,1.52,3.4,3.62,-       
3.1,0.58,1.52,3.4,3.55,-       
3.15,0.57,1.52,3.4,3.47,gaze fixated: p_3_3
3.2,-0.22,1.69,3.4,3.35,-       
3.25,-0.22,1.69,3.4,3.35,-       
3.3,-0.14,1.71,3.4,3.29,gaze started: p_3_2
3.35,-0.22,1.73,3.4,3.29,-       
3.4,-0.39,1.77,3.4,3.28,-       
3.45,-0.1,1.81,3.4,3.33,-       
3.5,-0.21,1.81,3.46,3.32,gaze started: p_2_2
3.55,-0.21,1.81,3.46,3.32,gaze started: p_2_2
3.6,-0.21,1.82,3.46,3.32,-       
3.65,-0.12,1.81,3.46,3.32,-       
3.7,-0.21,1.81,3.4,3.33,-       
3.75,-0.31,2.11,3.4,3.32,gaze started: p_2_2
3.8,-0.02,2.05,3.4,3.35,-       
3.85,-0.32,2.11,3.4,3.36,-       
3.9,-0.11,2.13,3.4,3.36,-       
3.95,-0.11,2.13,3.4,3.36,-       
4.0,0.09,2.14,3.4,3.44,-       
4.05,0.16,2.06,3.4,3.49,gaze fixated: p_2_2
4.1,0.08,2.07,3.4,3.65,gaze started: p_2_3
4.15,0.51,0.69,-0.28,,gaze started: p_2_2
4.2,0.51,0.69,-0.28,,-       
4.25,0.51,0.69,-0.28,,-       
4.3,0.51,0.69,-0.28,,-       
4.35,0.12,1.82,3.46,3.83,-       
4.4,0.16,1.88,3.4,3.96,-       
4.45,0.28,1.82,3.46,3.97,gaze started: p_2_3
4.5,0.19,1.84,3.4,3.99,-       
4.55,0.19,1.84,3.4,3.99,-       
4.6,0.09,1.7,3.4,4.01,gaze started: p_2_3
4.65,-0.05,1.72,3.4,4.06,gaze started: p_3_2
4.7,0.03,1.71,3.4,4.04,-       
4.75,0.04,1.69,3.4,4.02,-       
4.8,0.0,1.63,3.4,4.06,-       
4.85,-0.01,1.43,3.4,3.92,-       
4.9,-0.01,1.43,3.4,3.92,-       
4.95,-0.0,1.44,3.4,3.94,gaze fixated: p_3_2
5.0,0.0,1.44,3.4,3.93,-       
5.05,-0.0,1.45,3.4,3.9,-       
5.1,-0.09,1.44,3.4,3.9,-       
5.15,-0.05,1.46,3.4,3.87,-       
5.2,-0.2,1.82,3.46,3.9,-       
5.25,-0.2,1.82,3.46,3.9,-       
5.3,0.0,1.77,3.4,3.87,gaze ended: p_3_2
5.35,-0.23,1.88,3.4,3.87,gaze started: p_3_2
5.4,-0.17,1.81,3.4,3.91,gaze started: p_2_2
5.45,0.08,1.93,3.4,4.01,-       
5.5,0.08,1.93,3.4,4.01,-       
5.55,0.26,1.92,3.4,4.04,-       
5.6,0.33,1.87,3.4,4.04,gaze started: p_2_3
5.65,0.33,1.87,3.4,4.05,-       
5.7,0.2,1.88,3.4,3.99,-       
5.75,0.18,1.77,3.4,3.93,-       
5.8,0.1,1.79,3.4,3.9,gaze started: p_3_3
5.85,0.1,1.79,3.4,3.9,gaze started: p_3_3
5.9,0.09,1.78,3.4,3.81,gaze started: p_3_2
5.95,0.09,1.77,3.4,3.7,-       
6.0,0.1,1.77,3.4,3.64,-       
6.05,0.11,1.77,3.4,3.6,-       
6.1,0.07,1.82,3.4,3.69,-       
6.15,0.51,0.69,-0.27,,gaze started: p_2_2
6.2,0.51,0.69,-0.27,,gaze started: p_2_2
6.25,0.51,0.69,-0.27,,-       
6.3,0.51,0.69,-0.27,,-       
6.35,0.19,1.79,3.4,3.87,-       
6.4,0.19,1.79,3.4,3.87,-       
6.45,0.08,1.83,3.4,3.9,gaze started: p_3_3
6.5,0.01,1.86,3.4,3.91,gaze started: p_2_2
6.55,0.08,1.83,3.4,3.92,-       
6.6,0.11,1.82,3.4,3.95,-       
6.65,0.09,1.82,3.4,3.97,-       
6.7,0.06,1.84,3.4,4.0,-       
6.75,0.06,1.84,3.4,4.0,-       
6.8,0.05,1.83,3.4,4.02,gaze fixated: p_2_2
6.85,0.06,1.83,3.4,4.05,-       
6.9,0.06,1.83,3.4,4.08,-       
6.95,0.11,1.69,3.4,4.05,-       
7.0,-0.0,1.75,3.4,4.04,gaze started: p_3_2
7.05,-0.0,1.75,3.4,4.04,gaze started: p_3_2
7.1,0.06,1.72,3.4,4.03,-       
7.15,0.07,1.72,3.4,4.03,-       
7.2,0.07,1.71,3.4,4.04,-       
7.25,0.02,1.73,3.4,4.02,-       
7.3,0.07,1.72,3.4,3.98,gaze fixated: p_3_2
7.35,0.07,1.72,3.4,3.98,gaze fixated: p_3_2
7.4,0.04,1.71,3.4,3.87,-       
7.45,-0.06,1.78,3.4,3.84,-       
7.5,0.01,1.74,3.4,3.85,-       
7.55,0.02,1.73,3.4,3.86,-       
7.6,0.02,1.73,3.4,3.87,-       
