time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.78,0.64,-0.24,,-       
0.05,-0.63,2.22,3.4,3.35,-       
0.1,0.78,0.63,-0.24,,gaze started: p_2_2
0.15,0.78,0.63,-0.24,,gaze started: p_2_2
0.2,0.78,0.63,-0.24,,gaze started: p_2_2
0.25,0.78,0.63,-0.24,,gaze started: p_2_2
0.3,0.78,0.63,-0.24,,gaze started: p_2_2
0.35,0.78,0.63,-0.24,,gaze started: p_2_2
0.4,0.78,0.63,-0.24,,gaze started: p_2_2
0.45,0.78,0.63,-0.24,,gaze started: p_2_2
0.5,0.78,0.63,-0.24,,gaze started: p_2_2
0.55,0.78,0.63,-0.24,,gaze started: p_2_2
0.6,0.78,0.63,-0.24,,gaze started: p_2_2
0.65,-0.61,2.18,3.4,2.78,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_aribnb_30s_100.mp4
0.7,-0.61,2.18,3.4,2.78,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_aribnb_30s_100.mp4
0.75,-0.61,2.18,3.4,2.78,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_aribnb_30s_100.mp4
0.8,-0.66,2.22,3.4,2.72,gaze started: p_2_2
0.85,-0.66,2.22,3.4,2.72,gaze started: p_2_2
0.9,-0.62,2.23,3.4,2.71,-       
0.95,-0.59,2.25,3.4,2.68,-       
1.0,-0.58,2.24,3.4,2.66,gaze fixated: p_2_2
1.05,-0.6,2.37,3.4,2.83,-       
1.1,0.79,0.63,-0.24,,gaze started: p_1_2
1.15,0.8,0.63,-0.24,,-       
1.2,0.8,0.63,-0.24,,-       
1.25,0.8,0.63,-0.24,,-       
1.3,0.79,0.63,-0.24,,-       
1.35,0.79,0.63,-0.24,,-       
1.4,-0.31,2.13,3.4,2.71,-       
1.45,-0.34,2.16,3.4,2.73,gaze started: p_2_2
1.5,-0.43,2.15,3.4,2.75,-       
1.55,-0.43,2.15,3.4,2.75,-       
1.6,-0.31,2.16,3.4,2.77,-       
1.65,-0.33,2.15,3.4,2.83,-       
1.7,-0.41,2.16,3.4,2.87,-       
1.75,-0.32,2.15,3.4,2.91,gaze fixated: p_2_2
1.8,-0.31,2.11,3.4,3.01,-       
1.85,0.79,0.63,-0.24,,-       
1.9,0.8,0.63,-0.24,,gaze ended: p_2_2
1.95,0.8,0.63,-0.24,,-       
2.0,0.8,0.63,-0.24,,-       
2.05,0.79,0.63,-0.24,,-       
2.1,0.79,0.63,-0.24,,-       
2.15,-0.06,1.87,3.4,3.43,-       
2.2,0.4,1.7,3.4,3.42,gaze started: p_2_2
2.25,0.49,1.6,3.4,3.27,gaze started: p_3_3
2.3,0.47,1.56,3.4,3.16,-       
2.35,0.41,1.66,3.4,3.06,-       
2.4,0.41,1.64,3.4,2.93,-       
2.45,0.41,1.64,3.4,2.89,-       
2.5,0.4,1.67,3.4,2.83,gaze fixated: p_3_3
2.55,0.79,0.63,-0.24,,-       
2.6,0.79,0.63,-0.24,,gaze ended: p_3_3
2.65,0.79,0.63,-0.24,,-       
2.7,0.79,0.63,-0.24,,-       
2.75,0.79,0.63,-0.24,,-       
2.8,0.79,0.63,-0.24,,-       
2.85,0.0,1.92,3.4,2.5,-       
2.9,-0.02,1.86,3.4,2.48,gaze started: p_2_2
2.95,-0.16,1.85,3.4,2.47,-       
3.0,-0.16,1.84,3.4,2.46,-       
3.05,0.06,1.87,3.4,2.46,-       
3.1,0.07,1.9,3.4,2.52,-       
3.15,-0.0,2.03,3.4,2.47,gaze fixated: p_2_2
3.2,0.07,2.03,3.4,2.53,-       
3.25,-0.01,2.04,3.4,2.54,-       
3.3,0.01,2.05,3.4,2.53,-       
3.35,0.01,2.05,3.4,2.53,-       
3.4,0.03,2.04,3.4,2.52,-       
3.45,0.2,2.06,3.4,2.56,-       
3.5,0.2,2.24,3.4,2.55,gaze started: p_2_3
3.55,0.23,2.21,3.4,2.58,-       
3.6,0.3,2.2,3.4,2.61,-       
3.65,0.3,2.2,3.4,2.61,-       
3.7,0.35,2.15,3.4,2.66,gaze fixated: p_2_3
3.75,0.35,2.15,3.4,2.66,gaze fixated: p_2_3
3.8,0.4,2.12,3.4,2.71,-       
3.85,0.41,2.1,3.4,2.87,-       
3.9,0.79,0.63,-0.24,,-       
3.95,0.79,0.63,-0.24,,gaze ended: p_2_3
4.0,0.79,0.63,-0.24,,-       
4.05,0.79,0.63,-0.24,,-       
4.1,0.79,0.63,-0.24,,-       
4.15,0.01,2.2,3.4,2.84,-       
4.2,0.06,2.2,3.4,2.86,gaze started: p_2_2
4.25,0.11,2.17,3.4,2.85,-       
4.3,0.12,2.16,3.4,2.85,-       
4.35,0.14,2.16,3.4,2.87,-       
4.4,0.15,2.14,3.4,2.88,gaze started: p_2_3
4.45,0.05,2.18,3.4,2.87,-       
4.5,0.12,2.14,3.4,2.85,gaze started: p_2_2
4.55,0.06,2.08,3.4,2.9,-       
4.6,-0.03,2.11,3.4,2.88,-       
4.65,-0.04,2.12,3.4,2.86,-       
4.7,-0.04,2.12,3.4,2.84,-       
4.75,0.08,2.16,3.4,2.78,gaze fixated: p_2_2
4.8,0.08,2.12,3.4,2.83,-       
4.85,0.16,2.1,3.4,2.8,-       
4.9,0.19,2.09,3.4,2.79,gaze started: p_2_3
4.95,0.3,2.08,3.4,2.77,-       
5.0,0.19,2.1,3.4,2.73,-       
5.05,0.26,2.09,3.4,2.7,-       
5.1,0.21,2.11,3.4,2.68,-       
5.15,0.79,0.63,-0.24,,gaze fixated: p_2_3
5.2,0.79,0.63,-0.24,,gaze ended: p_2_3
5.25,0.79,0.63,-0.24,,-       
5.3,0.79,0.63,-0.24,,-       
5.35,0.79,0.63,-0.24,,-       
5.4,0.79,0.63,-0.24,,-       
5.45,0.79,0.63,-0.24,,-       
5.5,0.08,1.89,3.4,2.67,-       
5.55,0.08,1.89,3.4,2.67,-       
5.6,0.23,1.84,3.4,2.7,gaze started: p_2_2
5.65,0.23,1.83,3.4,2.68,gaze started: p_2_3
5.7,0.13,1.87,3.4,2.68,-       
5.75,0.14,1.89,3.46,2.7,gaze started: p_2_2
5.8,-0.02,1.92,3.4,2.69,-       
5.85,0.14,1.89,3.46,2.65,gaze started: p_2_2
5.9,0.14,1.9,3.46,2.63,-       
5.95,0.16,1.88,3.4,2.64,-       
6.0,0.14,1.88,3.4,2.64,gaze started: p_2_3
6.05,0.16,1.88,3.4,2.66,-       
6.1,0.79,0.63,-0.24,,-       
6.15,0.79,0.63,-0.24,,-       
6.2,0.79,0.63,-0.24,,-       
6.25,0.79,0.63,-0.24,,-       
6.3,0.79,0.63,-0.24,,-       
6.35,0.79,0.63,-0.24,,-       
