time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.59,2.1,3.4,4.09,-       
0.05,-0.62,2.1,3.4,4.1,-       
0.1,-0.63,2.08,3.4,4.15,-       
0.15,-0.63,2.07,3.4,4.18,-       
0.2,-0.63,2.07,3.4,4.18,-       
0.25,-0.67,2.04,3.4,4.23,-       
0.3,-0.61,2.08,3.4,4.26,-       
0.35,-0.59,2.11,3.4,4.3,-       
0.4,-0.58,2.11,3.4,4.34,-       
0.45,-0.57,2.1,3.4,4.35,-       
0.5,-0.57,2.11,3.4,4.39,-       
0.55,-0.57,2.11,3.4,4.4,-       
0.6,-0.58,2.11,3.4,4.43,-       
0.65,-0.58,2.11,3.4,4.43,-       
0.7,-0.58,2.11,3.4,4.43,-       
0.75,-0.58,2.11,3.4,4.43,-       
0.8,-0.58,2.11,3.4,4.43,-       
0.85,-0.58,2.11,3.4,4.43,-       
0.9,-0.58,2.11,3.4,4.43,-       
0.95,-0.58,2.11,3.4,4.43,-       
1.0,-0.58,2.11,3.4,4.43,-       
1.05,-0.58,2.11,3.4,4.43,-       
1.1,-0.58,2.11,3.4,4.43,-       
1.15,-0.55,2.1,3.4,4.29,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_aribnb_30s_50nd.mp4
1.2,-0.55,2.1,3.4,4.29,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_aribnb_30s_50nd.mp4
1.25,-0.42,2.07,3.4,4.4,-       
1.3,-0.39,1.98,3.4,4.38,-       
1.35,-0.47,1.95,3.4,4.39,-       
1.4,-0.46,1.96,3.4,4.4,-       
1.45,-0.61,1.83,3.4,4.52,-       
1.5,-0.85,1.29,3.4,4.49,-       
1.55,-0.85,1.19,3.4,4.45,gaze started: p_4_1
1.6,-0.86,1.2,3.4,4.47,-       
1.65,-0.95,1.12,3.4,4.5,-       
1.7,-1.43,0.64,3.37,4.6,-       
1.75,-1.42,0.62,3.37,4.53,-       
1.8,-1.43,0.63,3.37,4.56,-       
1.85,-1.42,0.63,3.37,4.57,-       
1.9,-1.42,0.64,3.38,4.58,-       
1.95,-1.42,0.66,3.38,4.61,-       
2.0,-1.42,0.66,3.38,4.64,-       
2.05,-1.42,0.66,3.39,4.65,-       
2.1,-1.42,0.66,3.39,4.65,-       
2.15,-1.4,0.67,3.38,4.67,-       
2.2,-1.51,0.78,3.57,4.66,-       
2.25,-1.51,0.77,3.57,4.66,-       
2.3,-1.51,0.76,3.57,4.66,-       
2.35,-1.5,0.76,3.57,4.64,-       
2.4,-0.87,0.64,3.57,4.61,-       
2.45,-0.59,0.62,3.57,4.66,-       
2.5,-0.56,0.6,3.57,4.64,-       
2.55,-0.59,0.61,3.57,4.59,-       
2.6,0.57,0.36,-0.02,,-       
2.65,0.57,0.36,-0.02,,-       
2.7,0.57,0.36,-0.02,,-       
2.75,0.55,1.48,3.4,3.54,-       
2.8,0.54,1.53,3.4,3.47,gaze started: p_3_3
2.85,0.54,1.53,3.4,3.32,-       
2.9,0.38,1.62,3.4,3.25,-       
2.95,-0.07,1.69,3.4,3.14,-       
3.0,-0.1,1.67,3.4,3.07,gaze started: p_3_2
3.05,-0.09,1.68,3.4,3.02,-       
3.1,-0.19,1.7,3.4,2.95,-       
3.15,-0.19,1.7,3.4,2.95,-       
3.2,-0.13,1.7,3.4,2.92,-       
3.25,-0.13,1.7,3.4,2.92,-       
3.3,-0.12,1.7,3.4,2.9,gaze fixated: p_3_2
3.35,-0.12,1.71,3.4,2.88,-       
3.4,-0.14,1.71,3.4,2.85,-       
3.45,-0.05,1.71,3.4,2.83,-       
3.5,0.03,1.82,3.46,2.81,-       
3.55,0.19,2.03,3.4,2.74,gaze ended: p_3_2
3.6,0.22,1.99,3.4,2.74,gaze started: p_2_3
3.65,0.19,1.98,3.4,2.74,-       
3.7,0.55,0.36,-0.05,,-       
3.75,0.55,0.36,-0.05,,-       
3.8,0.55,0.36,-0.05,,-       
3.85,0.55,0.36,-0.05,,-       
3.9,0.54,0.36,-0.06,,-       
3.95,0.55,0.36,-0.06,,-       
4.0,-0.79,0.56,3.57,3.05,-       
4.05,-0.69,0.53,3.06,3.2,-       
4.1,-0.68,0.49,2.93,3.13,-       
4.15,-0.8,0.53,3.14,3.31,-       
4.2,0.55,0.36,-0.06,,-       
4.25,0.55,0.36,-0.06,,-       
4.3,0.55,0.36,-0.06,,-       
4.35,0.55,0.36,-0.06,,-       
4.4,0.55,0.36,-0.06,,-       
4.45,0.55,0.36,-0.07,,-       
4.5,-0.05,1.53,3.4,2.89,-       
4.55,0.12,1.65,3.4,3.02,gaze started: p_3_2
4.6,0.1,1.7,3.4,3.02,-       
4.65,0.04,1.67,3.4,3.24,-       
4.7,0.0,1.67,3.4,3.26,-       
4.75,0.03,1.69,3.4,3.32,-       
4.8,0.55,0.36,-0.07,,gaze fixated: p_3_2
4.85,0.55,0.36,-0.07,,gaze ended: p_3_2
4.9,0.55,0.36,-0.07,,-       
4.95,0.55,0.36,-0.07,,-       
5.0,0.55,0.36,-0.07,,-       
5.05,0.55,0.36,-0.07,,-       
5.1,1.21,0.53,3.02,3.24,-       
5.15,1.16,0.53,2.99,3.34,-       
5.2,0.55,0.36,-0.07,,-       
5.25,0.55,0.36,-0.07,,-       
5.3,0.55,0.36,-0.07,,-       
5.35,0.55,0.36,-0.07,,-       
5.4,0.24,1.7,3.4,3.21,-       
5.45,0.25,1.79,3.4,3.3,gaze started: p_3_3
5.5,0.25,1.79,3.4,3.32,-       
5.55,0.27,1.79,3.4,3.35,-       
5.6,0.17,1.77,3.4,3.37,-       
5.65,0.19,1.78,3.4,3.39,-       
5.7,0.26,1.76,3.4,3.38,gaze fixated: p_3_3
5.75,0.12,1.79,3.4,3.3,-       
5.8,0.11,1.81,3.46,3.23,gaze started: p_3_2
5.85,0.11,1.81,3.46,3.23,gaze started: p_3_2
5.9,0.11,1.82,3.46,3.16,-       
5.95,0.11,1.81,3.46,3.09,-       
6.0,0.12,1.79,3.4,3.07,-       
6.05,0.15,1.79,3.4,3.06,gaze started: p_3_2
6.1,0.13,1.81,3.46,3.03,gaze started: p_3_3
6.15,0.14,1.79,3.4,3.02,-       
6.2,0.1,1.79,3.4,3.03,gaze started: p_3_3
6.25,0.12,1.79,3.4,3.06,gaze started: p_3_2
6.3,0.14,1.79,3.4,3.11,-       
6.35,-0.08,1.73,3.4,3.29,gaze started: p_3_3
6.4,-0.08,1.73,3.4,3.29,gaze started: p_3_3
6.45,-0.4,1.65,3.4,3.31,gaze started: p_3_2
6.5,-0.31,1.65,3.4,3.28,-       
6.55,-0.31,1.66,3.4,3.28,-       
6.6,-0.31,1.66,3.4,3.3,-       
6.65,-0.18,1.66,3.4,3.38,-       
6.7,0.09,1.71,3.4,3.33,gaze fixated: p_3_2
6.75,0.05,1.72,3.4,3.3,-       
6.8,0.05,1.72,3.4,3.3,-       
6.85,0.07,1.72,3.4,3.29,-       
6.9,0.05,1.72,3.4,3.32,-       
6.95,0.05,1.72,3.4,3.29,-       
