time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.08,1.72,3.4,3.67,-       
0.05,0.06,1.72,3.4,3.65,-       
0.1,0.03,1.73,3.4,3.65,-       
0.15,0.02,1.71,3.4,3.66,-       
0.2,0.07,1.73,3.4,3.67,-       
0.25,0.08,1.74,3.4,3.67,-       
0.3,0.07,1.73,3.4,3.67,-       
0.35,0.07,1.74,3.4,3.67,-       
0.4,0.05,1.75,3.4,3.66,-       
0.45,0.05,1.75,3.4,3.66,-       
0.5,0.05,1.75,3.4,3.66,-       
0.55,0.05,1.75,3.4,3.66,-       
0.6,0.05,1.75,3.4,3.66,-       
0.65,0.05,1.75,3.4,3.66,-       
0.7,0.05,1.75,3.4,3.66,-       
0.75,0.05,1.75,3.4,3.66,-       
0.8,0.05,1.75,3.4,3.66,-       
0.85,0.05,1.75,3.4,3.66,-       
0.9,0.05,1.75,3.4,3.66,-       
0.95,0.09,1.76,3.4,3.43,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_aribnb_30s_50nd.mp4
1.0,0.09,1.76,3.4,3.43,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_aribnb_30s_50nd.mp4
1.05,0.09,1.76,3.4,3.43,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_aribnb_30s_50nd.mp4
1.1,0.09,1.74,3.4,3.49,-       
1.15,0.09,1.74,3.4,3.42,-       
1.2,0.09,1.74,3.4,3.36,-       
1.25,0.09,1.74,3.4,3.29,-       
1.3,0.1,1.73,3.4,3.23,-       
1.35,0.09,1.73,3.4,3.18,-       
1.4,0.06,1.74,3.4,3.14,-       
1.45,0.05,1.72,3.4,3.11,-       
1.5,0.07,1.73,3.4,3.11,-       
1.55,0.13,1.75,3.4,3.14,-       
1.6,0.1,1.75,3.4,3.16,-       
1.65,0.11,1.75,3.4,3.24,-       
1.7,0.11,1.75,3.4,3.34,-       
1.75,0.12,1.76,3.4,3.44,-       
1.8,0.12,1.75,3.4,3.53,-       
1.85,0.12,1.74,3.4,3.71,-       
1.9,0.12,1.74,3.4,3.71,-       
1.95,0.07,1.73,3.4,3.75,-       
2.0,0.1,1.73,3.4,3.85,-       
2.05,0.09,1.73,3.4,3.87,-       
2.1,0.09,1.72,3.4,3.91,-       
2.15,0.1,1.72,3.4,3.96,-       
2.2,0.09,1.61,3.4,3.95,-       
2.25,0.06,1.64,3.4,3.99,-       
2.3,0.16,1.71,3.4,4.0,-       
2.35,0.12,1.66,3.4,4.03,gaze started: p_3_3
2.4,0.11,1.65,3.4,4.04,gaze started: p_3_2
2.45,0.11,1.64,3.4,4.04,-       
2.5,0.11,1.66,3.4,3.9,-       
2.55,0.11,1.68,3.4,3.71,-       
2.6,0.13,1.72,3.4,3.54,-       
2.65,0.14,1.73,3.46,3.36,gaze fixated: p_3_2
2.7,0.15,1.73,3.4,3.17,gaze ended: p_3_2
2.75,0.1,1.71,3.4,3.1,gaze started: p_3_3
2.8,0.11,1.72,3.4,3.0,gaze started: p_3_2
2.85,0.14,1.72,3.46,2.96,-       
2.9,0.11,1.7,3.4,2.92,-       
2.95,0.12,1.72,3.4,2.9,gaze started: p_3_2
3.0,0.18,1.73,3.4,2.89,-       
3.05,0.18,1.72,3.4,2.87,gaze started: p_3_3
3.1,0.18,1.72,3.4,2.88,-       
3.15,0.2,1.76,3.4,2.93,-       
3.2,0.09,1.71,3.4,2.94,-       
3.25,0.09,1.71,3.4,2.94,gaze started: p_3_2
3.3,0.15,1.73,3.4,2.93,-       
3.35,0.12,1.73,3.4,2.96,gaze started: p_3_3
3.4,0.12,1.73,3.4,2.98,gaze started: p_3_2
3.45,0.12,1.73,3.4,3.01,-       
3.5,0.13,1.72,3.4,3.02,-       
3.55,0.12,1.72,3.4,3.04,-       
3.6,0.12,1.73,3.4,3.07,-       
3.65,0.13,1.73,3.4,3.11,gaze fixated: p_3_2
3.7,0.12,1.74,3.4,3.16,-       
3.75,0.13,1.73,3.4,3.18,-       
3.8,0.13,1.72,3.46,3.23,-       
3.85,0.14,1.71,3.4,3.26,gaze ended: p_3_2
3.9,0.13,1.71,3.4,3.28,gaze started: p_3_3
3.95,0.13,1.73,3.4,3.31,gaze started: p_3_2
4.0,0.13,1.73,3.4,3.34,-       
4.05,0.13,1.73,3.4,3.33,-       
4.1,0.13,1.73,3.46,3.33,-       
4.15,0.13,1.74,3.46,3.34,-       
4.2,0.15,1.74,3.4,3.35,-       
4.25,0.13,1.71,3.4,3.34,gaze started: p_3_3
4.3,0.17,1.72,3.4,3.34,gaze started: p_3_2
4.35,0.15,1.71,3.4,3.33,gaze started: p_3_3
4.4,0.15,1.71,3.4,3.34,-       
4.45,0.17,1.74,3.4,3.35,-       
4.5,0.13,1.74,3.4,3.36,-       
4.55,0.13,1.73,3.4,3.37,gaze started: p_3_2
4.6,0.12,1.71,3.4,3.39,-       
4.65,0.05,1.68,3.4,3.41,-       
4.7,0.09,1.65,3.4,3.44,-       
4.75,0.08,1.66,3.4,3.45,-       
4.8,0.08,1.66,3.4,3.45,gaze fixated: p_3_2
4.85,0.13,1.65,3.4,3.47,-       
4.9,0.12,1.64,3.4,3.48,-       
4.95,0.05,1.65,3.4,3.49,-       
5.0,0.08,1.66,3.4,3.5,-       
5.05,0.03,1.59,3.4,3.44,-       
5.1,0.64,0.64,-0.26,,-       
5.15,0.65,0.64,-0.25,,gaze ended: p_3_2
5.2,0.65,0.63,-0.25,,-       
5.25,0.65,0.63,-0.25,,-       
5.3,0.3,1.5,3.4,3.49,-       
5.35,0.29,1.46,3.4,3.46,gaze started: p_3_3
5.4,0.3,1.45,3.4,3.43,-       
5.45,0.23,1.4,3.4,3.45,-       
5.5,0.23,1.41,3.4,3.53,-       
5.55,0.26,1.42,3.4,3.53,-       
5.6,0.26,1.42,3.4,3.46,-       
5.65,0.25,1.43,3.4,3.39,gaze fixated: p_3_3
5.7,0.25,1.42,3.4,3.32,-       
5.75,0.25,1.42,3.4,3.25,-       
5.8,0.23,1.43,3.4,3.15,-       
5.85,0.25,1.42,3.4,3.11,-       
5.9,0.25,1.42,3.4,3.1,-       
5.95,0.25,1.43,3.4,3.1,-       
6.0,0.25,1.43,3.4,3.1,-       
6.05,0.24,1.43,3.4,3.15,-       
6.1,0.24,1.42,3.4,3.18,-       
6.15,0.25,1.41,3.4,3.21,-       
6.2,0.28,1.44,3.4,3.23,-       
6.25,0.26,1.43,3.4,3.24,-       
6.3,0.23,1.4,3.4,3.25,-       
6.35,0.28,1.45,3.4,3.29,-       
6.4,0.26,1.46,3.4,3.27,-       
6.45,0.28,1.5,3.4,3.31,-       
6.5,0.24,1.45,3.4,3.3,-       
6.55,0.24,1.43,3.4,3.32,-       
6.6,0.26,1.46,3.4,3.37,-       
6.65,0.2,1.46,3.4,3.42,-       
6.7,0.24,1.47,3.4,3.44,-       
6.75,0.22,1.47,3.4,3.47,-       
6.8,0.22,1.47,3.4,3.49,-       
6.85,0.26,1.48,3.4,3.5,-       
6.9,0.22,1.46,3.4,3.48,-       
6.95,0.22,1.46,3.4,3.47,-       
7.0,0.22,1.46,3.4,3.47,-       
7.05,0.21,1.46,3.4,3.52,-       
7.1,0.21,1.48,3.4,3.54,-       
7.15,0.21,1.47,3.4,3.55,-       
7.2,0.21,1.48,3.4,3.57,-       
7.25,0.2,1.45,3.4,3.58,-       
7.3,0.19,1.44,3.4,3.58,-       
7.35,0.19,1.43,3.4,3.58,-       
7.4,0.2,1.44,3.4,3.57,-       
7.45,0.19,1.45,3.4,3.58,-       
7.5,0.19,1.45,3.4,3.62,-       
7.55,0.21,1.44,3.4,3.61,-       
