time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.51,2.37,3.4,5.16,-       
0.05,-0.51,2.37,3.4,5.18,-       
0.1,-0.51,2.36,3.4,5.18,-       
0.15,-0.51,2.32,3.4,5.19,-       
0.2,-0.51,2.32,3.4,5.2,-       
0.25,-0.47,2.36,3.4,5.22,-       
0.3,-0.49,2.35,3.4,5.21,-       
0.35,-0.49,2.35,3.4,5.21,-       
0.4,-0.49,2.34,3.4,5.2,-       
0.45,-0.5,2.35,3.4,5.19,-       
0.5,-0.49,2.35,3.4,5.14,-       
0.55,-0.49,2.35,3.4,5.14,-       
0.6,-0.49,2.35,3.4,5.14,-       
0.65,-0.49,2.35,3.4,5.14,-       
0.7,-0.49,2.35,3.4,5.14,-       
0.75,-0.49,2.35,3.4,5.14,-       
0.8,-0.49,2.35,3.4,5.14,-       
0.85,-0.49,2.35,3.4,5.14,-       
0.9,-0.49,2.35,3.4,5.14,-       
0.95,-0.48,2.33,3.4,4.92,-       
1.0,-0.49,2.32,3.4,4.93,-       
1.05,-0.48,2.3,3.4,4.95,-       
1.1,-0.49,2.33,3.4,4.99,-       
1.15,-0.46,2.32,3.4,5.01,-       
1.2,-0.49,2.31,3.4,5.02,-       
1.25,-0.48,2.31,3.4,5.01,-       
1.3,-0.29,2.33,3.4,5.06,-       
1.35,-0.4,2.23,3.4,5.04,gaze started: p_2_2
1.4,-0.47,2.24,3.4,5.05,-       
1.45,-0.39,2.27,3.4,5.05,-       
1.5,-0.33,2.29,3.4,5.06,-       
1.55,-0.31,2.27,3.4,5.08,-       
1.6,-0.4,2.29,3.4,5.1,-       
1.65,-0.25,2.23,3.4,5.16,-       
1.7,-0.27,2.28,3.46,5.19,-       
1.75,-0.24,2.25,3.4,5.18,-       
1.8,-0.16,2.19,3.4,5.17,-       
1.85,-0.18,2.18,3.4,5.2,-       
1.9,-0.17,2.16,3.4,5.19,-       
1.95,-0.18,2.18,3.4,5.22,-       
2.0,-0.17,2.18,3.4,5.3,-       
2.05,-0.19,2.22,3.4,5.28,-       
2.1,-0.19,2.22,3.4,5.29,-       
2.15,-0.14,2.2,3.4,5.31,-       
2.2,-0.14,2.21,3.4,5.34,-       
2.25,-0.1,2.18,3.4,5.46,-       
2.3,-0.12,2.08,3.4,5.24,-       
2.35,-0.11,2.17,3.4,5.26,-       
2.4,-0.14,2.18,3.4,5.14,-       
2.45,-0.13,2.16,3.4,4.89,-       
2.5,-0.17,2.16,3.4,4.61,-       
2.55,-0.22,2.16,3.4,4.2,-       
2.6,-0.14,2.08,3.4,4.05,-       
2.65,-0.19,2.11,3.4,3.82,-       
2.7,-0.18,2.1,3.4,3.72,-       
2.75,-0.15,2.05,3.4,3.6,-       
2.8,-0.14,2.03,3.4,3.54,-       
2.85,-0.14,2.02,3.4,3.5,-       
2.9,-0.15,2.04,3.4,3.47,-       
2.95,-0.15,2.04,3.4,3.42,-       
3.0,-0.17,2.05,3.4,3.41,-       
3.05,-0.15,2.04,3.4,3.4,-       
3.1,-0.13,2.01,3.4,3.38,-       
3.15,-0.15,2.02,3.4,3.38,-       
3.2,-0.15,2.02,3.4,3.39,-       
3.25,-0.14,2.02,3.4,3.37,-       
3.3,-0.14,2.01,3.4,3.4,-       
