time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.13,1.68,3.46,3.4,gaze fixated: p_3_2
0.05,0.13,1.69,3.46,3.41,gaze ended: p_3_2
0.1,0.13,1.68,3.4,3.39,-       
0.15,0.12,1.67,3.4,3.37,gaze started: p_3_2
0.2,0.12,1.67,3.4,3.35,-       
0.25,0.12,1.67,3.4,3.35,-       
0.3,0.12,1.67,3.4,3.35,-       
0.35,0.12,1.67,3.4,3.35,-       
0.4,0.12,1.67,3.4,3.35,-       
0.45,0.12,1.67,3.4,3.35,-       
0.5,0.12,1.67,3.4,3.35,-       
0.55,0.12,1.67,3.4,3.35,-       
0.6,0.12,1.67,3.4,3.35,-       
0.65,0.12,1.67,3.4,3.35,-       
0.7,0.12,1.67,3.4,3.35,-       
0.75,0.12,1.67,3.4,3.35,-       
0.8,0.13,1.66,3.4,3.28,gaze fixated: p_3_2
0.85,0.13,1.66,3.4,3.28,gaze fixated: p_3_2
0.9,0.13,1.66,3.4,3.28,gaze fixated: p_3_2
0.95,0.12,1.66,3.4,3.26,-       
1.0,0.12,1.66,3.4,3.21,-       
1.05,0.12,1.66,3.4,3.18,-       
1.1,0.12,1.66,3.4,3.17,-       
1.15,0.12,1.66,3.4,3.16,-       
1.2,0.11,1.67,3.4,3.16,-       
1.25,0.11,1.67,3.4,3.17,-       
1.3,0.11,1.67,3.4,3.17,-       
1.35,0.08,1.68,3.4,3.19,-       
1.4,0.13,1.68,3.4,3.22,-       
1.45,0.12,1.68,3.4,3.29,-       
1.5,0.11,1.68,3.4,3.36,-       
1.55,0.1,1.67,3.4,3.43,-       
1.6,0.09,1.67,3.4,3.52,-       
1.65,0.11,1.67,3.4,3.58,-       
1.7,0.12,1.67,3.4,3.63,-       
1.75,0.11,1.67,3.4,3.67,-       
1.8,0.11,1.66,3.4,3.72,-       
1.85,0.11,1.66,3.4,3.76,-       
1.9,0.11,1.66,3.4,3.8,-       
1.95,0.11,1.67,3.4,3.84,-       
2.0,0.1,1.67,3.4,3.88,-       
2.05,0.1,1.66,3.4,3.92,-       
2.1,0.1,1.66,3.4,3.98,-       
2.15,0.1,1.65,3.4,4.01,-       
2.2,0.09,1.65,3.4,4.01,-       
2.25,0.09,1.65,3.4,4.02,-       
2.3,0.1,1.66,3.4,3.91,-       
2.35,0.12,1.67,3.4,3.69,-       
2.4,0.11,1.67,3.4,3.48,-       
2.45,0.11,1.67,3.4,3.32,-       
2.5,0.16,1.69,3.4,3.19,-       
2.55,0.11,1.67,3.4,3.1,gaze started: p_3_3
2.6,0.11,1.68,3.4,3.02,gaze started: p_3_2
2.65,0.12,1.68,3.4,2.98,-       
2.7,0.12,1.67,3.4,2.97,-       
