time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.59,2.33,3.4,5.45,-       
0.05,-0.6,2.33,3.4,5.49,-       
0.1,-0.6,2.33,3.4,5.5,-       
0.15,-0.6,2.33,3.4,5.51,-       
0.2,-0.61,2.34,3.4,5.57,-       
0.25,-0.61,2.33,3.4,5.62,-       
0.3,-0.61,2.33,3.4,5.62,-       
0.35,-0.61,2.33,3.4,5.62,-       
0.4,-0.61,2.33,3.4,5.62,-       
0.45,-0.61,2.33,3.4,5.62,-       
0.5,-0.61,2.33,3.4,5.62,-       
0.55,-0.61,2.33,3.4,5.62,-       
0.6,-0.61,2.33,3.4,5.62,-       
0.65,-0.61,2.33,3.4,5.62,-       
0.7,-0.61,2.33,3.4,5.62,-       
0.75,-0.6,2.46,3.4,5.77,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_aribnb_30s_50wd.mp4
0.8,-0.6,2.46,3.4,5.77,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_aribnb_30s_50wd.mp4
0.85,-0.59,2.47,3.4,5.77,-       
0.9,-0.65,2.45,3.4,5.72,-       
0.95,0.61,0.76,-0.3,,-       
1.0,0.61,0.76,-0.3,,gaze ended: p_1_2
1.05,0.6,0.76,-0.3,,-       
1.1,0.6,0.76,-0.3,,-       
1.15,-0.62,2.4,3.4,5.85,-       
1.2,-0.59,2.38,3.4,5.85,gaze started: p_1_2
1.25,0.6,0.76,-0.3,,-       
1.3,0.6,0.76,-0.3,,-       
1.35,0.6,0.76,-0.3,,-       
1.4,0.6,0.76,-0.3,,-       
1.45,0.6,0.76,-0.3,,-       
1.5,0.6,0.76,-0.3,,-       
1.55,0.6,0.76,-0.3,,-       
1.6,0.6,0.75,-0.3,,-       
1.65,0.6,0.75,-0.3,,-       
1.7,-0.47,2.07,3.4,5.6,-       
1.75,-0.44,1.94,3.4,5.55,gaze started: p_2_2
1.8,0.6,0.75,-0.3,,-       
1.85,0.6,0.75,-0.3,,-       
1.9,0.6,0.76,-0.3,,-       
1.95,0.6,0.76,-0.3,,-       
2.0,0.6,0.75,-0.3,,-       
2.05,0.6,0.75,-0.3,,-       
2.1,0.6,0.75,-0.3,,-       
2.15,0.6,0.76,-0.3,,-       
2.2,-0.68,2.09,3.4,5.4,-       
2.25,-0.7,2.25,3.4,5.58,gaze started: p_2_2
2.3,-0.31,2.09,3.4,5.39,gaze started: p_2_1
2.35,0.43,1.76,3.4,5.08,gaze started: p_2_2
2.4,0.32,1.81,3.4,4.78,gaze started: p_3_3
2.45,0.48,1.77,3.4,4.54,gaze started: p_2_3
2.5,0.34,1.79,3.4,4.36,gaze started: p_3_3
2.55,0.4,1.73,3.4,4.27,-       
2.6,0.39,1.74,3.4,3.98,-       
2.65,0.39,1.74,3.4,3.78,-       
2.7,0.42,1.74,3.4,3.63,-       
2.75,0.43,1.74,3.4,3.49,gaze fixated: p_3_3
2.8,0.4,1.73,3.4,3.3,-       
2.85,0.32,1.71,3.4,3.16,-       
2.9,0.29,1.73,3.4,3.12,-       
2.95,0.38,1.74,3.4,3.09,-       
3.0,0.37,1.73,3.4,3.08,-       
3.05,0.38,1.74,3.4,3.05,-       
3.1,0.39,1.73,3.4,3.0,-       
3.15,0.39,1.73,3.4,3.0,-       
3.2,0.33,1.74,3.4,2.94,-       
3.25,0.33,1.74,3.4,2.94,-       
3.3,0.6,0.76,-0.3,,-       
3.35,0.61,0.76,-0.3,,gaze ended: p_3_3
3.4,0.61,0.76,-0.3,,-       
3.45,0.61,0.76,-0.3,,-       
3.5,0.61,0.76,-0.3,,-       
3.55,-0.13,2.17,3.4,3.01,-       
3.6,-0.2,2.16,3.4,3.0,gaze started: p_2_2
3.65,-0.31,2.12,3.4,3.01,-       
3.7,-0.31,2.11,3.4,3.0,-       
3.75,-0.3,2.12,3.4,3.03,-       
3.8,-0.22,2.11,3.4,3.07,-       
3.85,-0.14,2.12,3.4,3.08,gaze fixated: p_2_2
3.9,-0.25,2.12,3.4,3.04,-       
3.95,-0.06,2.04,3.4,3.02,-       
4.0,-0.06,2.04,3.4,3.02,-       
4.05,0.28,1.76,3.4,3.08,-       
4.1,0.15,1.71,3.4,3.1,gaze started: p_3_3
4.15,0.23,1.76,3.4,3.13,gaze started: p_3_2
4.2,0.23,1.76,3.4,3.13,gaze started: p_3_2
