time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.09,1.11,3.4,3.7,gaze started: p_4_2
0.05,0.15,1.11,3.4,3.69,-       
0.1,0.15,1.11,3.4,3.69,-       
0.15,0.15,1.11,3.4,3.69,-       
0.2,0.15,1.11,3.4,3.69,-       
0.25,0.15,1.11,3.4,3.69,-       
0.3,0.15,1.11,3.4,3.69,-       
0.35,0.15,1.11,3.4,3.69,-       
0.4,0.15,1.11,3.4,3.69,-       
0.45,0.15,1.11,3.4,3.69,-       
0.5,0.15,1.11,3.4,3.69,-       
0.55,0.32,1.14,3.4,3.76,gaze started: p_4_3
0.6,0.32,1.14,3.4,3.76,gaze started: p_4_3
0.65,0.32,1.14,3.4,3.76,gaze started: p_4_3
0.7,0.32,1.14,3.4,3.76,gaze started: p_4_3
0.75,0.11,1.09,3.4,3.85,-       
0.8,0.18,1.07,3.4,3.83,gaze started: p_4_2
0.85,0.19,1.07,3.4,3.83,gaze started: p_4_3
0.9,0.19,1.07,3.4,3.84,-       
0.95,0.24,1.0,3.4,3.8,-       
1.0,0.57,0.77,-0.31,,-       
1.05,0.57,0.77,-0.31,,-       
1.1,0.57,0.77,-0.31,,-       
1.15,0.57,0.77,-0.31,,-       
1.2,0.12,1.57,3.4,3.64,-       
1.25,0.12,1.65,3.4,3.79,gaze started: p_3_2
1.3,0.1,1.65,3.4,3.77,-       
1.35,0.11,1.65,3.4,3.78,-       
1.4,0.04,1.65,3.4,3.79,-       
1.45,0.04,1.65,3.4,3.79,-       
1.5,0.04,1.65,3.4,3.81,gaze fixated: p_3_2
1.55,0.05,1.65,3.4,3.84,-       
1.6,0.05,1.72,3.4,3.87,-       
1.65,0.2,1.91,3.4,3.83,-       
1.7,0.3,1.83,3.4,3.86,gaze started: p_2_3
1.75,0.26,1.84,3.4,3.83,-       
1.8,0.26,1.84,3.4,3.85,-       
1.85,0.28,1.84,3.4,3.84,-       
1.9,0.27,1.84,3.4,3.85,-       
1.95,0.27,1.84,3.4,3.8,-       
