time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.53,2.34,3.4,3.4,-       
0.05,-0.55,2.38,3.4,3.4,-       
0.1,-0.56,2.37,3.4,3.39,-       
0.15,-0.52,2.41,3.4,3.34,-       
0.2,-0.55,2.36,3.4,3.32,-       
0.25,-0.56,2.36,3.4,3.26,-       
0.3,-0.43,2.05,3.4,3.26,gaze started: p_2_2
0.35,-0.5,2.05,3.4,3.23,-       
0.4,-0.49,2.05,3.4,3.23,-       
0.45,-0.5,2.04,3.4,3.27,-       
0.5,-0.51,2.04,3.4,3.28,-       
0.55,-0.51,2.04,3.4,3.28,-       
0.6,-0.51,2.04,3.4,3.28,-       
0.65,-0.51,2.04,3.4,3.28,-       
0.7,-0.51,2.04,3.4,3.28,-       
0.75,-0.51,2.04,3.4,3.28,-       
0.8,-0.51,2.04,3.4,3.28,-       
0.85,-0.51,2.04,3.4,3.28,-       
0.9,-0.51,2.04,3.4,3.28,-       
0.95,-0.61,2.33,3.4,3.08,gaze fixated: p_2_2
1.0,-0.61,2.33,3.4,3.08,-       
1.05,-0.61,2.32,3.4,3.08,-       
1.1,-0.61,2.32,3.4,3.05,-       
1.15,-0.62,2.32,3.4,3.04,-       
1.2,-0.62,2.32,3.4,3.04,-       
1.25,-0.58,2.35,3.4,3.04,-       
1.3,-0.43,2.19,3.4,3.21,-       
1.35,0.97,0.67,-0.45,,-       
1.4,0.97,0.67,-0.45,,-       
1.45,0.97,0.67,-0.45,,-       
1.5,0.97,0.67,-0.45,,-       
1.55,0.97,0.68,-0.45,,-       
1.6,0.96,0.68,-0.45,,-       
1.65,0.26,1.52,3.4,3.44,-       
1.7,0.28,1.48,3.4,3.38,gaze started: p_3_3
1.75,0.28,1.48,3.4,3.44,-       
1.8,0.28,1.48,3.4,3.44,-       
1.85,0.02,1.61,3.4,3.47,-       
1.9,-0.1,1.63,3.4,3.52,gaze started: p_3_2
1.95,-0.13,1.6,3.4,3.47,-       
