time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.44,2.25,3.4,3.4,-       
0.05,-0.44,2.25,3.4,3.4,-       
0.1,-0.45,2.26,3.4,3.41,-       
0.15,-0.45,2.26,3.4,3.42,-       
0.2,-0.45,2.26,3.4,3.45,-       
0.25,-0.45,2.25,3.4,3.49,-       
0.3,-0.45,2.25,3.4,3.48,-       
0.35,-0.46,2.25,3.4,3.47,-       
0.4,-0.45,2.26,3.4,3.47,-       
0.45,-0.65,2.28,3.4,3.43,-       
0.5,-0.65,2.28,3.4,3.43,-       
0.55,-0.65,2.28,3.4,3.43,-       
0.6,-0.65,2.28,3.4,3.43,-       
0.65,-0.65,2.28,3.4,3.43,-       
0.7,-0.65,2.28,3.4,3.43,-       
0.75,-0.65,2.28,3.4,3.43,-       
0.8,-0.65,2.28,3.4,3.43,-       
0.85,-0.65,2.28,3.4,3.43,-       
0.9,-0.65,2.28,3.4,3.43,-       
0.95,-0.39,2.28,3.4,3.4,gaze started: p_1_2
1.0,-0.39,2.28,3.4,3.41,-       
1.05,-0.39,2.28,3.4,3.41,-       
1.1,-0.4,2.28,3.4,3.42,-       
1.15,-0.41,2.28,3.4,3.46,-       
1.2,-0.41,2.28,3.4,3.46,gaze fixated: p_1_2
1.25,-0.41,2.28,3.4,3.49,-       
1.3,0.57,0.78,-0.32,,-       
1.35,0.57,0.78,-0.32,,gaze ended: p_1_2
1.4,0.57,0.78,-0.32,,-       
1.45,0.57,0.78,-0.32,,-       
1.5,0.57,0.78,-0.32,,-       
1.55,0.04,1.67,3.4,3.81,-       
1.6,0.05,1.66,3.4,3.78,gaze started: p_3_2
1.65,0.04,1.66,3.4,3.94,-       
1.7,0.57,0.78,-0.32,,-       
1.75,0.57,0.78,-0.32,,-       
1.8,0.57,0.78,-0.32,,-       
1.85,0.57,0.78,-0.32,,-       
1.9,0.57,0.78,-0.32,,-       
1.95,0.57,0.78,-0.32,,-       
2.0,-1.42,0.87,3.45,4.24,-       
2.05,-1.39,0.83,3.37,4.3,-       
2.1,-0.18,0.53,3.22,4.26,-       
2.15,-0.03,0.5,2.93,4.21,-       
2.2,-0.03,0.52,2.93,4.25,-       
2.25,-0.04,0.52,2.93,4.24,-       
2.3,-0.02,0.52,2.93,4.25,-       
2.35,-0.02,0.52,2.93,4.14,-       
2.4,0.51,1.53,3.4,3.84,-       
2.45,0.43,1.45,3.4,3.48,gaze started: p_3_3
2.5,0.42,1.45,3.4,3.28,-       
2.55,0.46,1.43,3.4,3.15,-       
2.6,0.46,1.43,3.4,3.15,-       
2.65,0.47,1.43,3.4,2.94,-       
2.7,0.47,1.43,3.4,2.94,-       
2.75,0.47,1.43,3.4,2.84,gaze fixated: p_3_3
2.8,0.13,1.81,3.46,2.62,-       
2.85,0.25,1.76,3.4,2.64,gaze ended: p_3_3
2.9,0.21,1.77,3.4,2.57,gaze started: p_3_3
2.95,0.21,1.77,3.4,2.55,-       
3.0,0.22,1.78,3.4,2.51,-       
3.05,0.21,1.78,3.4,2.5,-       
3.1,0.21,1.78,3.4,2.48,-       
3.15,0.22,1.78,3.4,2.49,gaze fixated: p_3_3
3.2,0.22,1.78,3.4,2.49,gaze fixated: p_3_3
3.25,0.21,1.78,3.4,2.5,-       
3.3,0.21,1.78,3.4,2.48,-       
3.35,0.21,1.78,3.4,2.5,-       
3.4,0.22,1.77,3.4,2.54,-       
3.45,0.22,1.77,3.4,2.58,-       
3.5,0.21,1.77,3.4,2.64,-       
3.55,0.21,1.77,3.4,2.69,-       
3.6,0.21,1.77,3.4,2.69,-       
3.65,0.17,1.19,3.4,2.99,-       
3.7,0.13,1.14,3.46,3.04,gaze started: p_4_3
3.75,0.12,1.14,3.4,3.08,-       
3.8,0.13,1.14,3.4,3.15,gaze started: p_4_2
3.85,0.13,1.14,3.4,3.2,-       
3.9,0.13,1.14,3.4,3.2,-       
3.95,-0.07,1.68,3.4,3.19,-       
4.0,-0.01,1.85,3.4,3.15,gaze started: p_3_2
4.05,-0.01,1.82,3.4,3.11,gaze started: p_2_2
4.1,-0.03,1.81,3.4,3.07,-       
4.15,-0.1,1.81,3.4,3.04,-       
4.2,0.57,0.79,-0.32,,-       
4.25,0.57,0.79,-0.32,,-       
4.3,-0.16,2.2,3.4,3.04,-       
4.35,-0.16,2.2,3.4,3.04,-       
4.4,-0.14,2.22,3.4,3.14,gaze started: p_2_2
4.45,0.03,2.07,3.4,3.12,-       
4.5,0.42,2.06,3.4,3.26,-       
4.55,0.34,2.1,3.4,3.27,gaze started: p_2_3
4.6,0.36,2.08,3.4,3.32,-       
4.65,0.33,2.1,3.4,3.33,-       
4.7,0.33,2.1,3.4,3.33,-       
4.75,0.35,2.09,3.4,3.35,-       
4.8,0.18,1.65,3.4,3.34,-       
4.85,0.06,1.65,3.4,3.31,gaze started: p_3_3
4.9,0.11,1.64,3.4,3.31,gaze started: p_3_2
4.95,0.12,1.66,3.4,3.32,-       
5.0,0.15,1.66,3.4,3.36,-       
5.05,0.57,0.79,-0.32,,gaze started: p_3_3
5.1,0.57,0.79,-0.32,,-       
5.15,0.57,0.79,-0.32,,-       
5.2,0.57,0.79,-0.32,,-       
5.25,0.57,0.79,-0.32,,-       
5.3,0.57,0.79,-0.32,,-       
5.35,0.57,0.79,-0.32,,-       
5.4,0.17,1.55,3.4,3.4,-       
5.45,0.02,1.57,3.4,3.55,gaze started: p_3_3
5.5,0.18,1.56,3.4,3.61,gaze started: p_3_2
5.55,0.16,1.57,3.4,3.58,gaze started: p_3_3
5.6,0.16,1.57,3.4,3.58,gaze started: p_3_3
5.65,0.08,1.83,3.4,3.36,-       
5.7,0.06,1.81,3.46,3.28,gaze started: p_2_2
5.75,0.06,1.81,3.46,3.28,gaze started: p_2_2
5.8,0.12,1.81,3.46,3.12,-       
