time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.48,2.66,3.4,5.08,-       
0.05,-0.49,2.66,3.4,5.14,gaze started: p_1_2
0.1,-0.48,2.69,3.4,5.14,-       
0.15,-0.48,2.69,3.4,5.14,-       
0.2,-0.48,2.69,3.4,5.14,-       
0.25,-0.48,2.69,3.4,5.14,-       
0.3,-0.48,2.69,3.4,5.14,-       
0.35,-0.48,2.69,3.4,5.14,-       
0.4,-0.48,2.69,3.4,5.14,-       
0.45,-0.48,2.69,3.4,5.14,-       
0.5,-0.48,2.69,3.4,5.14,-       
0.55,-0.48,2.69,3.4,5.14,-       
0.6,-0.73,2.31,3.4,5.16,gaze fixated: p_1_2
0.65,-0.73,2.31,3.4,5.16,gaze fixated: p_1_2
0.7,-0.73,2.31,3.4,5.16,gaze fixated: p_1_2
0.75,-0.73,2.31,3.4,5.16,gaze fixated: p_1_2
0.8,-0.74,2.31,3.4,5.14,gaze started: p_1_1
0.85,-0.74,2.32,3.4,5.14,-       
0.9,-0.73,2.35,3.4,5.13,-       
0.95,-0.73,2.3,3.4,5.11,-       
1.0,-0.68,2.34,3.4,5.11,-       
1.05,0.04,2.23,3.4,5.1,gaze started: p_1_2
1.1,0.19,2.09,3.4,5.07,gaze started: p_2_2
1.15,0.17,2.11,3.4,5.07,gaze started: p_2_3
1.2,0.21,2.2,3.4,5.08,-       
1.25,0.2,2.17,3.4,5.09,-       
1.3,0.19,2.16,3.4,5.09,-       
1.35,0.2,2.18,3.4,5.08,-       
1.4,0.21,2.17,3.4,5.06,-       
1.45,0.26,2.17,3.4,5.0,gaze fixated: p_2_3
1.5,1.0,0.85,-0.62,,-       
1.55,1.0,0.85,-0.62,,-       
1.6,1.0,0.85,-0.62,,-       
1.65,1.0,0.85,-0.61,,-       
1.7,-0.35,2.45,3.4,5.08,-       
1.75,-0.37,2.37,3.4,5.08,gaze started: p_1_2
1.8,-0.25,2.3,3.4,5.12,-       
1.85,0.29,2.28,3.46,5.1,-       
1.9,0.33,2.32,3.4,5.05,-       
1.95,0.01,2.2,3.4,5.1,gaze started: p_2_2
2.0,-0.0,2.18,3.4,5.07,-       
2.05,0.05,2.22,3.4,5.04,-       
2.1,0.56,1.71,3.4,4.71,-       
2.15,0.63,1.63,3.4,4.49,gaze started: p_3_3
2.2,0.59,1.69,3.4,4.3,-       
2.25,0.6,1.71,3.4,4.15,-       
2.3,0.61,1.7,3.4,4.05,-       
2.35,0.6,1.67,3.4,3.99,-       
2.4,0.1,1.87,3.4,3.75,-       
2.45,-0.16,1.98,3.4,3.68,gaze started: p_2_2
2.5,-0.09,2.04,3.4,3.67,-       
2.55,-0.07,2.05,3.4,3.64,-       
2.6,-0.09,2.04,3.4,3.62,-       
2.65,-0.09,2.04,3.4,3.52,-       
2.7,-0.09,2.04,3.4,3.52,-       
2.75,-0.07,2.04,3.4,3.37,gaze fixated: p_2_2
2.8,-0.08,2.04,3.4,3.34,-       
2.85,-0.08,2.05,3.4,3.33,-       
2.9,-0.05,2.04,3.4,3.27,-       
2.95,1.0,0.85,-0.62,,-       
3.0,1.0,0.85,-0.62,,gaze ended: p_2_2
3.05,1.01,0.85,-0.63,,-       
3.1,1.0,0.85,-0.62,,-       
3.15,0.15,1.62,3.4,3.24,-       
3.2,0.15,1.62,3.4,3.26,gaze started: p_3_3
3.25,0.3,1.67,3.4,3.31,-       
3.3,0.24,1.65,3.4,3.31,-       
3.35,0.25,1.66,3.4,3.32,-       
3.4,0.24,1.64,3.4,3.34,-       
3.45,0.24,1.64,3.4,3.41,gaze fixated: p_3_3
3.5,0.24,1.64,3.4,3.45,-       
3.55,0.23,1.63,3.4,3.48,-       
3.6,0.23,1.64,3.4,3.48,-       
3.65,0.27,1.64,3.4,3.53,-       
3.7,0.21,1.61,3.4,3.54,-       
3.75,0.9,1.41,3.4,3.57,-       
3.8,0.88,1.43,3.4,3.53,-       
3.85,0.93,1.43,3.4,3.58,-       
3.9,0.92,1.43,3.4,3.57,-       
