time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.75,2.36,3.4,3.58,gaze started: p_1_1
0.05,-0.75,2.35,3.4,3.59,-       
0.1,-0.75,2.34,3.4,3.59,-       
0.15,-0.74,2.33,3.4,3.61,-       
0.2,-0.75,2.34,3.4,3.63,-       
0.25,-0.75,2.36,3.4,3.63,-       
0.3,-0.75,2.36,3.4,3.6,gaze fixated: p_1_1
0.35,-0.75,2.36,3.4,3.6,gaze fixated: p_1_1
0.4,-0.75,2.36,3.4,3.6,gaze fixated: p_1_1
0.45,-0.75,2.36,3.4,3.6,gaze fixated: p_1_1
0.5,-0.75,2.36,3.4,3.6,gaze fixated: p_1_1
0.55,-0.75,2.36,3.4,3.6,gaze fixated: p_1_1
0.6,-0.75,2.36,3.4,3.6,gaze fixated: p_1_1
0.65,-0.75,2.36,3.4,3.6,gaze fixated: p_1_1
0.7,-0.75,2.36,3.4,3.6,gaze fixated: p_1_1
0.75,-0.75,2.36,3.4,3.6,gaze fixated: p_1_1
0.8,-0.75,2.36,3.4,3.6,gaze fixated: p_1_1
0.85,-0.55,2.32,3.4,3.37,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_att_30s_50wd.mp4
0.9,-0.55,2.32,3.4,3.37,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_att_30s_50wd.mp4
0.95,-0.55,2.32,3.4,3.37,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_att_30s_50wd.mp4
1.0,0.3,2.03,3.4,3.31,gaze started: p_1_2
1.05,0.36,2.04,3.4,3.34,gaze started: p_2_3
1.1,0.36,2.04,3.4,3.36,-       
1.15,0.36,2.04,3.4,3.39,-       
1.2,0.35,2.05,3.4,3.42,-       
1.25,0.33,2.02,3.4,3.36,-       
1.3,0.8,0.51,-0.19,,gaze fixated: p_2_3
1.35,0.8,0.52,-0.19,,gaze ended: p_2_3
1.4,0.8,0.52,-0.19,,-       
1.45,0.79,0.52,-0.19,,-       
1.5,0.3,1.44,3.4,3.27,-       
1.55,0.46,1.43,3.4,3.26,gaze started: p_3_3
1.6,0.27,1.36,3.4,3.3,-       
1.65,0.38,1.41,3.4,3.35,-       
1.7,0.36,1.41,3.4,3.39,-       
1.75,0.38,1.42,3.4,3.45,-       
1.8,0.39,1.44,3.4,3.48,gaze fixated: p_3_3
1.85,0.38,1.45,3.4,3.51,-       
1.9,0.29,1.44,3.4,3.52,-       
1.95,0.29,1.44,3.4,3.54,-       
2.0,0.3,1.47,3.4,3.58,-       
2.05,0.09,1.7,3.4,3.58,-       
2.1,0.11,1.73,3.4,3.62,gaze started: p_3_2
2.15,-0.05,1.66,3.4,3.62,-       
2.2,0.03,1.68,3.4,3.62,-       
2.25,0.28,1.58,3.4,3.35,-       
2.3,0.45,1.53,3.4,3.02,gaze started: p_3_3
2.35,0.48,1.56,3.4,2.92,-       
2.4,0.51,1.55,3.4,2.84,-       
2.45,0.52,1.55,3.4,2.68,-       
2.5,0.52,1.55,3.4,2.59,-       
2.55,0.27,1.53,3.4,2.36,gaze fixated: p_3_3
2.6,0.15,1.59,3.4,2.33,-       
2.65,0.22,1.57,3.4,2.3,-       
2.7,0.18,1.58,3.4,2.3,-       
2.75,0.14,1.58,3.4,2.28,-       
2.8,0.18,1.56,3.4,2.26,-       
2.85,0.21,1.55,3.4,2.22,-       
2.9,0.19,1.56,3.4,2.21,-       
2.95,0.16,1.57,3.4,2.2,-       
3.0,0.23,1.54,3.4,2.21,-       
3.05,0.16,1.57,3.4,2.22,-       
3.1,0.16,1.57,3.4,2.24,-       
3.15,0.21,1.54,3.4,2.26,-       
3.2,0.18,1.55,3.4,2.3,-       
3.25,0.21,1.55,3.4,2.47,-       
3.3,0.21,1.55,3.4,2.47,-       
3.35,0.21,1.58,3.4,2.53,-       
3.4,0.2,1.6,3.4,2.63,-       
3.45,0.2,1.61,3.4,2.72,-       
3.5,0.2,1.61,3.4,2.75,-       
3.55,0.14,1.66,3.46,2.73,-       
3.6,0.14,1.67,3.46,2.83,gaze ended: p_3_3
3.65,0.15,1.65,3.4,2.85,-       
3.7,0.12,1.73,3.4,3.08,gaze started: p_3_3
3.75,0.75,0.54,-0.19,,gaze started: p_3_2
3.8,0.75,0.54,-0.19,,-       
3.85,0.75,0.54,-0.19,,-       
3.9,0.75,0.54,-0.19,,-       
3.95,0.09,1.83,3.4,2.89,-       
4.0,0.23,1.75,3.4,2.91,gaze started: p_2_2
4.05,0.17,1.78,3.4,2.93,gaze started: p_3_3
4.1,0.17,1.79,3.4,2.95,-       
