time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.35,1.56,3.4,4.14,-       
0.05,-0.32,1.6,3.4,4.29,-       
0.1,-0.32,1.49,3.4,3.94,-       
0.15,-0.49,1.33,3.46,3.92,-       
0.2,-0.52,1.4,3.4,3.96,gaze ended: p_3_2
0.25,0.89,0.66,-0.34,,-       
0.3,0.89,0.66,-0.34,,-       
0.35,-0.6,1.42,3.4,3.64,-       
0.4,-0.62,1.65,3.4,3.84,gaze started: p_3_2
0.45,-0.61,1.75,3.4,3.68,-       
0.5,-0.59,1.74,3.4,3.68,-       
0.55,-0.59,1.74,3.4,3.68,-       
0.6,-0.59,1.74,3.4,3.68,-       
0.65,-0.59,1.74,3.4,3.68,-       
0.7,-0.59,1.74,3.4,3.68,-       
0.75,-0.59,1.74,3.4,3.68,-       
0.8,-0.59,1.74,3.4,3.68,-       
0.85,-0.59,1.74,3.4,3.68,-       
0.9,-0.59,1.74,3.4,3.68,-       
0.95,-0.59,1.74,3.4,3.68,-       
1.0,0.89,0.66,-0.34,,gaze fixated: p_3_2
1.05,0.89,0.66,-0.34,,gaze ended: p_3_2
1.1,0.89,0.66,-0.34,,-       
1.15,0.89,0.66,-0.34,,-       
1.2,0.89,0.66,-0.34,,-       
1.25,0.89,0.66,-0.34,,-       
1.3,0.89,0.66,-0.34,,-       
1.35,-0.38,1.35,3.4,3.36,-       
1.4,-0.12,1.28,3.4,2.95,gaze started: p_3_2
1.45,-0.06,1.25,3.4,3.17,gaze started: p_4_2
1.5,-0.03,1.31,3.4,3.47,-       
1.55,-0.14,1.28,3.4,3.21,-       
1.6,-0.11,1.25,3.4,3.37,-       
1.65,-0.04,1.31,3.4,3.22,-       
1.7,-0.04,1.32,3.46,3.48,gaze fixated: p_4_2
1.75,-0.04,1.31,3.4,3.46,gaze ended: p_4_2
1.8,-0.3,0.91,3.4,2.99,-       
1.85,-0.42,1.23,3.4,3.51,-       
1.9,0.38,0.82,3.57,3.51,-       
1.95,0.89,0.66,-0.34,,-       
2.0,0.89,0.66,-0.34,,-       
2.05,0.89,0.66,-0.34,,-       
2.1,0.89,0.66,-0.34,,-       
2.15,0.89,0.66,-0.34,,-       
2.2,0.89,0.66,-0.34,,-       
2.25,0.89,0.66,-0.34,,-       
2.3,-0.02,1.17,3.4,3.2,-       
2.35,-0.11,1.44,3.4,3.4,gaze started: p_4_2
2.4,-0.14,1.65,3.4,3.69,gaze started: p_3_2
2.45,0.03,1.59,3.4,3.83,-       
2.5,0.6,1.4,3.4,4.2,-       
2.55,0.52,1.29,3.4,3.47,gaze started: p_4_3
2.6,0.55,1.36,3.4,3.46,-       
2.65,0.52,1.4,3.4,3.42,gaze started: p_3_3
2.7,0.54,1.42,3.4,3.37,-       
2.75,0.58,1.47,3.4,3.22,-       
2.8,0.37,1.36,3.4,2.96,-       
2.85,0.41,1.46,3.4,3.17,-       
2.9,0.39,1.49,3.4,3.11,gaze fixated: p_3_3
2.95,0.39,1.51,3.4,3.01,-       
3.0,0.4,1.53,3.4,2.9,-       
3.05,0.37,1.54,3.4,3.01,-       
3.1,0.38,1.53,3.4,2.9,-       
3.15,0.42,1.51,3.4,2.86,-       
3.2,0.42,1.51,3.4,2.83,-       
3.25,0.24,1.47,3.4,2.75,-       
3.3,0.17,1.56,3.4,2.58,-       
3.35,0.18,1.57,3.4,2.97,-       
3.4,0.17,1.58,3.4,2.96,-       
3.45,0.17,1.56,3.4,2.94,-       
3.5,0.17,1.56,3.4,2.94,-       
3.55,0.19,1.55,3.4,2.89,-       
3.6,0.18,1.54,3.4,2.87,-       
3.65,0.17,1.51,3.4,2.87,-       
3.7,0.12,1.49,3.4,2.71,-       
3.75,0.11,1.45,3.4,2.61,-       
3.8,0.09,1.5,3.4,3.03,-       
3.85,0.89,0.66,-0.34,,-       
3.9,0.89,0.66,-0.34,,-       
3.95,0.89,0.66,-0.34,,-       
4.0,0.89,0.66,-0.34,,-       
4.05,0.89,0.66,-0.34,,-       
4.1,0.13,1.23,3.4,2.62,-       
4.15,0.37,1.32,3.4,3.13,-       
4.2,0.07,1.45,3.4,3.03,gaze started: p_4_3
4.25,0.09,1.4,3.4,3.04,gaze started: p_3_2
4.3,0.12,1.42,3.4,3.05,-       
4.35,0.89,0.66,-0.34,,-       
4.4,0.12,1.47,3.4,3.3,-       
4.45,0.11,1.46,3.4,3.15,gaze started: p_3_2
4.5,0.09,1.4,3.4,3.33,-       
4.55,0.13,1.38,3.4,3.22,-       
4.6,0.04,1.37,3.4,3.11,-       
4.65,0.09,1.37,3.4,3.22,-       
4.7,0.11,1.37,3.4,3.22,gaze fixated: p_3_2
4.75,0.09,1.35,3.4,3.24,-       
4.8,-0.13,1.25,3.4,2.65,-       
4.85,0.05,1.34,3.4,3.35,gaze started: p_4_2
4.9,0.07,1.35,3.4,3.35,gaze started: p_3_2
4.95,-0.03,1.2,3.4,2.91,-       
5.0,0.08,1.44,3.4,3.41,gaze started: p_4_2
5.05,0.07,1.34,3.4,3.12,gaze started: p_3_2
5.1,0.07,1.34,3.4,3.25,-       
5.15,0.89,0.66,-0.34,,gaze started: p_4_3
5.2,0.89,0.66,-0.34,,-       
5.25,0.89,0.66,-0.34,,-       
5.3,0.89,0.66,-0.34,,-       
5.35,0.89,0.66,-0.34,,-       
5.4,0.89,0.66,-0.34,,-       
5.45,0.89,0.66,-0.34,,-       
5.5,0.89,0.66,-0.34,,-       
5.55,0.89,0.66,-0.34,,-       
5.6,0.12,1.15,3.4,2.81,-       
5.65,0.03,1.49,3.4,3.48,gaze started: p_4_2
5.7,0.08,1.2,3.4,2.88,gaze started: p_4_2
5.75,0.08,1.23,3.4,3.1,-       
5.8,0.09,1.24,3.4,3.0,-       
5.85,0.09,1.22,3.4,2.96,-       
5.9,0.0,1.17,3.4,2.92,-       
5.95,0.09,1.23,3.4,2.89,-       
6.0,0.11,1.24,3.4,3.23,gaze fixated: p_4_2
6.05,0.89,0.66,-0.34,,-       
6.1,0.1,1.26,3.4,2.84,gaze ended: p_4_2
6.15,0.89,0.66,-0.34,,gaze started: p_4_2
6.2,0.08,1.24,3.4,2.86,-       
6.25,0.19,1.17,3.4,3.11,gaze started: p_4_2
6.3,0.89,0.66,-0.34,,gaze started: p_4_3
6.35,0.89,0.66,-0.34,,-       
6.4,0.89,0.66,-0.34,,-       
6.45,0.89,0.66,-0.34,,-       
6.5,0.89,0.66,-0.34,,-       
6.55,0.18,1.39,3.4,3.39,gaze started: p_4_2
6.6,0.89,0.66,-0.34,,gaze started: p_3_3
6.65,0.28,0.99,3.4,3.0,-       
6.7,0.23,1.16,3.4,3.25,gaze started: p_4_3
6.75,0.2,1.17,3.4,3.25,-       
6.8,0.13,1.16,3.4,3.19,-       
6.85,0.15,1.13,3.4,2.89,gaze started: p_4_2
6.9,0.05,1.23,3.4,3.11,gaze started: p_4_3
6.95,0.89,0.66,-0.34,,gaze started: p_4_2
7.0,0.09,1.22,3.4,3.03,-       
7.05,0.1,1.29,3.4,3.28,gaze started: p_4_2
7.1,0.08,1.29,3.4,3.11,-       
7.15,0.07,1.25,3.4,3.11,-       
7.2,0.09,1.31,3.4,3.32,-       
7.25,0.13,1.0,3.4,2.54,-       
7.3,0.11,1.23,3.4,2.96,gaze fixated: p_4_2
7.35,0.15,0.91,3.4,3.02,-       
7.4,0.14,0.82,3.57,2.81,gaze started: p_4_3
7.45,0.89,0.66,-0.34,,-       
7.5,0.89,0.66,-0.34,,-       
7.55,0.89,0.66,-0.34,,-       
7.6,0.89,0.66,-0.34,,-       
7.65,0.89,0.66,-0.34,,-       
7.7,0.89,0.66,-0.34,,-       
7.75,0.89,0.66,-0.34,,gaze started: p_4_3
7.8,0.89,0.66,-0.34,,-       
7.85,0.25,1.18,3.4,3.0,-       
7.9,0.26,1.2,3.4,3.01,gaze started: p_4_3
7.95,0.25,1.25,3.4,3.05,-       
