time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.26,2.23,3.4,3.89,-       
0.05,-0.26,2.24,3.4,3.87,-       
0.1,-0.27,2.23,3.4,3.85,-       
0.15,-0.29,2.25,3.4,3.85,-       
0.2,0.79,0.5,-0.18,,-       
0.25,0.79,0.5,-0.18,,gaze ended: p_2_2
0.3,0.78,0.5,-0.18,,-       
0.35,0.79,0.5,-0.18,,-       
0.4,0.79,0.5,-0.18,,-       
0.45,-0.08,2.28,3.4,3.78,-       
0.5,-0.19,2.11,3.4,3.74,gaze started: p_1_2
0.55,-0.15,2.16,3.4,3.73,gaze started: p_2_2
0.6,-0.16,2.15,3.4,3.73,-       
0.65,-0.13,2.19,3.4,3.73,-       
0.7,-0.14,2.15,3.4,3.73,-       
0.75,-0.14,2.15,3.4,3.73,-       
0.8,-0.14,2.15,3.4,3.73,-       
0.85,-0.14,2.15,3.4,3.73,-       
0.9,-0.14,2.15,3.4,3.73,-       
0.95,-0.14,2.15,3.4,3.73,-       
1.0,-0.14,2.15,3.4,3.73,-       
1.05,-0.14,2.15,3.4,3.73,-       
1.1,-0.14,2.15,3.4,3.73,-       
1.15,-0.14,2.15,3.4,3.73,-       
1.2,-0.17,2.14,3.4,3.81,gaze fixated: p_2_2
1.25,-0.18,2.14,3.4,3.8,-       
1.3,-0.18,2.15,3.4,3.84,-       
1.35,-0.18,2.16,3.4,3.83,-       
1.4,-0.18,2.15,3.4,3.81,-       
1.45,-0.18,2.15,3.4,3.79,-       
1.5,-0.1,2.18,3.4,3.82,-       
1.55,0.25,1.86,3.4,3.8,-       
1.6,0.27,1.85,3.4,3.75,gaze started: p_2_3
1.65,0.24,1.88,3.4,3.76,-       
1.7,0.3,1.88,3.4,3.8,-       
1.75,0.56,1.69,3.4,3.72,-       
1.8,0.57,1.66,3.4,3.76,gaze started: p_3_3
1.85,0.56,1.66,3.4,3.76,-       
1.9,0.56,1.65,3.4,3.8,-       
1.95,0.56,1.65,3.4,3.82,-       
2.0,0.55,1.66,3.4,3.84,-       
2.05,0.56,1.65,3.4,3.88,gaze fixated: p_3_3
2.1,0.55,1.65,3.4,3.88,-       
2.15,0.3,1.59,3.4,3.89,-       
2.2,0.29,1.64,3.4,3.95,-       
2.25,0.33,1.63,3.4,3.96,-       
2.3,0.33,1.62,3.4,3.96,-       
2.35,0.34,1.62,3.4,3.97,-       
2.4,0.33,1.62,3.4,4.0,-       
2.45,0.33,1.62,3.4,4.01,-       
2.5,0.33,1.61,3.4,4.01,-       
2.55,0.33,1.61,3.4,4.04,-       
2.6,0.38,1.65,3.4,4.03,-       
2.65,0.35,1.62,3.4,4.02,-       
2.7,0.35,1.62,3.4,3.8,-       
2.75,0.34,1.61,3.4,3.6,-       
2.8,0.33,1.61,3.4,3.26,-       
2.85,0.32,1.6,3.4,3.03,-       
2.9,0.3,1.61,3.4,2.88,-       
2.95,0.23,1.77,3.4,2.9,-       
3.0,0.77,0.51,-0.18,,-       
3.05,0.77,0.51,-0.18,,gaze ended: p_3_3
3.1,0.78,0.51,-0.18,,-       
3.15,0.77,0.51,-0.18,,-       
3.2,0.77,0.51,-0.18,,-       
3.25,0.77,0.51,-0.18,,-       
3.3,0.28,1.62,3.4,2.42,-       
3.35,-0.03,1.81,3.4,2.7,gaze started: p_3_3
3.4,0.15,1.66,3.4,2.56,gaze started: p_2_2
3.45,0.15,1.66,3.4,2.6,gaze started: p_3_3
3.5,0.15,1.67,3.4,2.69,-       
3.55,0.16,1.67,3.4,2.74,-       
3.6,0.15,1.66,3.4,2.78,-       
3.65,0.16,1.77,3.4,2.9,-       
3.7,0.09,1.82,3.4,2.93,-       
3.75,0.04,1.82,3.4,2.95,gaze started: p_2_2
3.8,0.14,1.84,3.46,2.95,-       
3.85,0.11,1.82,3.4,2.95,-       
3.9,0.02,1.93,3.4,2.88,gaze started: p_2_2
3.95,0.04,1.92,3.4,2.97,-       
4.0,0.17,1.93,3.4,2.97,-       
4.05,0.1,2.08,3.4,2.99,gaze started: p_2_3
4.1,0.13,2.13,3.46,2.99,gaze started: p_2_2
4.15,0.02,2.12,3.4,2.97,-       
4.2,0.01,2.11,3.4,2.94,gaze started: p_2_2
4.25,0.06,2.12,3.4,2.92,-       
4.3,0.14,1.98,3.46,2.97,-       
4.35,0.15,1.96,3.4,2.94,-       
