time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.73,2.34,3.4,4.92,-       
0.05,-0.71,2.33,3.4,4.92,-       
0.1,-0.71,2.33,3.4,4.92,-       
0.15,-0.75,2.31,3.4,4.94,-       
0.2,-0.75,2.3,3.4,4.94,-       
0.25,-0.75,2.29,3.4,4.94,-       
0.3,-0.75,2.31,3.4,4.95,-       
0.35,-0.73,2.29,3.4,4.89,-       
0.4,-0.73,2.29,3.4,4.89,-       
0.45,-0.73,2.29,3.4,4.89,-       
0.5,-0.73,2.29,3.4,4.89,-       
0.55,-0.73,2.29,3.4,4.89,-       
0.6,-0.73,2.29,3.4,4.89,-       
0.65,-0.73,2.29,3.4,4.89,-       
0.7,-0.73,2.29,3.4,4.89,-       
0.75,-0.73,2.29,3.4,4.89,-       
0.8,-0.73,2.29,3.4,4.89,-       
0.85,-0.73,2.29,3.4,4.89,-       
0.9,-0.77,2.3,3.4,4.89,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_carscom_30s_50nd.mp4
0.95,-0.77,2.3,3.4,4.89,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_carscom_30s_50nd.mp4
1.0,-0.77,2.3,3.4,4.89,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_carscom_30s_50nd.mp4
1.05,-0.77,2.31,3.4,4.9,-       
1.1,-0.74,2.32,3.4,4.89,-       
1.15,-0.75,2.32,3.4,4.89,-       
1.2,-0.74,2.32,3.4,4.89,-       
1.25,-0.73,2.33,3.4,4.87,-       
1.3,-0.74,2.31,3.4,4.85,-       
1.35,-0.75,2.29,3.4,4.84,-       
1.4,-0.75,2.3,3.4,4.83,-       
1.45,-0.75,2.3,3.4,4.82,-       
1.5,-0.74,2.3,3.4,4.82,-       
1.55,-0.74,2.29,3.4,4.82,-       
1.6,-0.73,2.3,3.4,4.83,-       
1.65,-0.73,2.3,3.4,4.84,-       
1.7,-0.73,2.3,3.4,4.83,-       
1.75,-0.73,2.31,3.4,4.85,-       
1.8,-0.73,2.31,3.4,4.88,-       
1.85,-0.71,2.31,3.4,4.89,-       
1.9,-0.73,2.3,3.4,4.9,-       
1.95,-0.73,2.3,3.4,4.9,-       
2.0,-0.73,2.3,3.4,4.9,-       
2.05,-0.74,2.31,3.4,4.91,-       
2.1,-0.75,2.3,3.4,4.91,-       
2.15,-0.75,2.28,3.4,4.91,-       
2.2,-0.75,2.26,3.4,4.92,-       
2.25,0.52,0.65,-0.26,,gaze started: p_2_1
2.3,0.52,0.65,-0.26,,-       
2.35,0.51,0.65,-0.26,,-       
2.4,0.27,1.46,3.4,4.44,-       
2.45,0.28,1.37,3.4,4.23,gaze started: p_3_3
2.5,0.29,1.36,3.4,4.11,-       
2.55,0.26,1.39,3.4,3.76,-       
2.6,0.24,1.41,3.4,3.64,-       
2.65,0.24,1.41,3.4,3.6,-       
2.7,0.26,1.4,3.4,3.47,gaze fixated: p_3_3
2.75,0.23,1.42,3.4,3.35,-       
2.8,0.25,1.42,3.4,3.26,-       
2.85,0.28,1.43,3.4,3.23,-       
2.9,0.28,1.44,3.4,3.19,-       
2.95,0.28,1.43,3.4,3.17,-       
3.0,0.28,1.43,3.4,3.14,-       
3.05,0.27,1.43,3.4,3.11,-       
3.1,0.28,1.41,3.4,3.11,-       
3.15,0.24,1.39,3.4,3.09,-       
3.2,0.22,1.35,3.4,3.1,-       
3.25,0.23,1.37,3.4,3.13,-       
3.3,0.27,1.4,3.4,3.2,-       
3.35,0.27,1.4,3.4,3.2,-       
3.4,0.28,1.41,3.4,3.25,-       
3.45,0.28,1.39,3.4,3.27,-       
3.5,0.28,1.37,3.4,3.33,-       
3.55,0.26,1.36,3.4,3.35,-       
