time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.34,1.73,3.4,4.27,-       
0.05,0.35,1.74,3.4,4.27,gaze fixated: p_3_3
0.1,0.35,1.75,3.4,4.28,-       
0.15,0.35,1.75,3.4,4.28,-       
0.2,0.26,1.68,3.4,4.28,-       
0.25,0.2,1.65,3.4,4.14,-       
0.3,0.17,1.65,3.4,4.0,-       
0.35,0.16,1.64,3.4,3.96,-       
0.4,0.22,1.42,3.4,3.39,-       
0.45,0.2,1.3,3.4,3.25,-       
0.5,0.2,1.3,3.4,3.25,-       
0.55,0.2,1.3,3.4,3.25,-       
0.6,0.2,1.3,3.4,3.25,-       
0.65,0.2,1.3,3.4,3.25,-       
0.7,0.2,1.3,3.4,3.25,-       
0.75,0.2,1.3,3.4,3.25,-       
0.8,0.2,1.3,3.4,3.25,-       
0.85,0.2,1.3,3.4,3.25,-       
0.9,0.2,1.3,3.4,3.25,-       
0.95,0.19,1.39,3.4,2.72,gaze started: p_4_3
1.0,0.21,1.39,3.4,2.67,gaze started: p_3_3
1.05,0.2,1.62,3.4,2.74,-       
1.1,0.19,1.72,3.4,2.69,-       
1.15,0.21,1.72,3.4,2.68,-       
1.2,0.21,1.71,3.4,2.67,-       
1.25,0.21,1.72,3.4,2.66,-       
1.3,0.21,1.72,3.4,2.65,gaze fixated: p_3_3
1.35,0.2,1.72,3.4,2.65,-       
1.4,0.21,1.72,3.4,2.66,-       
1.45,0.22,1.72,3.4,2.7,-       
1.5,0.21,1.73,3.4,2.76,-       
1.55,0.19,1.73,3.4,2.83,-       
1.6,0.21,1.72,3.4,2.98,-       
1.65,0.22,1.82,3.46,3.12,-       
1.7,0.71,0.58,-0.2,,gaze ended: p_3_3
1.75,0.71,0.58,-0.2,,-       
1.8,0.2,1.73,3.4,3.31,-       
1.85,0.18,1.67,3.4,3.39,-       
1.9,0.71,0.58,-0.21,,-       
1.95,0.71,0.58,-0.21,,-       
2.0,0.71,0.58,-0.21,,-       
2.05,0.16,1.71,3.4,3.63,-       
2.1,0.14,1.65,3.4,3.66,gaze started: p_3_3
2.15,0.12,1.65,3.4,3.68,-       
2.2,0.18,1.63,3.4,3.67,gaze started: p_3_2
2.25,0.17,1.62,3.4,3.69,gaze started: p_3_3
2.3,0.19,1.61,3.4,3.69,-       
2.35,0.17,1.59,3.4,3.72,-       
2.4,0.2,1.61,3.4,3.58,-       
2.45,0.59,1.62,3.4,3.31,-       
2.5,0.59,1.62,3.4,3.31,-       
2.55,0.56,1.64,3.4,2.95,-       
2.6,0.56,1.64,3.4,2.95,-       
2.65,0.61,1.63,3.4,2.8,-       
2.7,0.61,1.63,3.4,2.76,-       
2.75,0.61,1.63,3.4,2.72,-       
2.8,0.61,1.62,3.4,2.65,-       
2.85,0.25,1.72,3.4,2.65,-       
2.9,-0.05,1.92,3.4,2.67,-       
2.95,-0.03,1.91,3.4,2.63,gaze started: p_2_2
