time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.02,2.02,3.4,2.65,-       
0.05,0.01,2.03,3.4,2.65,-       
0.1,0.01,2.02,3.4,2.66,-       
0.15,0.01,2.02,3.4,2.66,-       
0.2,0.01,2.02,3.4,2.66,-       
0.25,0.01,2.02,3.4,2.66,-       
0.3,0.01,2.02,3.4,2.66,-       
0.35,0.01,2.02,3.4,2.66,-       
0.4,0.01,2.02,3.4,2.66,-       
0.45,0.01,2.02,3.4,2.66,-       
0.5,0.01,2.02,3.4,2.66,-       
0.55,0.01,2.02,3.4,2.66,-       
0.6,0.01,2.02,3.4,2.66,-       
0.65,0.02,2.02,3.4,2.5,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_cookies_30s_100.mp4
0.7,0.02,2.02,3.4,2.5,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_cookies_30s_100.mp4
0.75,0.02,2.02,3.4,2.5,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_cookies_30s_100.mp4
0.8,0.02,2.02,3.4,2.5,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_cookies_30s_100.mp4
0.85,0.03,2.01,3.4,2.46,-       
0.9,0.03,2.0,3.4,2.46,-       
0.95,-0.09,2.0,3.4,2.46,-       
1.0,0.01,2.02,3.4,2.46,-       
1.05,-0.09,2.0,3.4,2.47,-       
1.1,-0.07,2.01,3.4,2.46,-       
1.15,-0.09,2.01,3.4,2.48,-       
1.2,0.15,2.02,3.4,2.46,-       
1.25,0.12,2.03,3.4,2.48,gaze started: p_2_3
1.3,0.03,2.02,3.4,2.5,gaze started: p_2_2
1.35,0.15,2.01,3.4,2.53,-       
1.4,0.02,2.01,3.4,2.57,gaze started: p_2_3
1.45,0.02,2.01,3.4,2.62,gaze started: p_2_2
1.5,0.14,2.01,3.46,2.65,-       
1.55,0.14,2.01,3.46,2.7,-       
1.6,0.76,0.64,-0.24,,-       
1.65,0.76,0.64,-0.24,,-       
1.7,0.76,0.64,-0.24,,-       
1.75,0.76,0.64,-0.24,,-       
1.8,0.76,0.64,-0.24,,-       
1.85,0.76,0.64,-0.24,,-       
1.9,0.76,0.64,-0.24,,-       
1.95,0.01,1.87,3.4,3.03,-       
2.0,-0.06,1.88,3.4,3.07,gaze started: p_2_2
2.05,-0.11,1.89,3.4,3.08,-       
2.1,-0.11,1.89,3.4,3.09,-       
2.15,-0.12,1.88,3.4,3.12,-       
2.2,-0.17,1.9,3.4,3.12,-       
2.25,-0.05,1.9,3.4,2.97,gaze fixated: p_2_2
2.3,0.01,1.9,3.4,2.87,-       
2.35,-0.08,1.91,3.4,2.73,-       
2.4,-0.16,1.94,3.4,2.63,-       
2.45,-0.16,1.94,3.4,2.63,-       
2.5,-0.09,1.92,3.4,2.49,-       
2.55,-0.09,1.92,3.4,2.49,-       
2.6,-0.1,1.93,3.4,2.49,-       
2.65,-0.1,1.93,3.4,2.49,-       
2.7,-0.08,1.93,3.4,2.48,-       
2.75,-0.09,1.93,3.4,2.48,-       
2.8,-0.09,1.93,3.4,2.49,-       
2.85,-0.1,1.93,3.4,2.49,-       
2.9,-0.09,1.92,3.4,2.49,-       
2.95,-0.09,1.93,3.4,2.49,-       
3.0,-0.08,1.92,3.4,2.5,-       
3.05,-0.09,1.92,3.4,2.5,-       
3.1,-0.1,1.94,3.4,2.53,-       
3.15,-0.09,1.93,3.4,2.53,-       
3.2,-0.09,1.93,3.4,2.51,-       
3.25,-0.08,1.93,3.4,2.52,-       
3.3,-0.09,1.93,3.4,2.54,-       
3.35,-0.09,1.94,3.4,2.56,-       
3.4,-0.09,1.93,3.4,2.59,-       
3.45,-0.09,1.92,3.4,2.61,-       
3.5,-0.09,1.92,3.4,2.61,-       
3.55,-0.1,1.92,3.4,2.62,-       
3.6,-0.09,1.91,3.4,2.64,-       
3.65,-0.08,1.91,3.4,2.66,-       
3.7,-0.08,1.91,3.4,2.66,-       
3.75,-0.09,1.9,3.4,2.66,-       
3.8,-0.1,1.9,3.4,2.67,-       
3.85,-0.09,1.9,3.4,2.69,-       
3.9,-0.09,1.9,3.4,2.68,-       
3.95,-0.09,1.9,3.4,2.68,-       
4.0,-0.09,1.89,3.4,2.67,-       
4.05,-0.09,1.9,3.4,2.64,-       
4.1,-0.09,1.9,3.4,2.63,-       
4.15,-0.11,1.9,3.4,2.61,-       
4.2,-0.09,1.89,3.4,2.59,-       
4.25,-0.09,1.89,3.4,2.59,-       
4.3,-0.09,1.9,3.4,2.59,-       
4.35,-0.08,1.9,3.4,2.59,-       
4.4,-0.07,1.9,3.4,2.58,-       
4.45,-0.06,1.9,3.4,2.58,-       
4.5,-0.06,1.89,3.4,2.58,-       
4.55,-0.08,1.89,3.4,2.57,-       
4.6,-0.08,1.9,3.4,2.58,-       
4.65,-0.07,1.9,3.4,2.59,-       
4.7,-0.07,1.91,3.4,2.6,-       
4.75,-0.08,1.9,3.4,2.6,-       
4.8,-0.08,1.91,3.4,2.59,-       
4.85,-0.08,1.91,3.4,2.59,-       
4.9,-0.09,1.91,3.4,2.59,-       
4.95,-0.09,1.91,3.4,2.62,-       
5.0,-0.09,1.9,3.4,2.6,-       
5.05,-0.09,1.91,3.4,2.61,-       
5.1,-0.09,1.91,3.4,2.62,-       
5.15,-0.08,1.91,3.4,2.63,-       
5.2,-0.08,1.91,3.4,2.65,-       
5.25,-0.08,1.91,3.4,2.65,-       
5.3,-0.08,1.91,3.4,2.6,-       
5.35,-0.1,1.92,3.4,2.57,-       
5.4,-0.09,1.93,3.4,2.55,-       
5.45,-0.08,1.93,3.4,2.53,-       
5.5,-0.08,1.93,3.4,2.5,-       
5.55,-0.1,1.92,3.4,2.49,-       
5.6,-0.19,1.94,3.4,2.46,-       
5.65,-0.09,1.93,3.4,2.45,-       
5.7,-0.08,1.92,3.4,2.44,-       
5.75,-0.08,1.92,3.4,2.44,-       
5.8,-0.19,1.96,3.4,2.42,-       
5.85,-0.2,1.96,3.4,2.42,-       
5.9,-0.1,1.94,3.4,2.43,-       
5.95,-0.1,1.94,3.4,2.43,-       
6.0,-0.1,1.94,3.4,2.42,-       
6.05,-0.1,1.94,3.4,2.43,-       
6.1,-0.1,1.94,3.4,2.43,-       
6.15,-0.1,1.93,3.4,2.41,-       
6.2,-0.09,1.93,3.4,2.4,-       
6.25,-0.09,1.93,3.4,2.4,-       
