time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.59,2.31,3.4,3.9,-       
0.05,-0.59,2.31,3.4,3.9,-       
0.1,-0.57,2.31,3.4,3.92,-       
0.15,-0.57,2.31,3.4,3.92,-       
0.2,-0.58,2.31,3.4,3.9,-       
0.25,-0.58,2.31,3.4,3.9,-       
0.3,-0.39,2.14,3.4,3.87,gaze ended: p_1_2
0.35,-0.39,2.14,3.4,3.87,gaze ended: p_1_2
0.4,-0.45,2.13,3.4,3.86,-       
0.45,-0.45,2.13,3.4,3.86,-       
0.5,-0.46,2.12,3.4,3.85,-       
0.55,-0.46,2.12,3.4,3.85,-       
0.6,-0.46,2.12,3.4,3.85,-       
0.65,-0.46,2.12,3.4,3.85,-       
0.7,-0.46,2.12,3.4,3.85,-       
0.75,-0.46,2.12,3.4,3.85,-       
0.8,-0.46,2.12,3.4,3.85,-       
0.85,-0.46,2.12,3.4,3.85,-       
0.9,-0.46,2.12,3.4,3.85,-       
0.95,-0.46,2.12,3.4,3.85,-       
1.0,-0.45,2.1,3.4,3.84,gaze fixated: p_2_2
1.05,-0.45,2.1,3.4,3.83,-       
1.1,-0.45,2.09,3.4,3.82,-       
1.15,-0.45,2.09,3.4,3.83,-       
1.2,-0.45,2.1,3.4,3.83,-       
1.25,-0.45,2.1,3.4,3.82,-       
1.3,-0.45,2.1,3.4,3.82,-       
1.35,-0.45,2.1,3.4,3.82,-       
1.4,-0.46,2.09,3.4,3.8,-       
1.45,-0.46,2.09,3.4,3.79,-       
1.5,-0.46,2.1,3.4,3.81,-       
1.55,-0.44,2.1,3.4,3.86,-       
1.6,0.1,1.99,3.4,3.73,-       
1.65,0.1,1.99,3.4,3.73,-       
1.7,0.58,0.78,-0.31,,-       
1.75,0.58,0.78,-0.31,,gaze ended: p_2_2
1.8,0.58,0.78,-0.31,,-       
1.85,0.88,1.85,3.4,4.31,-       
1.9,0.88,1.83,3.4,4.3,gaze started: p_2_3
1.95,0.57,1.82,3.4,4.3,-       
2.0,0.16,1.71,3.4,4.33,-       
2.05,0.2,1.66,3.4,4.33,gaze started: p_3_3
2.1,0.2,1.66,3.4,4.33,gaze started: p_3_3
2.15,0.2,1.69,3.4,4.35,-       
2.2,0.2,1.69,3.4,4.4,-       
2.25,0.56,0.78,-0.31,,-       
2.3,0.56,0.78,-0.31,,-       
2.35,0.56,0.78,-0.31,,-       
2.4,0.03,1.93,3.4,4.38,-       
2.45,0.12,1.92,3.4,3.98,gaze started: p_2_2
2.5,0.55,1.69,3.4,3.66,-       
2.55,0.55,1.69,3.4,3.66,-       
2.6,0.53,1.66,3.4,3.45,gaze started: p_3_3
2.65,0.57,1.64,3.4,3.3,-       
2.7,0.55,1.68,3.4,3.09,-       
2.75,0.2,1.72,3.4,2.78,-       
2.8,0.2,1.72,3.4,2.78,-       
2.85,-0.01,1.78,3.4,2.69,gaze fixated: p_3_3
2.9,0.0,1.78,3.4,2.65,gaze started: p_3_2
2.95,0.04,1.77,3.4,2.61,-       
3.0,0.04,1.77,3.4,2.53,-       
3.05,0.04,1.77,3.4,2.5,-       
3.1,0.04,1.77,3.4,2.5,-       
3.15,0.05,1.77,3.4,2.46,gaze fixated: p_3_2
3.2,0.03,1.76,3.4,2.43,-       
3.25,0.03,1.76,3.4,2.43,-       
3.3,0.03,1.76,3.4,2.41,-       
3.35,0.03,1.77,3.4,2.4,-       
3.4,0.03,1.77,3.4,2.4,-       
3.45,0.03,1.77,3.4,2.39,-       
3.5,0.03,1.77,3.4,2.39,-       
3.55,0.02,1.77,3.4,2.39,-       
3.6,0.04,1.77,3.4,2.39,-       
3.65,0.03,1.78,3.4,2.42,-       
3.7,0.04,1.77,3.4,2.45,-       
3.75,0.04,1.77,3.4,2.48,-       
3.8,0.04,1.77,3.4,2.48,-       
3.85,0.03,1.77,3.4,2.54,-       
3.9,0.03,1.77,3.4,2.59,-       
3.95,0.03,1.77,3.4,2.66,-       
4.0,0.03,1.77,3.4,2.73,-       
4.05,0.03,1.76,3.4,2.78,-       
4.1,0.03,1.76,3.4,2.83,-       
4.15,0.02,1.76,3.4,2.88,-       
4.2,0.03,1.76,3.4,2.94,-       
4.25,0.03,1.76,3.4,2.94,-       
4.3,0.03,1.76,3.4,3.0,-       
4.35,0.03,1.75,3.4,3.0,-       
4.4,0.04,1.75,3.4,3.02,-       
4.45,0.03,1.75,3.4,3.05,-       
4.5,0.03,1.75,3.4,3.08,-       
4.55,0.03,1.75,3.4,3.11,-       
4.6,0.03,1.75,3.4,3.11,-       
4.65,0.03,1.74,3.4,3.17,-       
4.7,0.03,1.75,3.4,3.17,-       
4.75,0.03,1.74,3.4,3.17,-       
4.8,0.04,1.74,3.4,3.14,-       
