time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.66,2.31,3.4,3.61,-       
0.05,-0.66,2.3,3.4,3.61,gaze fixated: p_1_2
0.1,-0.66,2.3,3.4,3.61,-       
0.15,-0.66,2.3,3.4,3.63,-       
0.2,-0.66,2.31,3.4,3.63,-       
0.25,-0.66,2.3,3.4,3.63,-       
0.3,-0.65,2.3,3.4,3.63,-       
0.35,-0.64,2.29,3.4,3.61,-       
0.4,-0.64,2.29,3.4,3.61,-       
0.45,-0.64,2.29,3.4,3.61,-       
0.5,-0.64,2.29,3.4,3.61,-       
0.55,-0.64,2.29,3.4,3.61,-       
0.6,-0.64,2.29,3.4,3.61,-       
0.65,-0.64,2.29,3.4,3.61,-       
0.7,-0.64,2.29,3.4,3.61,-       
0.75,-0.64,2.29,3.4,3.61,-       
0.8,-0.64,2.29,3.4,3.61,-       
0.85,-0.59,2.13,3.4,3.6,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_cookies_30s_50nd.mp4
0.9,-0.59,2.13,3.4,3.59,gaze started: p_2_2
0.95,-0.59,2.12,3.4,3.58,-       
1.0,-0.59,2.12,3.4,3.58,-       
1.05,-0.59,2.12,3.4,3.61,-       
1.1,-0.53,2.18,3.4,3.56,-       
1.15,0.58,0.78,-0.31,,gaze fixated: p_2_2
1.2,0.58,0.78,-0.31,,gaze ended: p_2_2
1.25,0.58,0.78,-0.31,,-       
1.3,0.62,1.04,3.4,3.79,-       
1.35,0.64,1.02,3.4,3.79,gaze started: p_4_3
1.4,0.61,0.81,3.57,3.6,-       
1.45,0.67,0.89,3.4,3.7,-       
1.5,0.68,0.87,3.46,3.73,gaze started: p_4_3
1.55,-0.33,0.7,3.57,3.81,-       
1.6,-1.24,0.73,3.49,3.92,-       
1.65,-1.24,0.73,3.42,3.88,-       
1.7,-1.24,0.73,3.42,3.88,-       
1.75,-1.24,0.72,3.41,3.88,-       
1.8,-1.23,0.8,3.39,3.89,-       
1.85,-0.69,1.7,3.4,3.78,-       
1.9,-0.41,1.93,3.4,3.74,gaze started: p_3_2
1.95,-0.34,1.94,3.4,3.7,-       
2.0,-0.35,1.92,3.4,3.7,-       
2.05,-0.37,1.91,3.4,3.69,-       
2.1,-0.36,1.91,3.4,3.69,-       
2.15,-0.36,1.91,3.4,3.67,-       
2.2,-0.3,1.94,3.4,3.67,gaze fixated: p_2_2
2.25,-0.31,1.94,3.4,3.67,-       
2.3,-0.36,1.88,3.4,3.65,-       
2.35,-0.17,1.76,3.4,3.46,-       
2.4,0.47,1.67,3.4,3.18,gaze started: p_3_3
2.45,0.47,1.67,3.4,3.18,gaze started: p_3_3
2.5,0.46,1.67,3.4,3.0,-       
2.55,0.49,1.68,3.4,2.85,-       
2.6,0.49,1.68,3.4,2.8,-       
2.65,0.47,1.71,3.4,2.74,-       
2.7,0.45,1.71,3.4,2.71,gaze fixated: p_3_3
2.75,0.5,1.68,3.4,2.67,-       
2.8,0.48,1.69,3.4,2.65,-       
2.85,0.46,1.69,3.4,2.63,-       
2.9,0.46,1.7,3.4,2.63,-       
2.95,0.51,1.68,3.4,2.65,-       
3.0,0.5,1.69,3.4,2.66,-       
3.05,0.49,1.68,3.4,2.67,-       
3.1,0.49,1.69,3.4,2.69,-       
3.15,0.48,1.69,3.4,2.69,-       
3.2,0.07,1.57,3.4,2.68,-       
3.25,-0.05,1.54,3.4,2.69,gaze started: p_3_2
3.3,0.02,1.51,3.4,2.69,-       
3.35,-0.06,1.52,3.4,2.7,-       
3.4,0.04,1.53,3.4,2.72,-       
3.45,0.02,1.53,3.4,2.72,-       
3.5,0.02,1.53,3.4,2.74,gaze fixated: p_3_2
3.55,0.02,1.53,3.4,2.73,-       
3.6,0.03,1.52,3.4,2.74,-       
3.65,0.03,1.52,3.4,2.74,-       
3.7,0.03,1.52,3.4,2.74,-       
3.75,0.03,1.52,3.4,2.75,-       
3.8,0.02,1.52,3.4,2.76,-       
3.85,0.03,1.53,3.4,2.77,-       
3.9,0.02,1.53,3.4,2.76,-       
3.95,0.03,1.52,3.4,2.76,-       
4.0,-0.05,1.53,3.4,2.76,-       
4.05,-0.02,1.53,3.4,2.77,-       
