time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.27,1.64,3.4,3.51,-       
0.05,0.29,1.63,3.4,3.51,-       
0.1,0.23,1.63,3.4,3.47,-       
0.15,0.22,1.63,3.4,3.45,gaze fixated: p_3_3
0.2,0.22,1.62,3.4,3.44,-       
0.25,0.22,1.62,3.4,3.43,-       
0.3,0.22,1.62,3.4,3.43,-       
0.35,0.26,1.64,3.4,3.39,-       
0.4,0.52,0.82,-0.36,,-       
0.45,0.52,0.82,-0.36,,gaze ended: p_3_3
0.5,0.52,0.82,-0.36,,-       
0.55,0.52,0.82,-0.36,,-       
0.6,0.25,1.52,3.4,3.43,-       
0.65,0.27,1.51,3.4,3.41,gaze started: p_3_3
0.7,0.27,1.51,3.4,3.41,gaze started: p_3_3
0.75,0.27,1.51,3.4,3.41,gaze started: p_3_3
0.8,0.27,1.51,3.4,3.41,gaze started: p_3_3
0.85,0.27,1.51,3.4,3.41,gaze started: p_3_3
0.9,0.27,1.51,3.4,3.41,gaze started: p_3_3
0.95,0.27,1.51,3.4,3.41,gaze started: p_3_3
1.0,0.27,1.51,3.4,3.41,gaze started: p_3_3
1.05,0.27,1.51,3.4,3.41,gaze started: p_3_3
1.1,0.27,1.51,3.4,3.41,gaze started: p_3_3
1.15,0.27,1.51,3.4,3.41,gaze started: p_3_3
1.2,0.45,1.68,3.4,3.42,gaze fixated: p_3_3
1.25,0.46,1.68,3.4,3.45,-       
1.3,0.45,1.69,3.4,3.46,-       
1.35,0.46,1.68,3.4,3.47,-       
1.4,0.42,1.68,3.4,3.49,-       
1.45,0.43,1.69,3.4,3.5,-       
1.5,0.46,1.69,3.4,3.52,-       
1.55,-0.14,1.08,3.4,3.51,-       
1.6,-0.46,0.77,3.57,3.44,gaze started: p_4_2
1.65,-0.44,0.74,3.57,3.46,-       
1.7,-0.42,0.78,3.57,3.48,-       
1.75,-0.42,0.78,3.57,3.5,-       
1.8,-0.41,0.77,3.57,3.58,-       
1.85,-0.43,0.74,3.57,3.64,-       
1.9,-0.31,0.53,3.08,3.68,-       
1.95,-0.33,0.53,3.1,3.7,-       
2.0,-0.33,0.53,3.14,3.71,-       
2.05,-0.33,0.53,3.16,3.74,-       
2.1,-0.34,0.53,3.13,3.76,-       
2.15,-0.33,0.53,3.11,3.75,-       
2.2,-0.32,0.53,3.12,3.76,-       
2.25,-0.31,0.53,3.31,3.74,-       
2.3,-0.06,0.86,3.46,3.79,-       
2.35,0.05,0.93,3.4,3.75,-       
2.4,0.05,0.94,3.4,3.77,gaze started: p_4_2
2.45,0.01,0.89,3.4,3.77,-       
2.5,0.02,0.89,3.4,3.79,-       
2.55,-0.0,0.88,3.4,3.8,-       
2.6,0.01,0.9,3.4,3.79,-       
