time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.54,2.04,3.4,3.27,-       
0.05,0.55,2.02,3.4,3.27,-       
0.1,0.57,2.01,3.4,3.28,-       
0.15,0.58,2.01,3.4,3.3,-       
0.2,0.55,2.02,3.4,3.31,-       
0.25,0.56,2.01,3.4,3.33,-       
0.3,0.54,2.02,3.4,3.33,-       
0.35,0.54,2.02,3.4,3.33,-       
0.4,0.54,2.02,3.4,3.33,-       
0.45,0.54,2.02,3.4,3.33,-       
0.5,0.54,2.02,3.4,3.33,-       
0.55,0.54,2.02,3.4,3.33,-       
0.6,0.54,2.02,3.4,3.33,-       
0.65,0.54,2.02,3.4,3.33,-       
0.7,0.54,2.02,3.4,3.33,-       
0.75,0.54,2.02,3.4,3.33,-       
0.8,0.56,2.02,3.4,3.38,-       
0.85,0.56,2.02,3.4,3.36,-       
0.9,0.57,2.03,3.4,3.38,-       
0.95,0.59,2.02,3.4,3.4,-       
1.0,0.58,2.03,3.4,3.43,-       
1.05,0.58,2.03,3.4,3.47,-       
1.1,0.55,2.03,3.4,3.56,-       
1.15,0.5,2.06,3.4,3.54,-       
1.2,0.98,0.84,-0.72,,gaze ended: p_2_3
1.25,0.98,0.84,-0.72,,-       
1.3,0.98,0.84,-0.72,,-       
1.35,0.98,0.84,-0.72,,-       
1.4,0.98,0.84,-0.71,,-       
1.45,0.98,0.84,-0.72,,-       
1.5,0.98,0.84,-0.72,,-       
1.55,-0.99,1.02,3.4,3.7,gaze started: p_4_1
1.6,-0.97,1.0,3.4,3.71,-       
1.65,-0.92,0.9,3.4,3.82,-       
1.7,-0.89,0.68,3.57,3.9,-       
1.75,-0.9,0.69,3.57,3.92,-       
1.8,-0.89,0.68,3.57,3.9,-       
1.85,-1.51,0.73,3.38,4.01,-       
1.9,-1.47,0.73,3.38,4.04,-       
1.95,-1.47,0.7,3.38,4.07,-       
2.0,-1.48,0.69,3.38,4.05,-       
2.05,-1.48,0.69,3.38,4.08,-       
2.1,-1.5,0.69,3.38,4.06,-       
2.15,0.98,0.84,-0.72,,-       
2.2,0.98,0.84,-0.72,,-       
2.25,0.98,0.84,-0.72,,-       
2.3,0.41,1.66,3.4,3.23,-       
2.35,0.53,1.62,3.4,3.27,gaze started: p_3_3
2.4,0.39,1.7,3.4,3.14,-       
2.45,0.46,1.67,3.4,2.92,-       
2.5,0.45,1.67,3.4,2.89,-       
2.55,0.45,1.67,3.4,2.82,-       
2.6,0.46,1.67,3.4,2.75,-       
2.65,0.44,1.66,3.4,2.68,-       
2.7,0.44,1.66,3.4,2.67,-       
2.75,0.4,1.67,3.4,2.67,-       
2.8,0.44,1.65,3.4,2.66,-       
2.85,0.46,1.64,3.4,2.69,-       
2.9,0.47,1.64,3.4,2.7,-       
2.95,0.44,1.64,3.4,2.71,-       
3.0,0.43,1.65,3.4,2.72,-       
3.05,0.47,1.64,3.4,2.79,-       
3.1,0.46,1.65,3.4,2.84,-       
3.15,0.46,1.66,3.4,2.86,-       
3.2,0.44,1.66,3.4,2.96,-       
3.25,0.44,1.67,3.4,3.02,-       
3.3,0.44,1.67,3.4,3.05,-       
3.35,0.44,1.68,3.4,3.09,-       
3.4,-0.04,1.26,3.4,3.04,-       
3.45,-0.09,1.21,3.4,3.06,gaze started: p_4_2
3.5,-0.14,1.2,3.4,3.06,-       
3.55,-0.22,1.19,3.4,3.09,-       
3.6,-0.18,1.19,3.4,3.1,-       
3.65,-0.16,1.18,3.4,3.13,-       
3.7,-0.16,1.19,3.4,3.17,-       
3.75,-0.16,1.19,3.4,3.17,-       
3.8,-0.12,1.2,3.4,3.13,-       
3.85,0.21,1.62,3.4,3.16,-       
3.9,0.26,1.65,3.4,3.19,gaze started: p_3_3
3.95,0.15,1.66,3.4,3.16,gaze started: p_3_2
4.0,0.15,1.65,3.4,3.15,gaze started: p_3_3
4.05,0.15,1.65,3.4,3.14,-       
4.1,0.12,1.68,3.4,3.16,-       
4.15,0.98,0.84,-0.72,,-       
4.2,0.98,0.84,-0.72,,-       
4.25,0.98,0.84,-0.72,,-       
4.3,0.98,0.84,-0.72,,-       
4.35,0.98,0.84,-0.72,,-       
4.4,0.54,1.38,3.4,3.27,-       
4.45,0.5,1.35,3.4,3.14,-       
4.5,0.5,1.35,3.4,3.14,-       
4.55,1.03,1.24,3.4,3.37,gaze started: p_4_3
4.6,1.07,1.25,3.4,3.44,gaze started: p_4_4
4.65,1.06,1.22,3.4,3.37,-       
4.7,1.06,1.2,3.4,3.45,-       
4.75,1.04,1.23,3.4,3.37,-       
4.8,1.05,1.22,3.4,3.38,-       
4.85,1.07,1.2,3.4,3.34,-       
4.9,0.94,1.29,3.4,3.47,gaze fixated: p_4_4
4.95,0.98,0.84,-0.72,,-       
5.0,0.98,0.84,-0.71,,-       
5.05,0.98,0.84,-0.71,,-       
5.1,0.98,0.84,-0.71,,-       
5.15,0.97,0.84,-0.71,,-       
5.2,0.97,0.84,-0.71,,-       
5.25,0.97,0.84,-0.71,,-       
5.3,0.97,0.84,-0.71,,-       
5.35,0.97,0.84,-0.71,,-       
5.4,0.97,0.84,-0.71,,-       
5.45,0.97,0.84,-0.71,,-       
5.5,0.97,0.84,-0.72,,-       
5.55,0.97,0.84,-0.71,,-       
5.6,0.97,0.84,-0.71,,-       
5.65,0.97,0.84,-0.71,,-       
5.7,0.97,0.84,-0.71,,-       
5.75,0.97,0.84,-0.71,,-       
5.8,0.97,0.84,-0.71,,-       
5.85,0.97,0.84,-0.71,,-       
5.9,0.97,0.84,-0.71,,-       
5.95,0.97,0.84,-0.71,,-       
6.0,0.97,0.84,-0.71,,-       
6.05,0.09,1.8,3.46,3.98,-       
6.1,0.08,1.71,3.4,3.8,-       
6.15,0.0,1.71,3.4,3.82,-       
6.2,0.06,1.79,3.4,3.76,-       
6.25,0.11,1.79,3.4,3.72,-       
6.3,0.16,1.77,3.4,3.6,-       
6.35,0.14,1.79,3.46,3.46,gaze started: p_3_3
6.4,0.13,1.82,3.4,3.35,-       
6.45,0.97,0.84,-0.71,,-       
6.5,0.97,0.84,-0.71,,-       
6.55,0.97,0.84,-0.71,,-       
6.6,0.97,0.84,-0.71,,-       
6.65,0.2,1.8,3.46,2.96,-       
6.7,0.14,1.78,3.46,3.04,-       
6.75,0.14,1.78,3.4,3.04,-       
6.8,0.12,1.79,3.4,3.05,gaze started: p_3_3
6.85,0.14,1.78,3.46,3.15,-       
6.9,0.14,1.78,3.46,3.19,-       
6.95,0.16,1.78,3.4,3.22,-       
7.0,0.14,1.78,3.4,3.25,-       
7.05,0.13,1.78,3.4,3.26,-       
7.1,0.15,1.77,3.4,3.24,gaze started: p_3_2
7.15,0.15,1.77,3.4,3.25,-       
7.2,0.16,1.76,3.4,3.27,-       
7.25,0.97,0.84,-0.71,,-       
7.3,0.97,0.84,-0.71,,-       
7.35,0.97,0.84,-0.71,,-       
7.4,0.97,0.84,-0.71,,-       
7.45,0.97,0.84,-0.71,,-       
7.5,0.24,1.76,3.4,3.24,-       
7.55,0.06,1.77,3.4,3.33,-       
7.6,0.13,1.78,3.4,3.34,gaze started: p_3_2
7.65,0.14,1.79,3.46,3.36,-       
7.7,0.15,1.79,3.4,3.45,gaze started: p_3_3
7.75,0.09,1.79,3.4,3.48,-       
7.8,0.13,1.8,3.46,3.47,gaze started: p_3_2
7.85,0.15,1.81,3.46,3.45,-       
7.9,0.16,1.81,3.46,3.42,-       
7.95,0.14,1.8,3.46,3.34,-       
8.0,0.13,1.8,3.46,3.32,-       
8.05,0.15,1.79,3.4,3.31,-       
8.1,0.18,1.79,3.4,3.29,gaze started: p_3_3
8.15,0.15,1.79,3.4,3.26,-       
8.2,0.15,1.79,3.4,3.26,-       
8.25,0.17,1.78,3.4,3.26,-       
8.3,0.19,1.81,3.46,3.26,-       
8.35,0.14,1.83,3.4,3.25,gaze started: p_2_3
8.4,0.15,1.83,3.4,3.24,-       
8.45,0.15,1.83,3.4,3.24,-       
8.5,0.15,1.83,3.4,3.17,-       
8.55,0.15,1.83,3.4,3.14,-       
8.6,0.15,1.83,3.4,3.12,-       
8.65,0.16,1.83,3.4,3.08,-       
8.7,0.16,1.83,3.4,3.08,-       
8.75,0.16,1.83,3.4,3.09,-       
8.8,0.16,1.83,3.4,3.09,-       
8.85,0.16,1.83,3.4,3.09,-       
8.9,0.16,1.83,3.4,3.09,-       
8.95,0.17,1.84,3.4,3.11,-       
9.0,0.17,1.84,3.4,3.11,-       
9.05,0.15,1.85,3.4,3.17,-       
9.1,0.23,1.83,3.4,3.18,-       
9.15,0.17,1.85,3.4,3.19,-       
9.2,0.13,1.86,3.4,3.19,-       
9.25,0.14,1.86,3.46,3.22,-       
9.3,0.23,1.84,3.4,3.32,-       
9.35,0.13,1.88,3.4,3.32,gaze started: p_2_3
9.4,0.13,1.88,3.4,3.33,gaze started: p_2_2
9.45,0.23,1.83,3.4,3.32,gaze started: p_2_3
9.5,0.13,1.87,3.4,3.34,-       
9.55,0.13,1.87,3.4,3.34,gaze started: p_2_2
9.6,0.13,1.87,3.4,3.33,-       
9.65,0.13,1.87,3.4,3.32,gaze started: p_2_2
9.7,0.12,1.87,3.4,3.31,-       
9.75,0.13,1.88,3.4,3.31,-       
9.8,0.13,1.88,3.4,3.31,-       
9.85,0.13,1.88,3.4,3.31,-       
9.9,0.14,1.89,3.46,3.3,-       
9.95,0.22,1.81,3.46,3.31,-       
10.0,0.21,1.81,3.4,3.32,-       
10.05,0.12,1.85,3.4,3.31,gaze started: p_2_3
10.1,0.12,1.84,3.4,3.31,gaze started: p_2_2
10.15,0.13,1.84,3.4,3.24,-       
10.2,0.13,1.84,3.4,3.19,-       
10.25,0.13,1.84,3.4,3.19,-       
10.3,0.13,1.84,3.4,3.17,-       
10.35,0.13,1.84,3.4,3.14,gaze fixated: p_2_2
10.4,-0.21,2.04,3.4,3.27,-       
10.45,-0.36,2.14,3.4,3.25,-       
10.5,-0.37,2.15,3.4,3.28,-       
10.55,-0.44,2.16,3.4,3.3,-       
10.6,-0.45,2.14,3.4,3.33,-       
10.65,-0.47,2.13,3.4,3.42,-       
10.7,-0.47,2.13,3.4,3.49,-       
10.75,-0.48,2.13,3.4,3.52,-       
10.8,-0.46,2.12,3.4,3.6,-       
10.85,-0.46,2.12,3.4,3.63,-       
10.9,-0.46,2.11,3.4,3.69,-       
10.95,-0.46,2.12,3.4,3.73,-       
11.0,-0.44,2.13,3.4,3.76,-       
11.05,-0.45,2.12,3.4,3.78,-       
11.1,-0.44,2.12,3.4,3.82,-       
11.15,-0.33,2.14,3.4,3.86,-       
11.2,-0.07,2.2,3.4,3.87,-       
11.25,-0.24,2.19,3.4,3.92,-       
11.3,-0.2,2.19,3.4,3.95,-       
11.35,-0.19,2.19,3.4,3.97,-       
11.4,-0.15,2.19,3.4,3.98,-       
11.45,0.98,0.84,-0.7,,gaze ended: p_2_2
11.5,0.98,0.84,-0.7,,-       
11.55,0.98,0.84,-0.7,,-       
11.6,-0.33,2.19,3.4,4.2,gaze started: p_2_2
11.65,-0.42,2.08,3.4,4.14,-       
11.7,-0.51,2.09,3.4,4.12,-       
11.75,-0.49,2.1,3.4,4.13,-       
11.8,-0.59,2.08,3.4,4.13,-       
11.85,-0.56,2.14,3.4,4.16,gaze fixated: p_2_2
11.9,-0.67,2.26,3.4,4.29,-       
11.95,-0.7,2.28,3.4,4.28,-       
12.0,-0.75,2.26,3.4,4.27,gaze started: p_2_1
12.05,-0.75,2.25,3.4,4.25,-       
12.1,-0.75,2.25,3.4,4.25,-       
12.15,-0.75,2.26,3.4,4.25,-       
12.2,-0.62,2.28,3.4,4.2,-       
12.25,-0.62,2.28,3.4,4.15,gaze started: p_1_2
12.3,-0.62,2.28,3.4,4.14,-       
12.35,-0.61,2.28,3.4,4.13,-       
12.4,-0.6,2.28,3.4,4.07,-       
12.45,-0.6,2.28,3.4,4.04,-       
12.5,-0.61,2.28,3.4,4.02,-       
12.55,-0.61,2.29,3.4,4.02,-       
12.6,-0.62,2.29,3.4,4.04,-       
12.65,-0.62,2.28,3.4,4.07,-       
12.7,-0.62,2.28,3.4,4.1,-       
12.75,-0.62,2.29,3.4,4.17,-       
12.8,-0.6,2.28,3.46,4.21,-       
12.85,-0.58,2.28,3.4,4.25,gaze ended: p_1_2
12.9,-0.57,2.28,3.4,4.25,gaze started: p_1_2
12.95,-0.6,2.28,3.46,4.3,-       
13.0,-0.58,2.28,3.4,4.34,-       
13.05,-0.59,2.28,3.4,4.35,gaze started: p_1_2
13.1,-0.59,2.28,3.4,4.36,-       
13.15,-0.8,2.31,3.4,4.41,gaze started: p_1_1
13.2,-0.79,2.31,3.4,4.42,-       
13.25,-0.79,2.31,3.4,4.42,-       
13.3,-0.77,2.31,3.4,4.45,-       
13.35,-0.8,2.32,3.4,4.43,-       
13.4,-0.84,2.32,3.4,4.5,-       
13.45,-0.84,2.31,3.4,4.48,gaze fixated: p_1_1
13.5,-0.85,2.31,3.4,4.48,-       
13.55,-0.85,2.31,3.4,4.46,-       
13.6,-0.85,2.3,3.4,4.46,-       
13.65,-0.72,2.19,3.46,4.36,-       
13.7,-0.46,2.01,3.4,4.33,gaze ended: p_1_1
13.75,-0.48,2.0,3.4,4.33,gaze started: p_2_2
13.8,-0.58,1.99,3.4,4.31,-       
13.85,-0.58,1.98,3.4,4.29,-       
13.9,-0.57,1.98,3.4,4.27,-       
13.95,-0.57,1.98,3.4,4.27,-       
14.0,-0.56,1.98,3.4,4.27,gaze fixated: p_2_2
14.05,-0.56,1.98,3.4,4.26,-       
14.1,-0.57,1.99,3.4,4.28,-       
14.15,-0.6,1.99,3.4,4.28,-       
14.2,-0.59,1.99,3.4,4.28,-       
14.25,-0.55,1.98,3.4,4.28,-       
14.3,-0.59,2.01,3.4,4.26,-       
14.35,-0.46,2.02,3.4,4.23,-       
14.4,-0.44,2.15,3.4,4.24,-       
14.45,-0.51,2.21,3.4,4.3,-       
14.5,-0.56,2.21,3.4,4.29,-       
14.55,-0.55,2.21,3.4,4.28,-       
14.6,-0.55,2.22,3.4,4.27,-       
14.65,-0.54,2.22,3.4,4.26,-       
14.7,-0.57,2.1,3.4,4.23,-       
14.75,-0.64,2.09,3.4,4.2,-       
14.8,-0.67,2.13,3.4,4.29,-       
14.85,-0.74,2.47,3.4,4.36,gaze started: p_1_1
14.9,-0.74,2.46,3.4,4.35,-       
14.95,-0.74,2.47,3.4,4.39,-       
15.0,-0.76,2.63,3.4,4.46,-       
15.05,-0.77,2.63,3.4,4.42,-       
15.1,-0.77,2.63,3.4,4.4,-       
15.15,-0.76,2.63,3.4,4.38,gaze fixated: p_1_1
15.2,-0.75,2.62,3.4,4.34,-       
15.25,-0.82,2.71,3.4,4.47,-       
15.3,0.98,0.84,-0.71,,-       
15.35,0.98,0.84,-0.71,,gaze ended: p_1_1
15.4,0.98,0.84,-0.71,,-       
15.45,-0.66,2.07,3.4,4.23,-       
15.5,-0.64,2.04,3.4,4.27,gaze started: p_2_2
15.55,-0.62,2.05,3.4,4.29,-       
15.6,-0.66,2.04,3.4,4.3,-       
15.65,-0.61,2.04,3.4,4.32,-       
15.7,-0.57,2.05,3.4,4.35,-       
15.75,-0.68,2.05,3.4,4.41,gaze fixated: p_2_2
15.8,-0.69,2.04,3.4,4.45,-       
15.85,-0.68,2.06,3.4,4.48,-       
15.9,-0.66,2.07,3.4,4.52,-       
15.95,-0.66,2.07,3.4,4.53,-       
16.0,-0.67,2.07,3.4,4.53,-       
16.05,-0.67,2.06,3.4,4.51,-       
16.1,-0.68,2.06,3.4,4.49,-       
16.15,-0.69,2.06,3.4,4.48,-       
16.2,-0.68,2.06,3.4,4.46,-       
16.25,-0.68,2.05,3.4,4.42,-       
16.3,-0.66,2.06,3.4,4.38,-       
16.35,-0.67,2.06,3.4,4.38,-       
16.4,-0.66,2.07,3.4,4.38,-       
16.45,-0.66,2.08,3.4,4.39,-       
16.5,-0.66,2.07,3.4,4.38,-       
16.55,-0.65,2.06,3.4,4.36,-       
16.6,-0.64,2.07,3.4,4.36,-       
16.65,-0.65,2.07,3.4,4.35,-       
16.7,-0.65,2.07,3.4,4.35,-       
16.75,-0.66,2.07,3.4,4.37,-       
16.8,-0.49,2.18,3.4,4.45,-       
16.85,-0.45,2.28,3.46,4.5,-       
16.9,-0.56,2.26,3.4,4.49,gaze ended: p_2_2
16.95,-0.55,2.25,3.4,4.48,gaze started: p_2_2
17.0,-0.52,2.24,3.4,4.48,-       
17.05,-0.53,2.24,3.4,4.49,-       
17.1,-0.54,2.24,3.4,4.5,-       
17.15,-0.56,2.24,3.4,4.51,-       
17.2,-0.56,2.25,3.4,4.51,gaze fixated: p_2_2
17.25,-0.56,2.24,3.4,4.51,-       
17.3,-0.56,2.24,3.4,4.51,-       
17.35,-0.57,2.25,3.4,4.53,-       
17.4,-0.56,2.25,3.4,4.52,-       
17.45,-0.57,2.24,3.4,4.53,-       
17.5,-0.53,2.25,3.4,4.53,-       
17.55,-0.54,2.25,3.4,4.54,-       
17.6,-0.56,2.25,3.4,4.54,-       
17.65,-0.54,2.24,3.4,4.51,-       
17.7,-0.54,2.24,3.4,4.5,-       
17.75,-0.63,2.31,3.4,4.55,-       
17.8,-0.63,2.46,3.4,4.56,gaze started: p_1_2
17.85,-0.65,2.48,3.4,4.62,-       
17.9,-0.65,2.47,3.4,4.61,-       
17.95,-0.64,2.46,3.4,4.61,-       
18.0,-0.64,2.44,3.4,4.61,-       
18.05,-0.63,2.43,3.4,4.66,gaze fixated: p_1_2
18.1,-0.6,2.24,3.4,4.67,-       
18.15,-0.6,2.29,3.4,4.63,gaze started: p_2_2
18.2,-0.57,2.29,3.4,4.65,-       
18.25,-0.57,2.29,3.4,4.67,-       
18.3,-0.57,2.3,3.4,4.69,-       
18.35,-0.68,2.25,3.4,4.82,-       
18.4,-0.71,2.28,3.46,4.8,-       
18.45,-0.71,2.28,3.46,4.8,-       
18.5,-0.71,2.29,3.46,4.77,-       
18.55,-0.72,2.3,3.46,4.73,-       
18.6,-0.71,2.3,3.46,4.7,-       
18.65,-0.71,2.3,3.46,4.68,-       
18.7,-0.71,2.3,3.46,4.69,-       
18.75,-0.72,2.13,3.46,4.74,-       
18.8,-0.69,2.13,3.4,4.71,-       
18.85,-0.69,2.14,3.4,4.73,gaze started: p_2_2
18.9,-0.68,2.13,3.4,4.72,-       
18.95,-0.64,2.14,3.4,4.74,-       
19.0,-0.66,2.14,3.4,4.77,-       
19.05,-0.67,2.14,3.4,4.8,-       
19.1,-1.14,2.15,3.4,4.8,gaze started: p_2_1
19.15,-1.11,2.16,3.4,4.79,-       
