time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.03,1.76,3.4,2.64,gaze started: p_3_2
0.05,0.75,1.44,3.4,2.67,-       
0.1,1.37,1.09,3.4,2.63,gaze started: p_3_3
0.15,0.89,0.77,-0.48,,gaze started: p_4_4
0.2,1.37,1.12,3.4,2.59,-       
0.25,1.37,1.12,3.4,2.58,gaze started: p_4_4
0.3,1.37,1.12,3.4,2.58,gaze started: p_4_4
0.35,1.37,1.12,3.4,2.58,gaze started: p_4_4
0.4,1.37,1.12,3.4,2.58,gaze started: p_4_4
0.45,1.37,1.12,3.4,2.58,gaze started: p_4_4
0.5,1.37,1.12,3.4,2.58,gaze started: p_4_4
0.55,1.37,1.12,3.4,2.58,gaze started: p_4_4
0.6,1.37,1.12,3.4,2.58,gaze started: p_4_4
0.65,1.37,1.12,3.4,2.58,gaze started: p_4_4
0.7,1.37,1.12,3.4,2.58,gaze started: p_4_4
0.75,1.37,1.12,3.4,2.58,gaze started: p_4_4
0.8,1.33,1.1,3.4,2.53,gaze fixated: p_4_4
0.85,1.28,1.11,3.4,2.65,-       
0.9,1.33,1.11,3.4,2.73,-       
0.95,1.32,1.11,3.4,2.72,-       
1.0,1.32,1.11,3.4,2.69,-       
1.05,0.76,1.47,3.4,2.62,-       
1.1,0.38,1.63,3.4,2.64,gaze started: p_3_3
1.15,0.38,1.64,3.4,2.67,-       
1.2,0.31,1.66,3.4,2.73,-       
1.25,0.19,1.75,3.4,2.67,-       
1.3,0.25,1.76,3.4,2.76,-       
1.35,0.19,1.91,3.4,2.82,gaze fixated: p_3_3
1.4,0.88,0.78,-0.49,,gaze started: p_2_3
1.45,0.88,0.78,-0.49,,-       
1.5,0.88,0.78,-0.49,,-       
1.55,0.88,0.78,-0.49,,-       
1.6,0.88,0.78,-0.49,,-       
1.65,0.88,0.78,-0.49,,-       
1.7,-0.2,2.23,3.4,2.92,-       
1.75,-0.18,2.24,3.4,2.89,gaze started: p_2_2
1.8,-0.18,2.24,3.4,2.97,-       
1.85,-0.18,2.24,3.4,2.98,-       
1.9,-0.17,2.25,3.4,2.97,-       
1.95,-0.17,2.26,3.4,2.96,-       
2.0,-0.16,2.26,3.4,2.94,gaze fixated: p_2_2
2.05,-0.16,2.25,3.4,2.93,-       
2.1,-0.19,2.21,3.4,2.95,-       
2.15,-0.17,2.23,3.4,3.0,-       
2.2,0.04,2.09,3.4,3.0,-       
2.25,0.48,1.79,3.4,2.95,-       
2.3,0.37,1.87,3.4,2.79,gaze started: p_3_3
2.35,0.44,1.86,3.4,2.7,gaze started: p_2_3
2.4,0.51,1.76,3.4,2.52,-       
2.45,0.53,1.76,3.4,2.46,gaze started: p_3_3
2.5,0.89,0.77,-0.49,,-       
2.55,0.89,0.77,-0.49,,-       
2.6,0.89,0.77,-0.49,,-       
2.65,0.89,0.77,-0.49,,-       
2.7,0.89,0.77,-0.49,,-       
2.75,0.89,0.77,-0.49,,-       
2.8,0.89,0.77,-0.49,,-       
2.85,0.9,0.77,-0.49,,-       
2.9,0.9,0.77,-0.48,,-       
2.95,0.9,0.77,-0.48,,-       
3.0,0.9,0.77,-0.48,,-       
3.05,-0.16,2.18,3.4,2.52,-       
3.1,-0.25,2.19,3.4,2.39,gaze started: p_2_2
3.15,-0.38,2.18,3.4,2.42,-       
3.2,0.89,0.77,-0.48,,-       
3.25,0.89,0.77,-0.49,,-       
3.3,0.88,0.78,-0.49,,-       
3.35,0.88,0.78,-0.49,,-       
3.4,0.88,0.78,-0.49,,-       
3.45,-0.1,2.23,3.4,2.39,-       
3.5,-0.08,2.24,3.4,2.39,gaze started: p_2_2
3.55,-0.09,2.22,3.4,2.35,-       
3.6,-0.13,2.2,3.4,2.4,-       
3.65,-0.06,2.24,3.4,2.47,-       
3.7,-0.12,2.2,3.4,2.43,-       
3.75,-0.1,2.21,3.4,2.45,-       
3.8,-0.03,2.17,3.4,2.36,gaze fixated: p_2_2
3.85,0.08,2.01,3.4,2.37,-       
3.9,0.08,2.0,3.4,2.37,-       
3.95,0.05,1.99,3.4,2.41,-       
4.0,0.07,1.94,3.4,2.41,-       
4.05,0.06,1.92,3.4,2.44,-       
4.1,0.0,1.92,3.4,2.44,-       
4.15,-0.0,1.92,3.4,2.46,-       
4.2,0.07,1.85,3.4,2.48,-       
4.25,0.04,1.82,3.4,2.51,-       
4.3,0.03,1.83,3.4,2.53,-       
4.35,0.03,1.84,3.4,2.56,-       
4.4,0.03,1.81,3.4,2.57,-       
4.45,0.04,1.79,3.4,2.54,-       
4.5,0.05,1.78,3.4,2.56,gaze started: p_3_2
4.55,0.05,1.79,3.4,2.58,-       
4.6,0.05,1.78,3.4,2.6,-       
4.65,0.06,1.78,3.4,2.64,-       
4.7,0.06,1.81,3.4,2.64,-       
4.75,0.07,1.84,3.4,2.65,gaze started: p_2_2
4.8,0.06,1.84,3.4,2.66,-       
4.85,0.04,1.88,3.4,2.67,-       
4.9,-0.06,2.13,3.4,2.63,-       
4.95,-0.08,2.12,3.4,2.64,-       
5.0,0.86,0.84,-0.52,,-       
5.05,0.86,0.84,-0.52,,-       
5.1,0.86,0.84,-0.52,,-       
5.15,0.86,0.84,-0.52,,-       
5.2,0.86,0.84,-0.52,,-       
5.25,0.86,0.84,-0.52,,-       
5.3,-0.05,2.04,3.4,2.67,-       
5.35,-0.05,2.04,3.4,2.69,gaze started: p_2_2
5.4,0.03,1.99,3.4,2.83,-       
5.45,0.07,2.0,3.4,2.83,-       
5.5,0.06,2.0,3.4,2.82,-       
5.55,-0.02,1.99,3.4,2.81,-       
5.6,-0.0,1.99,3.4,2.75,-       
5.65,-0.01,1.97,3.4,2.72,gaze fixated: p_2_2
5.7,-0.01,1.97,3.4,2.68,-       
5.75,-0.01,1.97,3.4,2.65,-       
5.8,-0.02,1.97,3.4,2.64,-       
5.85,-0.01,1.96,3.4,2.64,-       
5.9,-0.01,1.95,3.4,2.64,-       
5.95,-0.0,1.94,3.4,2.65,-       
6.0,-0.01,1.95,3.4,2.66,-       
6.05,-0.0,1.95,3.4,2.66,-       
6.1,-0.06,1.93,3.4,2.67,-       
6.15,-0.06,1.93,3.4,2.67,-       
6.2,0.04,1.93,3.4,2.69,-       
6.25,-0.0,1.94,3.4,2.69,-       
6.3,0.04,1.94,3.4,2.7,-       
6.35,0.04,1.92,3.4,2.66,-       
6.4,0.07,1.91,3.4,2.66,-       
6.45,0.07,1.91,3.4,2.66,-       
6.5,0.09,1.91,3.4,2.64,-       
6.55,0.09,1.91,3.4,2.62,-       
6.6,0.09,1.91,3.4,2.62,-       
6.65,0.08,1.91,3.4,2.62,-       
6.7,0.07,1.9,3.4,2.62,-       
6.75,0.07,1.89,3.4,2.64,-       
6.8,0.08,1.89,3.4,2.65,-       
6.85,0.09,1.9,3.4,2.65,-       
6.9,0.08,1.9,3.4,2.65,-       
6.95,0.08,1.9,3.4,2.64,-       
7.0,0.09,1.9,3.4,2.64,-       
7.05,0.07,1.9,3.4,2.66,-       
7.1,0.02,1.89,3.4,2.71,-       
7.15,0.02,1.89,3.4,2.71,-       
7.2,0.87,0.83,-0.51,,gaze ended: p_2_2
7.25,0.87,0.83,-0.51,,gaze ended: p_2_2
7.3,0.87,0.83,-0.51,,-       
7.35,0.87,0.83,-0.51,,-       
7.4,0.87,0.84,-0.52,,-       
7.45,0.87,0.84,-0.52,,-       
7.5,0.2,1.87,3.4,2.76,-       
7.55,0.2,1.87,3.4,2.76,-       
7.6,0.15,1.86,3.4,2.7,-       
7.65,0.15,1.86,3.4,2.7,-       
7.7,0.12,1.85,3.4,2.7,-       
7.75,0.11,1.85,3.4,2.65,gaze started: p_2_2
7.8,0.1,1.84,3.4,2.58,-       
7.85,0.1,1.83,3.4,2.5,-       
7.9,0.11,1.83,3.4,2.47,-       
7.95,0.1,1.82,3.4,2.44,-       
8.0,0.09,1.82,3.4,2.46,gaze fixated: p_2_2
8.05,0.09,1.82,3.4,2.46,-       
8.1,0.11,1.81,3.4,2.48,-       
8.15,0.07,1.82,3.4,2.5,-       
8.2,0.1,1.82,3.4,2.49,-       
8.25,0.1,1.83,3.4,2.48,-       
8.3,0.11,1.82,3.4,2.48,-       
8.35,0.1,1.81,3.46,2.46,-       
8.4,0.1,1.82,3.4,2.46,gaze ended: p_2_2
8.45,0.1,1.83,3.4,2.45,gaze started: p_2_2
