time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.4,1.98,3.4,3.8,-       
0.05,-0.41,1.91,3.4,3.73,gaze started: p_2_2
0.1,-0.44,1.91,3.4,3.76,-       
0.15,-0.41,1.9,3.4,3.79,-       
0.2,-0.41,1.89,3.4,3.72,-       
0.25,-0.42,1.89,3.4,3.76,-       
0.3,-0.42,1.89,3.4,3.76,-       
0.35,-0.42,1.89,3.4,3.76,-       
0.4,-0.42,1.89,3.4,3.76,-       
0.45,-0.42,1.89,3.4,3.76,-       
0.5,-0.42,1.89,3.4,3.76,-       
0.55,-0.42,1.89,3.4,3.76,-       
0.6,-0.42,1.89,3.4,3.76,-       
0.65,-0.42,1.89,3.4,3.76,-       
0.7,-0.42,1.89,3.4,3.76,-       
0.75,-0.46,1.89,3.4,3.64,gaze fixated: p_2_2
0.8,-0.45,1.89,3.4,3.61,-       
0.85,-0.45,1.89,3.4,3.6,-       
0.9,-0.46,1.9,3.4,3.58,-       
0.95,-0.46,1.9,3.4,3.53,-       
1.0,-0.46,1.89,3.4,3.5,-       
1.05,-0.23,1.91,3.4,3.39,-       
1.1,-0.16,1.94,3.4,3.58,-       
1.15,0.61,0.84,-0.4,,-       
1.2,0.61,0.84,-0.4,,gaze ended: p_2_2
1.25,0.61,0.84,-0.4,,-       
1.3,0.61,0.84,-0.4,,-       
1.35,0.61,0.84,-0.4,,-       
1.4,0.61,0.84,-0.4,,-       
1.45,0.61,0.84,-0.4,,-       
1.5,0.17,1.15,3.4,3.58,-       
1.55,0.08,1.15,3.4,3.59,gaze started: p_4_3
1.6,0.13,1.17,3.4,3.61,gaze started: p_4_2
1.65,0.12,1.1,3.4,3.59,-       
1.7,0.06,1.14,3.4,3.62,-       
1.75,0.08,1.12,3.4,3.66,-       
1.8,0.61,0.84,-0.4,,-       
1.85,0.61,0.84,-0.4,,-       
1.9,0.61,0.84,-0.4,,-       
1.95,0.1,1.16,3.4,3.58,-       
2.0,0.12,1.12,3.4,3.5,gaze started: p_4_2
2.05,0.13,1.13,3.4,3.46,-       
2.1,0.13,1.18,3.4,3.43,-       
2.15,0.12,1.16,3.4,3.52,-       
2.2,0.13,1.56,3.46,3.46,-       
2.25,0.1,1.48,3.4,3.25,-       
2.3,0.1,1.49,3.4,2.98,gaze started: p_3_2
2.35,0.2,1.46,3.4,2.89,-       
2.4,0.19,1.48,3.4,2.72,gaze started: p_3_3
2.45,0.14,1.68,3.46,2.46,-       
2.5,-0.01,1.66,3.4,2.32,-       
2.55,0.04,1.7,3.4,2.27,gaze started: p_3_2
2.6,0.02,1.75,3.4,2.27,-       
2.65,0.03,1.72,3.4,2.16,-       
2.7,0.04,1.72,3.4,2.13,-       
2.75,0.03,1.75,3.4,2.13,-       
2.8,0.04,1.73,3.4,2.12,-       
2.85,0.04,1.76,3.4,2.12,gaze fixated: p_3_2
2.9,0.04,1.77,3.4,2.1,-       
2.95,0.04,1.72,3.4,2.05,-       
3.0,0.03,1.76,3.4,2.05,-       
3.05,0.05,1.81,3.46,2.07,-       
3.1,-0.02,1.53,3.4,2.06,gaze ended: p_3_2
3.15,0.01,1.43,3.4,1.98,gaze started: p_3_2
3.2,0.0,1.5,3.4,2.02,-       
3.25,-0.0,1.43,3.4,2.0,-       
3.3,0.61,0.84,-0.4,,-       
3.35,0.61,0.84,-0.4,,-       
3.4,0.61,0.84,-0.4,,-       
3.45,0.61,0.84,-0.4,,-       
