time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.68,0.7,-0.28,,-       
0.05,0.68,0.7,-0.28,,-       
0.1,0.68,0.7,-0.28,,-       
0.15,0.68,0.7,-0.28,,-       
0.2,0.68,0.7,-0.28,,-       
0.25,0.68,0.7,-0.28,,-       
0.3,0.68,0.7,-0.28,,-       
0.35,0.68,0.7,-0.28,,-       
0.4,0.68,0.7,-0.28,,-       
0.45,0.68,0.7,-0.28,,-       
0.5,0.68,0.7,-0.28,,-       
0.55,0.68,0.7,-0.28,,-       
0.6,-1.58,0.53,3.35,4.5,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_dominos_30s_100.mp4
0.65,-1.58,0.53,3.35,4.5,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_dominos_30s_100.mp4
0.7,-1.58,0.53,3.35,4.5,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_dominos_30s_100.mp4
0.75,-1.58,0.53,3.35,4.5,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_dominos_30s_100.mp4
0.8,0.69,0.7,-0.28,,-       
0.85,0.69,0.7,-0.28,,-       
0.9,0.69,0.7,-0.28,,-       
0.95,0.69,0.7,-0.28,,-       
1.0,0.69,0.7,-0.28,,-       
1.05,1.46,0.86,3.46,4.16,-       
1.1,1.75,0.63,3.57,4.48,-       
1.15,1.75,0.71,3.57,4.54,-       
1.2,1.76,0.74,3.57,4.53,-       
1.25,1.76,0.74,3.57,4.53,-       
1.3,1.74,0.75,3.57,4.53,-       
1.35,1.73,0.76,3.57,4.54,-       
1.4,1.72,0.7,3.57,4.54,-       
1.45,0.69,0.71,-0.28,,-       
1.5,0.69,0.71,-0.28,,-       
1.55,0.69,0.71,-0.28,,-       
1.6,0.69,0.7,-0.28,,-       
1.65,0.69,0.71,-0.28,,-       
1.7,0.69,0.71,-0.28,,-       
1.75,-0.25,2.06,3.4,4.53,-       
1.8,-0.2,2.13,3.4,4.66,gaze started: p_2_2
1.85,-0.23,2.13,3.4,4.66,-       
1.9,-0.25,2.12,3.4,4.68,-       
1.95,0.25,1.88,3.4,4.73,-       
2.0,0.54,1.67,3.4,4.55,gaze started: p_2_3
2.05,0.56,1.63,3.4,4.26,gaze started: p_3_3
2.1,0.55,1.64,3.4,4.12,-       
2.15,0.54,1.6,3.4,3.83,-       
2.2,0.54,1.63,3.4,3.68,-       
2.25,0.53,1.62,3.4,3.46,-       
2.3,0.52,1.63,3.4,3.3,gaze fixated: p_3_3
2.35,0.52,1.63,3.4,3.3,gaze fixated: p_3_3
2.4,0.52,1.65,3.4,3.12,-       
2.45,0.51,1.64,3.4,3.04,-       
2.5,0.52,1.63,3.4,2.98,-       
2.55,0.51,1.63,3.4,2.89,-       
