time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.29,0.64,3.57,4.54,-       
0.05,0.29,0.64,3.57,4.54,-       
0.1,1.16,0.82,-1.08,,-       
0.15,1.16,0.82,-1.08,,-       
0.2,1.16,0.82,-1.08,,-       
0.25,1.16,0.82,-1.08,,-       
0.3,0.43,2.06,3.4,5.05,-       
0.35,0.43,2.06,3.4,5.05,-       
0.4,1.04,2.45,3.4,5.59,gaze started: p_2_3
0.45,1.48,2.7,3.4,5.63,gaze started: p_1_4
0.5,1.48,2.7,3.4,5.63,gaze started: p_1_4
0.55,1.44,2.77,3.46,5.73,-       
0.6,0.61,2.42,3.4,4.87,-       
0.65,0.61,2.42,3.4,4.87,-       
0.7,0.28,2.4,3.4,5.25,gaze started: p_1_3
0.75,0.23,2.35,3.4,4.88,-       
0.8,0.23,2.35,3.4,4.88,-       
0.85,1.17,0.82,-1.07,,-       
0.9,1.16,0.82,-1.07,,-       
0.95,0.39,2.0,3.4,4.09,-       
1.0,0.39,2.0,3.4,4.09,-       
1.05,0.34,1.95,3.4,4.09,gaze started: p_2_3
1.1,0.34,1.96,3.4,4.05,-       
1.15,0.34,1.96,3.4,4.05,-       
1.2,0.01,2.09,3.4,3.92,-       
1.25,0.04,2.11,3.4,3.93,gaze started: p_2_2
1.3,0.04,2.11,3.4,3.93,gaze started: p_2_2
1.35,0.03,2.11,3.4,3.84,-       
1.4,1.16,0.82,-1.08,,-       
1.45,1.16,0.82,-1.08,,-       
1.5,1.12,0.86,-1.04,,-       
1.55,1.12,0.86,-1.04,,-       
1.6,1.12,0.86,-1.04,,-       
1.65,1.17,0.82,-1.09,,-       
1.7,0.18,2.09,3.4,3.65,-       
1.75,0.18,2.09,3.4,3.65,-       
1.8,0.42,2.28,3.46,3.91,gaze started: p_2_3
1.85,0.69,2.37,3.4,4.0,-       
1.9,1.12,0.86,-1.04,,gaze started: p_1_3
1.95,1.12,0.86,-1.04,,gaze started: p_1_3
2.0,1.12,0.86,-1.04,,-       
2.05,1.12,0.86,-1.04,,-       
2.1,1.12,0.86,-1.04,,-       
2.15,1.17,0.82,-1.09,,-       
2.2,0.42,2.31,3.4,4.07,-       
2.25,0.42,2.31,3.4,4.07,-       
2.3,1.12,0.86,-1.04,,gaze started: p_1_3
2.35,1.12,0.87,-1.04,,-       
2.4,1.12,0.87,-1.04,,-       
2.45,1.12,0.86,-1.04,,-       
2.5,1.12,0.87,-1.04,,-       
