time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.45,2.21,3.4,5.05,-       
0.05,-0.44,2.22,3.4,5.04,-       
0.1,-0.48,2.23,3.4,5.02,-       
0.15,-0.51,2.24,3.4,5.03,gaze fixated: p_2_2
0.2,-0.48,2.19,3.4,5.06,-       
0.25,-0.45,2.22,3.4,5.04,-       
0.3,-0.45,2.22,3.4,5.04,-       
0.35,-0.45,2.22,3.4,5.04,-       
0.4,-0.45,2.22,3.4,5.04,-       
0.45,-0.45,2.22,3.4,5.04,-       
0.5,-0.45,2.22,3.4,5.04,-       
0.55,-0.45,2.22,3.4,5.04,-       
0.6,-0.45,2.22,3.4,5.04,-       
0.65,-0.45,2.22,3.4,5.04,-       
0.7,-0.45,2.22,3.4,5.04,-       
0.75,-0.45,2.22,3.4,5.04,-       
0.8,-0.49,2.31,3.4,5.08,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_dominos_30s_50nd.mp4
0.85,-0.33,2.21,3.4,5.05,gaze started: p_1_2
0.9,-0.27,2.24,3.4,5.07,gaze started: p_2_2
0.95,-0.27,2.24,3.4,5.07,gaze started: p_2_2
1.0,-0.21,2.25,3.4,5.11,-       
1.05,0.57,0.36,0.08,,-       
1.1,0.57,0.36,0.08,,-       
1.15,0.58,0.36,0.07,,-       
1.2,0.58,0.36,0.07,,-       
1.25,0.58,0.36,0.07,,-       
1.3,0.58,0.36,0.07,,-       
1.35,0.58,0.36,0.07,,-       
1.4,-1.17,0.81,3.57,5.0,-       
1.45,-1.22,0.72,3.57,5.02,-       
1.5,-1.39,0.7,3.4,5.15,-       
1.55,-1.43,0.69,3.38,5.15,-       
1.6,-1.39,0.71,3.38,5.15,-       
1.65,-1.4,0.71,3.38,5.13,-       
1.7,-1.41,0.7,3.38,5.15,-       
1.75,-1.39,0.68,3.38,5.14,-       
1.8,-1.39,0.68,3.38,5.14,-       
1.85,-0.21,0.53,2.96,5.23,-       
1.9,-0.29,0.53,3.22,5.15,-       
1.95,-0.29,0.53,3.3,5.14,-       
2.0,-0.29,0.53,3.3,5.14,-       
2.05,-0.33,0.57,3.57,5.19,-       
2.1,-0.28,0.67,3.57,4.94,-       
2.15,-0.07,1.29,3.4,4.81,-       
2.2,-0.08,1.29,3.4,4.49,gaze started: p_4_2
2.25,-0.22,1.42,3.4,4.27,-       
2.3,-0.2,1.44,3.4,4.08,gaze started: p_3_2
2.35,-0.14,1.49,3.4,3.95,-       
2.4,-0.15,1.49,3.4,3.85,-       
2.45,-0.15,1.46,3.4,3.67,-       
2.5,-0.15,1.5,3.4,3.65,-       
2.55,-0.15,1.5,3.4,3.65,-       
2.6,0.58,0.36,0.03,,gaze fixated: p_3_2
2.65,0.58,0.36,0.02,,gaze ended: p_3_2
2.7,0.58,0.36,0.01,,-       
2.75,0.58,0.36,0.0,,-       
2.8,0.3,2.03,3.4,3.13,-       
2.85,0.38,1.99,3.4,3.1,gaze started: p_2_3
2.9,0.38,1.99,3.4,3.1,gaze started: p_2_3
2.95,0.37,1.98,3.4,3.04,-       
3.0,0.37,1.99,3.4,3.05,-       
3.05,0.45,2.01,3.4,3.03,-       
3.1,0.36,2.02,3.4,3.09,-       
3.15,1.9,1.9,3.57,3.14,gaze fixated: p_2_3
3.2,2.6,1.7,3.29,3.12,gaze ended: p_2_3
3.25,2.6,1.72,3.33,3.12,-       
3.3,2.44,1.65,3.15,3.15,-       
3.35,2.6,1.71,3.29,3.2,-       
3.4,2.4,1.68,3.13,3.19,-       
3.45,2.28,1.66,3.15,3.26,-       
3.5,0.52,0.36,-0.1,,-       
3.55,0.52,0.36,-0.1,,-       
3.6,0.52,0.36,-0.09,,-       
3.65,0.52,0.36,-0.09,,-       
3.7,0.14,1.8,3.46,3.32,-       
3.75,0.14,1.8,3.46,3.32,-       
3.8,0.02,1.81,3.4,3.56,-       
3.85,0.13,1.88,3.4,3.63,gaze started: p_2_2
3.9,0.13,1.88,3.4,3.69,-       
3.95,0.13,1.89,3.4,3.7,-       
4.0,0.05,1.87,3.4,3.72,-       
4.05,0.03,1.82,3.46,3.72,-       
4.1,0.07,1.85,3.4,3.66,-       
4.15,0.53,0.36,-0.08,,gaze started: p_2_2
4.2,0.53,0.36,-0.08,,-       
