time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.64,2.03,3.4,4.3,gaze fixated: p_2_3
0.05,-0.1,1.9,3.4,4.36,-       
0.1,-0.1,1.9,3.4,4.36,-       
0.15,-0.35,1.79,3.4,4.3,-       
0.2,-0.35,1.79,3.4,4.3,-       
0.25,-0.33,1.79,3.4,4.31,gaze started: p_3_2
0.3,-0.18,1.59,3.4,4.21,-       
0.35,-0.12,1.51,3.4,4.24,-       
0.4,-0.13,1.51,3.4,4.22,-       
0.45,-0.13,1.51,3.4,4.23,-       
0.5,-0.09,1.49,3.4,4.24,gaze fixated: p_3_2
0.55,0.51,2.08,3.4,4.47,-       
0.6,0.64,2.25,3.4,4.37,gaze started: p_2_3
0.65,0.71,2.21,3.4,4.4,-       
0.7,0.79,2.24,3.4,4.42,-       
0.75,0.76,2.24,3.4,4.43,-       
0.8,0.72,2.24,3.4,4.45,-       
0.85,0.72,2.24,3.4,4.45,-       
0.9,0.23,2.05,3.4,4.48,gaze fixated: p_2_3
0.95,0.04,1.97,3.4,4.44,-       
1.0,-0.03,1.96,3.4,4.44,gaze started: p_2_2
1.05,-0.01,1.9,3.4,4.46,-       
1.1,0.45,1.59,3.4,4.26,-       
1.15,0.41,1.58,3.4,4.1,gaze started: p_3_3
1.2,0.5,1.56,3.4,3.94,-       
1.25,0.54,1.55,3.4,3.83,-       
1.3,0.5,1.57,3.4,3.63,-       
1.35,0.46,1.58,3.4,3.51,-       
1.4,0.5,1.57,3.4,3.39,gaze fixated: p_3_3
1.45,0.48,1.56,3.4,3.31,-       
1.5,0.5,1.56,3.4,3.22,-       
1.55,0.51,1.56,3.4,3.17,-       
1.6,0.52,1.56,3.4,3.1,-       
1.65,0.53,1.56,3.4,3.08,-       
1.7,0.43,1.7,3.4,3.04,-       
1.75,0.14,2.34,3.46,2.96,-       
1.8,0.14,2.34,3.46,2.96,-       
1.85,0.2,2.35,3.4,2.96,gaze ended: p_3_3
1.9,0.16,2.32,3.4,2.99,gaze started: p_1_3
1.95,0.14,2.32,3.4,2.94,-       
2.0,0.14,2.33,3.4,2.96,-       
2.05,0.66,2.4,3.4,2.98,-       
2.1,0.82,2.38,3.4,3.0,-       
2.15,0.54,0.36,-0.18,,gaze fixated: p_1_3
2.2,0.54,0.36,-0.18,,gaze ended: p_1_3
2.25,0.54,0.36,-0.18,,-       
2.3,0.54,0.36,-0.17,,-       
2.35,0.54,0.36,-0.17,,-       
2.4,0.32,2.33,3.4,3.25,-       
2.45,0.46,2.32,3.4,3.33,gaze started: p_1_3
2.5,0.27,2.28,3.4,3.34,-       
2.55,0.45,2.29,3.46,3.38,-       
2.6,0.37,2.28,3.4,3.43,-       
2.65,0.33,2.29,3.46,3.49,gaze started: p_1_3
2.7,0.33,2.26,3.4,3.52,-       
2.75,0.34,2.25,3.4,3.56,gaze started: p_2_3
2.8,0.34,2.25,3.4,3.56,-       
2.85,-0.22,2.44,3.4,3.61,-       
2.9,-0.66,2.3,3.4,3.6,gaze started: p_1_2
2.95,-0.66,2.3,3.4,3.6,gaze started: p_1_2
3.0,-0.65,2.32,3.4,3.64,-       
3.05,-0.65,2.3,3.4,3.64,-       
3.1,-0.67,2.3,3.4,3.65,-       
3.15,-0.65,2.31,3.4,3.67,-       
3.2,-0.28,1.98,3.4,3.7,gaze fixated: p_1_2
3.25,0.55,0.36,-0.16,,gaze started: p_2_2
3.3,0.54,0.36,-0.16,,-       
3.35,0.55,0.36,-0.16,,-       
3.4,0.55,0.36,-0.16,,-       
3.45,0.18,1.84,3.4,3.68,-       
3.5,-0.04,1.89,3.4,3.73,gaze started: p_2_3
3.55,0.07,1.84,3.4,3.75,gaze started: p_2_2
3.6,0.08,1.83,3.4,3.77,-       
3.65,0.09,1.82,3.4,3.77,-       
3.7,0.07,1.82,3.4,3.79,-       
3.75,0.08,1.61,3.4,3.75,-       
3.8,0.01,1.44,3.4,3.74,gaze started: p_3_2
3.85,0.08,1.4,3.4,3.74,-       
3.9,0.08,1.4,3.4,3.74,-       
3.95,0.07,1.39,3.4,3.74,-       
4.0,0.05,1.38,3.4,3.75,-       
4.05,-0.02,1.37,3.4,3.77,-       
4.1,0.06,1.35,3.4,3.78,gaze fixated: p_3_2
4.15,0.06,1.37,3.4,3.78,-       
4.2,0.08,1.35,3.4,3.76,-       
4.25,0.54,0.36,-0.17,,-       
4.3,0.54,0.36,-0.16,,gaze ended: p_3_2
4.35,0.54,0.36,-0.16,,-       
4.4,0.54,0.36,-0.16,,-       
4.45,0.54,0.36,-0.16,,-       
4.5,0.05,2.23,3.4,3.55,-       
4.55,0.16,2.25,3.4,3.54,gaze started: p_2_2
4.6,0.19,2.21,3.4,3.53,gaze started: p_2_3
4.65,0.21,2.21,3.4,3.53,-       
4.7,0.16,1.6,3.4,3.56,-       
