time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.31,1.87,3.4,3.39,gaze fixated: p_2_3
0.05,0.31,1.87,3.4,3.39,-       
0.1,0.32,1.88,3.4,3.36,-       
0.15,0.33,1.87,3.4,3.36,-       
0.2,0.32,1.87,3.4,3.35,-       
0.25,0.32,1.87,3.4,3.34,-       
0.3,0.32,1.87,3.4,3.33,-       
0.35,0.32,1.87,3.4,3.33,-       
0.4,0.32,1.87,3.4,3.33,-       
0.45,0.32,1.87,3.4,3.33,-       
0.5,0.32,1.87,3.4,3.33,-       
0.55,0.32,1.87,3.4,3.33,-       
0.6,0.32,1.87,3.4,3.33,-       
0.65,0.32,1.87,3.4,3.33,-       
0.7,0.32,1.87,3.4,3.33,-       
0.75,0.32,1.87,3.4,3.33,-       
0.8,0.32,1.87,3.4,3.33,-       
0.85,0.32,1.87,3.4,3.33,-       
0.9,0.03,1.86,3.4,3.28,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_dominos_30s_50wd.mp4
0.95,0.04,1.86,3.4,3.29,gaze started: p_2_2
1.0,0.04,1.85,3.4,3.29,-       
1.05,0.03,1.85,3.4,3.29,-       
1.1,0.66,0.66,-0.26,,-       
1.15,0.66,0.66,-0.26,,-       
1.2,0.66,0.66,-0.26,,-       
1.25,0.66,0.66,-0.26,,-       
1.3,0.66,0.66,-0.26,,-       
1.35,0.15,1.71,3.4,3.15,-       
1.4,0.13,1.72,3.4,3.28,gaze started: p_3_3
1.45,0.13,1.71,3.4,3.35,gaze started: p_3_2
1.5,0.16,1.7,3.4,3.37,-       
1.55,0.19,1.7,3.4,3.39,gaze started: p_3_3
1.6,0.19,1.71,3.4,3.41,-       
1.65,0.19,1.71,3.4,3.43,-       
1.7,0.16,1.71,3.4,3.47,-       
1.75,0.16,1.7,3.4,3.49,-       
1.8,0.19,1.71,3.4,3.51,gaze fixated: p_3_3
1.85,0.21,1.7,3.4,3.53,-       
1.9,0.2,1.71,3.4,3.54,-       
