time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.19,1.86,3.4,3.36,-       
0.05,0.21,1.87,3.4,3.22,gaze started: p_2_3
0.1,0.2,1.9,3.4,3.16,-       
0.15,0.2,1.9,3.4,3.05,-       
0.2,-0.1,2.22,3.4,2.88,-       
0.25,-0.11,2.22,3.4,2.83,gaze started: p_2_2
0.3,-0.13,2.14,3.4,2.76,-       
0.35,-0.12,2.14,3.4,2.78,-       
0.4,-0.01,2.15,3.4,2.75,-       
0.45,0.43,2.15,3.4,2.85,-       
0.5,0.43,2.15,3.4,2.85,-       
0.55,0.37,2.16,3.4,2.84,gaze started: p_2_3
0.6,0.35,2.16,3.4,2.85,-       
0.65,0.1,1.63,3.4,2.91,-       
0.7,0.02,1.66,3.4,2.97,-       
0.75,0.02,1.66,3.4,2.97,-       
0.8,0.02,1.66,3.4,2.97,-       
0.85,0.02,1.66,3.4,2.97,-       
0.9,0.02,1.66,3.4,2.97,-       
0.95,0.02,1.66,3.4,2.97,-       
1.0,0.02,1.66,3.4,2.97,-       
1.05,0.02,1.66,3.4,2.97,-       
1.1,0.02,1.66,3.4,2.97,-       
1.15,0.02,1.66,3.4,2.97,-       
1.2,0.02,1.66,3.4,2.97,-       
1.25,-0.03,1.9,3.4,3.04,gaze fixated: p_3_2
1.3,-0.02,1.9,3.4,3.06,gaze started: p_2_2
1.35,-0.02,1.9,3.4,3.08,-       
1.4,-0.03,1.9,3.4,3.02,-       
1.45,0.03,1.9,3.4,3.05,-       
1.5,-0.1,1.9,3.4,3.02,-       
1.55,0.04,1.9,3.4,3.1,-       
1.6,-0.04,1.91,3.4,3.1,gaze fixated: p_2_2
1.65,-0.03,1.91,3.4,3.12,-       
1.7,-0.03,1.9,3.4,3.16,-       
1.75,-0.03,1.9,3.4,3.19,-       
1.8,-0.03,1.89,3.4,3.21,-       
1.85,-0.03,1.89,3.4,3.27,-       
1.9,-0.06,1.91,3.4,3.35,-       
1.95,0.59,0.74,-0.29,,-       
2.0,0.59,0.74,-0.29,,gaze ended: p_2_2
2.05,0.59,0.74,-0.29,,-       
2.1,0.58,0.74,-0.29,,-       
2.15,0.09,1.81,3.4,3.65,-       
2.2,0.07,1.82,3.4,3.63,gaze started: p_2_2
2.25,0.05,1.86,3.4,3.67,-       
2.3,0.02,1.85,3.4,3.68,-       
2.35,0.05,1.84,3.4,3.71,-       
2.4,0.07,1.84,3.4,3.72,-       
2.45,0.05,1.84,3.4,3.75,-       
2.5,0.05,1.84,3.4,3.78,gaze fixated: p_2_2
2.55,0.05,1.83,3.4,3.84,-       
2.6,0.05,1.83,3.4,3.83,-       
2.65,0.45,1.75,3.4,3.59,-       
2.7,0.47,1.73,3.4,3.41,gaze started: p_3_3
2.75,0.46,1.76,3.4,3.22,-       
2.8,0.46,1.78,3.4,3.08,-       
2.85,0.45,1.79,3.4,2.91,-       
2.9,0.58,1.73,3.4,2.68,-       
2.95,0.58,0.74,-0.29,,-       
3.0,0.58,0.74,-0.29,,-       
3.05,0.58,0.74,-0.29,,-       
3.1,0.58,0.74,-0.29,,-       
3.15,0.58,0.74,-0.29,,-       
3.2,0.35,1.82,3.4,2.52,-       
3.25,0.34,1.85,3.4,2.53,gaze started: p_2_3
3.3,0.29,1.85,3.4,2.55,-       
3.35,0.28,1.85,3.4,2.58,-       
3.4,0.3,1.84,3.4,2.61,-       
3.45,0.23,1.86,3.4,2.67,-       
3.5,0.22,1.86,3.4,2.72,gaze fixated: p_2_3
3.55,0.22,1.86,3.4,2.72,gaze fixated: p_2_3
3.6,0.28,1.82,3.4,2.61,-       
3.65,0.28,1.82,3.4,2.61,-       
3.7,0.58,0.74,-0.29,,-       
3.75,0.58,0.74,-0.29,,gaze ended: p_2_3
3.8,0.58,0.74,-0.29,,-       
3.85,0.58,0.74,-0.29,,-       
3.9,0.3,1.95,3.4,2.66,-       
3.95,0.31,1.91,3.4,2.72,gaze started: p_2_3
4.0,0.2,1.91,3.4,2.77,-       
4.05,0.22,1.9,3.4,2.81,-       
4.1,0.17,1.92,3.4,2.85,-       
4.15,0.23,1.9,3.4,2.84,-       
4.2,0.26,1.89,3.4,2.78,gaze fixated: p_2_3
4.25,0.23,1.89,3.4,2.73,-       
4.3,0.23,1.89,3.4,2.71,-       
4.35,0.22,1.89,3.4,2.69,-       
4.4,0.26,1.87,3.4,2.7,-       
4.45,0.26,1.86,3.4,2.73,-       
4.5,0.24,1.84,3.4,2.83,-       
4.55,0.24,1.84,3.4,2.83,-       
4.6,0.16,1.66,3.4,2.91,-       
4.65,0.1,1.66,3.4,2.94,gaze started: p_3_3
4.7,0.13,1.66,3.4,3.03,-       
4.75,0.13,1.66,3.4,3.03,-       
4.8,0.13,1.65,3.4,3.05,-       
4.85,0.13,1.65,3.4,3.05,-       
4.9,0.01,1.81,3.46,2.97,gaze started: p_3_2
4.95,0.03,2.04,3.4,2.91,-       
5.0,-0.0,2.01,3.4,2.95,-       
5.05,-0.0,2.01,3.4,2.95,-       
5.1,-0.01,2.0,3.4,2.97,-       
5.15,-0.01,2.0,3.4,2.97,-       
5.2,0.02,2.01,3.4,3.03,gaze fixated: p_2_2
5.25,0.02,2.01,3.4,3.03,gaze fixated: p_2_2
5.3,0.18,2.07,3.4,3.02,-       
5.35,0.18,2.07,3.4,3.02,-       
5.4,0.12,2.1,3.4,3.01,-       
5.45,0.12,2.1,3.4,3.01,-       
5.5,0.17,2.09,3.4,3.0,gaze started: p_2_2
5.55,0.17,2.09,3.4,2.99,gaze started: p_2_3
5.6,0.13,2.11,3.4,3.0,-       
5.65,0.16,2.08,3.4,3.01,gaze started: p_2_2
5.7,0.21,1.92,3.4,3.02,gaze started: p_2_3
5.75,0.24,1.81,3.46,2.99,-       
5.8,0.19,1.86,3.4,2.9,-       
5.85,0.14,1.84,3.4,2.9,gaze started: p_2_3
5.9,0.58,0.74,-0.29,,-       
5.95,0.58,0.74,-0.29,,-       
6.0,0.58,0.74,-0.29,,-       
6.05,0.17,1.85,3.4,2.94,-       
6.1,0.17,1.86,3.4,2.91,gaze started: p_2_3
6.15,0.13,1.85,3.4,2.94,-       
6.2,0.2,1.82,3.46,2.96,gaze started: p_2_2
6.25,0.19,1.82,3.4,3.05,-       
6.3,0.21,1.79,3.4,3.07,gaze started: p_2_3
6.35,0.25,1.77,3.4,3.06,gaze started: p_3_3
6.4,0.25,1.78,3.4,3.01,-       
6.45,0.2,1.81,3.46,2.98,-       
6.5,0.26,1.77,3.4,2.97,-       
6.55,0.21,1.81,3.46,2.96,gaze started: p_3_3
6.6,0.19,1.81,3.4,2.98,-       
6.65,0.19,1.82,3.4,2.99,gaze started: p_2_3
6.7,0.2,1.81,3.4,3.01,-       
6.75,0.21,1.81,3.46,3.01,-       
6.8,0.2,1.81,3.46,3.0,-       
6.85,0.18,1.82,3.46,2.98,-       
6.9,0.22,1.79,3.4,2.98,-       
6.95,0.22,1.79,3.4,2.98,-       
7.0,0.27,1.77,3.4,3.01,-       
7.05,0.27,1.77,3.4,3.01,-       
7.1,0.26,1.76,3.4,3.05,-       
7.15,0.26,1.76,3.4,3.05,-       
7.2,0.12,1.82,3.4,3.1,-       
7.25,0.12,1.82,3.4,3.1,-       
7.3,0.25,1.76,3.4,3.09,-       
7.35,0.25,1.76,3.4,3.09,-       
7.4,0.17,1.79,3.4,3.1,-       
7.45,0.17,1.79,3.4,3.1,-       
7.5,0.19,1.78,3.4,3.1,-       
7.55,0.22,1.77,3.4,3.11,-       
7.6,0.21,1.77,3.4,3.15,-       
7.65,0.21,1.77,3.4,3.14,gaze fixated: p_3_3
7.7,0.22,1.77,3.4,3.14,-       
7.75,0.23,1.76,3.4,3.12,-       
7.8,0.14,1.86,3.46,3.05,-       
7.85,0.16,1.84,3.4,3.03,gaze ended: p_3_3
7.9,0.19,1.81,3.4,3.03,gaze started: p_2_3
7.95,0.2,1.82,3.4,3.04,-       
8.0,0.2,1.82,3.46,3.04,-       
8.05,0.2,1.81,3.4,3.05,-       
8.1,0.2,1.82,3.46,3.05,gaze started: p_2_3
8.15,0.2,1.81,3.4,3.04,-       
8.2,0.19,1.82,3.4,3.05,gaze started: p_2_3
8.25,0.19,1.81,3.4,3.04,-       
8.3,0.2,1.82,3.46,3.01,-       
8.35,0.2,1.82,3.46,3.01,-       
8.4,0.22,1.84,3.4,2.95,gaze started: p_2_3
8.45,0.22,1.84,3.4,2.95,gaze started: p_2_3
8.5,0.24,1.85,3.4,2.95,-       
8.55,0.24,1.84,3.4,2.94,-       
8.6,0.21,1.85,3.4,2.92,-       
8.65,0.2,1.85,3.4,2.93,-       
8.7,0.23,1.83,3.4,2.91,gaze fixated: p_2_3
8.75,0.22,1.83,3.4,2.87,-       
8.8,0.23,1.82,3.4,2.8,-       
8.85,0.23,1.82,3.4,2.8,-       
8.9,0.21,1.85,3.4,2.67,-       
8.95,0.21,1.85,3.4,2.67,-       
9.0,0.2,1.86,3.4,2.61,-       
9.05,0.2,1.86,3.4,2.61,-       
9.1,0.2,1.87,3.4,2.6,-       
9.15,0.2,1.87,3.4,2.6,-       
9.2,0.22,1.84,3.4,2.57,-       
9.25,0.22,1.84,3.4,2.57,-       
9.3,0.21,1.87,3.4,2.57,-       
9.35,0.21,1.87,3.4,2.56,-       
9.4,0.24,1.82,3.4,2.56,-       
9.45,0.22,1.83,3.4,2.51,-       
9.5,0.19,1.86,3.4,2.49,-       
9.55,0.19,1.86,3.4,2.49,-       
9.6,0.2,1.85,3.4,2.44,-       
9.65,0.2,1.85,3.4,2.44,-       
9.7,0.2,1.85,3.4,2.42,-       
9.75,0.2,1.85,3.4,2.42,-       
9.8,0.2,1.84,3.4,2.41,-       
9.85,0.2,1.84,3.4,2.41,-       
9.9,0.2,1.85,3.4,2.4,-       
9.95,0.2,1.85,3.4,2.4,-       
10.0,0.25,1.82,3.4,2.44,-       
10.05,0.25,1.82,3.4,2.44,-       
10.1,0.2,1.84,3.4,2.51,-       
10.15,0.2,1.84,3.4,2.51,-       
10.2,0.21,1.84,3.4,2.57,-       
10.25,0.21,1.84,3.4,2.57,-       
10.3,0.2,1.84,3.4,2.62,-       
10.35,0.2,1.83,3.4,2.67,-       
10.4,0.2,1.82,3.4,2.69,-       
10.45,0.23,1.79,3.4,2.72,-       
10.5,0.23,1.79,3.4,2.76,gaze started: p_3_3
10.55,0.23,1.79,3.4,2.76,gaze started: p_3_3
