time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.05,1.91,3.4,4.46,-       
0.05,-0.06,1.9,3.4,4.46,-       
0.1,-0.06,1.89,3.4,4.46,-       
0.15,-0.15,1.95,3.4,4.5,-       
0.2,-0.15,1.96,3.4,4.47,-       
0.25,-0.15,1.96,3.4,4.48,-       
0.3,-0.15,1.96,3.4,4.48,-       
0.35,-0.12,1.95,3.4,4.47,-       
0.4,-0.12,1.95,3.4,4.47,-       
0.45,-0.12,1.95,3.4,4.47,-       
0.5,-0.14,1.92,3.4,4.57,-       
0.55,0.62,0.68,-0.27,,gaze ended: p_2_2
0.6,0.62,0.68,-0.27,,-       
0.65,0.62,0.68,-0.27,,-       
0.7,0.62,0.68,-0.27,,-       
0.75,0.62,0.68,-0.27,,-       
0.8,0.62,0.68,-0.27,,-       
0.85,0.62,0.68,-0.27,,-       
0.9,0.62,0.68,-0.27,,-       
0.95,0.62,0.68,-0.27,,-       
1.0,0.62,0.68,-0.27,,-       
1.05,0.62,0.68,-0.27,,-       
1.1,0.62,0.68,-0.27,,-       
1.15,0.62,0.68,-0.27,,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_doritos_30s_100.mp4
1.2,0.62,0.68,-0.27,,-       
1.25,-0.35,1.93,3.4,4.04,-       
1.3,-0.37,1.92,3.4,3.98,gaze started: p_2_2
1.35,-0.39,1.95,3.4,3.99,-       
1.4,-0.36,1.96,3.4,3.95,-       
1.45,-0.35,1.95,3.4,3.9,-       
1.5,-0.38,1.93,3.4,3.88,-       
1.55,-0.17,1.91,3.4,3.81,gaze fixated: p_2_2
1.6,0.05,1.9,3.4,3.8,-       
1.65,0.06,1.93,3.4,3.82,-       
1.7,0.06,1.93,3.4,3.82,-       
1.75,0.63,0.68,-0.27,,-       
1.8,0.63,0.68,-0.27,,gaze ended: p_2_2
1.85,0.63,0.68,-0.27,,-       
1.9,0.63,0.68,-0.27,,-       
1.95,0.64,0.68,-0.27,,-       
2.0,0.63,0.68,-0.27,,-       
2.05,0.03,1.98,3.4,4.03,-       
2.1,0.03,1.81,3.46,4.02,gaze started: p_2_2
2.15,0.04,1.82,3.4,4.01,-       
2.2,0.03,1.87,3.4,4.01,gaze started: p_2_2
2.25,0.07,1.87,3.4,4.14,-       
2.3,0.64,0.67,-0.27,,-       
2.35,0.64,0.67,-0.27,,-       
2.4,0.64,0.68,-0.27,,-       
2.45,0.64,0.67,-0.27,,-       
2.5,0.64,0.68,-0.27,,-       
2.55,0.64,0.67,-0.27,,-       
2.6,-0.03,1.98,3.4,4.33,-       
2.65,-0.07,1.89,3.4,4.15,gaze started: p_2_2
2.7,-0.1,2.02,3.4,4.13,-       
2.75,-0.08,2.0,3.4,4.04,-       
2.8,-0.09,1.99,3.4,3.79,-       
2.85,-0.12,2.05,3.4,3.61,-       
2.9,0.13,2.0,3.46,3.26,gaze fixated: p_2_2
2.95,0.25,1.84,3.4,3.2,gaze ended: p_2_2
3.0,0.26,1.74,3.4,3.19,gaze started: p_2_3
3.05,0.28,1.73,3.4,3.15,gaze started: p_3_3
3.1,0.29,1.65,3.4,3.06,-       
3.15,0.27,1.77,3.4,3.0,-       
3.2,0.27,1.74,3.4,2.98,-       
3.25,0.26,1.78,3.4,2.94,-       
3.3,0.28,1.69,3.4,2.93,gaze fixated: p_3_3
3.35,0.26,1.76,3.4,2.9,-       
3.4,0.26,1.76,3.4,2.87,-       
3.45,0.25,1.76,3.4,2.86,-       
3.5,0.26,1.76,3.4,2.85,-       
3.55,0.24,1.82,3.46,2.84,-       
3.6,0.25,1.88,3.4,2.93,gaze ended: p_3_3
3.65,0.65,0.68,-0.27,,gaze started: p_2_3
3.7,0.65,0.68,-0.27,,-       
3.75,0.65,0.68,-0.27,,-       
3.8,0.65,0.68,-0.27,,-       
3.85,0.33,1.82,3.4,3.05,-       
3.9,0.23,1.91,3.4,3.14,gaze started: p_2_3
3.95,0.25,1.81,3.4,3.1,-       
4.0,0.24,1.88,3.4,3.11,-       
4.05,0.27,1.82,3.46,3.14,-       
4.1,0.23,1.81,3.46,3.21,-       
4.15,0.19,1.9,3.4,3.28,-       
4.2,0.19,1.89,3.4,3.24,gaze started: p_2_3
4.25,0.22,1.82,3.4,3.23,-       
4.3,0.22,1.84,3.4,3.22,-       
4.35,0.23,1.82,3.4,3.2,-       
4.4,0.21,1.84,3.4,3.18,-       
4.45,0.21,1.84,3.4,3.18,gaze fixated: p_2_3
4.5,0.2,1.83,3.4,3.18,-       
4.55,0.29,1.85,3.4,3.13,-       
4.6,0.3,1.85,3.4,3.14,-       
4.65,0.31,1.83,3.4,3.15,-       
4.7,0.31,1.82,3.4,3.16,-       
4.75,0.31,1.82,3.4,3.16,-       
4.8,0.3,1.83,3.4,3.16,-       
4.85,0.3,1.81,3.4,3.17,-       
4.9,0.3,1.82,3.46,3.19,-       
4.95,0.3,1.82,3.46,3.21,gaze ended: p_2_3
5.0,0.3,1.78,3.4,3.28,-       
5.05,0.64,0.68,-0.27,,gaze started: p_3_3
5.1,0.64,0.69,-0.27,,-       
5.15,0.64,0.68,-0.27,,-       
5.2,0.65,0.67,-0.27,,-       
5.25,0.65,0.68,-0.27,,-       
5.3,0.3,1.85,3.4,3.44,-       
5.35,0.29,1.83,3.4,3.45,gaze started: p_2_3
5.4,0.29,1.79,3.4,3.44,-       
5.45,0.28,1.75,3.4,3.45,gaze started: p_3_3
5.5,0.24,1.78,3.4,3.51,-       
5.55,0.28,1.78,3.4,3.54,-       
5.6,0.26,1.83,3.4,3.54,-       
5.65,0.18,1.84,3.4,3.51,gaze started: p_2_3
5.7,0.19,1.84,3.4,3.46,-       
5.75,0.24,1.83,3.4,3.44,-       
5.8,0.22,1.85,3.4,3.29,-       
5.85,0.22,1.84,3.4,3.23,-       
5.9,0.2,1.83,3.4,3.21,gaze fixated: p_2_3
5.95,0.22,1.83,3.4,3.05,-       
6.0,0.22,1.84,3.4,3.05,-       
6.05,0.21,1.84,3.4,2.97,-       
6.1,0.21,1.84,3.4,2.99,-       
6.15,0.1,1.81,3.4,2.92,-       
6.2,0.64,0.68,-0.27,,gaze started: p_2_2
6.25,0.64,0.68,-0.27,,-       
6.3,0.64,0.68,-0.27,,-       
6.35,0.64,0.68,-0.27,,-       
6.4,0.23,1.89,3.4,3.02,-       
6.45,0.18,1.85,3.4,3.0,gaze started: p_2_3
6.5,0.21,1.84,3.4,3.08,-       
6.55,0.24,1.82,3.4,3.07,-       
6.6,0.33,1.82,3.4,3.25,-       
6.65,0.65,0.68,-0.27,,-       
6.7,0.65,0.67,-0.27,,-       
6.75,0.64,0.68,-0.27,,-       
6.8,0.64,0.68,-0.27,,-       
6.85,0.64,0.68,-0.27,,-       
6.9,0.2,1.75,3.4,3.3,-       
6.95,0.09,1.82,3.46,3.32,gaze started: p_3_3
7.0,0.12,1.77,3.4,3.35,-       
7.05,0.13,1.76,3.4,3.36,gaze started: p_3_2
7.1,0.13,1.78,3.4,3.4,-       
7.15,0.14,1.79,3.46,3.42,-       
7.2,0.13,1.78,3.46,3.43,-       
7.25,0.14,1.74,3.46,3.43,-       
7.3,0.13,1.74,3.4,3.44,-       
7.35,0.1,1.65,3.4,3.4,gaze started: p_3_2
7.4,0.1,1.66,3.4,3.45,-       
7.45,0.09,1.67,3.4,3.45,-       
7.5,0.09,1.68,3.4,3.44,-       
7.55,0.09,1.69,3.4,3.45,-       
7.6,0.09,1.69,3.4,3.42,gaze fixated: p_3_2
7.65,0.09,1.69,3.4,3.42,-       
7.7,0.09,1.82,3.4,3.53,-       
7.75,0.64,0.68,-0.27,,gaze started: p_2_2
7.8,0.64,0.68,-0.27,,-       
7.85,0.64,0.68,-0.27,,-       
7.9,0.64,0.68,-0.27,,-       
7.95,0.64,0.68,-0.27,,-       
8.0,0.12,1.79,3.4,3.28,-       
8.05,0.1,1.82,3.4,3.28,gaze started: p_3_2
8.1,0.1,1.76,3.4,3.26,gaze started: p_2_2
8.15,0.1,1.77,3.4,3.25,gaze started: p_3_2
8.2,0.09,1.74,3.4,3.26,-       
8.25,0.11,1.71,3.4,3.29,-       
8.3,0.16,1.84,3.4,3.39,-       
8.35,0.25,1.75,3.4,3.39,gaze started: p_2_3
8.4,0.2,1.82,3.46,3.4,gaze started: p_3_3
8.45,0.21,1.78,3.4,3.41,-       
8.5,0.21,1.77,3.4,3.43,gaze started: p_3_3
8.55,0.22,1.78,3.4,3.44,-       
8.6,0.2,1.78,3.4,3.48,-       
8.65,0.16,1.81,3.46,3.49,-       
8.7,0.14,1.85,3.46,3.56,-       
8.75,0.1,1.93,3.4,3.52,-       
8.8,0.63,0.69,-0.27,,gaze started: p_2_2
8.85,0.63,0.69,-0.27,,-       
8.9,0.64,0.69,-0.27,,-       
8.95,0.64,0.69,-0.27,,-       
9.0,0.18,1.82,3.4,3.27,-       
9.05,0.09,1.84,3.4,3.18,gaze started: p_2_3
9.1,0.13,1.79,3.4,3.2,gaze started: p_2_2
9.15,0.12,1.82,3.4,3.2,gaze started: p_3_2
9.2,0.1,1.94,3.4,3.41,gaze started: p_2_2
9.25,0.63,0.68,-0.27,,-       
9.3,0.63,0.69,-0.27,,-       
9.35,0.63,0.69,-0.27,,-       
9.4,0.64,0.69,-0.27,,-       
9.45,0.07,1.85,3.4,3.08,-       
9.5,0.09,1.86,3.4,3.02,gaze started: p_2_2
9.55,0.13,1.82,3.46,3.02,-       
9.6,0.09,1.91,3.4,3.03,-       
9.65,0.16,1.89,3.4,3.13,gaze started: p_2_2
9.7,0.21,1.89,3.4,3.06,gaze started: p_2_3
9.75,0.2,1.88,3.4,3.06,-       
9.8,0.24,1.85,3.4,3.07,-       
9.85,0.25,1.86,3.4,2.98,-       
9.9,0.33,1.79,3.4,3.05,-       
9.95,0.63,0.69,-0.27,,gaze started: p_3_3
10.0,0.63,0.69,-0.27,,-       
10.05,0.63,0.69,-0.27,,-       
10.1,0.63,0.69,-0.27,,-       
10.15,0.64,0.68,-0.27,,-       
10.2,0.57,0.81,3.57,2.9,-       
10.25,0.63,0.69,-0.27,,-       
10.3,0.63,0.69,-0.27,,-       
10.35,0.64,0.68,-0.27,,-       
10.4,0.63,0.68,-0.27,,-       
10.45,0.18,1.94,3.4,3.08,-       
10.5,0.16,1.85,3.4,2.94,gaze started: p_2_3
10.55,0.08,1.9,3.4,2.82,-       
10.6,0.17,1.83,3.4,2.85,gaze started: p_2_2
10.65,0.15,1.86,3.4,2.87,gaze started: p_2_3
10.7,0.13,1.91,3.4,2.88,-       
10.75,0.11,1.93,3.4,2.92,gaze started: p_2_2
10.8,0.18,1.86,3.4,2.95,-       
10.85,0.16,1.88,3.4,2.96,gaze started: p_2_3
10.9,0.2,1.86,3.4,2.97,-       
10.95,0.2,1.86,3.4,2.99,-       
11.0,-0.32,1.98,3.4,2.97,-       
11.05,-0.3,1.98,3.4,2.97,gaze started: p_2_2
11.1,-0.36,1.96,3.4,2.96,-       
11.15,-0.35,1.96,3.4,2.96,-       
