time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.46,1.77,3.4,3.34,-       
0.05,0.46,1.77,3.4,3.34,-       
0.1,0.49,1.78,3.4,3.35,gaze started: p_3_3
0.15,0.5,1.78,3.4,3.36,-       
0.2,0.49,1.78,3.4,3.39,-       
0.25,0.49,1.78,3.4,3.39,-       
0.3,0.49,1.78,3.4,3.39,-       
0.35,0.49,1.78,3.4,3.39,-       
0.4,0.49,1.78,3.4,3.39,-       
0.45,0.49,1.78,3.4,3.39,-       
0.5,0.49,1.78,3.4,3.39,-       
0.55,0.49,1.78,3.4,3.39,-       
0.6,0.49,1.78,3.4,3.39,-       
0.65,0.49,1.78,3.4,3.39,-       
0.7,0.49,1.78,3.4,3.39,-       
0.75,1.58,1.04,3.4,3.34,gaze fixated: p_3_3
0.8,1.59,1.04,3.4,3.32,gaze started: p_4_4
0.85,1.58,1.04,3.4,3.32,-       
0.9,1.58,1.04,3.4,3.33,-       
0.95,1.58,1.04,3.4,3.33,-       
1.0,1.57,1.04,3.4,3.34,-       
1.05,0.6,1.37,3.4,3.33,-       
1.1,-0.27,1.45,3.4,3.5,gaze started: p_3_3
1.15,-0.2,1.44,3.4,3.43,gaze started: p_3_2
1.2,-0.2,1.44,3.4,3.45,-       
1.25,-0.21,1.44,3.4,3.46,-       
1.3,-0.21,1.44,3.4,3.46,-       
1.35,-1.02,1.14,3.4,3.6,-       
1.4,-1.43,0.89,3.4,3.72,gaze started: p_4_1
1.45,-1.52,0.86,3.46,3.7,-       
1.5,-1.49,0.87,3.4,3.76,-       
1.55,-1.48,0.88,3.4,3.79,gaze started: p_4_1
1.6,-0.36,1.24,3.4,3.9,-       
1.65,0.33,1.54,3.4,3.9,gaze started: p_4_2
1.7,0.31,1.51,3.4,3.88,gaze started: p_3_3
1.75,0.3,1.52,3.4,3.9,-       
1.8,0.3,1.52,3.4,3.93,-       
1.85,0.31,1.53,3.4,3.96,-       
1.9,0.31,1.53,3.4,3.98,-       
1.95,0.31,1.53,3.4,3.98,-       
2.0,0.3,1.53,3.4,4.01,gaze fixated: p_3_3
2.05,0.29,1.52,3.4,4.04,-       
2.1,0.29,1.52,3.4,4.07,-       
2.15,0.27,1.51,3.4,4.08,-       
2.2,0.28,1.51,3.4,4.05,-       
2.25,0.29,1.51,3.4,3.89,-       
2.3,0.29,1.53,3.4,3.66,-       
2.35,0.29,1.53,3.4,3.45,-       
2.4,0.3,1.54,3.4,3.28,-       
2.45,0.3,1.54,3.4,3.19,-       
2.5,0.3,1.54,3.4,3.19,-       
2.55,-0.13,1.78,3.4,3.07,-       
2.6,-0.16,1.81,3.46,3.09,gaze started: p_3_2
2.65,0.01,1.82,3.4,3.05,-       
2.7,0.01,1.82,3.4,3.04,gaze started: p_2_2
2.75,-0.04,1.82,3.46,3.01,-       
2.8,-0.11,1.82,3.46,2.99,-       
2.85,0.1,1.92,3.4,2.94,-       
2.9,0.07,1.97,3.4,2.89,gaze started: p_2_2
2.95,0.12,1.96,3.4,2.91,-       
3.0,0.12,1.96,3.4,2.9,-       
3.05,0.1,1.96,3.4,2.89,-       
3.1,0.6,0.35,-0.08,,-       
