time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.44,1.75,3.4,5.08,gaze started: p_2_3
0.05,0.5,1.72,3.4,5.03,gaze started: p_3_3
0.1,0.5,1.72,3.4,5.03,gaze started: p_3_3
0.15,0.48,1.71,3.4,5.02,-       
0.2,0.51,1.74,3.4,5.02,-       
0.25,0.5,1.75,3.4,5.03,-       
0.3,0.48,1.74,3.4,5.05,-       
0.35,0.09,1.59,3.4,4.99,gaze fixated: p_3_3
0.4,0.17,1.65,3.4,4.89,gaze started: p_3_2
0.45,0.17,1.66,3.4,4.78,gaze started: p_3_3
0.5,0.17,1.66,3.4,4.78,gaze started: p_3_3
0.55,0.17,1.66,3.4,4.78,gaze started: p_3_3
0.6,0.17,1.66,3.4,4.78,gaze started: p_3_3
0.65,0.17,1.66,3.4,4.78,gaze started: p_3_3
0.7,0.17,1.66,3.4,4.78,gaze started: p_3_3
0.75,0.17,1.66,3.4,4.78,gaze started: p_3_3
0.8,0.17,1.66,3.4,4.78,gaze started: p_3_3
0.85,0.17,1.66,3.4,4.78,gaze started: p_3_3
0.9,0.17,1.66,3.4,4.78,gaze started: p_3_3
0.95,0.17,1.66,3.4,4.78,gaze started: p_3_3
1.0,0.17,1.66,3.4,4.78,gaze started: p_3_3
1.05,0.11,1.2,3.4,3.73,gaze fixated: p_3_3
1.1,0.11,1.2,3.4,3.73,gaze fixated: p_3_3
1.15,0.11,1.2,3.4,3.73,gaze fixated: p_3_3
1.2,0.06,1.26,3.4,3.82,gaze started: p_4_2
1.25,0.09,1.25,3.4,3.89,-       
1.3,0.15,1.25,3.4,3.94,-       
1.35,0.15,1.25,3.4,3.94,-       
1.4,0.1,1.24,3.4,3.93,gaze started: p_4_3
1.45,0.1,1.24,3.4,3.89,gaze started: p_4_2
1.5,0.1,1.24,3.4,3.88,-       
1.55,0.11,1.24,3.4,3.87,-       
1.6,0.11,1.24,3.4,3.87,-       
1.65,0.11,1.24,3.4,3.88,-       
1.7,-0.53,1.03,3.4,3.96,-       
1.75,-0.46,1.02,3.4,3.98,gaze fixated: p_4_2
1.8,-0.45,1.03,3.4,4.05,-       
1.85,-0.51,0.95,3.4,4.24,-       
1.9,-0.94,0.62,3.57,4.32,-       
1.95,-0.96,0.62,3.57,4.36,gaze ended: p_4_2
2.0,-0.97,0.61,3.57,4.45,-       
2.05,-0.97,0.61,3.57,4.49,-       
2.1,-0.96,0.6,3.57,4.52,-       
2.15,-0.96,0.6,3.57,4.55,-       
2.2,-0.3,0.53,3.29,4.58,-       
2.25,-0.22,0.53,3.31,4.6,-       
2.3,-0.27,0.53,3.42,4.67,-       
2.35,0.92,0.84,-0.52,,-       
2.4,0.93,0.84,-0.52,,-       
2.45,0.93,0.83,-0.51,,-       
2.5,0.92,0.84,-0.52,,-       
2.55,0.92,0.84,-0.52,,-       
2.6,0.07,1.6,3.4,4.33,-       
2.65,0.09,1.62,3.4,4.21,gaze started: p_3_2
2.7,0.07,1.66,3.4,4.14,-       
2.75,0.08,1.68,3.4,4.09,-       
2.8,0.08,1.67,3.4,4.02,-       
2.85,0.08,1.68,3.4,3.97,-       
2.9,0.06,1.68,3.4,3.93,gaze fixated: p_3_2
2.95,0.06,1.68,3.4,3.88,-       
3.0,0.12,1.65,3.4,3.75,-       
3.05,0.67,1.76,3.4,3.75,-       
3.1,0.65,1.77,3.4,3.75,gaze started: p_3_3
3.15,0.68,1.74,3.4,3.73,-       
3.2,0.66,1.75,3.4,3.74,-       
3.25,0.62,1.76,3.4,3.75,-       
3.3,0.69,1.74,3.4,3.74,-       
3.35,0.61,1.76,3.4,3.74,gaze fixated: p_3_3
3.4,0.47,1.87,3.4,3.75,-       
3.45,0.06,2.22,3.4,3.87,gaze started: p_2_3
3.5,0.07,2.17,3.4,3.86,gaze started: p_2_2
3.55,0.12,2.17,3.4,3.87,-       
3.6,0.1,2.16,3.4,3.89,-       
3.65,0.05,2.17,3.4,3.92,-       
3.7,0.01,2.15,3.4,4.03,-       
3.75,0.93,0.84,-0.52,,gaze fixated: p_2_2
3.8,0.93,0.84,-0.52,,gaze ended: p_2_2
3.85,0.93,0.84,-0.52,,-       
3.9,0.93,0.84,-0.52,,-       
3.95,0.93,0.84,-0.52,,-       
4.0,0.93,0.84,-0.52,,-       
4.05,-0.03,1.72,3.4,4.18,-       
4.1,0.04,1.72,3.4,4.2,gaze started: p_3_2
4.15,0.02,1.8,3.46,4.23,-       
4.2,0.16,1.69,3.4,4.19,-       
4.25,0.2,1.67,3.4,4.27,gaze started: p_3_3
4.3,0.07,1.78,3.4,4.27,-       
4.35,0.05,1.75,3.4,4.25,gaze started: p_3_2
4.4,0.16,1.7,3.4,4.13,-       
4.45,0.74,1.42,3.4,4.16,gaze started: p_3_3
4.5,0.74,1.42,3.4,4.16,gaze started: p_3_3
4.55,0.76,1.43,3.4,3.96,-       
4.6,0.76,1.43,3.4,3.96,-       
4.65,0.76,1.45,3.4,3.95,-       
4.7,0.74,1.46,3.4,3.95,-       
4.75,0.71,1.47,3.4,3.87,gaze fixated: p_3_3
4.8,0.29,1.76,3.4,3.81,-       
4.85,0.04,1.86,3.4,3.89,-       
4.9,0.09,1.85,3.4,3.89,gaze started: p_2_2
4.95,0.11,1.85,3.4,3.87,-       
5.0,0.1,1.84,3.4,3.88,-       
5.05,0.06,1.6,3.4,3.88,-       
5.1,0.02,1.58,3.4,3.9,gaze started: p_3_2
5.15,0.04,1.59,3.4,3.9,-       
5.2,-0.13,1.38,3.4,3.98,-       
5.25,-0.47,0.6,3.57,4.12,-       
5.3,-0.53,0.6,3.57,4.24,-       
5.35,-0.42,0.65,3.57,4.11,-       
5.4,-0.43,0.66,3.57,4.13,-       
5.45,-0.44,0.66,3.57,4.16,-       
5.5,-0.43,0.64,3.57,4.17,-       
5.55,-0.43,0.65,3.57,4.17,-       
5.6,-0.42,0.64,3.57,4.11,-       
5.65,-0.42,0.64,3.57,4.11,-       
5.7,-0.42,0.62,3.57,4.03,-       
5.75,-0.42,0.61,3.57,4.01,-       
5.8,-0.42,0.64,3.57,3.98,-       
5.85,-0.41,0.62,3.57,3.95,-       
5.9,-0.4,0.62,3.57,3.92,-       
5.95,-0.4,0.63,3.57,3.91,-       
6.0,-0.41,0.65,3.57,4.0,-       
6.05,0.92,0.84,-0.52,,-       
6.1,0.92,0.84,-0.52,,-       
6.15,0.92,0.84,-0.52,,-       
6.2,0.92,0.84,-0.52,,-       
6.25,0.92,0.84,-0.52,,-       
6.3,0.19,1.94,3.4,4.1,-       
6.35,0.18,2.02,3.4,4.25,gaze started: p_2_3
6.4,0.27,1.9,3.4,4.26,-       
6.45,0.18,1.97,3.4,4.24,-       
6.5,0.15,1.92,3.4,4.18,-       
6.55,0.17,1.92,3.4,4.19,-       
6.6,0.17,1.93,3.4,4.18,gaze fixated: p_2_3
6.65,0.34,1.85,3.4,4.07,-       
6.7,0.69,1.61,3.4,4.09,-       
6.75,0.57,1.67,3.4,4.1,gaze started: p_3_3
6.8,0.63,1.69,3.4,4.13,-       
6.85,0.64,1.71,3.4,4.18,-       
6.9,0.63,1.72,3.4,4.21,-       
6.95,0.64,1.72,3.4,4.22,-       
7.0,0.64,1.73,3.4,4.23,gaze fixated: p_3_3
7.05,0.64,1.73,3.4,4.2,-       
7.1,0.63,1.73,3.4,4.13,-       
7.15,0.63,1.73,3.4,4.05,-       
7.2,0.53,1.74,3.4,3.98,-       
7.25,0.63,1.73,3.4,3.91,-       
7.3,0.62,1.73,3.4,3.87,-       
7.35,0.62,1.74,3.4,3.84,-       
