time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.75,2.24,3.4,3.72,-       
0.05,-0.76,2.28,3.4,3.7,gaze started: p_2_1
0.1,-0.77,2.25,3.4,3.69,gaze started: p_1_1
0.15,-0.83,2.2,3.4,3.62,gaze started: p_2_1
0.2,-0.82,2.23,3.4,3.59,-       
0.25,-0.82,2.22,3.4,3.58,-       
0.3,-0.59,2.23,3.4,3.53,-       
0.35,-0.6,2.23,3.4,3.52,gaze started: p_2_2
0.4,-0.6,2.23,3.4,3.52,-       
0.45,-0.6,2.23,3.4,3.52,-       
0.5,-0.59,2.23,3.4,3.5,-       
0.55,-0.62,2.29,3.4,3.44,-       
0.6,-0.65,2.32,3.4,3.45,gaze started: p_1_2
0.65,-0.65,2.32,3.4,3.45,gaze started: p_1_2
0.7,-0.65,2.32,3.4,3.45,gaze started: p_1_2
0.75,-0.65,2.32,3.4,3.45,gaze started: p_1_2
0.8,-0.65,2.32,3.4,3.45,gaze started: p_1_2
0.85,-0.65,2.32,3.4,3.45,gaze started: p_1_2
0.9,-0.65,2.32,3.4,3.45,gaze started: p_1_2
0.95,-0.65,2.32,3.4,3.45,gaze started: p_1_2
1.0,-0.65,2.32,3.4,3.45,gaze started: p_1_2
1.05,-0.65,2.32,3.4,3.45,gaze started: p_1_2
1.1,-0.65,2.32,3.4,3.45,gaze started: p_1_2
1.15,-0.56,2.36,3.4,3.41,gaze fixated: p_1_2
1.2,-0.54,2.3,3.4,3.37,-       
1.25,-0.49,2.35,3.4,3.37,-       
1.3,-0.49,2.34,3.4,3.34,-       
1.35,-0.56,2.22,3.4,3.37,-       
1.4,-0.54,2.23,3.4,3.38,gaze started: p_2_2
1.45,-0.51,2.24,3.4,3.37,-       
1.5,-0.51,2.24,3.4,3.38,-       
1.55,-0.5,2.28,3.46,3.41,-       
1.6,-0.53,2.23,3.4,3.43,-       
1.65,-0.51,2.21,3.4,3.45,gaze started: p_2_2
1.7,-0.5,2.24,3.4,3.46,-       
1.75,-0.5,2.24,3.4,3.46,-       
1.8,-0.49,2.24,3.4,3.49,-       
1.85,-0.49,2.22,3.4,3.52,-       
1.9,-0.5,2.22,3.4,3.53,-       
1.95,-0.48,2.23,3.4,3.55,gaze fixated: p_2_2
2.0,-0.47,2.25,3.4,3.56,-       
2.05,-0.48,2.28,3.46,3.57,-       
2.1,-0.49,2.22,3.4,3.57,gaze ended: p_2_2
2.15,-0.47,2.28,3.46,3.57,gaze started: p_2_2
2.2,-0.47,2.28,3.46,3.6,-       
2.25,-0.47,2.25,3.4,3.64,-       
2.3,-0.48,2.24,3.4,3.65,gaze started: p_2_2
2.35,-0.47,2.28,3.46,3.65,-       
2.4,-0.44,2.28,3.4,3.64,-       
2.45,-0.45,2.28,3.46,3.65,gaze started: p_1_2
2.5,-0.48,2.23,3.4,3.66,-       
2.55,-0.48,2.2,3.4,3.65,gaze started: p_2_2
2.6,-0.05,2.12,3.4,3.58,-       
2.65,0.38,2.03,3.4,3.48,-       
2.7,0.48,1.88,3.4,3.27,gaze started: p_2_3
2.75,0.46,1.72,3.4,3.18,-       
2.8,0.43,1.73,3.4,2.95,gaze started: p_3_3
2.85,0.37,1.76,3.4,2.86,-       
2.9,-0.02,1.87,3.4,2.91,-       
2.95,-0.11,1.96,3.4,3.07,gaze started: p_2_2
3.0,0.98,0.67,-0.45,,-       
3.05,-0.12,1.92,3.4,2.87,-       
3.1,0.98,0.67,-0.45,,gaze started: p_2_2
3.15,0.98,0.67,-0.45,,-       
3.2,0.98,0.67,-0.45,,-       
3.25,-0.1,2.32,3.4,2.91,-       
3.3,-0.18,2.12,3.4,2.68,gaze started: p_1_2
3.35,-0.33,2.17,3.4,2.64,gaze started: p_2_2
3.4,-0.09,2.09,3.4,2.66,-       
3.45,0.14,2.05,3.4,2.7,-       
3.5,0.01,2.11,3.4,2.71,gaze started: p_2_3
3.55,0.06,2.09,3.4,2.71,gaze started: p_2_2
3.6,0.12,2.06,3.4,2.69,-       
3.65,0.09,2.06,3.4,2.68,-       
3.7,0.09,2.06,3.4,2.62,-       
