time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.25,2.29,3.46,4.68,-       
0.05,-0.24,2.28,3.4,4.7,-       
0.1,-0.26,2.29,3.46,4.72,gaze started: p_1_2
0.15,-0.28,2.29,3.46,4.75,-       
0.2,-0.39,2.3,3.4,4.8,-       
0.25,-0.67,2.28,3.4,4.77,gaze started: p_1_2
0.3,-0.63,2.23,3.4,4.65,-       
0.35,-0.62,2.19,3.4,4.49,gaze started: p_2_2
0.4,-0.62,2.26,3.4,4.38,-       
0.45,0.7,0.62,-0.22,,-       
0.5,0.72,0.61,-0.21,,-       
0.55,0.72,0.61,-0.21,,-       
0.6,0.72,0.61,-0.21,,-       
0.65,0.72,0.61,-0.21,,-       
0.7,0.72,0.61,-0.21,,-       
0.75,0.72,0.61,-0.21,,-       
0.8,0.72,0.61,-0.21,,-       
0.85,0.72,0.61,-0.21,,-       
0.9,0.72,0.61,-0.21,,-       
0.95,0.72,0.61,-0.21,,-       
1.0,0.72,0.61,-0.21,,-       
1.05,-0.73,2.34,3.4,4.03,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_doritos_30s_50wd.mp4
1.1,-0.54,2.23,3.4,4.03,gaze started: p_1_1
1.15,-0.55,2.2,3.4,4.1,gaze started: p_2_2
1.2,-0.55,2.19,3.4,4.19,-       
1.25,-0.53,2.2,3.4,4.28,-       
1.3,-0.57,2.2,3.4,4.28,-       
1.35,-0.54,2.2,3.4,4.34,-       
1.4,-0.26,1.96,3.4,4.36,gaze fixated: p_2_2
1.45,-0.17,2.0,3.4,4.34,-       
1.5,-0.2,2.01,3.4,4.38,-       
1.55,-0.21,2.0,3.4,4.38,-       
1.6,-0.23,1.99,3.4,4.43,-       
1.65,-0.23,1.99,3.4,4.45,-       
1.7,-0.22,2.0,3.4,4.46,-       
1.75,-0.17,2.0,3.4,4.52,-       
1.8,0.71,0.63,-0.22,,-       
1.85,0.7,0.64,-0.22,,gaze ended: p_2_2
1.9,0.7,0.63,-0.22,,-       
1.95,0.71,0.62,-0.21,,-       
2.0,0.72,0.6,-0.21,,-       
2.05,0.73,0.59,-0.21,,-       
2.1,0.04,0.78,3.57,4.32,-       
2.15,0.08,0.77,3.57,4.36,-       
2.2,0.17,0.76,3.57,4.36,-       
2.25,0.14,0.77,3.57,4.43,-       
2.3,0.11,0.79,3.57,4.42,-       
2.35,0.12,0.75,3.57,4.41,-       
2.4,0.12,0.81,3.57,4.48,-       
2.45,0.07,0.81,3.57,4.51,-       
2.5,0.37,1.22,3.4,4.08,-       
2.55,0.54,1.37,3.4,4.14,gaze started: p_4_3
2.6,0.68,0.61,-0.22,,gaze started: p_3_3
2.65,0.69,0.6,-0.22,,-       
2.7,0.69,0.59,-0.22,,-       
2.75,0.69,0.6,-0.22,,-       
2.8,0.58,1.7,3.4,3.41,-       
2.85,0.59,1.67,3.4,3.21,gaze started: p_3_3
2.9,0.57,1.62,3.4,3.09,-       
2.95,0.57,1.59,3.4,3.03,-       
3.0,0.43,1.63,3.4,2.94,-       
3.05,0.45,1.63,3.4,2.9,-       
3.1,0.54,1.6,3.4,2.95,gaze fixated: p_3_3
3.15,0.57,1.63,3.4,2.84,-       
3.2,0.52,1.61,3.4,2.83,-       
3.25,0.52,1.61,3.4,2.86,-       
3.3,0.52,1.61,3.4,2.86,-       
3.35,0.49,1.61,3.4,2.81,-       
3.4,0.47,1.61,3.4,2.79,-       
3.45,0.56,1.63,3.4,2.78,-       
3.5,0.51,1.63,3.4,2.8,-       
3.55,0.51,1.63,3.4,2.79,-       
3.6,0.56,1.64,3.4,2.77,-       
3.65,0.53,1.62,3.4,2.81,-       
3.7,0.47,1.62,3.4,2.79,-       
