time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.22,1.91,3.4,4.65,-       
0.05,0.22,1.91,3.4,4.65,-       
0.1,0.55,1.39,3.4,4.25,-       
0.15,0.62,1.29,3.4,4.19,gaze started: p_3_3
0.2,0.6,1.29,3.4,4.17,gaze started: p_4_3
0.25,0.61,1.28,3.4,4.16,-       
0.3,0.59,1.28,3.4,4.16,-       
0.35,0.57,1.28,3.4,4.17,-       
0.4,0.39,1.35,3.4,4.17,-       
0.45,0.33,1.43,3.4,4.13,gaze started: p_3_3
0.5,0.33,1.43,3.4,4.13,gaze started: p_3_3
0.55,0.33,1.43,3.4,4.13,gaze started: p_3_3
0.6,0.33,1.43,3.4,4.13,gaze started: p_3_3
0.65,0.33,1.43,3.4,4.13,gaze started: p_3_3
0.7,0.33,1.43,3.4,4.13,gaze started: p_3_3
0.75,0.33,1.43,3.4,4.13,gaze started: p_3_3
0.8,0.33,1.43,3.4,4.13,gaze started: p_3_3
0.85,0.33,1.43,3.4,4.13,gaze started: p_3_3
0.9,0.33,1.43,3.4,4.13,gaze started: p_3_3
0.95,0.33,1.43,3.4,4.13,gaze started: p_3_3
1.0,0.13,1.84,3.4,4.17,gaze fixated: p_3_3
1.05,0.12,1.83,3.4,4.19,gaze started: p_2_2
1.1,0.12,1.83,3.4,4.2,-       
1.15,0.13,1.85,3.46,4.24,-       
1.2,0.13,1.83,3.4,4.3,-       
1.25,0.19,1.92,3.4,4.35,gaze started: p_2_2
1.3,0.56,0.79,-0.32,,gaze started: p_2_3
1.35,0.56,0.79,-0.32,,-       
1.4,0.56,0.79,-0.32,,-       
1.45,0.56,0.79,-0.32,,-       
1.5,0.56,0.79,-0.32,,-       
1.55,0.56,0.79,-0.32,,-       
1.6,0.89,1.57,3.4,4.53,-       
1.65,0.9,1.63,3.4,4.57,gaze started: p_3_3
1.7,0.9,1.65,3.4,4.61,-       
1.75,0.91,1.63,3.4,4.63,-       
1.8,0.25,1.57,3.4,4.61,-       
1.85,0.2,1.56,3.4,4.58,-       
1.9,0.17,1.53,3.4,4.58,gaze fixated: p_3_3
1.95,0.16,1.53,3.4,4.59,-       
2.0,0.15,1.53,3.4,4.6,-       
2.05,0.14,1.54,3.46,4.63,-       
2.1,0.14,1.54,3.46,4.64,gaze ended: p_3_3
2.15,0.15,1.53,3.4,4.62,-       
2.2,0.15,1.53,3.4,4.62,gaze started: p_3_3
2.25,0.14,1.53,3.4,4.64,-       
2.3,0.14,1.53,3.4,4.64,-       
2.35,0.15,1.54,3.4,4.64,-       
2.4,0.15,1.53,3.4,4.64,-       
2.45,0.14,1.53,3.46,4.63,gaze fixated: p_3_3
2.5,0.14,1.53,3.46,4.47,gaze ended: p_3_3
2.55,0.14,1.53,3.46,4.21,-       
2.6,0.15,1.54,3.4,3.91,-       
2.65,0.15,1.55,3.4,3.6,gaze started: p_3_3
2.7,0.14,1.56,3.4,3.46,-       
2.75,0.13,1.57,3.46,3.24,-       
2.8,0.13,1.57,3.4,3.14,-       
2.85,0.12,1.57,3.4,3.04,gaze started: p_3_2
2.9,0.14,1.56,3.46,2.96,-       
2.95,0.14,1.57,3.46,2.91,-       
3.0,0.14,1.58,3.46,2.85,-       
3.05,0.14,1.58,3.46,2.8,-       
3.1,0.13,1.58,3.46,2.78,-       
3.15,0.13,1.57,3.4,2.74,-       
3.2,0.15,1.57,3.4,2.71,gaze started: p_3_2
3.25,0.17,1.57,3.4,2.71,gaze started: p_3_3
3.3,0.12,1.57,3.4,2.71,-       
3.35,0.12,1.57,3.4,2.71,gaze started: p_3_2
3.4,0.19,1.56,3.4,2.73,-       
3.45,0.11,1.57,3.4,2.73,gaze started: p_3_3
3.5,0.12,1.57,3.4,2.75,gaze started: p_3_2
3.55,0.12,1.57,3.4,2.76,-       
3.6,0.12,1.58,3.4,2.8,-       
3.65,0.12,1.57,3.4,2.82,-       
3.7,0.13,1.56,3.4,2.91,-       
3.75,0.13,1.56,3.4,2.91,-       
3.8,0.12,1.56,3.4,2.99,gaze fixated: p_3_2
3.85,0.12,1.57,3.4,3.05,-       
3.9,0.13,1.56,3.4,3.13,-       
3.95,0.12,1.56,3.4,3.16,-       
4.0,0.12,1.55,3.4,3.19,-       
4.05,0.12,1.54,3.4,3.21,-       
4.1,0.13,1.54,3.4,3.26,-       
4.15,0.13,1.54,3.4,3.26,-       
4.2,0.13,1.54,3.4,3.24,-       
4.25,0.12,1.54,3.4,3.22,-       
4.3,0.12,1.55,3.4,3.2,-       
4.35,0.12,1.56,3.4,3.18,-       
