time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.43,2.26,3.4,4.48,gaze fixated: p_1_2
0.05,-0.46,2.21,3.4,4.43,gaze started: p_2_2
0.1,-0.49,2.23,3.4,4.42,-       
0.15,-0.52,2.23,3.4,4.43,-       
0.2,-0.51,2.22,3.4,4.45,-       
0.25,-0.33,2.09,3.4,4.43,-       
0.3,-0.4,2.12,3.4,4.46,-       
0.35,-0.41,2.13,3.4,4.48,gaze fixated: p_2_2
0.4,-0.44,2.14,3.4,4.5,-       
0.45,-0.42,2.13,3.4,4.51,-       
0.5,-0.44,2.12,3.4,4.51,-       
0.55,-0.46,2.12,3.4,4.51,-       
0.6,-0.47,2.14,3.4,4.52,-       
0.65,-0.47,2.14,3.4,4.52,-       
0.7,-0.47,2.14,3.4,4.52,-       
0.75,-0.47,2.14,3.4,4.52,-       
0.8,-0.47,2.14,3.4,4.52,-       
0.85,-0.47,2.14,3.4,4.52,-       
0.9,-0.47,2.14,3.4,4.52,-       
0.95,-0.47,2.14,3.4,4.52,-       
1.0,-0.47,2.14,3.4,4.52,-       
1.05,-0.47,2.14,3.4,4.52,-       
1.1,-0.46,2.01,3.4,4.43,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_expedia_30s_100.mp4
1.15,-0.41,2.0,3.4,4.45,-       
1.2,-0.47,2.05,3.4,4.45,-       
1.25,-0.47,2.04,3.4,4.45,-       
1.3,-0.47,2.04,3.4,4.46,-       
1.35,-0.46,2.05,3.4,4.48,-       
1.4,0.75,0.51,-0.18,,-       
1.45,0.75,0.51,-0.18,,gaze ended: p_2_2
1.5,0.75,0.51,-0.18,,-       
1.55,0.75,0.51,-0.18,,-       
1.6,-0.07,2.03,3.4,4.5,-       
1.65,-0.08,2.07,3.4,4.55,gaze started: p_2_2
1.7,-0.1,2.07,3.4,4.55,-       
1.75,-0.15,2.14,3.4,4.58,-       
1.8,-0.12,2.11,3.4,4.59,-       
1.85,-0.08,2.06,3.4,4.6,-       
1.9,-0.05,2.0,3.4,4.61,-       
1.95,-0.11,2.08,3.4,4.62,gaze fixated: p_2_2
2.0,-0.1,2.06,3.4,4.63,-       
2.05,-0.09,2.07,3.4,4.63,-       
2.1,-0.09,2.07,3.4,4.63,-       
2.15,-0.08,2.03,3.4,4.66,-       
2.2,0.1,2.06,3.4,4.72,-       
2.25,0.1,1.99,3.4,4.73,-       
2.3,0.19,2.01,3.4,4.72,-       
2.35,0.75,0.51,-0.18,,gaze started: p_2_3
2.4,0.75,0.51,-0.18,,gaze started: p_2_3
2.45,0.75,0.51,-0.18,,-       
2.5,0.75,0.51,-0.18,,-       
2.55,0.75,0.52,-0.18,,-       
2.6,0.75,0.52,-0.18,,-       
2.65,0.55,1.7,3.4,4.14,-       
2.7,0.46,1.73,3.4,3.98,gaze started: p_3_3
2.75,0.4,1.76,3.4,3.79,-       
2.8,0.46,1.74,3.4,3.77,-       
2.85,0.46,1.72,3.4,3.7,-       
2.9,0.48,1.72,3.4,3.67,-       
2.95,0.49,1.72,3.4,3.62,-       
3.0,0.48,1.72,3.4,3.51,-       
3.05,0.48,1.72,3.4,3.47,-       
3.1,0.47,1.73,3.4,3.44,-       
3.15,0.48,1.74,3.4,3.41,-       
3.2,0.49,1.74,3.4,3.39,-       
3.25,0.49,1.73,3.4,3.35,-       
3.3,0.49,1.73,3.4,3.32,-       
3.35,0.49,1.72,3.4,3.31,-       
3.4,0.5,1.71,3.4,3.28,-       
3.45,0.49,1.71,3.4,3.28,-       
3.5,0.49,1.71,3.4,3.28,-       
3.55,0.32,1.69,3.4,3.24,-       
3.6,0.34,1.68,3.4,3.25,-       
3.65,0.34,1.68,3.4,3.26,-       
3.7,0.33,1.67,3.4,3.28,-       
3.75,0.33,1.67,3.4,3.29,-       
3.8,0.35,1.65,3.4,3.31,-       
3.85,0.34,1.67,3.4,3.35,-       
3.9,0.34,1.67,3.4,3.39,-       
3.95,0.34,1.66,3.4,3.47,-       
4.0,0.34,1.67,3.4,3.51,-       
4.05,0.34,1.67,3.4,3.52,-       
4.1,0.33,1.66,3.4,3.55,-       
4.15,0.34,1.65,3.4,3.57,-       
4.2,0.29,1.61,3.4,3.66,-       
4.25,0.29,1.6,3.4,3.65,-       
4.3,0.22,1.64,3.4,3.65,-       
4.35,0.22,1.64,3.4,3.67,-       
4.4,0.22,1.64,3.4,3.68,-       
4.45,0.23,1.63,3.4,3.72,-       
4.5,0.23,1.63,3.4,3.72,-       
4.55,0.26,1.56,3.4,3.79,-       
4.6,0.26,1.56,3.4,3.79,-       
4.65,0.23,1.62,3.4,3.81,-       
4.7,0.33,1.5,3.4,3.83,-       
4.75,0.32,1.51,3.4,3.83,-       
4.8,0.27,1.57,3.4,3.82,-       
4.85,0.27,1.57,3.4,3.84,-       
4.9,0.28,1.57,3.4,3.84,-       
4.95,0.21,1.55,3.4,3.83,-       
5.0,0.27,1.48,3.4,3.86,-       
5.05,0.26,1.5,3.4,3.85,-       
5.1,0.25,1.5,3.4,3.85,-       
5.15,0.28,1.49,3.4,3.84,-       
5.2,0.74,0.53,-0.19,,-       
5.25,0.74,0.53,-0.19,,gaze ended: p_3_3
5.3,0.74,0.53,-0.19,,-       
5.35,0.74,0.53,-0.19,,-       
5.4,0.74,0.53,-0.19,,-       
5.45,0.74,0.53,-0.19,,-       
5.5,0.25,1.66,3.4,3.71,-       
5.55,0.28,1.64,3.4,3.69,gaze started: p_3_3
5.6,0.23,1.66,3.4,3.65,-       
5.65,0.17,1.71,3.4,3.65,-       
5.7,0.18,1.7,3.4,3.63,-       
5.75,0.2,1.68,3.4,3.57,-       
5.8,0.2,1.68,3.4,3.56,gaze fixated: p_3_3
5.85,0.18,1.72,3.4,3.54,-       
5.9,0.24,1.65,3.4,3.52,-       
5.95,0.28,1.6,3.4,3.53,-       
6.0,0.28,1.6,3.4,3.52,-       
6.05,0.27,1.67,3.4,3.54,-       
6.1,0.27,1.65,3.4,3.56,-       
6.15,0.26,1.59,3.4,3.58,-       
6.2,0.26,1.58,3.4,3.59,-       
6.25,0.22,1.66,3.4,3.58,-       
6.3,0.22,1.66,3.4,3.61,-       
6.35,0.22,1.66,3.4,3.62,-       
6.4,0.26,1.58,3.4,3.69,-       
6.45,0.26,1.65,3.4,3.69,-       
6.5,0.26,1.66,3.4,3.72,-       
6.55,0.16,1.54,3.4,3.69,-       
6.6,0.16,1.48,3.4,3.78,-       
6.65,0.06,1.55,3.4,3.77,-       
6.7,0.19,1.4,3.4,3.77,gaze started: p_3_2
6.75,0.23,1.39,3.4,3.69,gaze started: p_3_3
6.8,0.24,1.39,3.4,3.7,-       
6.85,0.15,1.43,3.4,3.73,-       
6.9,0.24,1.36,3.4,3.79,-       
6.95,-0.21,1.24,3.4,3.64,-       
7.0,-0.62,1.17,3.4,3.74,gaze started: p_4_2
7.05,-0.7,1.16,3.4,3.71,-       
7.1,-0.72,1.16,3.46,3.7,gaze started: p_4_1
7.15,-0.69,1.16,3.4,3.68,-       
7.2,-0.72,1.15,3.46,3.66,-       
7.25,-0.62,1.12,3.4,3.6,-       
7.3,-0.95,1.05,3.4,3.63,gaze started: p_4_2
7.35,-1.22,0.92,3.4,3.54,gaze started: p_4_1
7.4,-1.25,0.92,3.4,3.53,-       
7.45,-1.25,0.91,3.4,3.51,-       
7.5,-1.27,0.91,3.4,3.5,-       
7.55,-0.64,1.28,3.4,3.46,-       
7.6,-0.07,1.43,3.4,3.34,gaze started: p_4_2
7.65,-0.06,1.39,3.4,3.33,-       
7.7,-0.06,1.39,3.4,3.33,-       
7.75,0.23,1.67,3.4,3.36,-       
7.8,0.26,1.58,3.4,3.24,gaze started: p_3_3
7.85,0.23,1.58,3.4,3.24,-       
7.9,0.25,1.59,3.4,3.21,-       
7.95,0.24,1.62,3.4,3.22,-       
8.0,0.23,1.62,3.4,3.22,-       
8.05,0.19,1.76,3.4,3.23,-       
8.1,0.16,1.79,3.4,3.25,gaze fixated: p_3_3
8.15,0.19,1.78,3.4,3.24,-       
8.2,0.18,1.78,3.4,3.24,-       
8.25,0.18,1.78,3.4,3.24,-       
8.3,0.17,1.78,3.4,3.23,-       
8.35,0.19,1.75,3.4,3.24,-       
8.4,0.19,1.76,3.4,3.25,-       
8.45,0.19,1.75,3.4,3.25,-       
8.5,0.18,1.75,3.4,3.25,-       
8.55,0.19,1.74,3.4,3.29,-       
8.6,0.2,1.74,3.4,3.31,-       
8.65,0.23,1.76,3.4,3.39,-       
8.7,0.25,1.76,3.4,3.36,-       
8.75,0.21,1.78,3.4,3.35,-       
8.8,0.17,1.82,3.4,3.35,-       
8.85,0.16,1.81,3.4,3.35,gaze started: p_2_3
8.9,0.16,1.82,3.46,3.34,-       
8.95,0.18,1.73,3.4,3.35,-       
9.0,0.15,1.75,3.4,3.39,gaze started: p_3_3
9.05,-0.09,1.93,3.4,3.38,gaze started: p_2_2
9.1,-0.05,1.9,3.4,3.41,-       
9.15,-0.04,1.89,3.4,3.44,-       
9.2,-0.05,1.88,3.4,3.47,-       
9.25,0.06,1.81,3.4,3.54,-       
9.3,0.05,1.82,3.4,3.53,-       
9.35,0.04,1.84,3.4,3.55,gaze fixated: p_2_2
9.4,0.04,1.84,3.4,3.58,-       
9.45,0.04,1.85,3.4,3.62,-       
9.5,0.04,1.85,3.4,3.62,-       
9.55,0.03,1.84,3.4,3.56,-       
9.6,0.03,1.84,3.4,3.57,-       
9.65,0.11,1.81,3.4,3.61,-       
9.7,0.15,1.82,3.4,3.61,-       
9.75,0.15,1.82,3.4,3.61,gaze started: p_2_3
9.8,0.14,1.85,3.46,3.6,-       
9.85,0.14,1.85,3.46,3.59,-       
9.9,0.15,1.83,3.4,3.59,-       
9.95,0.15,1.83,3.4,3.58,gaze started: p_2_3
10.0,0.15,1.81,3.4,3.52,-       
10.05,0.15,1.82,3.4,3.51,-       
10.1,0.15,1.82,3.4,3.49,-       
10.15,0.15,1.83,3.4,3.5,-       
10.2,0.19,1.77,3.4,3.5,gaze fixated: p_2_3
10.25,0.15,1.83,3.4,3.51,gaze started: p_3_3
10.3,0.16,1.82,3.4,3.52,gaze started: p_2_3
10.35,0.16,1.82,3.4,3.55,-       
10.4,0.15,1.82,3.46,3.55,-       
10.45,0.21,1.75,3.4,3.55,-       
10.5,0.16,1.82,3.46,3.55,gaze started: p_3_3
10.55,0.02,1.83,3.4,3.59,-       
10.6,-0.73,1.74,3.4,3.65,gaze started: p_2_2
10.65,-0.85,1.64,3.4,3.61,-       
10.7,-0.84,1.64,3.4,3.62,-       
10.75,-0.84,1.64,3.4,3.63,-       
10.8,-0.84,1.63,3.4,3.63,-       
10.85,-0.32,1.59,3.4,3.61,-       
10.9,0.43,1.4,3.4,3.6,gaze started: p_3_2
10.95,0.44,1.41,3.4,3.68,gaze started: p_3_3
11.0,0.48,1.4,3.4,3.7,-       
11.05,0.48,1.39,3.4,3.72,-       
11.1,0.48,1.38,3.4,3.74,-       
11.15,0.49,1.37,3.4,3.75,-       
11.2,0.06,1.44,3.4,3.77,gaze fixated: p_3_3
11.25,-0.98,1.49,3.4,3.69,gaze started: p_3_2
11.3,-1.09,1.47,3.4,3.78,gaze started: p_3_1
11.35,-1.01,1.49,3.4,3.78,-       
11.4,-1.01,1.49,3.4,3.78,-       
11.45,-1.01,1.49,3.4,3.79,-       
11.5,-1.01,1.49,3.4,3.78,-       
11.55,-1.02,1.47,3.4,3.78,-       
11.6,-1.01,1.47,3.4,3.76,gaze fixated: p_3_1
11.65,-1.01,1.47,3.4,3.73,-       
11.7,-1.0,1.46,3.4,3.74,-       
11.75,-1.0,1.46,3.4,3.73,-       
11.8,-1.0,1.46,3.4,3.73,-       
11.85,-1.0,1.46,3.4,3.72,-       
11.9,-1.0,1.45,3.4,3.71,-       
11.95,-0.57,1.48,3.4,3.73,-       
12.0,0.6,1.23,3.4,3.68,gaze started: p_3_2
12.05,0.57,1.2,3.4,3.71,gaze started: p_4_3
12.1,0.5,1.27,3.4,3.7,-       
12.15,0.5,1.26,3.4,3.69,-       
12.2,0.5,1.25,3.4,3.69,-       
12.25,0.52,1.27,3.4,3.72,-       
12.3,-0.1,1.57,3.4,3.69,gaze fixated: p_4_3
12.35,-0.32,1.62,3.4,3.65,gaze started: p_3_2
12.4,-0.28,1.59,3.4,3.68,-       
12.45,-0.25,1.58,3.4,3.68,-       
12.5,-0.26,1.58,3.4,3.69,-       
12.55,-0.31,1.6,3.4,3.7,-       
12.6,-0.27,1.58,3.4,3.71,-       
12.65,-0.3,1.59,3.4,3.75,-       
12.7,-0.07,1.58,3.4,3.81,-       
12.75,-0.1,1.61,3.4,3.83,-       
12.8,-0.1,1.61,3.4,3.83,-       
12.85,-0.06,1.58,3.4,3.84,-       
12.9,-0.29,1.62,3.4,3.99,-       
12.95,-0.27,1.6,3.4,3.96,-       
13.0,-0.32,1.63,3.4,3.96,-       
13.05,-0.33,1.63,3.4,3.95,-       
13.1,-0.32,1.63,3.4,3.96,-       
13.15,-0.31,1.65,3.4,3.97,-       
13.2,-0.45,1.69,3.4,4.01,-       
13.25,-0.42,1.69,3.4,4.02,-       
13.3,-0.39,1.68,3.4,4.02,-       
13.35,-0.04,1.61,3.4,3.99,-       
13.4,-0.03,1.59,3.4,4.02,-       
13.45,-0.02,1.57,3.4,4.02,-       
13.5,-0.01,1.57,3.4,4.01,-       
13.55,-0.51,1.66,3.4,4.13,-       
13.6,-0.49,1.66,3.4,4.1,-       
13.65,-0.54,1.67,3.4,4.1,-       
13.7,-0.5,1.64,3.4,4.1,-       
13.75,-0.42,1.61,3.4,4.13,-       
13.8,-0.55,1.67,3.4,4.14,-       
13.85,-0.55,1.67,3.4,4.14,-       
13.9,-0.3,1.62,3.4,4.17,-       
13.95,-0.05,1.52,3.4,4.15,-       
14.0,-0.15,1.64,3.4,4.15,-       
14.05,-0.13,1.6,3.4,4.16,-       
14.1,-0.13,1.6,3.4,4.2,-       
14.15,-0.13,1.62,3.4,4.25,-       
14.2,-0.12,1.61,3.4,4.26,-       
14.25,0.23,1.66,3.4,4.28,-       
14.3,0.22,1.65,3.4,4.33,gaze started: p_3_3
14.35,0.23,1.66,3.4,4.26,-       
14.4,0.21,1.68,3.4,4.21,-       
14.45,0.21,1.66,3.4,4.14,-       
14.5,0.21,1.64,3.4,3.96,-       
14.55,0.19,1.64,3.4,3.71,gaze fixated: p_3_3
14.6,0.2,1.65,3.4,3.67,-       
14.65,0.22,1.64,3.4,3.63,-       
14.7,0.22,1.64,3.4,3.62,-       
14.75,0.21,1.64,3.4,3.61,-       
14.8,0.21,1.65,3.4,3.61,-       
14.85,0.22,1.65,3.4,3.59,-       
14.9,0.21,1.63,3.4,3.6,-       
14.95,0.21,1.62,3.4,3.63,-       
15.0,0.2,1.63,3.4,3.64,-       
15.05,0.22,1.63,3.4,3.66,-       
15.1,0.23,1.64,3.4,3.69,-       
15.15,0.23,1.63,3.4,3.76,-       
15.2,0.22,1.63,3.4,3.8,-       
15.25,0.23,1.62,3.4,3.82,-       
15.3,0.23,1.62,3.4,3.83,-       
15.35,0.21,1.62,3.4,3.87,-       
15.4,0.21,1.6,3.4,3.87,-       
15.45,0.36,1.53,3.4,3.93,-       
15.5,0.38,1.54,3.4,3.96,-       
15.55,0.51,1.47,3.4,4.0,-       
15.6,0.56,1.43,3.4,3.98,-       
15.65,0.52,1.44,3.4,4.01,-       
15.7,0.43,1.42,3.4,4.13,-       
15.75,-0.19,1.54,3.4,4.08,-       
15.8,-0.22,1.46,3.4,4.1,gaze started: p_3_2
15.85,-0.28,1.46,3.4,4.07,-       
15.9,-0.34,1.47,3.4,4.04,-       
15.95,-0.36,1.49,3.4,3.9,-       
16.0,-0.17,2.11,3.4,3.84,-       
16.05,-0.31,2.17,3.4,3.75,gaze started: p_2_2
16.1,-0.23,2.14,3.4,3.78,-       
16.15,-0.24,2.13,3.4,3.79,-       
16.2,-0.35,2.24,3.4,3.83,-       
16.25,-0.32,2.24,3.4,3.83,-       
16.3,-0.31,2.2,3.4,3.77,-       
16.35,-0.29,2.19,3.4,3.79,-       
16.4,-0.26,2.18,3.4,3.79,-       
16.45,-0.24,2.15,3.4,3.81,-       
16.5,-0.37,2.14,3.4,3.84,-       
16.55,-0.37,2.1,3.4,3.9,-       
16.6,-0.35,2.1,3.4,3.92,-       
16.65,-0.34,2.1,3.4,3.93,-       
16.7,-0.29,2.1,3.4,3.96,-       
16.75,-0.26,2.07,3.4,4.02,-       
16.8,-0.26,2.06,3.4,4.05,-       
