time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.17,2.02,3.4,3.77,-       
0.05,-0.17,2.02,3.4,3.77,-       
0.1,-0.11,1.98,3.4,3.81,gaze started: p_2_2
0.15,-0.11,1.98,3.4,3.83,-       
0.2,-0.02,1.95,3.4,3.83,-       
0.25,-0.03,1.94,3.4,3.85,-       
0.3,0.0,1.92,3.4,3.86,-       
0.35,0.0,1.92,3.4,3.86,-       
0.4,-0.02,1.91,3.4,3.84,gaze fixated: p_2_2
0.45,-0.14,1.94,3.4,3.87,-       
0.5,-0.16,1.94,3.4,3.85,-       
0.55,-0.15,1.93,3.4,3.85,-       
0.6,-0.14,1.93,3.4,3.87,-       
0.65,-0.14,1.93,3.4,3.87,-       
0.7,-0.15,1.93,3.4,3.91,-       
0.75,-0.08,1.78,3.4,3.57,-       
0.8,0.63,0.55,-0.22,,gaze started: p_3_2
0.85,0.63,0.55,-0.22,,-       
0.9,0.63,0.55,-0.22,,-       
0.95,0.63,0.55,-0.22,,-       
1.0,0.63,0.55,-0.22,,-       
1.05,0.63,0.55,-0.22,,-       
1.1,0.63,0.55,-0.22,,-       
1.15,0.63,0.55,-0.22,,-       
1.2,0.63,0.55,-0.22,,-       
1.25,0.63,0.55,-0.22,,-       
1.3,0.63,0.55,-0.22,,-       
1.35,-0.6,2.21,3.4,4.22,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_expedia_30s_100.mp4
1.4,-0.6,2.21,3.4,4.22,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_expedia_30s_100.mp4
1.45,-0.46,2.2,3.4,4.25,gaze started: p_2_2
1.5,-0.46,2.21,3.4,4.24,-       
1.55,-0.86,2.21,3.4,4.17,-       
1.6,-0.6,2.1,3.4,4.14,gaze started: p_2_1
1.65,-0.71,2.16,3.46,4.12,gaze started: p_2_2
1.7,-0.71,2.16,3.46,4.12,gaze started: p_2_2
1.75,-0.65,2.04,3.4,3.68,-       
1.8,0.62,0.55,-0.22,,gaze started: p_2_2
1.85,0.62,0.55,-0.22,,-       
1.9,0.62,0.55,-0.22,,-       
1.95,-0.68,0.75,3.57,4.01,-       
2.0,-0.64,0.72,3.57,4.04,-       
2.05,-0.65,0.75,3.57,4.13,-       
2.1,-0.65,0.75,3.57,4.13,-       
2.15,-0.63,0.76,3.57,4.14,-       
2.2,-0.62,0.77,3.57,4.18,-       
2.25,-0.62,0.78,3.57,4.22,-       
2.3,-0.62,0.77,3.57,4.24,-       
2.35,-0.62,0.75,3.57,4.3,-       
2.4,-0.62,0.75,3.57,4.3,-       
2.45,-0.56,1.12,3.4,4.33,-       
2.5,-0.53,1.73,3.4,4.28,gaze started: p_4_2
2.55,-0.39,1.92,3.4,4.47,gaze started: p_3_2
2.6,-0.48,1.91,3.4,4.48,gaze started: p_2_2
2.65,-0.48,1.91,3.4,4.48,gaze started: p_2_2
2.7,-0.46,1.91,3.4,4.48,-       
2.75,0.62,0.56,-0.23,,-       
2.8,0.62,0.56,-0.23,,-       
2.85,0.62,0.56,-0.23,,-       
